Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376
Composite Element REF	Signal
C13orf18	3.81185374748555
CACNB1	3.79150244716486
QKI	6.25027716306629
SETMAR	5.88375683370203
LAMB4	3.23806691218091
MAN2B1	6.47130347469122
EML3	5.45853815795455
ACADL	3.18344532738674
OFD1	8.00229946635358
CGA	3.36650458354496
EIF3EIP	10.3006001548191
PEX16	5.65693019150001
GNG12	8.57722273668057
HABP4	5.02102553361498
CNTN2	3.29031660004334
ASNSD1	7.41218398071
FUT4	4.05481212466199
DBH	3.43311624692813
CD53	7.5968350080545
HIST1H2BJ	3.53656014801544
TFAP2B	3.04155755885481
ACF	3.53155137308784
TMEM11	6.46956108744034
CDH8	3.19510377391197
C3orf32	3.88705286397205
AGPS	5.28739858743263
C4orf18	3.46034515134399
PCCB	7.4942880879429
IPO13	4.77691078036029
PECI	7.53912176593928
UNG	7.6675189425434
C6orf105	3.408268962666
GSTP1	9.1930139335716
SUV420H1	7.87316799856822
ARHGAP15	4.4434937353883
LTBR	6.52584766324807
TDRKH	3.26900807816043
PSG4	3.2285458405912
SLC9A3R1	7.48864836914918
NBPF3	9.03852034252025
SLC9A3	3.30235137391095
OSBP	7.27877966256755
PRR5	4.98528127996851
CHMP7	5.5350951015802
ADRA1A	2.98734165464326
ASAH1	7.05133126677746
FKBP4	6.85846493243647
ZNF350	5.431686454502
DOM3Z	6.0098675626557
GIPR	3.56983973515012
AHI1	5.23877090883681
BST1	5.06110300549608
NCR2	3.4543035614311
NADSYN1	5.68788726290774
UBE2W	6.61991669161396
RGS14	3.68587748820641
KRT15	6.89769859770139
SCN11A	3.57656553744286
GFI1	3.49390539919851
FHL1	4.57544576458577
SMC6	6.09782382079068
GATA1	3.4028243251998
OSGEP	5.46783661407519
ARMC6	4.72290965064981
HK3	3.35264371956184
PSMD5	8.00258756487072
RSU1	7.70111997402418
RPL4	11.4635200079259
MAD2L1	8.01766155797808
RBPMS	5.40557855550777
EIF4A3	9.63222378781325
E4F1	4.8658188695892
DLEC1	3.33652167824305
PRPF3	5.82411833153466
EMR1	3.27363185577055
CHMP2B	8.06535811492588
CAMSAP1	4.68000929959675
RPS21	9.52158354741867
XCR1	3.2028458744723
ARID5A	4.34785855049912
RBM6	6.00200787542809
UBE2N	7.98216133565348
KLF4	5.46633167104579
MGC4172	4.91769885716656
LMO4	6.48644875459129
KLKB1	3.13132288046458
HDAC3	6.77198940294677
HP	6.77833124344953
SCHIP1	6.36056970063664
BTK	3.93363645231790
KRCC1	8.7374177688764
PRND	2.98156283994664
C6orf27	3.38274195624895
PIGL	3.74606854371913
CLCA1	3.87699920190936
C1orf112	4.75022201386024
OLFML2A	6.02446234231958
HUS1	4.99394167726692
SFRS6	7.97885139277179
CXCR7	6.15050004229545
UIMC1	6.69263454914103
FXYD2	3.30801732920915
GOT2	8.19242857853684
ZNF667	4.30397955513081
TFEC	4.25829213850703
ATP7B	4.18952598495188
RAB38	5.60418410819816
POLD2	6.79741890865959
PPM1H	5.23284701295515
DCX	3.20407914567737
NFYC	6.06366547568173
ZNF228	4.39707032688758
KIN	6.20942540190855
PLSCR4	6.19492889725114
HIST1H4I	4.25664234699623
PPARGC1A	3.41830816677557
HIG2	7.10760676464529
KCNK10	3.83117626674385
EXOC1	8.74730034998633
OR6A2	3.80803512504789
ETFA	8.4766893531998
PDAP1	5.24159102936502
C19orf6	3.66458041904422
POLRMT	4.26166296647007
ZNF146	8.05284213984872
MIA2	2.99877212343796
LY6G6E	3.26544235942107
EIF4E2	7.92760527692864
NENF	4.66237533570147
HOXB5	3.73070862815323
ZNF324	4.64479895197847
CUGBP1	5.13136888633038
ENTPD7	4.92207784943144
TTC13	6.16659294828304
GJB5	3.59806306673697
PRSS22	5.07663751904595
CYP3A5	4.05713569866558
MBOAT5	4.05440078740513
CUL4B	5.95451600735374
CENPJ	3.75658228073552
KIAA0664	6.63829714040635
PITX1	3.89399996940263
PDGFRB	6.1054493023719
RDX	6.6003008679661
CELSR3	3.65409831141915
JUND	6.53219074559976
ITSN1	5.36279062072218
CHRNB1	4.47353396379791
EHBP1L1	4.38214059884796
C19orf2	6.96305631321206
FETUB	2.96353448421282
CAMK2B	3.14223235507243
DCTN1	6.50083458718925
TNKS2	7.8391737952125
MRTO4	7.66915020699562
C1QBP	6.8371192409921
TTC3	8.20525974999751
NDUFB8	8.38935772872584
CADPS2	6.8126744031513
EDG2	5.73684740284731
MYF5	2.97510074884872
SEMA3G	3.88386774546033
IL23A	3.5588534497743
GJA9	3.61436578163211
R3HDM2	7.92997549576999
C5	4.29127217347800
SLC2A10	7.29617419723081
TRIM45	4.39408307870459
TSP50	3.68290202642889
PAQR3	4.72986258963364
ANKRD26	3.35385459345877
TCP1	8.4361107871472
TMED7	7.40657080631396
CMA1	2.94701439887678
PTCRA	4.22981982325641
HCRTR1	3.03840144710603
FST	4.48271540666078
PAWR	4.26790009383393
LDLR	5.08015407531489
ASTN2	5.71212088220114
SCRN1	7.82641203419719
GPATCH8	7.03214715074992
KIF4A	6.43492264779675
TANC2	5.73615777191061
ZMYM5	3.74543090825205
PGM1	9.29699530032522
ZNF586	5.80706950090113
POLR3G	3.29117857014886
CPD	5.78338995602306
SNCAIP	4.77124230965459
DCT	3.35300881202350
HLA-DOA	3.56082014572260
TANK	7.28471779490008
RCAN1	5.18317360499483
UPK1B	7.32547304519652
DNAJB4	5.66418271515686
UGT1A8	3.03793749382500
LIMD2	3.24511918364659
HIST1H4L	3.48294763208676
PECR	5.22604978356061
HSPA2	6.32276272599484
SERP1	9.14781248601239
TACR2	3.18316466788189
NUP85	7.09638750399948
CD177	3.41014788204316
GPR135	3.16798817094695
PIGG	7.83545696891689
LGR5	3.19757531937638
JAK2	3.9025852537138
DPYSL4	3.39023811258553
TM9SF4	6.99177439856854
PTHR1	3.61462740240251
SIRPG	3.44780943504377
ZNF264	6.22517624582127
BICD1	5.28678898469866
RAB5A	8.38162163097293
FLJ13224	2.81714469069796
METTL5	9.03303291841062
HERC6	6.87719602890283
CASP1	6.28902457874688
USP9Y	2.78984235208505
LRP1B	2.83131700619146
XAF1	8.7846354445718
PLA2G4C	4.07870770383691
APOA2	3.03175604949945
SPAG6	2.96331795527574
KALRN	3.57278613982161
SECTM1	5.9436424047483
THOC7	9.16021058618596
IFNAR1	4.98515895742998
TCTA	7.15677284366455
NY-REN-7	3.24736605283217
TALDO1	10.0058143520191
B2M	11.9676374466600
LPPR4	4.32902066998774
SQLE	7.39195008659248
SEPHS1	6.45228787557785
EIF5A	7.5944025186387
FAM49A	4.79619708913927
YTHDC2	4.58082003247291
EHD2	5.58104584492235
NCF1	3.65751733684225
SPG7	6.20449547456235
ZNF614	3.63865288669562
HOXA5	3.93003985546271
NUP133	7.73119574859366
FGF12	4.70961646344923
SLMO2	8.425171971132
INPP5B	4.35465831948484
PPID	7.096910551242
SNTA1	4.13238001676972
IL20RA	5.84951143133885
UBE2J1	6.98866769966135
CACNG2	3.07706180423926
GCM1	3.27738162525287
ELF1	7.11811555742176
TLR5	5.51338714024205
TCFL5	7.03060938575034
C1orf107	6.19850274450287
C19orf22	7.12609630755133
SAFB2	6.11331978934037
MAP3K7IP1	3.94915790669083
NCK2	7.93460045097296
OXA1L	7.9432604542956
KIAA0652	6.44124123168659
KLRG1	3.2450451758069
FRAG1	6.88863800619067
ZSCAN12	2.95580889456354
PSMD12	8.14273966863055
E2F4	5.03904219423343
CLEC4M	3.92187152909500
KIAA0999	6.07920594280432
CLDN10	8.99000187864971
MGC13053	4.08578704058788
TAC1	3.80143336395680
GYPA	3.22798853221607
HPCAL4	3.18600856953115
TRAIP	4.32291218786919
MEX3D	4.94940418020378
KIAA0232	7.31345769117653
ERCC8	5.77184023683062
NFAT5	5.67352280772939
GPX4	9.71115335856719
CSPG4LYP1	3.06278663204188
KIAA0368	6.95294844172569
FBXO3	6.96146488537154
DVL1	6.1409812269836
CMKLR1	3.49642227325834
GPR157	3.53675956397641
TYMS	7.50357161717186
OR52A1	3.10756989157471
PEF1	7.44584386701352
ZNF750	6.52755849650287
ALG9	6.37001340161893
MCM5	6.05159231564764
SDK2	3.37659613237949
BAIAP3	3.72283962664225
RABGGTB	7.24249263054223
KCNK7	3.35832831835567
PTP4A3	5.95662253100353
ANKRD40	4.54407771525610
CALCOCO2	7.65749127806577
TMSL8	5.52751733426317
SNCA	4.25134255584579
ZNF551	4.17960116788453
HBQ1	3.17941285964294
ARHGAP26	4.03091696890444
GEMIN6	6.61658731830445
HRAS	6.50209659017328
KLRC4	2.63510841322177
BSDC1	6.64551914249687
DSC1	4.19730714553118
RNF43	5.71796053493911
NDUFAF1	6.33129325096899
MAP2K4	5.98397342062506
FOLR2	4.57543491563624
LYZL6	3.68796861199152
EPB41L3	4.05359134927389
TEKT2	4.03643406446519
CDKN2B	3.48336743819075
WSB1	6.38774718056049
ZNF480	3.87469267803992
MAP3K6	4.50682038301079
PROS1	6.52406017105835
PSMB8	8.38923810628352
HN1	9.35225899987618
MAS1	3.20692507035226
APOL1	7.271409737901
CSHL1	3.22301388190404
ZBTB7C	3.15067558512701
AHCTF1	6.45108204241569
SAE2	9.11523959720541
ITGA2	4.09975423547823
AP2S1	8.95819257372761
P15RS	7.77633884955302
MME	4.41464472343355
VAT1	7.83852947055792
MAST4	5.42817536014233
TUFM	8.92516069601938
KRT33B	3.26251311824353
THEG	3.82268275531082
KCTD2	5.9234588819739
WDR26	8.66629141080736
MFI2	3.65660979990437
KRT34	3.06930651197223
NR4A3	3.98182854939332
SGSM3	4.94056505885218
ARSA	4.360565950035
TOMM22	6.48251576382932
SOCS3	3.73601228900774
UNKL	3.804010260454
POP4	8.69476574210573
BHLHB3	10.2935989197044
MALL	7.90629518347749
SOX15	4.57077861725525
CCNA2	6.36059930325739
PARK2	3.19450874606091
GPR124	5.14988090127029
TMEM132A	5.32774272097188
CGRRF1	5.85586346222124
RUVBL2	8.36938221751208
MCAT	6.5656936409517
WNT10B	3.64522787648355
ISCA1	7.39877056480517
RPAP1	4.42579304517144
C12orf48	5.24207578273965
RAI16	5.1356277251926
RPL27	9.17558914253648
EPN1	3.47839204995575
MAGI1	3.18511134762929
GBX2	3.11591298209831
SLC35A1	8.01846780078758
GAL	3.59948804988160
SLC14A2	3.54415461713437
RDH11	7.6629709144308
ZNF518	4.02557470188339
PCYT1B	3.11123025075036
AUH	7.73212973903044
EIF3H	11.1061496411806
KIF1B	7.11207324009366
MBD2	4.89476550275926
AMOTL2	9.14150566357968
C6orf120	6.25038487994613
PIGT	8.21217752586922
PSRC1	5.74069022583568
PLA2G10	3.90749016304265
ALAS1	7.95487458364197
FOXO1	6.22685974912354
C17orf62	7.53376150614436
KIF5C	4.58999943931336
DUSP10	7.55487617314158
CRLF3	7.25854260025617
CLCNKB	3.29839278906867
PSMA5	8.95014969175704
FARS2	6.72638677450807
CCDC28A	7.17608760296558
AMPD3	5.00411054327931
PIAS1	7.37848193609686
ADCYAP1R1	3.48663202029355
TMEM134	6.89345226297648
CDH20	2.98744288733939
FBXO7	7.8549823939664
FLJ14213	5.11832091106174
ZNF3	5.04377743498368
LRRFIP1	7.76804092514298
TMEM49	9.38219298680678
CNOT2	7.93368426238866
CBX2	2.76208697066673
ZC3H14	6.76443104546812
ALDH5A1	6.6440193026582
HNT	5.59486080891392
SERPINA4	3.16640186161896
FLJ20920	7.48306699150239
CRTAP	6.04256548371275
DDX50	8.26043633372362
STYXL1	7.3083969453553
TK2	4.63290625207874
BLVRB	7.91896839017331
STMN1	7.01373737173825
GUCA2A	3.04601755568470
DPP6	3.04134532716521
GALNT10	6.09390801048238
STK39	6.35085719221629
MMP24	4.67792390645062
CKS2	9.55793282411695
RHO	3.59446254654987
BANF1	9.5070297610311
CR1	2.79195745162274
RPS6KA2	6.3584962745847
HMBS	6.45813848020289
C20orf112	3.74731551295546
SLC25A24	7.25912962030735
MRPL22	8.23305027783815
SLC25A15	4.43775346901549
GADD45B	6.2306673967548
TDP1	5.78635558602882
ZNF287	3.45676085286283
DAAM2	5.69999090591277
C11orf57	6.2758589372804
RFK	7.84029425957409
ZFYVE9	3.85209331109238
TCTN3	7.22183710534035
STCH	6.88800192789888
LOC283871	3.61994030455164
NDUFB3	7.93848833530912
DEFB4	3.77353192940252
FPR1	4.36576322280466
FMNL1	4.10382228400790
SEPT7	9.86228017465423
PTCD2	4.78592923402361
GNLY	4.04162790593468
GRAMD1C	5.53567536671951
ZNF165	5.98156884964906
TR2IT1	4.02077737248925
ARMCX3	8.03160748734824
NDE1	5.54031478140506
MAGEF1	7.67666592850075
ITGA10	3.74762007047097
ARHGDIB	8.047947965836
FSHB	3.58061062997862
ANXA2	11.9070973268734
HLCS	3.98955180370632
MCF2L	4.16970285919258
AK1	6.94916538903701
FH	7.00288556096449
LGALS2	3.78893783157518
SYNPO2L	2.66006957820502
KIAA1045	3.21620158971798
C1orf183	4.4239935007449
MAGEA8	2.9918342435701
DGCR8	4.91141621879892
GSR	4.69166685487992
NEU2	3.36915267595579
HIST1H4B	3.66348079605046
CACNA1C	2.98925208001375
FAM20B	6.8392218604314
HES2	3.22070615367401
PDCD6	9.06835614198331
INTS7	6.09831759110071
AMPH	3.9577403442302
UCKL1	6.64981170601268
ASB4	3.03616271045016
C10orf97	5.45080499479344
ALDH1L1	4.40558764396149
CCL23	3.22991837320862
OBSL1	5.46153490220907
SLC12A7	7.39973895841785
THAP4	5.9604702456196
RBM4B	5.6979167239104
OGFRL1	4.52818688017010
KIAA0831	6.38839744936301
C12orf11	7.82708709398098
PPP1R15A	5.61347081249132
KIAA0240	6.19579661194233
CD1B	3.31066963502443
FCGR2A	6.53679584001672
MDC1	5.69379065187893
MAN1A1	4.01880039114351
KRT9	3.28905301200717
HTR1A	3.23130014977815
OCEL1	5.40804863678371
ATP11B	6.89052387243979
NLGN4X	5.36635836975757
FBXO34	7.79647100449475
ALOX12	3.61633267190161
RB1CC1	7.6074162213767
PCDH12	4.44925672614887
RPE	5.53860682244324
EIF4E	7.16767999033004
CSDC2	4.10661517355526
ABHD5	5.42898268646553
TMBIM1	7.55439715513007
PET112L	5.38743271751766
P2RXL1	3.12270179011522
F2RL2	2.95517018011452
TRMT1	4.64433590033167
IMPG2	3.55607261338593
LRRC32	6.26634205119091
BGLAP	4.90440456679708
HTR4	3.32576864809956
MRAS	5.25315239610196
TRAF6	5.06402367432328
AXL	5.34874530596944
ATP2C2	3.81626201563845
LMNB1	5.83901276506032
TELO2	4.01795458857726
PNPLA3	3.64827243211871
CSNK1E	6.60678584977347
SRP14	10.3780185573525
KCNQ4	3.14860225889789
PIK3C2B	6.65251459175454
C15orf15	8.1853671270968
TUBB2B	3.02619617468934
USP15	6.37392451992651
C12orf41	7.91739684761158
CEND1	3.47104219488306
RNF31	4.85092228721998
TCEAL2	5.08928672729085
PTGER2	5.79643694120841
UBN1	6.30306442590735
SLC5A7	3.18213607569175
SLC31A1	6.35557020931322
ADAM29	3.40061993691939
ST7L	4.2293728909993
GFOD1	6.44791169039141
CTNNA1	9.37162524804948
HRBL	3.76729117755769
CBX4	3.6514721916456
NTRK2	3.68053723258554
FOXN3	5.59563492498433
MFGE8	5.93042360709805
PFKFB2	3.66954924720347
TAS2R4	3.46750741752593
SH3TC2	3.17094033539235
IL10	3.72207664490077
PXMP4	6.69114223404199
RNF167	6.90260972503159
PRMT5	7.34731763767495
TSKU	6.54020432340286
ATPIF1	8.13255385603489
ETV3	3.17253021052521
PAK7	3.24384731719153
PDLIM1	9.32803909228145
CEP63	5.87276955402622
WDFY3	4.7810333723709
RNF126	5.11181638426686
DPM1	9.08587713988364
CLIC4	7.3003311923144
ACR	3.67878848631688
KLK7	12.0929638782316
ALOX5AP	7.92987845433956
LRP1	5.24635063918537
TNK1	5.31218208231804
TAS2R9	3.04279139344699
ZNF16	6.65462117051604
POLR1B	5.49052970600041
SLC8A2	3.63603731940784
OLFM4	2.66996644520001
TACC1	6.40122835807743
SAMHD1	7.42021622197756
ATP13A2	4.97605396904474
KRT4	4.74942857310629
PAX6	3.67885047543049
SCG2	5.99489910272294
SLC17A6	3.22226382172009
TUBB4	3.85765502152829
PADI4	3.00127004862914
FMO3	3.03104338390565
NLK	4.17475870327299
POU4F3	3.06412122978798
MDM2	3.67929087597895
CAPNS1	9.66516348368325
SDF4	7.35020812539604
ITGBL1	4.21263367488294
TAP2	4.71753805904429
OR2C1	3.25673476332496
KLHDC3	7.06660231596031
EFHD2	6.11327861013658
GALR3	3.63370312408496
NBEA	4.22937787886423
ABCA6	3.55337828863428
ABBA-1	3.92118409610947
GNAI1	4.5543745526978
CLDN3	8.43329176686567
AKT2	3.3360217325507
EGFR	4.11275048998126
VPS4B	8.57114040905532
RBM16	7.80081549484451
GALNT6	6.72473543107341
ZDHHC3	6.33032566650868
SLC25A4	7.31206059628625
CYB5B	5.99109950029043
NDRG1	9.48132410204504
SESN1	5.51933042684228
GBE1	7.85043190198356
MRPL46	6.49548788058576
CLASP1	6.16786907069408
FARP2	4.98950277802094
ACOT11	3.67971568140074
LDHAL6B	2.93195885570513
MAPKAPK3	5.8554151532641
NCAM2	3.08297460613403
AFAP1	5.36198311697457
PRKD2	6.66439129277692
OR2H2	3.19315654966187
ZFP36L1	7.53424196104005
DZIP1	4.67259701765317
GPR161	3.95395697945172
RNF146	6.38739485112303
NKX3-1	3.78183943408454
CCNB2	8.10230061302015
ZNF10	3.65325171936169
WDR74	5.79156156611701
FAM134A	7.97999066090399
PCNP	8.93015475700395
PURA	5.64383285497994
DNPEP	7.668054279384
ERBB2	5.76423178412656
CREB1	6.25330318583354
NEO1	5.72805035078093
DDX3Y	3.27640757410156
RPS3A	12.6205716674085
MXRA7	9.95239431629554
LGALS3	10.7388046702472
GLT8D1	7.37974482020385
TMPRSS3	8.65844358957434
UPB1	3.11099506181235
LAT	3.74054941957871
CLDN14	3.49476673334863
DHX38	4.69207004212657
KCNA3	3.35218085799386
BTBD1	8.09419643032095
TARS2	5.73976114482656
SKIV2L2	7.73014607454435
ABCF1	8.22073965533047
CDT1	3.21883147820536
ZHX2	7.24927161042577
FCF1	4.91140250321374
LRRC49	4.44488446281626
GUCY1B2	3.74998478419275
CD28	3.13920845874996
SMARCA4	6.22805519739829
SEPT2	9.20359773226536
SOHLH2	3.15540425166769
MCOLN3	3.71821448380233
LRP8	5.57039820387445
TAGLN3	3.77999341193388
MASP2	3.48877240540992
GPATCH3	4.66803317279517
TTRAP	9.01417936954153
AGL	7.1121812841159
NFE2L3	4.43731052293979
PSD4	3.86252924717199
PALMD	4.98710307477862
CCNB1IP1	7.68169245161014
TMEM43	7.14608695286627
OBFC1	5.99147885585436
STAT5B	4.71226386061655
C14orf79	3.9782034203874
ENPEP	4.48666074167588
SSB	8.3868688261874
SCT	2.89661612969723
TIMM23	7.37524059143779
SKI	3.50640141471545
SLC22A13	3.02602744570645
AKAP3	3.13072906901885
OAS2	6.59877527999504
KIAA0423	6.27330744376539
SEC61G	9.62617211693012
CAPN11	3.05907540135766
TMEM50B	7.0384781441428
DEGS1	7.61210683880109
ARHGEF4	3.30069286962633
DBNDD1	4.29652571568761
TBL1XR1	6.28086037970968
FAIM	5.77092808448076
SP140	3.48786664633587
G6PD	6.02572726539389
NUDC	7.55226159451885
GABRP	6.42738152165491
SCARA3	5.12058720737067
TACSTD2	5.41637438874146
