Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B12_452008
Composite Element REF	Signal
C11orf73	6.57141056494023
AIPL1	3.64853719229536
PTP4A2	8.97847681922855
IL24	3.58281318114939
BDKRB1	3.20905438508543
HPCA	3.61926612070061
MLF1	7.35407285729765
SEC14L1	6.0152020028269
CHFR	5.78610188436678
EMILIN1	3.92682314318213
THADA	5.90777949494589
TAF12	6.19104912092431
NDUFS4	8.52931556554732
ID1	9.74675222460362
PIK3CB	4.22871580909899
COL18A1	7.36564229523179
PDZD3	3.17678384988545
TBC1D17	4.49310220429714
COX8A	9.87754457714382
CDCA4	6.50963621119041
C2orf44	4.21050726213553
C9orf16	7.3521450190942
ERBB2IP	7.81160439274659
EMX2	8.82350213495671
FUS	6.11608754733612
NIPSNAP3B	3.64119248645768
TF	3.39219817654614
CXorf56	5.49642800311344
CLCN4	3.90450737939837
PWP2	6.30296433545197
MMP15	3.85498762359919
MTMR14	5.97443297097533
NPR1	8.49644287624813
DNAL4	5.88165367586175
ELAC2	4.70422492827149
ASS1	10.7649893976002
IPP	4.46908866545910
TMEM59	9.48428610676844
POLR2J	9.11183182237091
SEC23IP	5.84679239154602
RGS4	4.31994990189671
UQCRC1	8.85251560339113
SNX6	6.75468651051151
DDX18	6.84683790867181
POLG	4.63945266404344
ADAM23	4.09169089302865
ZNHIT2	4.67566075841127
TFR2	3.36795098123411
NCDN	4.57096236094123
RAG1	3.3593035867181
POMT1	4.46056525799502
CYP1A1	3.24634962428386
SNAPC1	5.36276882031198
GNA11	5.24345250717927
CCDC52	2.88401079971630
CAPN1	6.90663356183957
DDHD2	6.3039555938666
UPF3A	5.52351744925147
LAGE3	6.45280264754221
GNRHR	3.09014230962381
UNC13B	5.81943702419328
TTLL4	4.52891797993541
PPBP	2.93595355249657
HTR3A	7.94935421635515
SDC2	4.80236953338346
ANKRD49	7.07360666160199
BTF3	9.93371460430476
COX7A2	10.6475059666514
SARS	8.8714372573595
C13orf18	3.57126345547683
CACNB1	3.89297695893124
QKI	5.4077536066183
SETMAR	5.08467281222984
LAMB4	3.3819592716791
MAN2B1	8.30739455908746
EML3	4.90600766466
ACADL	3.37180694827132
OFD1	7.57259568977033
CGA	3.70622450240898
EIF3EIP	10.5753700510657
PEX16	5.80829914172077
GNG12	7.86200087472044
HABP4	4.94159491331824
CNTN2	3.41234797994955
ASNSD1	7.00846230489698
FUT4	4.26718073361152
DBH	3.37136043249904
CD53	7.36528452518084
HIST1H2BJ	3.57235282081189
TFAP2B	3.28698958300343
ACF	3.60844772932426
TMEM11	5.98526451335892
CDH8	3.40459367710405
C3orf32	3.91758924147168
AGPS	4.26001142621191
C4orf18	3.1894089512429
PCCB	7.10061678700502
IPO13	4.67649925582737
PECI	6.99041805352447
UNG	6.22489961579375
C6orf105	3.55920890653713
GSTP1	8.83539316392997
SUV420H1	7.12658853157222
ARHGAP15	4.34822242394586
LTBR	6.53489961003209
