Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
C11orf73	6.33977458333604
AIPL1	3.63267022163567
PTP4A2	9.50729585721674
IL24	3.39437659951968
BDKRB1	3.65488826363028
HPCA	3.4919668297063
MLF1	7.10388565881698
SEC14L1	5.75166796427539
CHFR	6.13089525405723
EMILIN1	3.44922876196998
THADA	6.48843618358841
TAF12	5.25478124488664
NDUFS4	7.69772916105576
ID1	6.73164479817623
PIK3CB	4.05958409608577
COL18A1	7.83077117756293
PDZD3	3.18725238471801
TBC1D17	3.91697864620126
COX8A	9.40098989172744
CDCA4	5.78172629643526
C2orf44	4.81194289726693
C9orf16	7.52319880263606
ERBB2IP	8.09077825350314
EMX2	9.14103051311435
FUS	7.29606816469197
NIPSNAP3B	3.578294251642
TF	3.21252978118563
CXorf56	5.39768481571314
CLCN4	3.65767738628381
PWP2	5.87373321975165
MMP15	4.53075399087013
MTMR14	6.03454795427878
NPR1	5.60781904974856
DNAL4	5.33707863438092
ELAC2	4.96684680662098
ASS1	10.2235856347740
IPP	4.97091220798007
TMEM59	8.89268584701327
POLR2J	9.31417578921447
SEC23IP	5.42322942174662
RGS4	4.44003677499158
UQCRC1	8.87054533415866
SNX6	7.6677138303131
DDX18	7.227170678612
POLG	4.48308298737471
ADAM23	4.23730042050834
ZNHIT2	4.20832635551210
TFR2	3.29558412592594
NCDN	4.09514088361825
RAG1	3.54183845147076
POMT1	4.79455795730645
CYP1A1	3.32252275711382
SNAPC1	5.63923481779767
GNA11	4.88479729809938
CCDC52	2.84311788774124
CAPN1	6.16279512712499
DDHD2	6.42138070071961
UPF3A	6.23944498907979
LAGE3	6.59952527953505
GNRHR	3.14264868940039
UNC13B	4.97523398740349
TTLL4	4.61691728215564
PPBP	3.09062740978051
HTR3A	3.19835406078594
SDC2	6.40498157839321
ANKRD49	7.30458152094608
BTF3	10.0805365044086
COX7A2	10.7728837739513
SARS	8.41365943227054
C13orf18	3.6546848622392
CACNB1	3.75883316741223
QKI	5.74386182498755
SETMAR	6.76489648886474
LAMB4	3.23509085105594
MAN2B1	6.05297858461056
EML3	4.45896450068279
ACADL	3.11399597769664
OFD1	7.90919570544535
CGA	3.24443410328021
EIF3EIP	10.3529389250434
PEX16	5.37830226548951
GNG12	7.4819659262799
HABP4	5.0024347665051
CNTN2	3.42512842189064
ASNSD1	7.265932324754
FUT4	4.06568319267419
DBH	3.32646130731220
CD53	7.47858214307216
HIST1H2BJ	3.18744873424191
TFAP2B	3.37247360666223
ACF	3.52692208052124
TMEM11	5.86434070522857
CDH8	3.29066083124611
C3orf32	3.92534879727845
AGPS	4.88488279766809
C4orf18	3.41444872553564
PCCB	7.48688472429222
IPO13	4.56791662989616
PECI	7.88209381296818
UNG	8.00950351985338
C6orf105	3.61584310853274
GSTP1	9.27712689106068
SUV420H1	7.09739563189338
ARHGAP15	3.70315226981424
LTBR	5.97249237780874
TDRKH	3.51271948853687
PSG4	3.29302562107277
SLC9A3R1	5.85585319933855
NBPF3	9.40941825886388
SLC9A3	3.49318065002646
OSBP	5.96937387297074
PRR5	4.13471051283766
CHMP7	5.07694865198109
ADRA1A	3.02614652076154
ASAH1	7.01031757775941
FKBP4	7.65127323573741
ZNF350	4.97112821430944
DOM3Z	6.02598589379966
GIPR	3.64787141391056
AHI1	4.47602254927564
BST1	4.7912212263753
NCR2	3.62783408667714
NADSYN1	4.50852877016356
UBE2W	5.34643879644997
RGS14	3.78249857703886
KRT15	3.98116021996815
SCN11A	3.83258091918025
GFI1	3.55931348403654
FHL1	5.09138744351084
SMC6	7.14392825861484
GATA1	3.63440106489232
OSGEP	5.88811297842299
ARMC6	4.48588162501963
HK3	3.70480854683401
PSMD5	6.15883939902437
RSU1	6.79519238676375
RPL4	11.8468554075208
MAD2L1	8.65495729560793
RBPMS	4.75080439039666
EIF4A3	10.1468346421553
E4F1	4.74860173598783
DLEC1	3.35571698289298
PRPF3	5.4682091237222
EMR1	3.05569633448449
CHMP2B	7.40375906299346
CAMSAP1	4.47033938291263
RPS21	9.86792571488233
XCR1	3.44342367056486
ARID5A	4.51857164086258
RBM6	6.57925205304131
UBE2N	8.3882787984826
KLF4	5.25622712022487
MGC4172	3.52262606694215
LMO4	6.9931783722468
KLKB1	3.25760767597434
HDAC3	6.23736344717726
HP	4.03626787038073
SCHIP1	6.46058325500943
BTK	4.01378012965757
KRCC1	8.22812920095301
PRND	2.88439376115907
C6orf27	3.88377528851870
PIGL	3.97346089857644
CLCA1	3.70191061037993
C1orf112	5.32938576643752
OLFML2A	5.03107149332595
HUS1	4.51478326873572
SFRS6	7.49305222652247
CXCR7	8.23653819260775
UIMC1	5.67835513273539
FXYD2	3.51814406286520
GOT2	7.96709597360406
ZNF667	4.01508082961724
TFEC	4.10216715208158
ATP7B	4.53211641451580
RAB38	6.01001872190454
POLD2	6.57112883312281
PPM1H	5.79982842811857
DCX	3.22313853479971
NFYC	5.56295554098672
ZNF228	4.51527718399291
KIN	6.83789996415304
PLSCR4	5.65647003582774
HIST1H4I	4.00788548479173
PPARGC1A	3.17349034062905
HIG2	8.4536452906579
KCNK10	4.17187816599972
EXOC1	8.00550359682271
OR6A2	3.79454179553737
ETFA	8.41563746497385
PDAP1	5.98207148570404
C19orf6	3.40469566393848
POLRMT	3.90348241729085
ZNF146	7.94745814154631
MIA2	3.30938892057889
LY6G6E	3.26720174087084
EIF4E2	8.32342246904137
NENF	4.91543748595707
HOXB5	4.2133685833195
ZNF324	4.27485357964456
CUGBP1	4.50689905461686
ENTPD7	4.18251301832933
TTC13	5.86094667377308
GJB5	3.24398354369695
PRSS22	4.03025592928228
CYP3A5	3.22880739004491
MBOAT5	4.46721011846942
CUL4B	5.19262136563954
CENPJ	3.53817614120532
KIAA0664	5.94945592347086
PITX1	3.45016237167639
PDGFRB	5.52866120725893
RDX	6.38668506677986
CELSR3	4.6958723627676
JUND	7.1986613035986
ITSN1	5.57937970419031
CHRNB1	4.07673618219458
EHBP1L1	3.52567456879237
C19orf2	9.73566901924974
FETUB	3.24833123600698
CAMK2B	3.1702958248129
DCTN1	5.8441840428739
TNKS2	6.51304069890768
MRTO4	6.98622684456256
C1QBP	6.57747562096485
TTC3	7.84288807003318
NDUFB8	8.25156952404538
CADPS2	4.49660122905222
EDG2	4.49083863831212
MYF5	3.38186186820141
SEMA3G	3.96041023431174
IL23A	3.6231338880801
GJA9	3.43994004537476
R3HDM2	6.45188495346771
C5	3.74098476290393
SLC2A10	7.09168153224232
TRIM45	4.91692035066401
TSP50	3.75757658665452
PAQR3	5.38378535890465
ANKRD26	3.61453226285433
