Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
C11orf73	5.97744798716834
AIPL1	3.96867022048612
PTP4A2	8.68621464031716
IL24	3.39463997150984
BDKRB1	3.37126563479751
HPCA	3.37518291161682
MLF1	6.69479177374255
SEC14L1	5.60831134311766
CHFR	6.57315725438927
EMILIN1	3.21800575401269
THADA	6.62007828143166
TAF12	5.07347019265465
NDUFS4	8.35304153250955
ID1	6.91274500630815
PIK3CB	5.50651775992305
COL18A1	8.41336593480702
PDZD3	3.37165542223856
TBC1D17	4.21160346084026
COX8A	10.3854162647134
CDCA4	7.32818211795549
C2orf44	4.3164597028634
C9orf16	8.13538082269652
ERBB2IP	7.13344515919562
EMX2	6.92823317318532
FUS	6.6745098567248
NIPSNAP3B	4.11932950820151
TF	3.20042017021984
CXorf56	5.94078879245168
CLCN4	3.53946389456349
PWP2	6.06138042255367
MMP15	5.26740650989895
MTMR14	6.8820375433817
NPR1	7.54002454497404
DNAL4	5.55371377279959
ELAC2	5.03025862389449
ASS1	10.8767534582104
IPP	6.5635434457943
TMEM59	9.07594554587084
POLR2J	9.17979051437224
SEC23IP	4.60675083987427
RGS4	3.68104705885785
UQCRC1	10.2711053487081
SNX6	7.62666631972763
DDX18	6.36545861542228
POLG	4.83883517843505
ADAM23	3.85497878075450
ZNHIT2	5.30403694909889
TFR2	3.67278280577496
NCDN	4.30447958604908
RAG1	3.27892595480291
POMT1	5.37320714622204
CYP1A1	3.44389875466822
SNAPC1	4.19976429061722
GNA11	6.52632753636532
CCDC52	3.14536982025342
CAPN1	7.5199041122763
DDHD2	7.6531874175394
UPF3A	6.6315367820756
LAGE3	6.19392099030328
GNRHR	3.17574262701750
UNC13B	5.8583807934594
TTLL4	4.48566534738867
PPBP	2.92190266511444
HTR3A	4.83256797842706
SDC2	3.83066993584296
ANKRD49	7.1697008715301
BTF3	10.2015601011594
COX7A2	10.8446084647752
SARS	8.58636256252086
C13orf18	3.49331297170756
CACNB1	4.05834307440786
QKI	5.45093320827663
SETMAR	5.90697543788819
LAMB4	3.27432283778850
MAN2B1	7.08067913702865
EML3	5.68932162209516
ACADL	3.21091862000242
OFD1	9.14049779052574
CGA	3.72944648968842
EIF3EIP	10.1646329173123
PEX16	5.79014502586012
GNG12	7.65959082556824
HABP4	4.84233969618714
CNTN2	3.59633468713231
ASNSD1	6.09298838802335
FUT4	3.73407180311431
DBH	3.54944368576041
CD53	7.84570921496887
HIST1H2BJ	3.66979153727571
TFAP2B	3.1997031937483
ACF	3.78137362216363
TMEM11	4.25058149673258
CDH8	3.3835976469309
