Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F01_586114
Composite Element REF	Signal
C11orf73	6.82226720090526
AIPL1	3.93262171289552
PTP4A2	9.35883548117342
IL24	3.28186269327845
BDKRB1	3.29467346882657
HPCA	3.36229340920894
MLF1	6.68005556450963
SEC14L1	6.34648329904835
CHFR	5.91187470149078
EMILIN1	3.48064218203208
THADA	7.22651861942225
TAF12	6.76935905905245
NDUFS4	9.09991873124562
ID1	7.63978163454286
PIK3CB	5.1147496796867
COL18A1	6.90107679862562
PDZD3	3.11779019586814
TBC1D17	5.4185112330341
COX8A	10.7310069713799
CDCA4	6.41489384361773
C2orf44	5.66294821263514
C9orf16	9.47155788547909
ERBB2IP	8.6392714774507
EMX2	7.7367814577897
FUS	6.0537333568395
NIPSNAP3B	3.73115544642157
TF	3.28921557756072
CXorf56	5.62056764045087
CLCN4	3.51489424590698
PWP2	5.61688520876362
MMP15	5.39831013471775
MTMR14	6.23834277868193
NPR1	4.55736939130946
DNAL4	5.53144964212432
ELAC2	4.65674344141219
ASS1	12.1431650450290
IPP	6.3763744928563
TMEM59	9.23975889863836
POLR2J	8.74315437380417
SEC23IP	6.22598464316315
RGS4	4.10939517393512
UQCRC1	9.68929687809767
SNX6	7.6318978615804
DDX18	7.62831637201623
POLG	5.06464031790463
ADAM23	3.81484225644706
ZNHIT2	4.80351302558378
TFR2	3.29640010318934
NCDN	4.16096483775521
RAG1	3.38784576480929
POMT1	6.20995528172342
CYP1A1	3.19981250739782
SNAPC1	5.26134474778661
GNA11	5.46735355114411
CCDC52	2.96806495771383
CAPN1	7.06041854789369
DDHD2	7.65933069983506
UPF3A	5.92846958042215
LAGE3	7.00845324309715
GNRHR	3.06957416194188
UNC13B	7.3896333084381
TTLL4	5.64366135467224
PPBP	2.76067944661843
HTR3A	6.82814161831172
SDC2	4.81995861298324
ANKRD49	6.74247145251438
BTF3	10.9375783845331
COX7A2	11.1460720324286
SARS	8.45616011671301
C13orf18	5.33888433478267
CACNB1	3.88758580736459
QKI	6.37090380398463
SETMAR	5.92099972011185
LAMB4	3.45943649668242
MAN2B1	8.10662347956367
EML3	5.55163305202522
ACADL	3.15160515670613
OFD1	7.46628660803852
CGA	3.427283556079
EIF3EIP	10.4426119859142
PEX16	6.03077135068087
GNG12	7.22491918764036
HABP4	5.11324458473389
CNTN2	3.31788814343315
ASNSD1	7.86188997235147
FUT4	4.64730152171026
DBH	3.53127519549511
CD53	8.7234887814368
HIST1H2BJ	3.86044310786815
TFAP2B	3.308164298206
ACF	3.81254544450914
TMEM11	6.426730424557
CDH8	3.43075662881284
C3orf32	3.26717901871971
AGPS	5.57152178408885
C4orf18	3.17764992287915
PCCB	8.29011238487944
IPO13	5.7014194219389
PECI	8.5512246694028
UNG	7.46399014207565
C6orf105	3.53271868340907
GSTP1	8.91175888322747
SUV420H1	7.39904096147588
ARHGAP15	5.95677033506283
LTBR	6.25791780261731
TDRKH	4.00037366990435
PSG4	3.0932021860481
SLC9A3R1	6.5692657502016
NBPF3	9.51562104364356
SLC9A3	3.4777391239001
OSBP	6.52949811312109
PRR5	4.5071115675391
CHMP7	6.8919347793511
ADRA1A	2.93606259076188
ASAH1	7.72828529720278
FKBP4	6.62330204018544
ZNF350	4.64416534017936
DOM3Z	6.6505173473832
GIPR	3.48105132343033
