Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D05_452028
Composite Element REF	Signal
C11orf73	6.75364594127408
AIPL1	3.71790260868229
PTP4A2	9.5117337157617
IL24	3.30675414001501
BDKRB1	3.32360896805992
HPCA	3.93577150405181
MLF1	6.19266846739331
SEC14L1	6.43751601196955
CHFR	5.05063451798645
EMILIN1	4.18951723791531
THADA	6.12638797528388
TAF12	4.74501311807276
NDUFS4	8.28392851881456
ID1	5.96927356043051
PIK3CB	3.38268998395649
COL18A1	8.19219768170333
PDZD3	3.21467589262117
TBC1D17	4.22440743636784
COX8A	9.79681377105532
CDCA4	5.63679552142101
C2orf44	4.1824643714372
C9orf16	8.33485088217281
ERBB2IP	8.00247631552782
EMX2	8.38238734666695
FUS	6.74652815976921
NIPSNAP3B	4.01678482879664
TF	3.57197802848383
CXorf56	6.02304872478202
CLCN4	3.63233230257873
PWP2	6.44920419839269
MMP15	4.24527894056872
MTMR14	6.46145671514772
NPR1	5.86371168387242
DNAL4	5.08518909892135
ELAC2	4.51774807098376
ASS1	10.7322257137640
IPP	5.39591637607951
TMEM59	10.5842194590103
POLR2J	8.78282168809106
SEC23IP	6.00786684074532
RGS4	6.18554588865977
UQCRC1	7.93349103153582
SNX6	7.50690087006482
DDX18	7.09400646641758
POLG	4.99706919242659
ADAM23	4.11216394033351
ZNHIT2	5.24737677419868
TFR2	3.29616117119612
NCDN	4.70050914454378
RAG1	3.27810811564112
POMT1	5.70300669513478
CYP1A1	3.47166901331412
SNAPC1	5.73906033482118
GNA11	5.49840174169226
CCDC52	2.69976803570170
CAPN1	7.48669154901876
DDHD2	6.77886329362589
UPF3A	5.45625877342645
LAGE3	6.28072107900772
GNRHR	3.12273417159612
UNC13B	5.28637783312719
TTLL4	4.0558553420637
PPBP	2.77321347300988
HTR3A	3.22629723144447
SDC2	6.1113122473578
ANKRD49	7.96476318847766
BTF3	9.85290196923198
COX7A2	10.3228866140743
SARS	8.80973624210388
C13orf18	4.46514337931904
CACNB1	3.80009503726576
QKI	5.76245361656947
SETMAR	6.01595553298341
LAMB4	3.13953620808815
MAN2B1	6.51010061448796
EML3	6.07014666453296
ACADL	3.14788109809294
OFD1	7.41021220478236
CGA	3.42992935836612
EIF3EIP	10.0450077063426
PEX16	5.56724356956734
GNG12	7.82580331755487
HABP4	4.7372120586477
CNTN2	3.22757305354528
ASNSD1	7.25575862284428
FUT4	4.55363855051243
DBH	3.48271565281245
CD53	8.03577286418472
HIST1H2BJ	3.10404392364473
TFAP2B	3.11657986620026
ACF	3.44124338499576
TMEM11	5.63073193671635
CDH8	3.30890780406394
C3orf32	3.68440952022445
AGPS	4.46862541003987
C4orf18	3.34192405739500
PCCB	6.74428446602862
IPO13	4.56585944414912
PECI	6.05709106571874
UNG	5.82608525076978
C6orf105	3.73206026466263
GSTP1	9.36912298200786
SUV420H1	7.97638240816163
ARHGAP15	4.50235145657126
LTBR	6.74990471037474
TDRKH	3.2382415948755
PSG4	3.54668666780928
SLC9A3R1	7.03475531209713
NBPF3	9.01639498140481
SLC9A3	3.52241331282845
OSBP	6.90992100118263
PRR5	4.54151531871971
CHMP7	5.30811262461317
ADRA1A	3.06791583439291
ASAH1	7.04095286696831
FKBP4	7.34451372628498
ZNF350	4.02529724161609
DOM3Z	4.71122174608508
GIPR	3.72757182632486
AHI1	4.17550660742369
BST1	7.13261645186829
NCR2	3.57575861780652
NADSYN1	5.23917909577386
UBE2W	6.79549185948022
RGS14	3.78718798052817
KRT15	3.66341814299423
SCN11A	3.6684050365057
GFI1	3.63653899656971
FHL1	8.23288638038461
SMC6	6.07675151106992
GATA1	3.60624163214815
OSGEP	5.29378286028917
ARMC6	4.71843535891668
HK3	3.62276010932132
PSMD5	7.61967404908802
RSU1	7.70263571965776
RPL4	11.6947578793965
MAD2L1	7.09072076032546
RBPMS	4.85474789676746
EIF4A3	9.18189761278638
E4F1	5.13587223757173
DLEC1	3.39872308037092
PRPF3	6.50949486764261
EMR1	3.19004799651459
CHMP2B	7.04172682049135
CAMSAP1	4.45726513768978
RPS21	8.91145974205917
XCR1	3.29087916737318
ARID5A	4.3130362128903
RBM6	5.2681398960965
UBE2N	6.52569308575443
KLF4	4.49096823799498
MGC4172	4.34720583454826
LMO4	5.97655861722876
KLKB1	3.46355355838311
HDAC3	6.81061987794085
HP	7.6016002211161
SCHIP1	6.39837955438444
BTK	4.22226500113434
KRCC1	8.61210818901682
PRND	3.15148655428357
C6orf27	3.67688400497729
PIGL	3.61994399753538
CLCA1	3.57593734413791
C1orf112	3.80816055863608
OLFML2A	5.8881488473098
HUS1	4.75663643518674
SFRS6	6.87059744478603
CXCR7	5.36060050878111
UIMC1	5.89216896242879
FXYD2	3.71981378358084
GOT2	7.13744101451956
ZNF667	3.42017085200825
TFEC	4.86920975697279
ATP7B	3.58441090425281
RAB38	5.59699351865605
POLD2	6.51586463148199
PPM1H	4.51377144215711
DCX	3.26756596097440
NFYC	5.73256690556218
ZNF228	3.2709240527192
KIN	4.96634262216058
PLSCR4	6.46813055158747
HIST1H4I	3.93036260354899
PPARGC1A	3.07603773024762
HIG2	6.50035065621583
KCNK10	4.0845597687872
EXOC1	8.25246967697503
OR6A2	3.38651444027591
ETFA	8.2922018335459
PDAP1	5.40476321812683
C19orf6	3.82475387890872
POLRMT	4.00361793033339
ZNF146	7.19341301253577
MIA2	3.28793285271577
LY6G6E	3.20007288011294
EIF4E2	7.59337995200222
NENF	5.01932093890161
HOXB5	3.8190963745278
ZNF324	3.61383430613916
CUGBP1	4.07470611391003
ENTPD7	3.89612273803423
TTC13	5.61423602079902
GJB5	4.15227586653736
PRSS22	3.83506744465856
CYP3A5	3.1934461011989
MBOAT5	4.37662673265105
CUL4B	6.07483511801550
CENPJ	3.38818510600889
KIAA0664	6.27946818401268
PITX1	3.32385205402041
PDGFRB	5.9062498523652
RDX	5.1502471487007
CELSR3	3.77793220238786
JUND	5.7423589887257
ITSN1	4.55532308195822
CHRNB1	3.63531038579077
EHBP1L1	4.56490619328361
C19orf2	5.88772812163708
FETUB	3.07430335092562
CAMK2B	3.37856581000056
DCTN1	5.71298976657824
TNKS2	6.99970338542906
MRTO4	6.3873310808164
C1QBP	5.68514711375564
TTC3	7.96936895412964
NDUFB8	8.52849226549047
CADPS2	5.79865017461266
EDG2	4.57782168016453
MYF5	3.26924469957632
SEMA3G	3.57209707030225
IL23A	3.73332829211913
GJA9	3.51031893503865
R3HDM2	7.11674626149642
C5	4.18842570438123
SLC2A10	6.32069217987454
TRIM45	4.73306716048874
TSP50	3.75123552673367
PAQR3	4.45163509781076
ANKRD26	3.62727982698744
TCP1	8.21692698877981
TMED7	6.67103802287572
CMA1	3.08841025567235
PTCRA	4.32259138266268
HCRTR1	3.46776200111586
FST	5.62252051389449
PAWR	3.83359158104627
LDLR	3.96498240806708
ASTN2	7.436560328456
SCRN1	6.83424920733221
GPATCH8	6.00059253051885
KIF4A	5.11880676658111
TANC2	3.71176736445669
ZMYM5	3.35476806719971
PGM1	9.35461958300387
ZNF586	4.62970557410288
POLR3G	3.2019523378844
CPD	4.91904388450024
SNCAIP	5.25515149586636
DCT	3.33466078490936
HLA-DOA	3.53133707529473
TANK	8.51448207074324
RCAN1	5.01056361774101
UPK1B	9.79205459337294
DNAJB4	5.69902686377575
UGT1A8	2.8951831642658
LIMD2	3.49672665554221
HIST1H4L	3.40723223051977
PECR	4.01030442940377
HSPA2	4.79722840775825
SERP1	9.4622948195467
TACR2	3.52965347484476
NUP85	6.97572291907442
CD177	3.22770759420300
GPR135	3.22790732575102
PIGG	7.63564937924926
LGR5	3.11463912747833
JAK2	3.72419469608319
DPYSL4	3.49738639728344
TM9SF4	5.75731380483205
PTHR1	3.30546201101296
SIRPG	3.30062891938777
ZNF264	5.13458847667042
BICD1	4.57636047612764
RAB5A	7.94653072001875
FLJ13224	3.23088752898436
METTL5	9.10844533261903
HERC6	6.99590366865999
CASP1	6.95013794178641
USP9Y	2.70262420109103
LRP1B	2.82485126462369
XAF1	7.35203453267279
PLA2G4C	4.17485986817832
APOA2	3.12907355635421
SPAG6	3.0074519911544
KALRN	3.23538379567457
SECTM1	6.91695505500978
THOC7	7.81893133276268
IFNAR1	4.38965654453048
TCTA	7.17593217608733
NY-REN-7	3.50727516664015
TALDO1	9.05039422182754
B2M	12.041676361548
LPPR4	5.88031788342798
SQLE	6.36784236510696
SEPHS1	6.07264342153808
EIF5A	6.0224448591987
FAM49A	4.6877348010898
YTHDC2	3.74771768327320
EHD2	4.88559258371209
NCF1	4.10944395682159
SPG7	5.6790330968511
ZNF614	3.32261228598888
HOXA5	4.66236620781028
NUP133	6.9968117048663
FGF12	3.61444385720203
SLMO2	6.9781671029778
INPP5B	4.69360595461599
PPID	6.54390077819197
