Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H10_298006
Composite Element REF	Signal
ACADL	3.24034676726289
OFD1	7.45081317361887
CGA	3.15169030909021
EIF3EIP	10.3642686689392
PEX16	5.04241819756445
GNG12	8.0128594470416
HABP4	4.8076394024503
CNTN2	3.2526859303811
ASNSD1	6.88764037367323
FUT4	3.9896643139538
DBH	3.57214079748306
CD53	7.99247742060314
HIST1H2BJ	3.58581035531431
TFAP2B	3.17238615114321
ACF	3.47416911015004
TMEM11	5.91916657709312
CDH8	3.18138234982155
C3orf32	4.04855272674136
AGPS	4.4475531974561
C4orf18	3.23912343409552
PCCB	8.33548658509558
IPO13	4.94593270056681
PECI	7.40478361367356
UNG	7.84007676921063
C6orf105	3.9151969270208
GSTP1	8.86913754110027
SUV420H1	7.70460499313913
ARHGAP15	3.90893102177983
LTBR	7.1567032646418
TDRKH	3.4961095349488
PSG4	3.52910355735923
SLC9A3R1	6.1612212427026
NBPF3	8.57145292412844
SLC9A3	3.81361867145263
OSBP	6.6151396103696
PRR5	4.60086604159357
CHMP7	5.46682776900423
ADRA1A	3.14965270520692
ASAH1	6.55820055867867
FKBP4	6.636507909606
ZNF350	4.36862568400939
DOM3Z	5.66783259067147
GIPR	3.60800908158135
AHI1	4.39841530681935
BST1	5.20379306451751
NCR2	3.36769828619077
NADSYN1	5.19341632143623
UBE2W	6.050351705002
RGS14	4.12516733661822
KRT15	4.18242784730301
SCN11A	3.61962905276891
GFI1	3.60900397028179
FHL1	4.7611618301964
SMC6	6.08634634309634
GATA1	3.38985147666747
OSGEP	4.73554207963203
ARMC6	5.23262410572407
HK3	3.92755862126727
PSMD5	7.6728090213363
RSU1	7.15035392107276
RPL4	12.1621581866862
MAD2L1	7.64698118101877
RBPMS	4.78646536996927
EIF4A3	9.7760785595237
E4F1	5.27943063419279
DLEC1	3.62262473441744
PRPF3	5.86078066892664
EMR1	3.24321946336944
CHMP2B	7.27270466903396
CAMSAP1	4.75861768025683
RPS21	9.59556094654736
XCR1	3.34104178765138
ARID5A	4.81250412047060
RBM6	5.97178542213452
UBE2N	7.95778621108104
KLF4	6.77175129385265
MGC4172	4.19888682314156
LMO4	6.75287561005797
KLKB1	3.46995090850837
HDAC3	6.01119363708951
HP	6.25124647007071
SCHIP1	6.10936966588675
BTK	4.15013711375064
KRCC1	7.75438660173848
PRND	3.03335662258425
C6orf27	3.86034866376929
PIGL	4.3607605665958
CLCA1	3.47174032410104
C1orf112	4.09135257500993
OLFML2A	6.86743032984862
HUS1	5.11115589251593
SFRS6	7.00766755675809
CXCR7	6.0928363238431
UIMC1	6.34223448800335
FXYD2	3.56395847799854
GOT2	7.24624697055705
ZNF667	3.39300021247627
TFEC	3.99747248000251
ATP7B	3.9416251788613
RAB38	4.65851299642733
POLD2	6.95602770584615
PPM1H	4.71477941025571
DCX	3.20220679358395
NFYC	5.3960379293327
ZNF228	3.46176456780886
KIN	4.35290162367031
PLSCR4	5.20433083823884
HIST1H4I	4.26834053382937
PPARGC1A	3.28415832758584
HIG2	7.36850139932868
KCNK10	3.96609684646738
EXOC1	7.97552456748845
OR6A2	3.69687936233272
ETFA	8.8900868568559
PDAP1	4.5762511289337
C19orf6	3.44424791823184
POLRMT	4.39881661277755
ZNF146	7.59774978604096
MIA2	3.13671910091684
LY6G6E	3.53151115749415
EIF4E2	8.0629735072601
NENF	5.19554943325594
HOXB5	3.88525603055879
ZNF324	4.10965692422107
CUGBP1	5.44622689471568
ENTPD7	4.31395403330512
TTC13	6.1738466800903
GJB5	3.20407033713533
PRSS22	4.81007145773691
CYP3A5	3.59501782867929
MBOAT5	4.64502959723505
CUL4B	5.14328044043115
CENPJ	3.14856486733898
KIAA0664	5.94947124125932
PITX1	3.33299670585775
PDGFRB	5.65404891137955
RDX	5.55423155190111
CELSR3	3.95389341159578
JUND	6.9229283256007
ITSN1	4.44190911007183
CHRNB1	3.30727058435773
EHBP1L1	4.27733266869072
C19orf2	6.73945430549302
FETUB	3.03000547678798
CAMK2B	3.19615213860022
DCTN1	6.32854619404152
TNKS2	6.15000924569585
MRTO4	6.71800915355792
C1QBP	5.82220426893923
TTC3	6.58602530589876
NDUFB8	8.29355429900299
CADPS2	3.99130800680051
EDG2	5.17522409449903
MYF5	3.18489213682774
SEMA3G	3.96271626641201
IL23A	4.17067526217691
GJA9	3.82204036059362
R3HDM2	7.15866715786374
C5	3.97290346961287
SLC2A10	5.9907769912488
TRIM45	4.7619103065517
TSP50	3.76051194983826
PAQR3	4.24793518928043
ANKRD26	3.43993231179645
TCP1	8.19330441622712
TMED7	6.73370190542268
CMA1	3.15272659779438
PTCRA	4.34500423902023
HCRTR1	3.36025461610373
FST	3.92160071724109
PAWR	3.84326868272336
LDLR	5.76469354647297
ASTN2	4.30405282955085
SCRN1	7.35742072135127
GPATCH8	5.9298720448618
KIF4A	5.99929719372229
TANC2	3.62875723159221
ZMYM5	3.28553866961819
PGM1	9.33458577551075
ZNF586	4.89196647552576
POLR3G	3.4460249151929
CPD	5.41859101043548
SNCAIP	4.80559520384137
DCT	3.32653893465846
HLA-DOA	3.52521180648982
TANK	6.09344867551727
RCAN1	4.56986279175684
UPK1B	9.5238598291653
DNAJB4	4.36327536068804
UGT1A8	3.32385301583941
LIMD2	4.00915151877427
HIST1H4L	3.36256912392522
PECR	4.57465750301412
HSPA2	6.15202607014424
SERP1	9.20356368081721
TACR2	3.10861553990279
NUP85	7.43559472864939
CD177	3.53459629050570
GPR135	3.23799195836327
PIGG	6.02083077141777
LGR5	3.00768226879178
JAK2	3.54784462422298
DPYSL4	3.21736477509147
TM9SF4	6.38426863120333
PTHR1	3.29958045743256
SIRPG	3.2276332752598
ZNF264	4.22702403874338
BICD1	5.82889952359303
RAB5A	8.3446586493924
FLJ13224	3.25908622004793
METTL5	9.5841042813887
HERC6	7.5647121420206
CASP1	5.50089158821463
USP9Y	2.85664484233874
LRP1B	2.90371795096354
XAF1	6.18986195166439
PLA2G4C	4.27702924285496
APOA2	3.13308779440959
SPAG6	3.02808159005411
KALRN	3.76948426859242
SECTM1	5.81576996330277
THOC7	8.86187274954647
IFNAR1	3.89706576373482
TCTA	5.93494215130227
NY-REN-7	3.43074540091804
TALDO1	10.2546195095034
B2M	12.0287200236757
LPPR4	4.11497536414456
SQLE	6.85659754406316
SEPHS1	6.82659736287169
EIF5A	5.20668083434032
FAM49A	4.76855265512545
YTHDC2	4.29583043859313
EHD2	4.88078093756699
NCF1	4.38499922864822
SPG7	5.35933938229409
ZNF614	3.41707937951124
HOXA5	4.47466338717667
NUP133	7.26687959594266
FGF12	3.91302397024104
SLMO2	6.57803137262062
INPP5B	4.30515094271143
PPID	6.72654508019143
SNTA1	4.51667978019449
IL20RA	3.43088765698852
UBE2J1	5.74731459088756
CACNG2	2.99828646554731
GCM1	3.30023398480593
ELF1	6.44464981944414
TLR5	4.83640455519135
TCFL5	5.37815988908862
C1orf107	5.6642167928539
C19orf22	7.34454040948323
SAFB2	6.06708094810206
MAP3K7IP1	4.08905149060345
NCK2	7.97944115768641
OXA1L	8.59725205596759
KIAA0652	5.79902692110853
KLRG1	3.63615373644558
FRAG1	6.82567979676367
ZSCAN12	3.10401672061272
PSMD12	7.40753151643493
E2F4	5.06512749211113
CLEC4M	3.68169963531505
KIAA0999	4.66330857504433
CLDN10	10.1482334209496
MGC13053	4.14178706224953
TAC1	2.97146681064711
GYPA	3.3218032988785
HPCAL4	3.11788592602846
TRAIP	3.71619137601570
MEX3D	4.24072321519049
KIAA0232	6.25374262274864
ERCC8	4.84557283952156
NFAT5	4.36043828981528
GPX4	9.92590399218425
CSPG4LYP1	3.23957493115870
KIAA0368	6.11231986776832
FBXO3	5.22831566133169
DVL1	5.80510855481389
CMKLR1	3.88843418691950
GPR157	3.81629991145849
TYMS	7.81930915598028
OR52A1	3.05869500101426
PEF1	7.54880932910145
ZNF750	3.43180694359637
ALG9	6.6047510426204
MCM5	6.19279471658583
SDK2	3.46524640666956
BAIAP3	3.81470166052463
RABGGTB	6.05538058382518
KCNK7	3.22496671816247
PTP4A3	8.11876922831279
ANKRD40	3.92892068902626
CALCOCO2	7.88644222888416
TMSL8	4.19381318404178
SNCA	4.28378810134027
ZNF551	3.295331885076
HBQ1	3.39060194917070
ARHGAP26	3.96785675754201
GEMIN6	6.92353142152841
HRAS	6.73393882872942
KLRC4	2.82071634919481
BSDC1	6.14331999354611
DSC1	3.64299651574976
RNF43	5.71163473358456
NDUFAF1	6.95677981598146
MAP2K4	4.96849796706974
FOLR2	5.04977561138708
LYZL6	3.61386891980581
EPB41L3	4.17245345186097
TEKT2	3.48716278254223
CDKN2B	3.67839661480892
WSB1	5.4248755541432
ZNF480	3.55575078145398
MAP3K6	4.74889660690211
PROS1	6.40819755484491
PSMB8	8.86810654081838
HN1	8.72914201352538
MAS1	3.27034837246623
APOL1	6.16207011464977
CSHL1	3.32285980235096
ZBTB7C	2.96022585405907
AHCTF1	5.62334245629587
SAE2	8.03348030344331
ITGA2	3.98683052491882
AP2S1	8.93913483518435
P15RS	6.86503205715607
MME	3.91952704559096
VAT1	7.58894378940163
MAST4	6.04209451598876
TUFM	9.94797190977048
KRT33B	3.45641808914734
THEG	3.85539690241835
KCTD2	5.0609848027005
WDR26	9.25252150567798
MFI2	3.56787149825855
KRT34	3.04755446901
NR4A3	4.48510442195372
SGSM3	4.529078171491
ARSA	4.63476275750041
TOMM22	5.31484818045613
SOCS3	3.84884401632760
UNKL	4.06676357443944
POP4	8.04822326660423
BHLHB3	8.74114857441097
MALL	8.32960776342364
SOX15	3.12315869666095
CCNA2	6.08408268303933
PARK2	3.12588354672932
GPR124	3.86405953624801
TMEM132A	5.6498899693306
CGRRF1	5.91151341284318
RUVBL2	7.69185616569728
MCAT	6.19638840726491
WNT10B	3.60503600930078
ISCA1	6.87921518462274
RPAP1	5.0626545699341
C12orf48	4.90817681920152
RAI16	4.72170793426868
RPL27	9.35165908509553
EPN1	3.9360831749672
MAGI1	2.83919484797546
GBX2	3.28322346819284
SLC35A1	7.27534561744586
GAL	3.57559752591193
SLC14A2	3.39699091782095
RDH11	6.97989064788765
ZNF518	3.7738639949874
PCYT1B	3.33406278343517
AUH	7.66433204330399
EIF3H	11.4280344981560
KIF1B	6.23050454763963
MBD2	4.58402546431081
AMOTL2	8.53537458355747
C6orf120	5.37231085722512
PIGT	8.12835153343627
PSRC1	5.24574273031988
PLA2G10	4.61355174664641
ALAS1	7.74279162817879
FOXO1	7.09321314919536
C17orf62	7.5781363226193
KIF5C	5.15838363926031
DUSP10	5.65262093463816
CRLF3	6.88140648317216
CLCNKB	3.29165074120509
PSMA5	9.70167767361058
FARS2	5.77063486014179
CCDC28A	6.25475818212579
AMPD3	5.10829552721484
PIAS1	7.48302060246969
ADCYAP1R1	3.70628058048066
TMEM134	7.36285949715425
CDH20	3.09728165179623
FBXO7	7.67428700242578
FLJ14213	3.73757301219006
ZNF3	5.11470393497276
LRRFIP1	6.41402889850948
TMEM49	9.7071913330864
CNOT2	7.31561851430851
CBX2	3.00686346994347
ZC3H14	6.09042679872619
ALDH5A1	6.41323524272501
HNT	3.89132073709459
SERPINA4	3.16188426962215
FLJ20920	7.49208666807931
CRTAP	5.04073486169374
DDX50	7.93887056424893
STYXL1	7.87031278870783
TK2	4.55281330840789
BLVRB	6.98582986628095
STMN1	6.7876898766618
GUCA2A	3.27401650249035
DPP6	2.94879585729244
GALNT10	3.91273495748482
STK39	5.23790241698626
MMP24	4.5429274723481
CKS2	10.1121968774303
RHO	3.67698168222103
BANF1	10.0696649516936
CR1	2.98960940242724
RPS6KA2	5.0825291554335
HMBS	5.9683358894644
C20orf112	3.70445597658161
SLC25A24	6.7769599616448
MRPL22	8.78465371438782
SLC25A15	6.15619466504886
GADD45B	6.07124220796663
TDP1	5.60778462919164
ZNF287	3.21721565563982
DAAM2	6.66248356200937
C11orf57	5.62267041928280
RFK	7.43107059171096
ZFYVE9	4.02701521786264
TCTN3	6.45420564964357
STCH	5.0233152797113
LOC283871	3.53891581059629
NDUFB3	8.12677535625881
DEFB4	6.43408757990367
FPR1	4.4746117763822
FMNL1	4.61981339445705
SEPT7	9.5109470261064
PTCD2	4.15029828884895
GNLY	4.67811545906153
GRAMD1C	4.43068071123123
ZNF165	6.19523957415302
TR2IT1	4.06276703755524
ARMCX3	6.95336398498695
NDE1	5.46414536493386
MAGEF1	7.54743528532807
ITGA10	3.5776556328126
ARHGDIB	8.2384879810824
FSHB	3.75897524935255
ANXA2	12.3641907740216
HLCS	3.92605705874795
MCF2L	3.94622022712717
AK1	7.4136648548911
FH	6.2353922689978
LGALS2	3.99114596264907
SYNPO2L	2.70029312855772
KIAA1045	3.29742121047485
C1orf183	4.17572938048885
MAGEA8	3.435458404479
DGCR8	4.85928766113795
GSR	4.18766785896359
NEU2	3.59126220955822
HIST1H4B	3.65410180870297
CACNA1C	3.16991368876137
FAM20B	4.97576944204125
HES2	3.27004375923345
PDCD6	8.30594024337314
INTS7	5.40092098832048
AMPH	3.92551758754404
UCKL1	6.72741550302154
ASB4	3.12323764959928
C10orf97	4.61591953310192
ALDH1L1	3.59178152377023
CCL23	3.55391762657024
OBSL1	5.36537878216794
SLC12A7	7.05865371890252
THAP4	5.17019540926302
RBM4B	5.3952527500242
OGFRL1	3.95760795971621
KIAA0831	5.5219776496774
C12orf11	7.14523499745026
PPP1R15A	5.70411651596786
KIAA0240	5.68755904429695
CD1B	3.30401870029351
FCGR2A	6.38961204117807
MDC1	6.11971498995053
MAN1A1	3.68459935767183
KRT9	3.36095154122151
HTR1A	3.28060923232720
OCEL1	5.9585816538577
ATP11B	5.23457947999163
NLGN4X	3.978849211241
FBXO34	7.65693542713541
ALOX12	3.3643672674519
RB1CC1	6.90566932305069
PCDH12	4.49634229673501
RPE	4.75207116981364
EIF4E	6.48668676226363
CSDC2	4.22749182368973
ABHD5	4.79665269477585
TMBIM1	6.35312730244244
PET112L	4.96704996189593
P2RXL1	3.21567459194284
F2RL2	3.28297400404645
TRMT1	5.06610545427768
IMPG2	3.54059644650856
LRRC32	7.40621694504636
BGLAP	4.9622960823365
HTR4	3.37796217959476
MRAS	4.77993481864033
TRAF6	4.65573062117187
AXL	4.4178961555778
ATP2C2	3.92359489064679
LMNB1	5.20204518502909
TELO2	4.60200014412319
PNPLA3	3.66760610393902
CSNK1E	6.38788953405631
SRP14	10.6674836433869
KCNQ4	3.32166074028384
PIK3C2B	6.39310210540535
C15orf15	8.487109285648
TUBB2B	3.05986345526637
USP15	4.62526136450944
C12orf41	7.37969974567245
CEND1	3.51697258738533
RNF31	4.86665080968745
TCEAL2	3.66637333655297
PTGER2	4.04334090934214
UBN1	6.61431511450521
SLC5A7	3.33990571569478
SLC31A1	6.34385922392125
ADAM29	3.27237278636099
ST7L	4.02708543368875
GFOD1	5.12343059239821
CTNNA1	8.73920478948908
HRBL	3.92480489388422
CBX4	3.51816579903595
NTRK2	3.65837559595000
FOXN3	4.57082747891898
MFGE8	7.81822172081198
PFKFB2	3.76128034622782
TAS2R4	3.24682089672752
SH3TC2	3.11447932008909
IL10	4.45594610748863
PXMP4	6.48393801620076
RNF167	6.11867260633647
PRMT5	7.96872110161658
TSKU	6.99634340438421
ATPIF1	7.99058364163196
ETV3	3.28880497627596
PAK7	3.07486646916964
PDLIM1	8.61069134291464
CEP63	5.57075163842374
WDFY3	4.99439599620444
RNF126	4.81226545588644
DPM1	8.35126237369835
CLIC4	5.37822538927097
ACR	3.67473590874812
KLK7	8.78994779281252
ALOX5AP	7.64693625954811
LRP1	4.79391035332222
TNK1	4.53625990505663
TAS2R9	3.33660121765842
ZNF16	6.62508318169816
POLR1B	4.8112731594959
SLC8A2	3.69309916509845
OLFM4	2.75192268726519
TACC1	4.74735987397025
SAMHD1	5.63209961826807
ATP13A2	4.81374097881975
KRT4	3.84765247974049
PAX6	3.30724056196886
SCG2	4.08369599968999
SLC17A6	3.41711454272731
TUBB4	3.847863288957
PADI4	2.96425245739323
FMO3	3.06067861737521
NLK	3.64995946009076
POU4F3	3.09294049679214
MDM2	3.37801127865784
CAPNS1	9.56091609602456
SDF4	6.20958544225892
ITGBL1	3.1747379818749
TAP2	4.47410571952767
OR2C1	3.29567982577435
KLHDC3	6.55139765937326
EFHD2	6.18868663110966
GALR3	3.77602061048331
NBEA	3.42395978671250
ABCA6	3.12216241312206
ABBA-1	4.13715000918941
GNAI1	4.67020682791932
CLDN3	9.31005702603884
AKT2	3.21020580264384
EGFR	4.05281428562601
VPS4B	7.22120771164475
RBM16	6.77075068533284
GALNT6	7.22721372736654
ZDHHC3	5.38366896453938
SLC25A4	6.38584884351188
CYB5B	5.1965032252683
NDRG1	9.35933938229409
SESN1	4.70254578785338
GBE1	7.66604701470856
MRPL46	6.74035239126566
CLASP1	5.99294481714615
FARP2	4.47578190993552
ACOT11	3.64701995074787
LDHAL6B	2.85742798271982
MAPKAPK3	5.59258056007836
NCAM2	3.14639869254983
AFAP1	4.37955142598318
PRKD2	6.30929370944449
OR2H2	3.17345923108170
ZFP36L1	7.50499969232328
DZIP1	5.15471213005363
GPR161	3.99601749546873
RNF146	5.43250800323
NKX3-1	3.86342802902919
CCNB2	8.39751679090149
ZNF10	4.0340313609993
WDR74	5.44688477316351
FAM134A	8.10320407357057
PCNP	7.96082177866093
PURA	5.06077326641251
DNPEP	7.5096928655282
ERBB2	5.44436470861471
CREB1	5.45942674057568
NEO1	6.7901982333852
DDX3Y	3.48990588705168
RPS3A	12.9446890977302
MXRA7	10.0031855547597
LGALS3	10.6762521703934
GLT8D1	7.47290510524175
TMPRSS3	6.90227730282177
UPB1	3.4712287927002
LAT	3.72821356110255
CLDN14	3.71981994456629
DHX38	4.57949019561441
KCNA3	3.35144975692965
BTBD1	8.39922706615867
TARS2	5.32520566041418
SKIV2L2	7.83262118928895
ABCF1	8.78260735517621
CDT1	3.22068032587474
ZHX2	7.64092086019244
FCF1	4.45505851428372
LRRC49	4.39701560301543
GUCY1B2	3.79904708529480
CD28	3.24034545694775
SMARCA4	6.9221978338754
SEPT2	8.31984560252336
SOHLH2	3.22783727599614
MCOLN3	3.49075064095665
LRP8	5.78114636421608
TAGLN3	3.47481573345301
MASP2	3.6110920194049
GPATCH3	4.47260395888272
TTRAP	8.45313333183797
AGL	6.02866303818034
NFE2L3	4.7791643709418
PSD4	4.05956891376541
PALMD	5.54524083100942
CCNB1IP1	6.88579075491264
TMEM43	8.52805771885996
OBFC1	5.91349929039153
STAT5B	4.40193896500615
C14orf79	4.23538116601241
ENPEP	4.34532551436231
SSB	8.57805579635353
SCT	3.24700510196311
TIMM23	6.66759917453006
SKI	3.65660761789949
SLC22A13	3.03461427844224
AKAP3	3.371680943527
OAS2	5.7822946959201
KIAA0423	5.77240881851596
SEC61G	10.0154038221251
CAPN11	2.97475162822323
TMEM50B	5.92150973919743
DEGS1	6.22870568200281
ARHGEF4	3.82321114272951
DBNDD1	4.03054270883235
TBL1XR1	5.28109067768984
FAIM	5.35455219518873
SP140	3.46037077593509
G6PD	5.12278187372206
NUDC	6.5152923453827
GABRP	3.74206236712225
SCARA3	5.39228754662607
TACSTD2	5.86054985919997
EIF3J	7.37231019290408
