Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
FBXO11	4.83550294145594
GYPC	5.7715233209563
PLIN	3.68336903713834
RFXAP	3.6334092407559
C6orf15	4.07632044665281
RNF4	6.10211652021191
F8A1	7.85669308878126
PPP1R3D	4.01216484008483
GRB2	5.65318271508279
TPM3	3.51824109252082
SYT13	4.16223242124264
EPB42	3.71407170316701
RP5-1077B9.4	5.57179464553018
EIF1	10.4538743321468
CETN3	7.44371516338905
FPGT	6.91969906389304
PRY	4.21059361540262
NTHL1	6.75576554394402
POLR2B	8.5065192126655
RPS28	12.3713895486352
GDF10	3.16432893002513
COQ9	8.28474645434445
P2RX3	3.02946518001917
GCC2	6.50489631407365
RARRES3	8.73469856161826
PLXNA1	5.22647481493542
WBP4	3.98181635796287
KIAA0100	4.3936885701388
PMF1	7.91249394746151
HS2ST1	4.7860002515709
CRELD2	5.96543299003296
C8G	2.93174032997756
CD82	5.47128387414416
PMM1	6.61795154708965
CBLL1	3.48537348699347
LIM2	3.60405422034544
VAX2	3.50268372307929
SETDB1	5.67535591540524
LRAP	3.00542409852356
GCLM	5.79542467676787
CPEB3	3.37316744395947
PPM1A	5.00305118310102
INTS1	4.17953085889223
MMP16	3.27017396929549
CAMTA1	4.44090375575309
SAMSN1	5.32529104225493
DRD3	3.06776684745015
GMPPA	5.3799703038998
C11orf73	7.8228379375385
AIPL1	3.94457972658404
PTP4A2	8.32369719279873
IL24	3.57641699199804
BDKRB1	3.44435687232649
HPCA	3.85548074033527
MLF1	5.57032106673859
SEC14L1	4.08938210443436
CHFR	3.88469614500750
EMILIN1	3.43910051998855
THADA	5.96942771561698
TAF12	6.4156209614096
NDUFS4	10.8550401090457
ID1	4.41719452619169
PIK3CB	3.40500482837234
COL18A1	6.48014920972141
PDZD3	3.51592621359734
TBC1D17	5.01422211436332
COX8A	10.1165562298494
CDCA4	6.21126524060552
C2orf44	4.0173754347394
C9orf16	7.68069957687289
ERBB2IP	6.72094810993234
EMX2	6.10054091727687
FUS	4.96503632675248
NIPSNAP3B	3.81939424028301
TF	3.44629947420011
CXorf56	5.27837033406135
CLCN4	3.76892149703507
PWP2	5.7662036442519
MMP15	4.42834969295706
MTMR14	6.20870187534993
NPR1	5.74466254062815
DNAL4	4.99187618548033
ELAC2	4.42654936991174
ASS1	10.3381230622267
IPP	6.17505364620001
TMEM59	10.5399031818688
POLR2J	9.19103827398397
SEC23IP	5.3732825642335
RGS4	4.67365521520575
UQCRC1	9.34677165344034
SNX6	7.76800224519528
DDX18	7.03800366234965
POLG	4.72546361974878
