Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B03
Composite Element REF	Signal
MAP1LC3C	3.60864264107482
TMEM180	3.38018623824804
CRYGC	3.61286984679412
SLK	6.46468658179326
POU3F1	3.23345935488109
C20orf32	3.6713613820523
USP52	7.35807312698256
HIGD1B	3.83389110061262
BAZ1B	6.52437527947088
USP6NL	5.65098575785568
SLCO2B1	3.6872447429003
ABCD4	4.57029975485079
DIMT1L	5.61615169980274
SLC25A46	6.35737883705927
LARP7	5.86197759728505
TEK	3.7131160832885
CD160	3.36649111008403
TERF2IP	6.77800993329104
PHF20	6.95105370744347
COL1A1	9.19036665941864
KIAA0090	6.70566897986223
GTPBP1	4.24475854099627
GRK5	3.66690541555697
AP1S2	5.97968397304555
RAB33B	3.92552302037905
CA11	5.34889817702277
ALDOC	4.16276578333498
NUDT1	5.59350225603785
ZNF212	5.6952466671752
ACBD3	8.29150123708967
ZNF83	6.6172892141346
PRDM2	5.31122155087029
GDPD5	5.03087707265646
PDCD4	5.8256158490101
CEP350	5.71188570332622
FOXP3	3.33534755327448
SMYD3	7.15416140830011
CST7	4.31602542401561
SELL	3.56702417688647
CIAO1	6.52825449740794
LGI2	4.09200347613373
WDR45	7.05757269797812
ANKRD6	5.84447342192524
LTBP4	4.09079262643957
PSCD3	3.22309919515538
PYY	3.09164166752390
KCNC1	3.00746191472276
SIRT6	4.37680912859719
CCL19	3.7844862823366
ARHGEF9	4.59829676142077
ABR	4.26804206615739
C10orf22	8.00376013984956
STK17A	4.91686688065482
FOXE1	3.49390735319594
GML	3.20849276914912
CNGA3	3.14333945826361
CD38	3.39592748621070
ZDHHC6	7.00594915167608
NEFH	6.18576137125189
PGBD5	3.54292995128861
CTDSP2	8.19876859835548
RMND5B	5.85642381881642
ZNF257	3.53500845710732
DUSP4	3.34022731320243
FLJ22167	5.65278820094602
EXOSC7	6.63744166452565
ROR2	4.30917947554985
FOXM1	5.32991401391994
ZBTB48	4.76856365916336
BUD31	7.80551107302647
MAOA	4.42949702870743
CCDC41	5.58801368382218
TNNT3	3.84200450817792
FBXO11	5.72908079931571
GYPC	4.4842112331958
PLIN	3.81849070647488
RFXAP	3.49806483422851
C6orf15	4.1319131515501
RNF4	8.80351923345546
F8A1	7.4607038542088
PPP1R3D	4.21978255943859
GRB2	6.97732211595995
TPM3	3.20252412754903
SYT13	4.16766146371444
EPB42	3.49979431797134
RP5-1077B9.4	5.73859606550459
EIF1	10.6790646772699
CETN3	6.70085347552054
FPGT	5.31441037345962
PRY	3.31723014318997
NTHL1	4.36695913906106
POLR2B	8.2909518450252
RPS28	11.6454055678409
GDF10	3.00262825114535
COQ9	7.42139405645289
P2RX3	3.06119630797638
GCC2	7.573374791817
RARRES3	6.89891362870082
PLXNA1	7.06075051163602
WBP4	4.58193093262781
KIAA0100	7.20299275132454
PMF1	6.51157544703913
HS2ST1	6.37735048489152
CRELD2	5.87956548891718
C8G	3.22968899952761
CD82	5.56996277669707
PMM1	4.54923931632242
CBLL1	4.32970260129007
LIM2	3.22589655925755
VAX2	4.16747664387145
SETDB1	6.18569030335746
LRAP	3.23057138982455
GCLM	5.13663775351699
CPEB3	3.70297014069461
PPM1A	5.76456883154998
INTS1	4.28851930227158
MMP16	3.23915549082174
CAMTA1	4.81054094259764
SAMSN1	3.95873748659815
DRD3	2.85358216732758
GMPPA	5.981999392745
C11orf73	5.52457722358708
AIPL1	3.99826425324797
PTP4A2	10.2260991883116
IL24	3.34478365080857
BDKRB1	3.20729484753100
HPCA	3.56248956305038
MLF1	7.61480508426156
SEC14L1	6.94934032235713
CHFR	6.57646900770995
EMILIN1	3.39963740279713
THADA	6.92222977963977
TAF12	5.88520305003345
NDUFS4	7.6365555907601
ID1	6.08293238921888
PIK3CB	4.5602047695634
COL18A1	7.65527368631541
PDZD3	3.33159504390955
TBC1D17	4.90189841556384
COX8A	9.4722178295105
CDCA4	5.90814199469164
C2orf44	4.4262734577979
C9orf16	7.2674708068078
ERBB2IP	8.22954745601217
EMX2	8.6248572436884
FUS	5.92527743579776
NIPSNAP3B	3.67104450373125
TF	3.42412706722837
CXorf56	5.36705021966994
CLCN4	4.01111991292467
PWP2	6.35120413164994
MMP15	5.27117347134331
MTMR14	6.15959498350164
NPR1	6.74229627659023
DNAL4	5.62471927697116
ELAC2	4.41548067349058
ASS1	10.0418821962192
IPP	6.28824850036497
TMEM59	10.1684780931159
POLR2J	8.60005172656312
SEC23IP	5.82074448880046
RGS4	3.73911123561986
UQCRC1	8.61632773558012
SNX6	6.83550747116562
DDX18	6.81742266056648
POLG	4.41943740853668
ADAM23	3.8778834017715
ZNHIT2	4.28945678827009
TFR2	3.38648904848523
NCDN	4.73343701405525
RAG1	3.55011981413941
POMT1	4.49927244188446
CYP1A1	3.5477743894996
SNAPC1	5.11940787936245
GNA11	5.59661847762692
CCDC52	3.07124580927853
CAPN1	6.6656896124858
DDHD2	6.02424386008048
UPF3A	6.70126753736969
LAGE3	6.01025900688953
GNRHR	3.16570181161504
UNC13B	5.46983679212319
TTLL4	6.13194516999032
PPBP	2.83765285784721
HTR3A	3.78983379712201
SDC2	6.56111030881738
ANKRD49	6.98241231124259
BTF3	9.5015657066895
COX7A2	10.0602519600560
SARS	7.97084245085573
C13orf18	3.47603503768330
CACNB1	3.82755243172298
QKI	4.83095111307517
SETMAR	5.15119945270255
LAMB4	3.18863064675982
MAN2B1	6.32412600911126
EML3	5.28782635359107
ACADL	3.31111440060809
OFD1	7.60887327518837
CGA	3.28020665408891
EIF3EIP	9.3622555461594
PEX16	5.01579631894535
GNG12	7.90067005216866
HABP4	5.18868934727623
CNTN2	3.38692564611973
ASNSD1	7.47733398340518
FUT4	3.83331178672449
DBH	3.51915930876820
CD53	4.71668729411977
HIST1H2BJ	3.49142535411317
TFAP2B	3.24309159291663
ACF	3.60561063397247
TMEM11	6.47693861471165
CDH8	3.36159084098823
C3orf32	3.83631574842294
AGPS	5.11922849020272
C4orf18	3.45813747867891
PCCB	8.137201928467
IPO13	5.27598038536193
PECI	6.65964537089293
UNG	7.85340151057389
C6orf105	3.53877553107379
GSTP1	9.00899223569472
SUV420H1	8.31849412688231
ARHGAP15	3.57973600867653
LTBR	7.12607849988573
TDRKH	3.40231638955310
PSG4	3.13160360332038
SLC9A3R1	6.66673154449328
NBPF3	10.4666315158211
SLC9A3	3.41493667092647
OSBP	6.56576777255707
PRR5	4.81851381856659
CHMP7	4.53794872943744
ADRA1A	3.02746109781669
ASAH1	6.66694614493882
FKBP4	7.46540871899501
ZNF350	4.47902641890237
DOM3Z	5.21397323323201
GIPR	3.67122681987039
AHI1	4.87792392436184
BST1	3.70947259136012
NCR2	3.50727105268896
NADSYN1	5.02034807500665
UBE2W	6.82795813491884
RGS14	3.6544471237321
KRT15	4.69338369109965
SCN11A	3.79849306074308
GFI1	3.57829747685401
FHL1	4.15130259285596
SMC6	5.57057377392935
GATA1	3.54105631036373
OSGEP	4.49152248486473
ARMC6	4.83003911823098
HK3	3.50335300105891
PSMD5	6.27562595561852
RSU1	6.94647833628071
RPL4	10.8636361677538
MAD2L1	6.38537689702664
RBPMS	5.46375122832151
EIF4A3	8.5113125523073
E4F1	4.67936798595127
DLEC1	3.75824253384942
PRPF3	6.41698084065852
EMR1	3.22543399372433
CHMP2B	5.87319278620227
CAMSAP1	4.64491092457194
RPS21	9.66460157620687
XCR1	3.41928180115729
ARID5A	4.58452617208851
RBM6	6.496393501727
UBE2N	8.12883260761522
KLF4	3.76024848373575
MGC4172	4.59295220528547
LMO4	6.68867248498535
KLKB1	3.52455151883093
HDAC3	6.88900293239026
HP	4.39542326150721
SCHIP1	6.93534870343915
BTK	3.92088499546879
KRCC1	9.19766859859208
PRND	3.06787678423719
C6orf27	3.41581589770683
PIGL	3.99652857061848
CLCA1	3.82226126771501
C1orf112	4.35366456130478
OLFML2A	5.45505412324688
HUS1	5.1257773121747
SFRS6	7.13350411039086
CXCR7	7.43466869170406
UIMC1	6.01531942221075
FXYD2	3.56517066091388
GOT2	7.71179708134108
ZNF667	4.34528354819469
TFEC	3.46510525608864
ATP7B	6.81236104398048
RAB38	4.25472834413189
POLD2	7.32371794269349
PPM1H	6.56679731995287
DCX	3.21043145724510
NFYC	6.3583201346852
ZNF228	5.9640070306432
KIN	6.80070324325127
PLSCR4	7.3237594415877
HIST1H4I	4.36575668283096
PPARGC1A	3.08098517220901
HIG2	6.92691496276043
KCNK10	3.94625316271178
EXOC1	7.77760147326653
OR6A2	3.82535799145028
ETFA	6.96840541630721
PDAP1	5.09147477249286
C19orf6	3.62775484025426
POLRMT	4.18784301399189
ZNF146	9.02635677824194
MIA2	3.15420112787353
LY6G6E	3.25088706699071
EIF4E2	8.5498134515216
NENF	5.05433669169224
HOXB5	4.50732041932889
ZNF324	4.67348776300034
CUGBP1	4.54376322412228
ENTPD7	4.67435931530624
TTC13	6.31084822321716
GJB5	3.12180824843988
PRSS22	5.0042640216486
CYP3A5	3.43477366394603
MBOAT5	5.09330052894968
CUL4B	5.07251961849967
CENPJ	3.55035482816867
KIAA0664	6.17766178328364
PITX1	3.99150437334348
PDGFRB	5.83351022527091
RDX	6.21646893897429
CELSR3	4.01055303256812
JUND	6.57856318651932
ITSN1	5.61170227976567
CHRNB1	5.18767722123581
EHBP1L1	4.17478887065874
C19orf2	7.99303459733175
FETUB	3.11326414148864
CAMK2B	3.85450803497899
DCTN1	6.47449357204267
TNKS2	7.11793473962511
MRTO4	7.86742165721054
C1QBP	5.5898277030777
TTC3	9.00037366990435
NDUFB8	7.8452364873525
CADPS2	4.31244565936209
EDG2	4.40051271045278
MYF5	2.97174973202683
SEMA3G	3.39479721293450
IL23A	3.4347216241165
GJA9	3.59231217248367
R3HDM2	8.09164360429681
C5	4.02238627061765
SLC2A10	8.58281605179754
TRIM45	5.04386936219379
TSP50	4.75293633321224
PAQR3	4.20431755307442
ANKRD26	3.79369766159289
TCP1	7.89928620048297
TMED7	6.82724577734887
CMA1	3.09408219718046
PTCRA	4.36529787640324
HCRTR1	3.44135294619092
FST	4.92549920630056
PAWR	4.10741552524332
LDLR	3.93646136870258
ASTN2	3.80482327953898
SCRN1	7.8674639829614
GPATCH8	6.97990861063154
KIF4A	5.65556729859315
TANC2	4.47560492908243
ZMYM5	3.76213240088017
PGM1	9.89946682627584
ZNF586	3.7438348152894
POLR3G	3.45909086513264
CPD	7.18641503167357
SNCAIP	4.89406419581083
DCT	3.61863127385138
HLA-DOA	3.40752179191535
TANK	5.75388226377145
RCAN1	4.19423534164704
UPK1B	7.62082511940054
DNAJB4	5.15138683399684
UGT1A8	3.20783801865875
LIMD2	3.92928098669549
HIST1H4L	3.4321355917842
PECR	4.62046237626601
HSPA2	6.06637780494691
SERP1	9.767022377676
TACR2	3.32302877663044
NUP85	7.3604227501296
CD177	3.59316290235357
GPR135	3.3277250436439
PIGG	8.0673496677944
LGR5	7.27341601607993
JAK2	3.40294555798945
DPYSL4	3.26820730206295
TM9SF4	7.46947799312932
PTHR1	3.30722332661148
SIRPG	2.68828851921138
ZNF264	6.74907528101821
BICD1	6.52601715384265
RAB5A	7.15411148681843
FLJ13224	3.05700179568238
METTL5	8.63294218565763
HERC6	7.16921595296258
CASP1	4.31545613289936
USP9Y	2.91474360425424
LRP1B	2.85378554567442
XAF1	7.58365082354792
PLA2G4C	3.31542213413724
APOA2	3.07617477223877
SPAG6	5.87497056344043
KALRN	3.69241320016654
SECTM1	5.19074612917867
THOC7	8.23180389705064
IFNAR1	4.90474329697365
TCTA	6.69712431947676
NY-REN-7	3.20306461542459
TALDO1	8.5280580766635
B2M	11.9300008608725
LPPR4	3.60163138940274
SQLE	6.86137253609344
SEPHS1	7.45594773743866
EIF5A	6.30740915182457
FAM49A	3.92758014092646
YTHDC2	4.26815874723484
EHD2	4.72792014304742
NCF1	3.48136869779836
SPG7	6.12178501371501
ZNF614	3.42892443302331
HOXA5	6.10779143506565
NUP133	7.98133941802718
FGF12	4.10535594080433
SLMO2	7.89911182304495
INPP5B	4.34552246829138
PPID	8.21157048896964
SNTA1	4.24889955770756
IL20RA	3.47752112798622
UBE2J1	5.5017895736257
CACNG2	3.22455861101319
GCM1	3.37279665971982
ELF1	6.8536231879172
TLR5	4.79821517746021
TCFL5	8.26867677151726
C1orf107	5.67278712112646
C19orf22	6.80624397788173
SAFB2	6.32154816958697
MAP3K7IP1	3.90713758741329
NCK2	8.10563664674298
OXA1L	7.47959883934838
KIAA0652	5.89601729295192
KLRG1	3.60985010082964
FRAG1	6.63915619515963
ZSCAN12	2.88681719782569
PSMD12	7.2370676940235
E2F4	5.45582147354775
CLEC4M	3.56367528701737
KIAA0999	5.26719616754614
CLDN10	7.55153049783449
MGC13053	4.18395500961076
TAC1	2.68280453493824
GYPA	3.40808052131721
HPCAL4	3.20978517031916
TRAIP	4.2718049490036
MEX3D	5.35319623784459
KIAA0232	8.88729788246199
ERCC8	5.40529600587566
NFAT5	6.32024209287988
GPX4	9.26262938717191
CSPG4LYP1	3.21936279006483
KIAA0368	5.74685194583908
FBXO3	5.68253870323873
DVL1	7.09001482867403
CMKLR1	3.71496340753990
GPR157	3.6055107156863
TYMS	7.69455885358169
OR52A1	3.30830194651406
PEF1	7.75756590539987
ZNF750	3.91201866150837
ALG9	5.31166933343025
MCM5	7.2625772035098
SDK2	3.49345456567824
BAIAP3	3.95458717954627
RABGGTB	6.57583119559753
KCNK7	3.61016876475828
PTP4A3	8.41539995017779
ANKRD40	4.29134876627891
CALCOCO2	6.62763830003671
TMSL8	7.815613530334
SNCA	4.58050447970905
ZNF551	4.06237492721945
HBQ1	3.24981873418969
ARHGAP26	3.72990645359716
GEMIN6	7.07367007032504
HRAS	6.4987383270646
KLRC4	2.88151972284484
BSDC1	6.63732988466672
DSC1	3.55159597377706
RNF43	5.60306961152917
NDUFAF1	5.95788688282029
MAP2K4	5.52803935149264
FOLR2	4.30892696295317
LYZL6	3.78487053847149
EPB41L3	3.34492028677033
TEKT2	5.45740943720628
CDKN2B	3.36731489422133
WSB1	7.3742767042742
ZNF480	3.69128964982942
MAP3K6	5.0083426161595
PROS1	6.7221295037754
PSMB8	6.4384138258306
HN1	7.33489260748793
MAS1	3.2600115698314
APOL1	9.22026952791568
CSHL1	3.15202034320181
ZBTB7C	3.26489969852066
AHCTF1	5.33882069543481
SAE2	9.03176378844484
ITGA2	3.88514336313916
AP2S1	8.84634536767107
P15RS	6.80481264707192
MME	4.03632271151391
VAT1	7.53541706482463
MAST4	5.19362521801512
TUFM	8.42468363201418
KRT33B	3.49254159641253
THEG	3.77859614013829
KCTD2	5.42259723449032
WDR26	9.61168021987804
MFI2	3.20143566372224
KRT34	2.98142765857623
NR4A3	3.38216197653194
SGSM3	4.77520184411132
ARSA	4.44607149922914
TOMM22	5.38851201769673
SOCS3	3.99463285530292
UNKL	4.25137593151224
POP4	9.32952482649994
BHLHB3	11.0392239692664
MALL	4.56577288494117
SOX15	3.37184602345640
CCNA2	4.51234792828222
PARK2	3.04050327859909
GPR124	4.54394194748603
TMEM132A	5.42610207394022
CGRRF1	5.33949746757155
RUVBL2	7.93370947233412
MCAT	5.77722410671596
WNT10B	3.64799324567975
ISCA1	6.32312693486187
RPAP1	4.75266637625412
C12orf48	4.8438022342687
RAI16	5.37491026037743
RPL27	9.03284868048981
EPN1	3.80454336356641
MAGI1	3.24381521930875
GBX2	3.19578790284208
SLC35A1	6.7498255525772
GAL	3.80399775040423
SLC14A2	3.698582592418
RDH11	7.09572312792174
ZNF518	4.91176089435793
PCYT1B	3.33183145895015
AUH	6.14339800655083
EIF3H	10.7487642755534
KIF1B	8.57299217221988
MBD2	4.6697828886205
AMOTL2	8.20596741056425
C6orf120	5.95085576052093
PIGT	9.3131340843423
PSRC1	5.27598706115887
PLA2G10	4.04161587532331
ALAS1	7.31541826430865
FOXO1	6.01641351556729
C17orf62	6.20480663515572
KIF5C	6.01219604830846
DUSP10	6.17578464968272
CRLF3	7.14947967380614
CLCNKB	3.43124878405694
PSMA5	8.24340761575673
FARS2	5.78960836551337
CCDC28A	5.67025167907378
AMPD3	4.32480064555631
PIAS1	7.18289561971581
ADCYAP1R1	3.50495170052839
TMEM134	7.45374085460334
CDH20	3.13153499768834
FBXO7	8.73044018051196
FLJ14213	3.91353453364158
ZNF3	5.55447315760288
LRRFIP1	7.23502801728076
TMEM49	8.99261338569572
CNOT2	8.17130723246666
CBX2	2.83584484636794
ZC3H14	6.26861723959764
ALDH5A1	5.46040377473805
HNT	4.31848667950712
SERPINA4	3.48213067792262
FLJ20920	5.78371586450645
CRTAP	4.52426335510423
DDX50	7.65549589374278
STYXL1	7.81349204794248
TK2	4.39401423726921
BLVRB	6.56114166485417
STMN1	7.54988429191222
