Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
AIPL1	3.69452399733023
PTP4A2	9.76386477963824
IL24	3.35739266437987
BDKRB1	3.27802670336442
HPCA	3.27329179046422
MLF1	6.73367729046921
SEC14L1	5.58843489051824
CHFR	5.80648137888522
EMILIN1	3.22950931756053
THADA	6.63867034031186
TAF12	5.08832710875862
NDUFS4	8.15282839126545
ID1	6.24216579251297
PIK3CB	3.25695671107195
COL18A1	8.19947825111413
PDZD3	3.24257316555393
TBC1D17	4.57993874991664
COX8A	9.29024628128036
CDCA4	6.2862809501134
C2orf44	5.10464018126268
C9orf16	7.97018981707636
ERBB2IP	8.12929386655254
EMX2	8.78016306866508
FUS	6.79815959438016
NIPSNAP3B	3.68822960269035
TF	3.36063426303630
CXorf56	5.661660142577
CLCN4	3.69071140389343
PWP2	5.35464554194114
MMP15	4.27065448959957
MTMR14	6.27613306873557
NPR1	5.31743911286713
DNAL4	5.96711902289469
ELAC2	4.85444754014217
ASS1	10.3290529807116
IPP	6.43209786096336
TMEM59	9.92232615717657
POLR2J	8.81150512874978
SEC23IP	5.82064263835255
RGS4	3.62858570950926
UQCRC1	9.00139548003693
SNX6	8.70983750210938
DDX18	8.25687711895204
POLG	4.23671160091044
ADAM23	4.14965921673617
ZNHIT2	5.23621993122639
TFR2	3.41414687024276
NCDN	4.50073941841157
RAG1	3.37469247368604
POMT1	4.60613565639493
CYP1A1	3.63933794830109
SNAPC1	5.55683251160765
GNA11	5.45552388841449
CCDC52	2.737849623655
CAPN1	6.9763013762327
DDHD2	6.79796009084964
UPF3A	6.29896032463695
LAGE3	5.89514108914377
GNRHR	3.22283469291631
UNC13B	4.87752922519347
TTLL4	6.18344759909737
PPBP	2.88547770828023
HTR3A	3.93830867066800
SDC2	3.77903408554094
ANKRD49	6.67081117458883
BTF3	10.9716602836516
COX7A2	10.4385112923543
SARS	8.68175152847908
C13orf18	4.62786758701597
CACNB1	4.15095008943708
QKI	6.50182795426737
SETMAR	5.57992195178179
LAMB4	3.22244381866456
MAN2B1	6.518451821337
EML3	5.00921440682159
ACADL	3.30332995258991
OFD1	7.34534839217825
CGA	3.58895613797508
EIF3EIP	11.1596330140853
PEX16	5.46075546508627
GNG12	8.07812294913996
HABP4	4.69502083189499
CNTN2	3.41171320321319
ASNSD1	7.82048011065307
FUT4	3.79932451192913
DBH	3.47722761517014
CD53	5.30116347294251
HIST1H2BJ	4.03654021070785
TFAP2B	3.20698645813705
ACF	3.63331355778421
TMEM11	7.38028983297428
CDH8	3.44428331025537
C3orf32	4.01709656289668
AGPS	5.80930025697595
C4orf18	3.1752909583501
PCCB	6.8798900077565
IPO13	5.27949765639426
PECI	8.11083962817569
UNG	8.35532783893157
C6orf105	4.06021715561324
GSTP1	9.62008924739783
SUV420H1	7.29179713905587
ARHGAP15	3.48397933406251
LTBR	6.81316026904016
TDRKH	3.60977493185722
PSG4	3.46969310936498
SLC9A3R1	7.58754096681651
NBPF3	8.49416660075932
SLC9A3	3.52289397037223
OSBP	6.50463910884341
PRR5	4.36300940904933
CHMP7	5.28329342348083
ADRA1A	3.10807868864692
