Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
C11orf73	5.83646118832345
AIPL1	3.77117156961002
PTP4A2	10.1241724397010
IL24	3.62379443670083
BDKRB1	3.31096093870098
HPCA	3.63632225891722
MLF1	5.38477163176155
SEC14L1	5.70099619957923
CHFR	4.98847857454098
EMILIN1	3.57863251406434
THADA	7.0114668273613
TAF12	5.97501981988522
NDUFS4	7.01546201435153
ID1	5.27789975345235
PIK3CB	3.92127818236574
COL18A1	5.54913259553003
PDZD3	3.60853176568667
TBC1D17	5.2103333508857
COX8A	9.65270987590685
CDCA4	5.8744081722313
C2orf44	4.61224860455334
C9orf16	7.16773771222685
ERBB2IP	8.19636439188647
EMX2	8.88514131455918
FUS	6.79189268682192
NIPSNAP3B	3.23450916873853
TF	3.38832925586346
CXorf56	5.81020289358943
CLCN4	3.65887697361472
PWP2	6.07446244430683
MMP15	4.55122056151908
MTMR14	6.35597393510993
NPR1	7.97676775015919
DNAL4	5.0708559969416
ELAC2	4.73160761575614
ASS1	11.8853988541280
IPP	5.42472655406589
TMEM59	9.32783315972621
POLR2J	9.2039610470219
SEC23IP	5.6617854900345
RGS4	4.04046464993127
UQCRC1	8.70958217944357
SNX6	7.29290096688731
DDX18	7.03864274432285
POLG	5.10893436529925
ADAM23	4.20337952024319
ZNHIT2	4.92177439492041
TFR2	3.53744213562702
NCDN	4.43183257013774
RAG1	3.58316462085047
POMT1	4.11365347242864
CYP1A1	3.33114766250851
SNAPC1	4.47225836865302
GNA11	4.84692301036956
CCDC52	2.92230918721104
CAPN1	7.18445543137423
DDHD2	6.20649036414368
UPF3A	5.46538692062683
LAGE3	6.59830630381197
GNRHR	3.27604259691039
UNC13B	5.71979791109035
TTLL4	5.06345630709888
PPBP	3.16653089003255
HTR3A	3.34066238152642
SDC2	3.85005451039894
ANKRD49	6.05578849814053
BTF3	10.4793583023886
COX7A2	10.6813247482558
SARS	9.33094545472524
C13orf18	4.17035206669435
CACNB1	3.89398719781639
QKI	6.71287088867540
SETMAR	5.14611166450173
LAMB4	3.69007515083790
MAN2B1	7.60649309569286
EML3	5.74781918129201
ACADL	3.56868469540689
OFD1	8.6182125184774
CGA	3.70105882865976
EIF3EIP	10.2864649799742
PEX16	5.38389462660871
GNG12	5.87437008377978
HABP4	4.34454257662488
CNTN2	3.64220189677918
ASNSD1	7.26038076827582
FUT4	3.90199652902567
DBH	3.72125995337002
CD53	8.61473500250077
HIST1H2BJ	3.66456436109314
TFAP2B	3.39863045513617
ACF	4.03347106135437
TMEM11	5.59812055664052
CDH8	3.62035688064729
C3orf32	3.5357865278986
AGPS	5.70690403865109
C4orf18	3.38955427666743
PCCB	6.9088275163437
IPO13	5.08131325046898
PECI	7.13544501827911
UNG	6.77934945619974
C6orf105	4.36579258558651
GSTP1	8.84248357098523
SUV420H1	7.90520941473814
ARHGAP15	5.45882423569396
LTBR	6.08706977700265
TDRKH	3.85314857214855
PSG4	3.85528834313781
SLC9A3R1	6.08199566783131
NBPF3	8.48944057146507
SLC9A3	3.89937702332294
OSBP	6.4605967526229
PRR5	4.89640456479838
CHMP7	5.55097606268887
ADRA1A	3.33227166164138
ASAH1	6.65768610781407
FKBP4	6.98480800446343
ZNF350	4.83727133805621
DOM3Z	5.0836479612856
GIPR	3.81924843410252
AHI1	4.88200236211062
BST1	3.80900756374486
NCR2	3.68974508395628
NADSYN1	4.56619900817781
UBE2W	5.56440723464867
RGS14	4.34755284208353
KRT15	3.78045055822217
SCN11A	3.84246285389859
GFI1	4.29163992234833
FHL1	5.56592624804067
SMC6	6.58900827523106
GATA1	3.81816348924815
OSGEP	5.35980544810418
ARMC6	4.94539793267577
HK3	3.65443281009922
PSMD5	5.10357227844313
RSU1	7.39615646656638
RPL4	12.3354270211421
MAD2L1	7.68021656772172
RBPMS	4.16408151904055
EIF4A3	9.55616490308172
E4F1	4.98504896254157
DLEC1	3.58148679014172
PRPF3	6.26622250604049
EMR1	4.03077404433057
CHMP2B	7.77834909191584
CAMSAP1	4.16191901170309
RPS21	9.86332366479648
XCR1	3.36441108685021
