Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
C11orf73	7.70759304901993
AIPL1	3.77158971183222
PTP4A2	8.4647157434039
IL24	3.44223711078215
BDKRB1	3.11061918946871
HPCA	3.36395893493055
MLF1	6.8059649276716
SEC14L1	6.95436149304021
CHFR	6.59807113364027
EMILIN1	4.03709730848579
THADA	6.37175311847705
TAF12	5.12246293449678
NDUFS4	7.53588854662989
ID1	8.23027233493116
PIK3CB	3.99737513613488
COL18A1	6.93161698896395
PDZD3	3.33708326343313
TBC1D17	4.29763852596266
COX8A	10.5524108888322
CDCA4	7.2739655825199
C2orf44	4.73894162800543
C9orf16	7.56144213536315
ERBB2IP	7.19644364111824
EMX2	9.44427420953225
FUS	6.10373777993167
NIPSNAP3B	3.38071219518539
TF	3.43150653088968
CXorf56	5.32659612386509
CLCN4	3.79756011049698
PWP2	4.82760902578451
MMP15	4.45556063528627
MTMR14	5.33069549275236
NPR1	5.00538811724987
DNAL4	5.32407380503184
ELAC2	4.5845104595028
ASS1	10.5606804642533
IPP	5.27065620036517
TMEM59	10.0365687162674
POLR2J	9.07434680116745
SEC23IP	6.35989631138705
RGS4	4.05031732524639
UQCRC1	9.03861076345871
SNX6	6.56316659041121
DDX18	7.42264830210592
POLG	4.69477541105424
ADAM23	4.29017047381482
ZNHIT2	5.40132615565211
TFR2	3.57029245777337
NCDN	3.96374692440286
RAG1	3.62474470756003
POMT1	5.43409483569894
CYP1A1	3.20599037202614
SNAPC1	5.95740869590679
GNA11	5.06769727118474
CCDC52	2.79000070921678
CAPN1	7.20284019632837
DDHD2	6.02810014335255
UPF3A	6.4308093221972
LAGE3	6.34921723640465
GNRHR	3.02484545187166
UNC13B	5.41044345822428
TTLL4	4.31369640503916
PPBP	2.90931429361839
HTR3A	3.12517979411352
SDC2	8.80613834449642
ANKRD49	8.92618992654765
BTF3	10.1421904345175
COX7A2	10.7879745755236
SARS	8.65856344232707
C13orf18	3.52235607817302
CACNB1	3.65210041435577
QKI	5.25349926106027
SETMAR	4.50114970539208
LAMB4	3.40245770313118
MAN2B1	6.78144236289225
EML3	4.67862033952185
ACADL	3.22630913963050
OFD1	7.45253447627888
CGA	3.36074382497812
EIF3EIP	9.97925317448577
PEX16	4.66549802925937
GNG12	7.99653443210375
HABP4	5.34191876538514
CNTN2	3.40721018360811
ASNSD1	7.40418578761549
FUT4	5.05047426963780
DBH	3.0114540307208
CD53	5.39295044210572
HIST1H2BJ	4.20295554792053
TFAP2B	3.29124195685087
ACF	3.63651233483745
TMEM11	6.13320478271208
CDH8	3.42734788670447
C3orf32	4.52459491775773
AGPS	5.05432973539707
C4orf18	3.55951946553304
PCCB	7.79936315173411
IPO13	5.41852873297082
PECI	6.67933802309507
UNG	7.04369117490616
C6orf105	3.59235323799433
GSTP1	9.81733677671789
SUV420H1	7.71040655761747
ARHGAP15	3.36087467228722
LTBR	6.23247128533347
TDRKH	3.49282858837851
PSG4	3.33357167489749
SLC9A3R1	7.305307111558
NBPF3	9.47103350955642
SLC9A3	3.42148510330164
OSBP	7.38277691117937
PRR5	5.05590960910962
CHMP7	5.18222702382258
ADRA1A	3.06547250857318
ASAH1	6.48125178500661
FKBP4	6.45649705107967
ZNF350	4.71235171917752
DOM3Z	4.40639356212415
GIPR	3.54392578661382
AHI1	5.0581509731309
BST1	3.44857371609765
NCR2	3.4845928142565
NADSYN1	4.63439519287075
UBE2W	6.04510305567274
RGS14	3.83771993099446
KRT15	5.64478179234551
SCN11A	3.60662762085928
GFI1	3.65869396154454
FHL1	4.76014694252809
SMC6	6.9661795979736
GATA1	3.81041365638832
OSGEP	5.46005224868526
ARMC6	5.1729645906592
HK3	3.08868085437554
PSMD5	6.87317090925944
RSU1	6.95743482317398
RPL4	11.4155714495841
MAD2L1	6.61673279433436
RBPMS	4.45358475936532
EIF4A3	9.43358340372046
E4F1	4.89210854368248
DLEC1	3.36172683136862
PRPF3	6.84142901962317
EMR1	3.2531708668874
CHMP2B	6.84013460332891
CAMSAP1	4.42352515126648
RPS21	9.67378588558874
XCR1	3.44779632162653
ARID5A	4.03690671573091
RBM6	5.15404533433017
UBE2N	7.96190544232499
KLF4	4.82255050665515
MGC4172	4.27445365755598
LMO4	5.64289827242721
KLKB1	3.36160824204735
HDAC3	5.73825774013334
HP	3.0602719186231
SCHIP1	7.82622144377647
BTK	3.75743111134309
KRCC1	7.34023070949824
PRND	2.89073797103625
C6orf27	3.71312468585156
PIGL	3.56881479225129
CLCA1	3.77388562035848
C1orf112	5.0778383044836
OLFML2A	6.75338723748377
HUS1	4.8006448926671
SFRS6	7.99221963087719
CXCR7	7.80958935838842
UIMC1	5.63311729359348
FXYD2	3.49492734488102
GOT2	8.94154548420224
ZNF667	4.29484101008502
TFEC	3.45997048034775
ATP7B	4.48854479315256
RAB38	8.5395856495827
POLD2	7.31047396683598
PPM1H	6.13946064028616
DCX	3.26777682081707
NFYC	6.51806492122254
ZNF228	4.35054240699811
KIN	5.32199220859497
PLSCR4	3.86542244905321
HIST1H4I	3.9331199845564
PPARGC1A	3.81933196257429
HIG2	6.81096537761026
KCNK10	3.91139345085609
EXOC1	6.83401141200389
OR6A2	3.62882663551138
ETFA	8.74456841619364
PDAP1	5.68394702130625
C19orf6	3.4161397019068
POLRMT	4.25548606682558
ZNF146	8.16850089393853
MIA2	3.21714109013362
LY6G6E	3.13169763640342
EIF4E2	7.26099847252115
NENF	5.22976101271159
HOXB5	5.80311753895834
ZNF324	4.47695962139888
CUGBP1	3.35948389622525
ENTPD7	4.95490066812004
TTC13	6.13686426334203
GJB5	3.06250421518794
PRSS22	4.32286956462586
CYP3A5	3.37247320811460
MBOAT5	4.62417006765585
CUL4B	5.30075053411398
CENPJ	3.65461286744273
KIAA0664	6.35056682081931
PITX1	3.80918640616951
PDGFRB	4.68905080154465
RDX	7.54219552644449
CELSR3	4.1151370220886
JUND	6.65417524970489
ITSN1	5.35989832157196
CHRNB1	4.00621854196763
EHBP1L1	3.59618782211599
C19orf2	7.40193987614981
FETUB	2.97238491902849
CAMK2B	3.31440760735821
DCTN1	5.86205064553768
TNKS2	6.8748912266626
MRTO4	6.7589855136718
C1QBP	6.75547512999758
TTC3	8.29815474638219
