Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C03_543702
Composite Element REF	Signal
PAWR	4.19554537833148
LDLR	5.37328601637205
ASTN2	3.84329686516130
SCRN1	7.47929563284156
GPATCH8	6.49105817993968
KIF4A	6.75701678238766
TANC2	3.50177754910069
ZMYM5	4.06602051897454
PGM1	8.73557533909828
ZNF586	5.52402309495518
POLR3G	4.13252263554398
CPD	5.49463149335957
SNCAIP	4.36937782407802
DCT	3.65531572818351
HLA-DOA	3.48586701102794
TANK	7.17210928478325
RCAN1	5.38644221064187
UPK1B	3.40850363752326
DNAJB4	5.51583588424305
UGT1A8	3.10374498217657
LIMD2	3.36003875955805
HIST1H4L	3.43235086802954
PECR	5.02490072892004
HSPA2	6.7261249031421
SERP1	9.57048379115474
TACR2	3.4220854320217
NUP85	7.65440833455062
CD177	3.52877755931512
GPR135	3.11363614633568
PIGG	6.937068625967
LGR5	4.02903306655918
JAK2	3.92048579525122
DPYSL4	3.3368019534639
TM9SF4	7.12969304393305
PTHR1	3.44304571713345
SIRPG	3.00210920051118
ZNF264	5.92128526583165
BICD1	5.32353008342897
RAB5A	7.99418948963431
FLJ13224	3.16994349901329
METTL5	9.40073067277842
HERC6	5.0864240968445
CASP1	6.85130393228571
USP9Y	2.73950426532063
LRP1B	4.71313202946237
XAF1	6.60721719235651
PLA2G4C	3.84863745703507
APOA2	3.0284175364652
SPAG6	3.28135306217382
KALRN	3.20649185461843
SECTM1	5.96979112288148
THOC7	9.73454797008618
IFNAR1	4.10828292306885
TCTA	5.87584691637755
NY-REN-7	6.32101313228198
TALDO1	9.35083426673448
B2M	12.2686657789976
LPPR4	3.54982895916818
SQLE	6.75944682450088
SEPHS1	7.27787549694664
EIF5A	6.34966917267776
FAM49A	4.6225519037189
YTHDC2	4.98690107523699
EHD2	5.49840636799091
NCF1	3.93386819483664
SPG7	6.21358469653147
ZNF614	3.53169604476981
HOXA5	3.28701608301273
NUP133	7.86483564112078
FGF12	3.38409679617091
SLMO2	8.38437232848659
INPP5B	4.91627766843015
PPID	6.56131743254669
SNTA1	3.8777226103914
IL20RA	3.19060252110792
UBE2J1	6.30961554221341
CACNG2	3.05868096522880
GCM1	3.06031051539927
ELF1	7.8110720304877
TLR5	4.93856712223518
TCFL5	6.9088280659497
C1orf107	6.37991955331596
C19orf22	6.76347053064043
SAFB2	6.023932651779
MAP3K7IP1	3.80249388278845
NCK2	7.91879173620306
OXA1L	8.05684291441707
KIAA0652	5.90291337403276
KLRG1	3.55982785763073
FRAG1	6.73452264601285
ZSCAN12	2.86436432243980
PSMD12	7.57814438651849
E2F4	5.22163977637903
CLEC4M	3.49697004202056
KIAA0999	5.66078371072216
CLDN10	9.30460951000584
MGC13053	4.25857279075658
TAC1	2.63219149810183
GYPA	3.25892180457493
HPCAL4	3.36069842073308
TRAIP	4.00341376912691
MEX3D	4.37271776281208
KIAA0232	6.7252271729969
ERCC8	5.1678159469735
NFAT5	5.88063513404817
GPX4	9.4975872819705
CSPG4LYP1	3.01065819793529
KIAA0368	7.16802337865035
FBXO3	6.73731512375771
DVL1	6.55071461555508
CMKLR1	3.66361999119669
GPR157	4.13248686450279
TYMS	8.30397509725132
OR52A1	3.27003648537847
PEF1	6.92336774898922
ZNF750	3.04554704717437
ALG9	5.79076589021472
MCM5	5.52966443531616
SDK2	3.45225280508223
BAIAP3	3.89019821097369
RABGGTB	8.18260273041412
KCNK7	3.28515369575674
PTP4A3	7.31185652659813
ANKRD40	4.32775066884721
CALCOCO2	7.78899934499937
TMSL8	4.27809024504710
SNCA	4.34647897058841
ZNF551	4.24844792958744
HBQ1	3.18360252132180
ARHGAP26	6.3565437165723
GEMIN6	6.61710107361315
HRAS	6.31870498197812
KLRC4	2.76127537443243
BSDC1	6.20320385126916
DSC1	3.38931426661463
RNF43	5.80750105077209
NDUFAF1	5.9048455343142
MAP2K4	5.07295803297256
FOLR2	4.81544701464662
LYZL6	3.5913007936135
EPB41L3	4.28722693808112
TEKT2	7.38553541454346
CDKN2B	3.27702952672561
WSB1	6.35431355514122
ZNF480	3.52623284035038
MAP3K6	4.21205088294450
PROS1	6.21728429984161
PSMB8	7.79606595578962
HN1	8.37306174297752
MAS1	3.51750023550967
APOL1	6.83042468289607
CSHL1	3.33779527985754
ZBTB7C	3.16743284713293
AHCTF1	6.44367874581314
SAE2	9.33924204990013
ITGA2	5.17580703082007
AP2S1	8.65393075973386
P15RS	6.90691591123261
MME	3.43791103257356
VAT1	6.83230237763008
MAST4	5.48147981160717
TUFM	8.90061671345612
KRT33B	3.39154122829259
THEG	3.60293543358233
KCTD2	5.22920930881348
WDR26	8.4133739412493
MFI2	3.62666531723326
KRT34	3.08402135285642
NR4A3	3.81479014564829
SGSM3	4.64713746169215
ARSA	3.78791481135233
TOMM22	6.13575045617622
SOCS3	4.00049608464621
UNKL	3.70582546296775
POP4	8.10314355090792
BHLHB3	9.17342263075536
MALL	3.75905969915451
SOX15	3.57024821121198
CCNA2	5.80575597353039
PARK2	3.19393978415465
GPR124	4.58900987590647
TMEM132A	3.98526164650979
CGRRF1	4.83766998729752
RUVBL2	8.82333545821346
MCAT	6.05086630690012
WNT10B	3.54495417733753
ISCA1	7.41017868483949
RPAP1	4.12520880862226
C12orf48	5.57896689782422
RAI16	5.60256453931907
RPL27	9.18581262868777
EPN1	3.76247419708124
MAGI1	3.12747156131837
GBX2	3.16214589073879
SLC35A1	6.59121666078025
GAL	4.97592675201312
SLC14A2	3.65280209335114
RDH11	6.18570693658272
ZNF518	4.47541840165293
PCYT1B	3.34280212646404
AUH	7.29292090105034
EIF3H	11.4477062897553
KIF1B	6.64965527626616
MBD2	4.57264206152757
AMOTL2	8.74847234631634
C6orf120	5.81828443660106
PIGT	7.2415293508893
PSRC1	6.26865278773001
PLA2G10	3.65724713135207
ALAS1	7.4155693865545
FOXO1	5.28637106421973
C17orf62	7.12854190570837
KIF5C	5.69476467957996
DUSP10	6.47225886453762
CRLF3	7.24083572290176
CLCNKB	3.41791198948478
PSMA5	9.37041802877099
FARS2	5.47347995912633
CCDC28A	6.43713447506703
AMPD3	5.10672793951005
PIAS1	7.48496815024125
ADCYAP1R1	3.48235868876844
TMEM134	6.48146601523592
CDH20	2.97930848159928
FBXO7	7.47130000119596
FLJ14213	4.34374240920831
ZNF3	6.37168453242198
LRRFIP1	8.78619942118086
TMEM49	9.62412811254376
CNOT2	7.56600780268529
CBX2	2.93596200258252
ZC3H14	7.00841306273295
ALDH5A1	5.07185397463466
HNT	3.02605548412178
SERPINA4	3.07940486467692
FLJ20920	6.08245638920704
CRTAP	5.66434853790717
DDX50	8.4064374210595
STYXL1	7.72045970842567
TK2	4.01642711847080
BLVRB	7.0780776574109
STMN1	7.37794444529059
GUCA2A	3.17246245557377
DPP6	3.07766410097435
GALNT10	4.11553553158946
STK39	5.5196336135866
MMP24	4.2923134873296
CKS2	10.1773121645416
RHO	3.73773349867863
BANF1	9.28044569404123
CR1	2.86670900301004
RPS6KA2	4.94444773745314
HMBS	6.76832357035811
C20orf112	3.45695557154748
SLC25A24	8.29774612209474
MRPL22	8.30476239588237
SLC25A15	6.24408069525469
GADD45B	7.24911634688066
TDP1	6.20812448995262
ZNF287	3.65333898153667
DAAM2	4.4134787957146
C11orf57	6.3059203491731
RFK	7.71815573139118
ZFYVE9	3.89670785976846
TCTN3	7.25919888556642
STCH	4.99098597702306
LOC283871	3.52636431447838
NDUFB3	8.37425773044367
DEFB4	3.93026811514971
FPR1	4.50073978305488
FMNL1	4.06177329756494
SEPT7	9.64166812278354
PTCD2	5.65201023157153
GNLY	4.35884473480263
GRAMD1C	5.86703171170204
ZNF165	4.04277820382885
TR2IT1	4.36081628130031
ARMCX3	7.93569256430223
NDE1	5.65398672175648
MAGEF1	6.47254582915844
ITGA10	3.60710044900416
ARHGDIB	8.17285001976828
FSHB	3.6436884350236
ANXA2	11.8421984931017
HLCS	3.98686332734091
MCF2L	4.87104171961756
AK1	4.54635095856603
FH	6.95585473419684
LGALS2	3.51557075718067
SYNPO2L	2.67559044887276
KIAA1045	3.37633368521573
C1orf183	4.61133126862681
MAGEA8	2.81119984671128
DGCR8	4.81132147724893
GSR	6.27818711236099
NEU2	3.39807823315647
HIST1H4B	3.45457491809123
CACNA1C	3.09041629898977
FAM20B	6.59207750629491
HES2	3.13130812059269
PDCD6	9.05832193295764
INTS7	5.74461245118098
AMPH	5.42557960513543
UCKL1	7.00083490612054
ASB4	3.07500705112427
C10orf97	5.29166212199282
ALDH1L1	3.79659328902722
CCL23	3.30715480012966
OBSL1	4.95286066310952
SLC12A7	7.33292461380112
THAP4	6.73573387912041
RBM4B	5.97504790493718
OGFRL1	4.49857960002212
KIAA0831	6.02996959805535
C12orf11	7.90635969068163
PPP1R15A	6.66988742576628
KIAA0240	5.28181403000937
CD1B	3.28652392097386
FCGR2A	5.91012903754265
MDC1	5.25974240181336
MAN1A1	3.70306807492928
KRT9	3.18936853017893
HTR1A	3.31972558691321
OCEL1	6.02463869355422
ATP11B	6.77065955819927
NLGN4X	3.89455819935131
FBXO34	7.41015448269774
ALOX12	3.55227719315494
RB1CC1	7.13586660266972
PCDH12	5.06596942395593
RPE	5.29161997047763
EIF4E	6.18177010309668
CSDC2	4.02720442145678
ABHD5	4.19315654966187
TMBIM1	6.08439675654947
PET112L	4.28826723141032
P2RXL1	3.05805119590893
F2RL2	3.14983424183158
TRMT1	5.62527318311665
IMPG2	3.47523519043003
LRRC32	4.13207684620284
BGLAP	4.43045803914791
HTR4	3.25457467589791
MRAS	4.16232632325298
TRAF6	4.98962300058672
AXL	4.91863917054305
ATP2C2	3.68514818338828
LMNB1	6.9014570065362
TELO2	4.13343324323584
PNPLA3	3.55379777810124
CSNK1E	6.49508171525363
SRP14	9.615374260139
KCNQ4	3.18346562120826
PIK3C2B	5.6112728391844
C15orf15	8.86201005311814
TUBB2B	2.78316061699269
USP15	6.04316766416469
C12orf41	7.64160694052873
CEND1	3.63231432830429
RNF31	4.45774019439664
TCEAL2	3.74115752588574
PTGER2	6.07161325953126
UBN1	5.65926307470713
SLC5A7	3.21111623218026
SLC31A1	4.97603753201125
ADAM29	3.4871674450216
ST7L	3.95637465051814
GFOD1	4.59429145472238
CTNNA1	9.58641330457073
HRBL	3.9770786406198
CBX4	4.1673937964721
NTRK2	3.43000378362576
FOXN3	5.30785283953369
MFGE8	6.01278836493121
PFKFB2	3.7280697667168
TAS2R4	3.61347384760408
SH3TC2	3.01071419195130
IL10	3.56821035711170
PXMP4	6.92407054813853
RNF167	5.85247559904448
PRMT5	7.26871488778734
TSKU	4.59662154840111
ATPIF1	8.7937824841152
ETV3	3.17830666001931
PAK7	3.68034846962971
PDLIM1	10.1030956753630
CEP63	5.85027794271815
WDFY3	4.58219769712808
RNF126	4.99218115729988
DPM1	8.98173475980821
CLIC4	6.89321643618201
ACR	3.70336806939623
KLK7	9.07072565399208
ALOX5AP	8.82683521978834
LRP1	4.80034688283023
TNK1	4.42490899056745
TAS2R9	3.16634699806065
ZNF16	6.22742366346469
POLR1B	5.72491785088125
SLC8A2	3.63055453940909
OLFM4	2.68089805630192
TACC1	5.24829489401909
SAMHD1	7.85943118283157
ATP13A2	4.34903550407723
KRT4	4.35136617892683
PAX6	3.61613531807075
SCG2	3.40560439253336
SLC17A6	3.18215972275732
TUBB4	3.60688003347863
PADI4	3.11062842818324
FMO3	3.231989004512
NLK	3.87457233508382
POU4F3	3.02251038753848
MDM2	3.71122731358977
CAPNS1	9.21646686668996
SDF4	7.21765143169266
ITGBL1	2.98569664742823
TAP2	4.58519431470945
OR2C1	3.60999760996233
KLHDC3	5.88666735217025
EFHD2	6.74857901174319
GALR3	3.51680130960467
NBEA	7.16846845239127
ABCA6	3.43747918357929
ABBA-1	3.63952464655029
GNAI1	6.07021890758817
CLDN3	9.2154142056135
AKT2	3.3273260813759
EGFR	4.45232495635744
VPS4B	7.54138415461312
RBM16	7.62918850506107
GALNT6	4.72486873612282
ZDHHC3	5.5676785416862
SLC25A4	6.84696852337457
CYB5B	6.38852082016251
NDRG1	8.26945345934752
SESN1	5.26917905458123
GBE1	7.8494394635111
MRPL46	6.528737981595
CLASP1	6.33431584578952
FARP2	5.15022746700905
ACOT11	3.97242760548916
LDHAL6B	2.95288100903349
MAPKAPK3	4.84900280717879
NCAM2	3.05314982690662
AFAP1	4.07568805104511
PRKD2	6.86751686483837
OR2H2	3.41639925995771
ZFP36L1	7.91395209149089
DZIP1	4.40954489488483
GPR161	4.16762961575309
RNF146	4.55159057623109
NKX3-1	3.9325720654852
CCNB2	8.63315765744973
ZNF10	3.52394475360355
WDR74	5.93576026574067
FAM134A	7.88555292758708
PCNP	9.08295788188848
PURA	5.05376467284619
DNPEP	7.96741924585494
ERBB2	5.44589386585272
CREB1	5.77977314890495
NEO1	6.82025932021228
DDX3Y	3.19327914610758
RPS3A	12.7384358811142
MXRA7	9.138171631069
LGALS3	11.0558411131712
GLT8D1	6.85118724713266
TMPRSS3	9.20045998348532
UPB1	3.19827761460413
LAT	3.81572501865237
CLDN14	3.56072232347500
DHX38	4.5610085427093
KCNA3	3.36275705062843
BTBD1	8.94441520747134
TARS2	5.67084207126325
SKIV2L2	8.57113137983593
ABCF1	7.79141570186342
CDT1	3.41872301947764
ZHX2	5.8776915357185
FCF1	4.73329529116653
LRRC49	5.63519844067214
GUCY1B2	4.20107739746826
CD28	3.31280154353934
SMARCA4	6.61284431848025
SEPT2	9.21671492757886
SOHLH2	3.07087237085141
MCOLN3	3.72157381534556
LRP8	5.00612863662376
TAGLN3	3.49213227741619
MASP2	3.57888895096208
GPATCH3	4.40571344824639
TTRAP	7.66623733293165
AGL	7.50331369031938
NFE2L3	5.95888808237248
PSD4	3.6117171362346
PALMD	6.42214126684112
CCNB1IP1	8.67662267507993
TMEM43	7.0767500434187
OBFC1	6.67212531907883
STAT5B	4.38262732451561
C14orf79	4.31820144368877
ENPEP	3.76522012544112
SSB	8.59565245162742
SCT	2.94529218785107
TIMM23	7.05696740871322
SKI	3.43549503014850
SLC22A13	2.94140435117363
AKAP3	3.57354653305418
OAS2	5.42526188334788
KIAA0423	5.99702464381715
SEC61G	9.5553772681424
CAPN11	3.01120404691110
TMEM50B	7.15788688513231
DEGS1	6.852447023832
ARHGEF4	3.26557470222733
DBNDD1	3.90919826961707
