Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D04
Composite Element REF	Signal
PEX16	5.50247614135559
GNG12	7.54407960246782
HABP4	5.13578912053509
CNTN2	3.47538426006941
ASNSD1	7.39326907375975
FUT4	4.1844280383035
DBH	3.53989430989637
CD53	7.23028963489368
HIST1H2BJ	3.42736131520078
TFAP2B	3.27577924473838
ACF	3.73517979100218
TMEM11	6.31501781915064
CDH8	3.14343631079341
C3orf32	3.69856701447884
AGPS	6.22033492686728
C4orf18	3.2693207584113
PCCB	8.51794866280332
IPO13	5.16537703985348
PECI	8.53933384554122
UNG	7.61329746323303
C6orf105	4.55144014084753
GSTP1	9.23510590153071
SUV420H1	7.11546504628869
ARHGAP15	3.93373540210416
LTBR	6.52149728575582
TDRKH	3.60242725595246
PSG4	3.44751725498175
SLC9A3R1	6.9759713448269
NBPF3	9.40127628101961
SLC9A3	3.53404124656299
OSBP	7.0923887461089
PRR5	4.57121715513863
CHMP7	5.38217556835147
ADRA1A	3.08550341794233
ASAH1	6.72944545240002
FKBP4	7.06272982376392
ZNF350	4.49903735350428
DOM3Z	5.8556054425999
GIPR	3.6318553536853
AHI1	4.5286562000951
BST1	5.40524574883486
NCR2	3.5670446085132
NADSYN1	5.42162249739972
UBE2W	5.73045676559768
RGS14	3.71771584863125
KRT15	4.22088103260683
SCN11A	3.64821855246535
GFI1	3.55716228438325
FHL1	7.31905408695008
SMC6	6.55769331611201
GATA1	3.67768932197801
OSGEP	6.2501406619368
ARMC6	5.71911460190202
HK3	3.27669622412666
PSMD5	7.10049648431503
RSU1	6.98713144616032
RPL4	12.0737833166004
MAD2L1	7.27859053802376
RBPMS	4.17111493626917
EIF4A3	9.74856631876605
E4F1	4.61052509369837
DLEC1	3.36692393213107
PRPF3	5.45852689389069
EMR1	3.30775613752522
CHMP2B	7.09144378018754
CAMSAP1	4.39215257208469
RPS21	10.4766674774270
XCR1	3.36596060928421
ARID5A	4.63619622853736
RBM6	5.67176672066996
UBE2N	7.81030891632388
KLF4	4.880998821447
MGC4172	4.85055742290632
LMO4	7.30564695003442
KLKB1	3.36136500974648
HDAC3	6.81075695042393
HP	3.21077804629395
SCHIP1	5.32048946529059
BTK	4.08967660219023
KRCC1	8.71663266565558
PRND	3.03448229874936
C6orf27	3.14988973694091
PIGL	3.6959393551558
CLCA1	3.71093105047591
C1orf112	4.66027374541775
OLFML2A	4.99182793055845
HUS1	4.87710014698546
SFRS6	7.81917893706753
CXCR7	6.7521666439851
UIMC1	5.5755872551167
FXYD2	3.32521650501172
GOT2	8.13950014213095
ZNF667	4.28213837365784
TFEC	3.87303644797364
ATP7B	5.1619726604412
RAB38	6.68424288357012
POLD2	7.19726454509737
PPM1H	7.83688605853568
DCX	3.31344052993358
NFYC	8.41263432005788
ZNF228	3.91403880129371
KIN	6.11131352105475
PLSCR4	5.52464704256673
HIST1H4I	4.34064880035948
PPARGC1A	3.13677072284931
HIG2	8.07180095857737
KCNK10	3.97176341187762
EXOC1	7.1996663546799
OR6A2	3.93362213599977
ETFA	8.60452721384517
PDAP1	4.98622111468194
C19orf6	3.42683763914029
POLRMT	4.47546157228113
ZNF146	8.11787926950095
MIA2	3.14407316442052
LY6G6E	3.11115111562467
EIF4E2	8.14874871276777
NENF	5.29389565435636
HOXB5	4.91968497225586
ZNF324	4.62639729208487
CUGBP1	4.33087189273381
ENTPD7	4.19901492651671
TTC13	6.49641434895315
GJB5	4.0660144402408
PRSS22	4.25017869268071
CYP3A5	3.57951424939656
MBOAT5	5.07589757503318
CUL4B	5.83720357020572
CENPJ	3.47299283482573
KIAA0664	6.97537053759254
PITX1	4.39429861229767
PDGFRB	4.49449270051482
RDX	6.24674871548523
CELSR3	4.1062555733818
JUND	7.23447057649025
ITSN1	5.18247649542671
CHRNB1	4.49087339517689
EHBP1L1	3.52815921223848
C19orf2	7.3512065584489
FETUB	3.08768765564089
CAMK2B	3.26287322042226
DCTN1	6.73669414561118
TNKS2	6.53761678604554
MRTO4	7.45740768365296
C1QBP	7.35699685527557
TTC3	8.41859808725
NDUFB8	8.57235941350917
CADPS2	6.10832966953819
EDG2	3.93445755701209
MYF5	3.08890289178837
SEMA3G	3.90904651775224
IL23A	3.73435673649619
GJA9	3.59689368402328
R3HDM2	7.61288154243462
C5	4.32827609070815
SLC2A10	7.15584891247834
TRIM45	5.40217310999869
TSP50	3.77274063936746
PAQR3	6.31578018657476
ANKRD26	3.38778004272527
TCP1	8.66334365072472
TMED7	6.68572609688448
CMA1	2.89964060769577
PTCRA	4.33201250207804
HCRTR1	3.19946776691358
FST	4.13702473842051
PAWR	4.14739748412875
LDLR	4.06390817855074
ASTN2	3.8456494027633
SCRN1	7.69403262586474
GPATCH8	6.59404788155345
KIF4A	6.08011519232869
TANC2	3.72289412478662
ZMYM5	3.80317598674444
PGM1	9.1222940371806
ZNF586	3.78406636873875
POLR3G	3.5044680577364
CPD	8.17292019742566
SNCAIP	4.1240466681949
DCT	3.63408039537334
HLA-DOA	3.52588648420502
TANK	6.14353175555891
RCAN1	4.66419866882861
UPK1B	7.01515333054152
DNAJB4	4.17562005391869
UGT1A8	2.96552079969213
LIMD2	3.29296512021756
HIST1H4L	3.37132134415941
PECR	4.58231739195234
HSPA2	4.26141648941606
SERP1	9.72516204711137
TACR2	3.36454908254001
NUP85	6.7073093105622
CD177	3.5212631551914
GPR135	3.20702385572555
PIGG	7.26324297704816
LGR5	6.79133501312088
JAK2	3.70437280767448
DPYSL4	3.42348552754086
TM9SF4	6.84555877058398
PTHR1	3.34221712301983
SIRPG	2.89640243975337
ZNF264	4.38787297287577
BICD1	5.57471743433234
RAB5A	8.08666089598598
FLJ13224	3.46777878936816
METTL5	8.89935341915503
HERC6	6.68044526872751
CASP1	5.44377168468106
USP9Y	2.90706476912309
LRP1B	3.06049045511547
XAF1	7.74011064997343
PLA2G4C	3.64175421449911
APOA2	3.06154358414277
SPAG6	3.05889412932909
KALRN	3.53911892537589
SECTM1	5.93692382025046
THOC7	8.21820461551676
IFNAR1	4.93955222364441
TCTA	5.94396060466596
NY-REN-7	3.14367530006992
TALDO1	9.34966890274614
B2M	11.6456232539055
LPPR4	3.07075169077372
SQLE	5.5189982520404
SEPHS1	7.23819697843551
EIF5A	6.77179974478446
FAM49A	4.56677932312136
YTHDC2	4.08479022530858
EHD2	4.53142144174527
NCF1	3.58857957329479
SPG7	5.82175792763335
ZNF614	3.45818066876898
HOXA5	6.63094029793013
NUP133	8.39175779736186
FGF12	4.99329163674393
SLMO2	7.93820420002006
INPP5B	4.52627845761774
PPID	6.81891797651942
SNTA1	4.8578303067343
IL20RA	5.3395905702715
UBE2J1	6.57102117250157
CACNG2	3.18568485971481
GCM1	3.16359209741442
ELF1	6.3575404607608
TLR5	4.95664495069899
TCFL5	7.49677943135962
C1orf107	6.42691862053032
C19orf22	6.87649774292758
SAFB2	6.22226500113434
MAP3K7IP1	3.94991636571147
NCK2	7.31873090578793
OXA1L	9.21554810752519
KIAA0652	6.23830035233023
KLRG1	3.54470637403254
FRAG1	6.88880287992882
ZSCAN12	3.00612161520866
PSMD12	7.20514070364143
E2F4	5.52734444003061
CLEC4M	3.54626722514874
KIAA0999	5.28223822230787
CLDN10	6.93001954591181
MGC13053	4.05340756377422
TAC1	2.71197883454588
GYPA	3.2948283925924
HPCAL4	4.3507390546589
TRAIP	4.55475511638714
MEX3D	4.56484945720817
KIAA0232	6.17662088974299
ERCC8	4.92042491523356
NFAT5	5.02741384984522
GPX4	8.97067668737884
CSPG4LYP1	3.13336660612029
KIAA0368	6.06631013274153
FBXO3	5.49536149233512
DVL1	6.87467635775974
CMKLR1	3.7292281240337
GPR157	3.53602614186376
TYMS	8.57507165956147
OR52A1	3.11808592450646
PEF1	6.99531930255975
ZNF750	4.87888144230652
ALG9	6.63627147187958
MCM5	5.650502118204
SDK2	3.62542146496032
BAIAP3	3.73126712936944
RABGGTB	6.21968050852353
KCNK7	3.28455613367671
PTP4A3	5.27990199068023
ANKRD40	4.57389573111856
CALCOCO2	7.5889812921496
TMSL8	5.62685054408725
SNCA	4.23883707764715
ZNF551	4.14773362465851
HBQ1	3.17787266932377
ARHGAP26	4.97935279554823
GEMIN6	6.79837083824863
HRAS	5.63796959949621
KLRC4	2.84918707050293
BSDC1	5.79679288264491
DSC1	4.1355081150559
RNF43	5.67581170238452
NDUFAF1	6.94036683253999
MAP2K4	5.84927184282213
FOLR2	4.77679474603302
LYZL6	3.58908304774356
EPB41L3	3.7003030780692
TEKT2	5.54498718312877
CDKN2B	3.39686186876475
WSB1	5.85429457961685
ZNF480	3.27495961930628
MAP3K6	4.18572976915236
PROS1	5.93346509737326
PSMB8	7.83472786258784
HN1	7.30258454193011
MAS1	3.26409062318298
APOL1	6.11447566623403
CSHL1	3.25807643625348
ZBTB7C	3.02776766580774
AHCTF1	6.22148283781769
SAE2	9.08556306436286
ITGA2	4.03700025516325
AP2S1	8.2891923550317
P15RS	7.70774753346871
MME	3.5721571080762
VAT1	7.20145256510983
MAST4	5.49019254668304
TUFM	9.50660637453556
KRT33B	3.76355036159271
THEG	3.80205323723183
KCTD2	5.15609959135199
WDR26	8.1855030907422
MFI2	3.12404098691447
KRT34	3.03667183461685
NR4A3	3.51847487356192
SGSM3	4.86846614651528
ARSA	3.75169074205934
TOMM22	6.12461752279913
SOCS3	3.57127051614783
UNKL	3.66102443179063
POP4	8.20831057647864
BHLHB3	9.7111794113372
MALL	5.28050587262249
SOX15	3.38842241342198
CCNA2	5.77240237463722
PARK2	3.18867606819107
GPR124	3.95091207807265
TMEM132A	4.58904543330959
CGRRF1	6.07073220417006
RUVBL2	7.57325019150135
MCAT	4.78406546986274
WNT10B	3.39465750176872
ISCA1	6.97408605254447
RPAP1	5.40604523850445
C12orf48	4.44734181763241
RAI16	5.14427687954734
RPL27	9.38404012829076
EPN1	3.67888539013644
MAGI1	3.08149481572893
GBX2	3.23332900708478
SLC35A1	7.9422622196888
GAL	7.94873749683196
SLC14A2	3.62107740866879
RDH11	7.02635458294061
ZNF518	4.50690014388591
PCYT1B	3.25335931310563
AUH	7.05392289941681
EIF3H	10.8510180178264
KIF1B	9.04525756821688
MBD2	4.74674791993467
AMOTL2	7.8548018173811
C6orf120	7.30363918427125
PIGT	8.19401345369123
PSRC1	5.86057543288036
PLA2G10	5.97436609740512
ALAS1	8.07586314599983
FOXO1	5.58898072046868
C17orf62	7.02683814402977
KIF5C	6.80015805216223
DUSP10	4.27760893222003
CRLF3	7.45027792901999
CLCNKB	3.87645127843519
PSMA5	9.17149950303649
FARS2	6.21140309311974
CCDC28A	6.83362487479155
AMPD3	4.45262043725739
PIAS1	7.37685482331563
ADCYAP1R1	4.151316530149
TMEM134	7.63936411621764
CDH20	2.95961323483563
FBXO7	8.33560502418585
FLJ14213	4.66363149971065
ZNF3	6.28995132705188
LRRFIP1	7.20005506427132
TMEM49	7.71697212397861
CNOT2	8.51570428915059
CBX2	2.92824329538988
ZC3H14	7.79805485104822
ALDH5A1	6.6817518501251
HNT	3.11231016257288
SERPINA4	3.55886722608474
FLJ20920	5.87185777921136
CRTAP	6.21782549823081
DDX50	8.31784826899133
STYXL1	8.50125371696267
TK2	4.49783137586592
BLVRB	5.92366279951135
STMN1	6.98086049043482
GUCA2A	3.19260932660588
DPP6	3.19187746568156
GALNT10	5.03317427480494
STK39	5.88769949259139
MMP24	4.62306409808484
CKS2	9.29304850124545
RHO	3.80241095150497
BANF1	9.12291675795303
CR1	3.00340295978715
RPS6KA2	6.03425105330903
HMBS	6.78983190706519
C20orf112	3.87634382356459
SLC25A24	7.6165772230472
MRPL22	7.81171109637582
SLC25A15	5.74631851591448
GADD45B	4.61683978892921
TDP1	7.64094986697887
ZNF287	3.60012116373767
DAAM2	4.91245228281482
C11orf57	6.57464191353488
RFK	6.71779417367902
ZFYVE9	4.58939615841891
TCTN3	7.25618780858561
STCH	6.58124897694139
LOC283871	3.61332534441561
NDUFB3	8.2425484531223
DEFB4	3.6133587336712
FPR1	3.92802637546043
FMNL1	3.78073909166488
SEPT7	9.70535975983355
PTCD2	4.85153784615345
GNLY	3.33574743806447
GRAMD1C	5.00511754359471
ZNF165	5.21181078020194
TR2IT1	4.71687314099099
ARMCX3	8.32255810174205
NDE1	6.5372257483224
MAGEF1	7.33973068870262
ITGA10	3.62930903395369
ARHGDIB	7.90370250731057
FSHB	3.86485537836363
ANXA2	10.9077271518064
HLCS	4.3573734671903
MCF2L	4.33835351300224
AK1	5.69720567975512
FH	7.28966925671057
LGALS2	3.45495826985537
SYNPO2L	2.78593322386614
KIAA1045	3.32997517412629
C1orf183	4.85139801711713
MAGEA8	3.1362983915203
DGCR8	4.78381016640922
GSR	6.09423976887771
NEU2	3.61475780190874
HIST1H4B	3.59519737276066
CACNA1C	2.98527016016629
FAM20B	6.9389583011086
HES2	3.26748823792047
PDCD6	8.43037827717647
INTS7	5.66955887038747
AMPH	6.8996404233234
UCKL1	6.53528047953636
ASB4	3.09079214196090
C10orf97	4.74030040177474
ALDH1L1	3.9298726767834
CCL23	3.21445594069870
OBSL1	5.25907558534812
SLC12A7	5.53569707763352
THAP4	5.90313768921392
RBM4B	5.65758951392475
OGFRL1	5.31928911992362
KIAA0831	5.54085595068841
C12orf11	7.94320455280614
PPP1R15A	4.00566189504428
KIAA0240	5.68172247282589
CD1B	3.34353247129369
FCGR2A	5.28144376760759
MDC1	5.5088352021281
MAN1A1	3.45285617529387
KRT9	3.33762312686997
HTR1A	3.38535820029082
OCEL1	7.15310465163046
ATP11B	5.33621600995911
NLGN4X	5.61009575321419
FBXO34	7.17244521112544
ALOX12	4.04617313628143
RB1CC1	6.6084097139523
PCDH12	4.29818985385385
RPE	5.29042249363319
EIF4E	6.40643132241162
CSDC2	3.82318256517751
ABHD5	6.34369782198044
TMBIM1	5.76190361276722
PET112L	5.05137889968752
P2RXL1	3.12785282779968
F2RL2	3.1210575934214
TRMT1	6.46595518986718
IMPG2	3.74266223026206
LRRC32	4.56055651185847
BGLAP	5.78399945088277
HTR4	3.23711920349621
MRAS	5.29877019223299
TRAF6	5.14794908603093
AXL	5.00442262738849
ATP2C2	3.75614612078276
LMNB1	5.39808149595807
TELO2	3.88994755931346
PNPLA3	3.75916233305320
CSNK1E	6.14518305543053
SRP14	10.1934709171982
KCNQ4	3.23718865811702
PIK3C2B	6.26295549230263
C15orf15	8.48060187779139
TUBB2B	9.0905023945727
USP15	6.81501793320683
C12orf41	8.1788421659453
CEND1	3.67041183494939
RNF31	5.9906093480656
TCEAL2	4.10978363765823
PTGER2	4.13169308402472
UBN1	8.95778382037388
SLC5A7	3.30088944998884
SLC31A1	6.25002800985816
ADAM29	3.43490827171667
ST7L	4.18379709702705
GFOD1	6.39865785195171
CTNNA1	8.20439308282926
HRBL	4.19327794275751
CBX4	4.29317230054885
NTRK2	3.54643103661285
FOXN3	5.93744503486279
MFGE8	4.98531290143764
PFKFB2	3.95150021154755
TAS2R4	3.70613205315987
SH3TC2	3.04927607762303
IL10	3.48511879793024
PXMP4	6.8865740512031
RNF167	6.89842157586
PRMT5	8.75596974603337
TSKU	6.00091929827937
ATPIF1	7.87008227584565
ETV3	3.13684690093305
PAK7	4.50805902323367
PDLIM1	9.45544424607717
CEP63	5.40989897649843
WDFY3	4.84202360082866
RNF126	4.40690265891122
DPM1	8.9663817029755
CLIC4	5.9587292573514
ACR	3.63914791303117
KLK7	8.99275547410822
ALOX5AP	8.4277354723674
LRP1	5.03609125770283
TNK1	5.66100648515265
TAS2R9	3.06152034710392
ZNF16	6.09135903220331
POLR1B	5.2734123165025
SLC8A2	3.77148020051111
OLFM4	3.64465968906404
TACC1	5.4690173477299
SAMHD1	6.3842454399397
ATP13A2	5.17553645461465
KRT4	4.18122385201469
PAX6	8.33045711339633
SCG2	3.7516795064261
SLC17A6	3.24088214978797
TUBB4	4.16318606465585
PADI4	3.02194728856122
FMO3	3.24592373760159
NLK	4.58079324076866
POU4F3	3.00677822655566
MDM2	3.56830802092309
CAPNS1	9.13075467344331
SDF4	7.71322413614894
ITGBL1	3.00632522237381
TAP2	4.18894977371849
OR2C1	3.53206705656025
KLHDC3	7.66426823345792
EFHD2	6.10024253250049
GALR3	3.49013977424099
NBEA	4.03863286549284
ABCA6	3.24844735048628
ABBA-1	3.65748102887827
GNAI1	5.93810008085111
CLDN3	8.97507966401014
AKT2	3.16687041561033
EGFR	5.04285516939299
VPS4B	7.73618058940262
RBM16	8.17427289102508
GALNT6	6.91967488074079
ZDHHC3	6.07993654489098
SLC25A4	6.16564170828477
CYB5B	5.42378979445705
NDRG1	7.61083516231593
SESN1	6.4062804051038
GBE1	7.39856939750409
MRPL46	6.84452638704607
CLASP1	6.0491025463796
FARP2	4.59476094046221
ACOT11	3.75425069460624
LDHAL6B	2.92009793650277
MAPKAPK3	6.03739144577394
NCAM2	2.91311612427111
AFAP1	4.16229988991726
PRKD2	5.66130491416906
OR2H2	3.40591530939077
ZFP36L1	7.18445013441217
DZIP1	4.49504608340075
GPR161	4.53527240980113
RNF146	4.63123868186577
NKX3-1	4.09140520029393
CCNB2	7.87308734191754
ZNF10	3.65599805471835
WDR74	6.3256392435117
FAM134A	8.41546881028364
PCNP	8.59132191166833
PURA	5.15155762400781
DNPEP	7.46901163221922
ERBB2	5.28773492148335
CREB1	6.34783530704185
NEO1	7.34359427671914
DDX3Y	3.15145156006112
RPS3A	12.7364550937448
MXRA7	8.51421356388691
LGALS3	10.1166788491275
GLT8D1	7.54317015222551
TMPRSS3	7.35410313173283
UPB1	3.12896960103106
LAT	3.8678857586219
CLDN14	3.71043672296354
DHX38	4.98420912799596
KCNA3	3.29925805518936
BTBD1	8.00057086944043
TARS2	6.26250752677655
SKIV2L2	7.56600849971366
ABCF1	8.49318284937796
CDT1	3.47762488085771
ZHX2	6.81553252246186
FCF1	4.90450793065262
LRRC49	5.1913377401021
GUCY1B2	3.47993170101633
CD28	3.35537462240936
SMARCA4	6.41032440680082
SEPT2	9.38562440843856
SOHLH2	5.00837818184983
MCOLN3	4.15796349783929
LRP8	4.83662943725367
TAGLN3	4.07208990518776
MASP2	3.60859673541165
GPATCH3	4.57830093243031
TTRAP	8.4853550594819
AGL	6.95721427646566
NFE2L3	4.61369303331038
PSD4	4.319383398051
PALMD	7.06699245827521
CCNB1IP1	9.24731722614186
TMEM43	7.3407268903235
OBFC1	5.87891136911717
STAT5B	4.54652806640772
C14orf79	4.60119383837816
ENPEP	3.96129927746521
SSB	8.01813054820704
SCT	3.02903879745970
TIMM23	7.116630151645
SKI	3.6657976988696
SLC22A13	3.00173340327164
AKAP3	4.78779248629587
OAS2	5.49401481897889
KIAA0423	4.77317060431698
SEC61G	9.97002090570285
CAPN11	3.13299965486498
TMEM50B	7.41818113931822
DEGS1	7.5608065046391
ARHGEF4	3.70866819986778
DBNDD1	4.2613972630093
TBL1XR1	5.64030076958971
FAIM	6.76991893678473
SP140	3.25244643285724
G6PD	5.43608358394195
NUDC	6.87808169893945
GABRP	4.80209614395566
SCARA3	4.82439884600386
TACSTD2	5.84359169330723
