Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
ALDOC	5.5999322459549
NUDT1	5.27964982632316
ZNF212	5.73529612170456
ACBD3	6.61888641081708
ZNF83	7.06371270310043
PRDM2	4.68877822303676
GDPD5	4.15334792112483
PDCD4	6.1100848362515
CEP350	5.92865192009097
FOXP3	3.25900229001475
SMYD3	8.38564744590449
CST7	4.21365959438011
SELL	3.98911961002077
CIAO1	6.78817954782352
LGI2	3.66502281039883
WDR45	6.75836759349109
ANKRD6	7.8748212641345
LTBP4	3.96346754452103
PSCD3	3.32070856656191
PYY	3.2592145488258
KCNC1	3.08883723825306
SIRT6	3.84109467598667
CCL19	4.78615354579112
ARHGEF9	4.12095400777918
ABR	4.72866603056887
C10orf22	6.60237118349332
STK17A	5.08271966212075
FOXE1	3.04722677812998
GML	3.30402399386388
CNGA3	3.05849518461523
CD38	4.16921472937311
ZDHHC6	7.78948518896781
NEFH	5.41909839438388
PGBD5	3.66803338927457
CTDSP2	7.34025285315093
RMND5B	5.16674984415077
ZNF257	3.83175672849467
DUSP4	3.7846800704361
FLJ22167	5.23785487321463
EXOSC7	7.58608763099563
ROR2	4.1458174286798
FOXM1	5.21928833545332
ZBTB48	4.49762065852334
BUD31	8.05888438820183
MAOA	4.03706344951897
CCDC41	5.34606527220572
TNNT3	3.82443099289746
FBXO11	5.70121486057434
GYPC	5.98847874790258
PLIN	4.44616945966614
RFXAP	3.57785544040409
C6orf15	3.96184098759268
RNF4	8.57970965712692
F8A1	6.27597456176917
PPP1R3D	4.29475156370017
GRB2	6.85551334265394
TPM3	3.21445208679466
SYT13	3.90747054211188
EPB42	3.45756474347538
RP5-1077B9.4	5.0533464072308
EIF1	10.4296995477430
CETN3	7.27678594517706
FPGT	4.97410820249221
PRY	3.44673765048882
NTHL1	6.71479167048556
POLR2B	9.06131004312151
RPS28	11.5221332245463
GDF10	3.50252615792906
COQ9	7.07801509383508
P2RX3	2.82335285569489
GCC2	6.82044242186675
RARRES3	5.54646035819765
PLXNA1	5.23733879123883
WBP4	4.74435540747825
KIAA0100	6.22293932076908
PMF1	6.95471673587107
HS2ST1	5.66984580640378
CRELD2	6.3699222417277
C8G	3.16727924176880
CD82	4.90994187023983
PMM1	4.68488930916201
CBLL1	4.35945856041367
LIM2	3.47374773309397
VAX2	3.82319870087169
SETDB1	5.48026904744525
LRAP	5.6303576772897
GCLM	5.32619931847178
CPEB3	3.64226217228428
PPM1A	5.33346972060712
INTS1	4.12369785922527
MMP16	3.11920806407366
CAMTA1	4.02913520802006
SAMSN1	4.33996903544728
DRD3	2.84798540278066
GMPPA	5.17489125223431
C11orf73	6.21543138841228
AIPL1	3.70959637690671
PTP4A2	8.53865927222204
IL24	3.45111902839964
BDKRB1	3.3316792285042
HPCA	3.40088647025369
MLF1	5.70071941419384
SEC14L1	5.49796546376874
CHFR	5.3928126478071
EMILIN1	3.77820950700945
THADA	6.09101143267589
TAF12	5.44244392430214
NDUFS4	7.98165751162484
ID1	6.35557182229084
PIK3CB	3.49371670385485
COL18A1	6.80689403321828
PDZD3	3.15340111636212
TBC1D17	4.79332527636229
COX8A	9.18189988693539
CDCA4	6.78609171143588
C2orf44	4.63416195457356
C9orf16	7.91158938970443
ERBB2IP	6.81662950451007
EMX2	7.72691484286139
FUS	7.25598201699359
NIPSNAP3B	3.68239982125186
TF	4.18656812438852
CXorf56	4.97640985483813
CLCN4	3.44810407723112
PWP2	5.40543845624194
MMP15	4.11939853837684
MTMR14	6.27794188220352
NPR1	5.84983209314045
DNAL4	5.33376450849166
ELAC2	5.01810167599444
ASS1	11.2024162149279
IPP	5.57080177464814
TMEM59	9.43795610198138
POLR2J	8.84373553913708
SEC23IP	5.21796139454776
RGS4	4.32721751603709
UQCRC1	8.81330953005286
SNX6	7.65706271267484
DDX18	6.93344753751934
POLG	4.26337795759787
ADAM23	4.24362828215424
ZNHIT2	4.3129399961509
TFR2	3.49184380159291
NCDN	4.09547074895934
RAG1	3.48192762929432
POMT1	4.60806809468746
CYP1A1	3.19789052489232
SNAPC1	5.71020610495939
GNA11	4.68843462607072
CCDC52	2.67016856824218
CAPN1	5.58020047640968
DDHD2	6.98469242067439
UPF3A	5.78929552826374
LAGE3	5.6101835243591
GNRHR	3.09822521282671
