Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_A01_464132
Composite Element REF	Signal
JAK2	3.77737010840731
DPYSL4	3.48628854681318
TM9SF4	5.39178545608218
PTHR1	3.34747322833257
SIRPG	3.42586013077782
ZNF264	4.30173019887493
BICD1	5.19559854199179
RAB5A	7.7649554936896
FLJ13224	3.08250674122810
METTL5	9.57792710628043
HERC6	5.56542136633598
CASP1	5.74305850684461
USP9Y	2.8718374796758
LRP1B	3.27360112512956
XAF1	6.025463690385
PLA2G4C	4.47512916223408
APOA2	3.10962520427312
SPAG6	3.04301209296354
KALRN	3.07576736043280
SECTM1	5.43457694607178
THOC7	9.47333056870169
IFNAR1	3.99726736105904
TCTA	6.48989278334926
NY-REN-7	3.33975392720432
TALDO1	8.54790626796333
B2M	11.7978732383535
LPPR4	5.84041615127485
SQLE	6.3460277926856
SEPHS1	5.72787393412859
EIF5A	6.4057883543591
FAM49A	4.88992936890136
YTHDC2	5.05318065830693
EHD2	5.84528798858548
NCF1	3.76054067945556
SPG7	5.61565926897857
ZNF614	3.64261429839431
HOXA5	5.98015204479496
NUP133	7.81783424649907
FGF12	3.69968480787716
SLMO2	7.99430440141123
INPP5B	4.48215505661255
PPID	6.29128201131306
SNTA1	4.42326661569529
IL20RA	3.90287419117331
UBE2J1	6.27676351543756
CACNG2	3.05460978258383
GCM1	3.15973170416239
ELF1	6.78556002609395
TLR5	5.06786497053645
TCFL5	7.01155981287318
C1orf107	5.5131401210194
C19orf22	6.2649575233747
SAFB2	5.93345528189151
MAP3K7IP1	3.78856959201567
NCK2	8.38400322707914
OXA1L	8.1674663839156
KIAA0652	5.72939597287708
KLRG1	3.31874772843656
FRAG1	5.12437204197817
ZSCAN12	3.0302276355502
PSMD12	7.11351485785844
E2F4	5.19248802773648
CLEC4M	3.32286021484278
KIAA0999	4.9873976067544
CLDN10	7.88563465897215
MGC13053	4.15855945817432
TAC1	2.95061676458632
GYPA	3.28967685434022
HPCAL4	3.19754502482886
TRAIP	3.97374185293876
MEX3D	4.4489940682408
KIAA0232	7.27587015922773
ERCC8	4.79094253516466
NFAT5	5.1702056498294
GPX4	8.79226683229171
CSPG4LYP1	3.28414194415268
KIAA0368	6.25357918400783
FBXO3	6.79091947413647
DVL1	5.63943952574433
CMKLR1	3.58524360763936
GPR157	3.50445059992726
TYMS	8.17691134461315
OR52A1	3.15016640556407
PEF1	6.09049270301887
ZNF750	2.93164881700396
ALG9	5.82428307240369
MCM5	5.0519840492516
SDK2	3.25335830312259
BAIAP3	3.74767702061042
RABGGTB	6.81331354275873
KCNK7	3.32683555333834
PTP4A3	6.60135946591621
ANKRD40	3.88964321096205
CALCOCO2	7.20354277163499
TMSL8	5.458214593991
SNCA	4.39108517331161
ZNF551	4.65783360270896
HBQ1	3.36140155744868
ARHGAP26	4.08511030580214
GEMIN6	6.27828766027721
HRAS	5.27158498906037
KLRC4	2.70996630302804
BSDC1	5.20671928301965
DSC1	3.52371903496322
RNF43	5.13746884537682
NDUFAF1	5.669483937607
MAP2K4	5.02270966345044
FOLR2	5.67976743124881
LYZL6	3.50531559846196
EPB41L3	4.67290093386241
TEKT2	3.32605595888936
CDKN2B	3.40395300892814
WSB1	6.2978009664502
ZNF480	3.60653025797097
MAP3K6	4.22205092165271
PROS1	7.9515314260885
PSMB8	7.99688926619685
HN1	7.17938749689679
MAS1	3.05995683794314
APOL1	5.90945530470435
CSHL1	3.17552503356860
ZBTB7C	3.14087906207806
AHCTF1	6.31363842541965
SAE2	9.29823181385461
ITGA2	5.74154989572963
AP2S1	8.59131015408676
P15RS	6.58099686823792
MME	4.35902148113749
VAT1	7.34027988696554
MAST4	5.73764758493186
TUFM	9.02778419871865
KRT33B	3.40666162579185
THEG	3.94216000414686
KCTD2	5.089623267318
WDR26	8.1187967881494
MFI2	3.31972944520525
KRT34	3.22080326206169
NR4A3	4.63703950402951
SGSM3	4.263606478676
ARSA	4.12349374319204
TOMM22	5.10393958922708
SOCS3	3.83205585633975
UNKL	3.80515127234199
POP4	7.69044649240998
BHLHB3	7.00298716767971
MALL	5.94394326149432
SOX15	3.32480792309756
CCNA2	4.37153658279372
PARK2	3.28065114045368
GPR124	5.93960961184043
TMEM132A	4.72712867582331
CGRRF1	5.94571119194951
RUVBL2	7.8657005211492
MCAT	5.53078660887704
WNT10B	3.94384599283309
ISCA1	7.35382364091925
RPAP1	4.04833337220369
C12orf48	4.95192630730313
RAI16	5.83972577590501
RPL27	9.26898895265967
EPN1	3.56331266556141
MAGI1	3.20214310911773
GBX2	3.1355081150559
SLC35A1	8.85906097395095
GAL	4.80730725750699
SLC14A2	3.61600941937444
RDH11	8.17355164277368
ZNF518	4.04735543355121
PCYT1B	3.26682299162223
AUH	7.62962976520944
EIF3H	10.8756523422551
KIF1B	5.97812039534985
MBD2	4.76403229271640
AMOTL2	7.91223398060146
C6orf120	6.80911279095162
PIGT	7.15711066305752
PSRC1	4.88649562907305
PLA2G10	4.03497724428666
ALAS1	7.003437789592
FOXO1	7.41850763007960
C17orf62	7.91873660700332
KIF5C	5.78588315054264
DUSP10	4.72665026123065
CRLF3	6.80521209834436
CLCNKB	3.38446350215091
PSMA5	9.141744037531
FARS2	5.66804042483743
CCDC28A	6.21238030955664
AMPD3	4.80116907470091
PIAS1	6.82178157123143
ADCYAP1R1	3.16647863644782
TMEM134	6.48572295090216
CDH20	2.93647224210373
FBXO7	7.47812353161267
FLJ14213	4.21684116176252
ZNF3	5.45733966919013
LRRFIP1	7.10845235187307
TMEM49	9.50288338608716
CNOT2	7.34683020993247
CBX2	2.95272312069127
ZC3H14	6.94306492378437
ALDH5A1	5.75100459511021
HNT	5.4058806509969
SERPINA4	3.35972650765693
FLJ20920	5.31936906376212
CRTAP	6.29160198545632
DDX50	7.93794415731962
STYXL1	7.81248316422622
TK2	4.72513645370632
BLVRB	6.89860323245498
STMN1	6.39804952018414
GUCA2A	3.19242436432338
DPP6	4.45200364174954
GALNT10	5.54789097491464
STK39	6.98125570211263
MMP24	4.28256572262756
CKS2	9.95511101243966
RHO	3.76193201042718
BANF1	8.29998437173346
CR1	3.05370535412027
RPS6KA2	5.51300297696815
HMBS	6.08028666004543
C20orf112	3.78489299766730
SLC25A24	7.56419183026624
MRPL22	7.96382804731327
SLC25A15	4.7590522807779
GADD45B	6.51563090824642
TDP1	6.23951476884842
ZNF287	3.5888606624576
DAAM2	5.20521917389693
C11orf57	5.29963117996463
RFK	7.52454924722581
ZFYVE9	4.01786269379236
TCTN3	6.74206905077623
STCH	5.73111079154337
LOC283871	3.54494745820895
NDUFB3	8.18368883440625
DEFB4	3.94922043653387
FPR1	4.39197983866917
FMNL1	3.97434438908762
SEPT7	9.50518073790499
PTCD2	4.49350794996132
GNLY	4.05404118522359
GRAMD1C	5.06256663160148
ZNF165	5.27207045182548
TR2IT1	4.15871984920335
ARMCX3	7.83237935860238
NDE1	6.03163928732881
MAGEF1	7.24036947920289
ITGA10	3.65098345780165
ARHGDIB	8.30885726780212
FSHB	3.73980100134051
ANXA2	11.4612969555655
HLCS	3.76542957007994
MCF2L	4.69311692967244
AK1	5.9119385026869
FH	6.59926760340632
LGALS2	3.63979432821
SYNPO2L	2.73153625182516
KIAA1045	3.42373210022509
C1orf183	4.59186927511507
MAGEA8	2.87779177721518
DGCR8	4.86946403728731
GSR	4.78472100122322
NEU2	3.54593518785174
HIST1H4B	3.64460259398392
CACNA1C	3.19112610172713
FAM20B	6.40465876762307
HES2	3.07883146552462
PDCD6	9.33654347029984
INTS7	4.81338224638141
AMPH	4.08631491643399
UCKL1	5.98223951448689
ASB4	3.08902206310903
C10orf97	4.98632346775821
ALDH1L1	4.5672579624183
CCL23	3.32938343953112
OBSL1	4.44096634171216
SLC12A7	8.19081468832633
THAP4	5.62096670205514
RBM4B	5.67399760685965
OGFRL1	5.54566764141283
KIAA0831	6.07619108589446
C12orf11	7.01520523624225
PPP1R15A	4.80995913925538
KIAA0240	5.88013867512547
CD1B	3.28727020466213
FCGR2A	6.74103888861266
MDC1	4.89154278284053
MAN1A1	4.39496280808580
KRT9	3.41717482053243
HTR1A	3.03599195598978
OCEL1	5.80816330881967
ATP11B	6.79657427867102
NLGN4X	6.40667083716241
FBXO34	7.3338731280991
ALOX12	3.43006467416437
RB1CC1	7.65132229290723
PCDH12	5.12413851245744
RPE	5.59796603312632
EIF4E	6.81141742190459
CSDC2	3.69997767230117
ABHD5	6.13171192136057
TMBIM1	6.27872720921913
PET112L	4.48441396070058
P2RXL1	3.23905174102088
F2RL2	3.11185298981204
TRMT1	5.20878402123771
IMPG2	3.42329585716095
LRRC32	6.21090762424419
BGLAP	4.12661168906529
HTR4	3.35263348325173
MRAS	5.01548294256083
TRAF6	5.221881493264
AXL	5.43281088305754
ATP2C2	3.45693978452504
LMNB1	6.1812874049012
TELO2	4.48664908135456
PNPLA3	3.22846216998132
CSNK1E	6.38633813572087
SRP14	9.8115491271587
KCNQ4	3.33142365294725
PIK3C2B	5.84223456259538
C15orf15	7.88396960900035
TUBB2B	3.21713739134748
USP15	4.79211676860612
C12orf41	6.31875476079711
CEND1	3.61275502205796
RNF31	4.64909606842009
TCEAL2	4.68512315377677
PTGER2	5.13885267509987
UBN1	6.66293311411391
SLC5A7	3.20169813638421
SLC31A1	6.59543369476142
ADAM29	3.78658810669995
ST7L	4.27366998361889
GFOD1	5.80051070698948
CTNNA1	9.18951482493037
HRBL	3.89820058639263
CBX4	3.65442232062924
NTRK2	3.9708589471846
FOXN3	5.82409657190025
MFGE8	5.50972125225952
PFKFB2	3.59147760497488
TAS2R4	3.41622669900851
SH3TC2	3.13210603620297
IL10	3.43892215304173
PXMP4	5.81993737505294
RNF167	6.09985245374373
PRMT5	7.10164007702372
TSKU	5.91966815302486
ATPIF1	8.12867924134398
ETV3	3.13614299998003
PAK7	3.21469901230412
PDLIM1	9.78458372875624
CEP63	5.37343325566899
WDFY3	5.12263070626678
RNF126	4.42460495962502
DPM1	9.2529741697339
CLIC4	6.53208192359205
ACR	3.61408725895683
KLK7	5.91880529074964
ALOX5AP	7.6150137370393
LRP1	5.47451040592222
TNK1	4.21003438264211
TAS2R9	3.08939535974169
ZNF16	5.92021190581912
POLR1B	5.54900858733667
SLC8A2	3.59487481499691
OLFM4	2.81643185537441
TACC1	6.24047080504081
SAMHD1	5.96735785169084
ATP13A2	4.74567288804144
KRT4	3.79584912382485
PAX6	3.46884997329013
SCG2	4.62800803511872
SLC17A6	3.27699461021756
TUBB4	3.73427837508768
PADI4	3.0854209138016
FMO3	3.17184198355168
NLK	3.84426087143939
POU4F3	3.17773689691458
MDM2	3.49348559476968
CAPNS1	8.84088594791155
SDF4	6.61538514965615
ITGBL1	4.96036515790275
TAP2	4.06912799642382
OR2C1	3.41981851141932
KLHDC3	6.00534836546605
EFHD2	5.04640147955607
GALR3	3.70071348854385
NBEA	6.0788814557223
ABCA6	3.72004683846562
ABBA-1	4.02166692727579
GNAI1	6.58689268876588
CLDN3	6.44604549315048
AKT2	3.26119537026717
EGFR	4.51065564903141
VPS4B	7.39239407586675
RBM16	7.41325293592309
GALNT6	4.43670074168558
ZDHHC3	5.34153103893233
SLC25A4	6.63894128614416
CYB5B	5.33614298870036
NDRG1	7.94852639936222
SESN1	5.00886182239819
GBE1	8.22045863054626
MRPL46	6.46643150175582
CLASP1	5.95381456935811
FARP2	4.92481250360578
ACOT11	3.37636177371552
LDHAL6B	2.98672490993792
MAPKAPK3	5.4572453454847
NCAM2	2.98189342348689
AFAP1	5.0957916875392
PRKD2	5.81908623665294
OR2H2	3.14959828627761
ZFP36L1	7.30321176092072
DZIP1	5.54764626408581
GPR161	4.19685002521293
RNF146	4.18382813586036
NKX3-1	3.88969816363
CCNB2	7.81029469541048
ZNF10	3.76607835191096
WDR74	5.22763165958808
FAM134A	7.34481263117211
PCNP	8.62228791747502
PURA	5.88966994495386
DNPEP	7.00024247516006
ERBB2	4.53843027881616
CREB1	5.88149601139849
NEO1	5.27744264125113
DDX3Y	3.20326016924766
RPS3A	12.3963658106354
MXRA7	10.1149648827488
LGALS3	11.0419348196883
GLT8D1	7.69640534923305
TMPRSS3	5.7991121227594
UPB1	3.32452874129305
LAT	3.85854166821709
CLDN14	3.74696221535668
DHX38	4.32857563937026
KCNA3	3.36189010996817
BTBD1	7.78644203784177
TARS2	5.16608690414534
SKIV2L2	7.08419300590552
ABCF1	7.51274914172119
CDT1	2.83031200342877
ZHX2	6.34898405859987
FCF1	5.07098681929174
LRRC49	4.75557547253773
GUCY1B2	3.33423795369661
CD28	3.28212027004639
SMARCA4	6.17971945541184
SEPT2	9.12480129054643
SOHLH2	3.77381279688648
MCOLN3	3.57712924817742
LRP8	5.60915844360602
TAGLN3	3.83100051648134
MASP2	3.6734302878018
GPATCH3	3.90907326094136
TTRAP	8.51405773475098
AGL	7.43082157026269
NFE2L3	4.63018301188237
PSD4	3.47003310644884
PALMD	7.55599634418828
CCNB1IP1	7.36172790210815
TMEM43	7.30616518177819
OBFC1	6.47441199921198
STAT5B	4.38377112317827
C14orf79	3.94622522552987
ENPEP	4.81154687337527
SSB	8.56948642477777
SCT	3.05436898833762
TIMM23	6.59360802414046
SKI	3.74060212060574
SLC22A13	3.0624521719977
AKAP3	4.01976394392182
OAS2	4.77003865180528
KIAA0423	6.39471846354792
SEC61G	9.06362795593353
CAPN11	3.03000850875267
TMEM50B	6.8253617766706
DEGS1	7.95956698385757
ARHGEF4	3.53313293173888
DBNDD1	4.47802833449032
TBL1XR1	4.32097430785909
FAIM	5.76935552760246
SP140	3.38616812614897
G6PD	4.92223758446331
NUDC	6.50376982312564
GABRP	7.1040029588835
SCARA3	6.34208389408362
TACSTD2	5.71334204091061
