Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D04_547316
Composite Element REF	Signal
SLC12A4	3.48661508177439
BRCA1	4.03728938441509
GBL	5.27433250748166
C14orf108	7.56334083133968
CDC25B	7.16121709013608
BMP3	3.37531630099005
MAP1LC3C	3.21847129824969
TMEM180	3.46630428485556
CRYGC	3.65473249263359
SLK	6.10949481042756
POU3F1	3.19650667717135
C20orf32	4.02272794737212
USP52	6.62822324363822
HIGD1B	3.6962354221323
BAZ1B	6.96618197480843
USP6NL	5.6795519378064
SLCO2B1	4.25516922056372
ABCD4	4.02917565808475
DIMT1L	5.90317217492467
SLC25A46	7.49040178082287
LARP7	6.55972145055326
TEK	3.43851357664694
CD160	3.47377485451204
TERF2IP	6.89134196966865
PHF20	6.33733606881634
COL1A1	6.19499921103398
KIAA0090	6.01408348710764
GTPBP1	4.12626318463833
GRK5	3.69247854421406
AP1S2	5.63714157517231
RAB33B	4.09811997471593
CA11	4.36170260567427
ALDOC	5.96188434033927
NUDT1	5.65440549361184
ZNF212	6.18453215947203
ACBD3	7.26632532118586
ZNF83	5.80458275003255
PRDM2	5.21936574453364
GDPD5	4.93547712132063
PDCD4	6.74965842740697
CEP350	6.25962159023334
FOXP3	3.28932394442054
SMYD3	7.1433634384345
CST7	4.10683893987962
SELL	3.57285470493566
CIAO1	6.80983749190966
LGI2	4.17344886108351
WDR45	7.70623124875851
ANKRD6	6.65421098526882
LTBP4	4.16363908172568
PSCD3	3.44026240996212
PYY	3.11280838431080
KCNC1	3.09563782619656
SIRT6	3.83698445804147
CCL19	3.92865869639369
ARHGEF9	5.18841966734545
ABR	4.60107615304885
C10orf22	7.35100120985145
STK17A	5.27945911546645
FOXE1	3.1994996686013
GML	3.17366890255468
CNGA3	2.82153334278109
CD38	3.64581617546161
ZDHHC6	7.67349886957585
NEFH	9.49645128803512
PGBD5	6.19498989615711
CTDSP2	8.93648176749524
RMND5B	5.22314722768501
ZNF257	4.99723686209402
DUSP4	4.57810982663315
FLJ22167	5.59841535522912
EXOSC7	6.72024123090039
ROR2	3.55070463571808
FOXM1	5.76543371819325
ZBTB48	5.14445598191869
BUD31	8.10140412090098
MAOA	5.22054689947913
CCDC41	4.02349887779493
TNNT3	3.34454257662488
FBXO11	8.06811713922434
GYPC	5.24394970611757
PLIN	3.68721163207284
RFXAP	3.64220123560794
C6orf15	3.93663290727281
RNF4	8.56149690795962
F8A1	8.5709837788146
PPP1R3D	5.43151749781863
GRB2	6.85160189419248
TPM3	2.89730677934171
SYT13	3.69311480219008
EPB42	3.63636452476194
RP5-1077B9.4	5.87706072493453
EIF1	10.3630269267288
CETN3	6.40444737511966
FPGT	5.19970244499611
PRY	3.56107522188648
NTHL1	4.33154830293908
POLR2B	8.14273359314156
RPS28	11.9363481366799
GDF10	3.67036796135619
COQ9	7.01049327610315
P2RX3	3.05395139492367
GCC2	6.54343757216383
RARRES3	6.71200739218222
PLXNA1	5.27607938284243
WBP4	4.25724971040595
KIAA0100	6.84384813329374
PMF1	6.75852700339862
HS2ST1	5.60701328049595
CRELD2	5.86816900954545
C8G	3.02148275701298
CD82	5.88426332342163
PMM1	5.14774371542658
CBLL1	4.8168367921736
LIM2	3.43284375386245
VAX2	4.23828620993573
SETDB1	5.56026763696374
LRAP	4.16571990345374
GCLM	7.47800759031495
CPEB3	3.90854975532335
PPM1A	5.17114166682167
INTS1	4.30000155409567
MMP16	3.12527976556011
CAMTA1	4.3092497103398
SAMSN1	5.23961236745594
DRD3	2.85810386853372
GMPPA	5.32257735526081
C11orf73	6.35071275559851
AIPL1	3.85998958714026
PTP4A2	9.34258838966581
IL24	3.29464430484533
BDKRB1	3.2196819854334
HPCA	3.62562100819782
MLF1	6.25721718984011
SEC14L1	6.09388673925042
CHFR	4.87637839361590
EMILIN1	3.25942031090109
THADA	7.43155932441028
TAF12	5.57366717887093
NDUFS4	7.38789124273872
ID1	3.41004951576912
PIK3CB	4.35495714723293
COL18A1	7.17686889833561
PDZD3	3.13067094685962
TBC1D17	4.71999515615524
COX8A	9.54291732045202
CDCA4	6.36760271434671
C2orf44	4.79279615139393
C9orf16	8.20548632863817
ERBB2IP	8.14298671684243
EMX2	8.65336620887932
FUS	6.19469028562206
NIPSNAP3B	3.79284310655016
TF	3.41786319989711
CXorf56	5.9183377217837
CLCN4	3.79188324999017
PWP2	5.80851263772762
MMP15	4.10102429796619
MTMR14	6.40797060743264
NPR1	6.0857269172442
DNAL4	5.43172419608375
ELAC2	4.64980874639214
ASS1	10.5372556131230
IPP	5.10931290886094
TMEM59	9.04949346087702
POLR2J	9.22518242524811
SEC23IP	5.84699108811356
RGS4	3.91171546040876
UQCRC1	9.06876433995726
SNX6	7.069068978161
DDX18	7.07098583694032
POLG	4.94059427073477
ADAM23	3.91258439946062
ZNHIT2	4.48696694480092
TFR2	3.71381377334063
NCDN	5.35319017920104
RAG1	3.43355182318694
POMT1	4.68685291833735
CYP1A1	3.34722057088536
SNAPC1	3.86838315404754
GNA11	5.44547425113902
CCDC52	2.70333004538095
CAPN1	6.66466786664076
DDHD2	5.87813962015129
UPF3A	5.04970599280269
LAGE3	6.00895138666406
GNRHR	3.13834602396062
UNC13B	6.67219860381025
TTLL4	5.18928708131146
PPBP	3.02837790830275
HTR3A	3.30133654264019
SDC2	6.0411984178136
ANKRD49	6.75956558308208
BTF3	10.4224985585243
COX7A2	10.4583462813901
SARS	8.4782911916847
C13orf18	4.2668185603822
CACNB1	3.50730190703688
QKI	5.87220451883287
SETMAR	5.63882564610417
LAMB4	3.01722402472354
MAN2B1	7.44132191525188
EML3	4.53678386665328
ACADL	3.29649532882856
OFD1	6.75030984029508
CGA	3.33607895582382
EIF3EIP	10.5866291960506
PEX16	5.27954866486268
GNG12	7.49067977409416
HABP4	5.05486196070357
CNTN2	3.29632461840065
ASNSD1	7.13097158594816
FUT4	4.04721928813368
DBH	3.4670838411287
CD53	7.11906364784129
HIST1H2BJ	3.56380001890095
TFAP2B	3.4337819122923
ACF	3.53821901378289
TMEM11	6.14942633377755
CDH8	3.07444758108913
C3orf32	3.74839976427618
AGPS	5.88924353442073
C4orf18	3.37057912953348
PCCB	8.44069000549991
IPO13	5.22905994134473
PECI	8.48964317795615
UNG	7.58753284081768
C6orf105	4.18847369791695
GSTP1	8.92205615677622
SUV420H1	6.8934202290903
ARHGAP15	3.95188478806302
LTBR	6.62905484409025
TDRKH	3.30265691118155
PSG4	2.97147593235069
SLC9A3R1	6.64175046669527
NBPF3	9.43096904922031
SLC9A3	3.23566207449250
OSBP	6.81368227257756
PRR5	4.22808999716173
CHMP7	5.22880680300608
ADRA1A	3.07784188936767
ASAH1	6.78886387264298
FKBP4	6.97656255022131
ZNF350	4.68784626635557
DOM3Z	5.73690147760925
GIPR	3.45159095675794
AHI1	4.48714977659909
BST1	5.19776022230369
NCR2	3.50836120232156
NADSYN1	5.24887813751625
UBE2W	5.67358922863392
RGS14	3.74822213273824
KRT15	3.98732066119832
SCN11A	3.57055234996826
GFI1	3.93100562810548
FHL1	7.32261874945607
SMC6	6.34466636918692
GATA1	3.52463460929708
OSGEP	5.63042322691527
ARMC6	5.49206795927476
HK3	3.26520539970307
PSMD5	7.1084628806901
RSU1	7.26562863738086
RPL4	12.1813826531499
MAD2L1	7.32085603837313
RBPMS	4.04036364194638
EIF4A3	9.58070573306652
E4F1	4.39969945817228
DLEC1	3.29860702187573
PRPF3	5.1618796577786
EMR1	3.5169806399454
CHMP2B	7.22113556532199
CAMSAP1	4.32352417377947
RPS21	10.3768925700349
XCR1	3.4899027029854
ARID5A	4.38163100361471
RBM6	5.71043924547262
UBE2N	7.44398434674897
KLF4	4.84502941086499
MGC4172	5.12514147514528
LMO4	7.1638712170419
KLKB1	3.52026293958286
HDAC3	6.60780539447835
HP	3.13235852074833
SCHIP1	5.15086411881746
BTK	4.11496472393922
KRCC1	8.6901335656636
PRND	3.06861872050497
C6orf27	3.26155465374282
PIGL	3.39648536618474
CLCA1	3.94758646699674
C1orf112	4.6917996305913
OLFML2A	4.39385638690039
HUS1	4.66314458764033
SFRS6	7.86011721643296
CXCR7	6.49455788720772
UIMC1	5.34610816273621
FXYD2	3.52826165248579
GOT2	7.93798275826656
ZNF667	3.90050698980015
TFEC	3.63544501846321
ATP7B	4.95197627105717
RAB38	6.42467197237063
POLD2	7.32756114120372
PPM1H	7.6955680443941
DCX	3.34044941411302
NFYC	8.28852986293857
ZNF228	4.0394304887938
KIN	5.84040203195982
PLSCR4	5.44494573926477
HIST1H4I	4.46432886792648
PPARGC1A	3.29943233184192
HIG2	7.6480778633135
KCNK10	3.80714498967444
EXOC1	6.93791884171923
OR6A2	3.80194354803584
ETFA	8.54961935687613
PDAP1	5.20049770030231
C19orf6	3.41525796419126
POLRMT	4.51390309322008
ZNF146	8.21838585870545
MIA2	3.24538427469239
LY6G6E	3.27770810175396
EIF4E2	8.255484482047
NENF	5.30693682813597
HOXB5	4.67390479397666
ZNF324	3.9964521967367
CUGBP1	4.00015236858227
ENTPD7	4.10843719662275
TTC13	6.31674611170333
GJB5	4.29468384433156
PRSS22	4.08187103983713
CYP3A5	3.51007042375855
MBOAT5	4.83215690425155
CUL4B	5.80529772283657
CENPJ	3.577321175486
KIAA0664	6.91703448018702
PITX1	4.14002933131157
PDGFRB	4.45806762066585
RDX	6.28639080677773
CELSR3	4.03823983410698
JUND	7.12001712929797
