Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C08_452026
Composite Element REF	Signal
AIPL1	3.67005605297336
PTP4A2	7.96381305755383
IL24	3.64665868193297
BDKRB1	3.29293830812237
HPCA	3.91752031770449
MLF1	5.43920681924579
SEC14L1	6.00688058648239
CHFR	4.60706454344310
EMILIN1	4.35056048135849
THADA	6.41149482508797
TAF12	4.763627756928
NDUFS4	8.5068154205041
ID1	4.9075314211387
PIK3CB	4.26490270432513
COL18A1	8.05349738792637
PDZD3	3.37790129972981
TBC1D17	4.95054815493962
COX8A	8.91919731681978
CDCA4	5.33815707439695
C2orf44	4.43723190103948
C9orf16	7.5992733931111
ERBB2IP	7.2780559215393
EMX2	8.71194744149191
FUS	6.46581921418245
NIPSNAP3B	3.55188353990691
TF	3.69496059610008
CXorf56	4.55806260916052
CLCN4	3.58154436975345
PWP2	5.39896335642532
MMP15	3.72748208531657
MTMR14	5.45694504688505
NPR1	6.59867431931302
DNAL4	5.31371826787066
ELAC2	4.73590716873898
ASS1	10.4022535356967
IPP	5.11578537741642
TMEM59	8.9481140954785
POLR2J	7.8079739267862
SEC23IP	4.80033819242156
RGS4	4.37336713925024
UQCRC1	7.87281613724443
SNX6	6.80019903999835
DDX18	6.3736655684528
POLG	4.86338927145446
ADAM23	4.64816851171823
ZNHIT2	3.95447367509521
TFR2	3.63239509982901
NCDN	4.12498960848371
RAG1	3.4974568136567
POMT1	4.58667958516747
CYP1A1	3.37692342889975
SNAPC1	5.48967453409657
GNA11	5.48981219908615
CCDC52	2.61666583456056
CAPN1	6.69966288830017
DDHD2	6.91708712428245
UPF3A	6.08762243232302
LAGE3	5.12714074439413
GNRHR	3.13656891751894
UNC13B	4.68152013919283
TTLL4	4.4475607641787
PPBP	3.52083913118777
HTR3A	3.03523656958716
SDC2	6.60195787923434
ANKRD49	5.93656416849279
BTF3	10.4956412151709
COX7A2	9.91123516257442
SARS	8.44671809188509
C13orf18	6.58278849333946
CACNB1	3.98067617813311
QKI	5.72333076503131
SETMAR	5.82713566050598
LAMB4	3.5772429091141
MAN2B1	6.65341311743308
EML3	5.21865428149567
ACADL	3.19473942361115
OFD1	7.64306711023963
CGA	3.52647464319246
EIF3EIP	10.8982321452068
PEX16	5.22662577311433
GNG12	7.79254884225382
HABP4	4.85073309570717
CNTN2	3.70040256941023
ASNSD1	6.75983364286224
FUT4	3.87316255274307
DBH	3.55680784283637
CD53	7.24980499353646
HIST1H2BJ	3.20232653070787
TFAP2B	3.18617984478108
ACF	3.61293225993238
TMEM11	5.6269170328338
CDH8	3.51644270226778
C3orf32	3.24570023092732
AGPS	4.15642553223167
C4orf18	3.26866192445788
PCCB	5.82864109028307
IPO13	4.20343493518371
PECI	6.77642630529923
UNG	6.59529060846252
C6orf105	3.3892255000478
GSTP1	8.45755810572685
SUV420H1	7.35160908093488
ARHGAP15	4.16245633133192
LTBR	5.91894737839884
TDRKH	3.12846560248361
PSG4	3.56668236858586
SLC9A3R1	6.7715238246922
NBPF3	9.16949536303144
SLC9A3	3.89459242820539
OSBP	5.70985674412009
PRR5	4.54473797073202
CHMP7	5.69913544734337
ADRA1A	3.29644813690768
ASAH1	6.67205084329937
FKBP4	5.86760659934566
ZNF350	4.91478146261226
DOM3Z	4.75074051117315
GIPR	3.85057335069243
AHI1	4.99264095747344
BST1	4.04026162339276
NCR2	3.60294630415903
NADSYN1	4.93652328308991
UBE2W	5.25531879104464
RGS14	3.98339437862407
KRT15	3.46026602473404
SCN11A	3.78504121959147
GFI1	3.92520498398298
FHL1	4.62887056735636
SMC6	5.34185905931355
GATA1	3.97871761520319
OSGEP	5.45317805383417
ARMC6	4.98096505432132
HK3	3.70542652406502
PSMD5	6.0175516349191
RSU1	6.87294460897107
RPL4	11.9415249777857
MAD2L1	5.13200732140464
RBPMS	5.90250686910478
EIF4A3	8.38325669741493
E4F1	4.66942943859474
DLEC1	3.87399571272842
PRPF3	5.26737964723057
EMR1	3.0180824841452
CHMP2B	6.7494978299034
CAMSAP1	4.31533865410299
RPS21	9.04242103655524
XCR1	3.15302453229011
ARID5A	4.48689233295395
RBM6	5.87843761095151
UBE2N	6.68511309902425
KLF4	4.93068374564574
MGC4172	3.99338156812337
LMO4	5.9612571437804
KLKB1	3.40566528298957
HDAC3	6.2542011044592
HP	5.82627324030598
SCHIP1	5.81685094874665
BTK	4.2782690828402
KRCC1	7.45316222542098
PRND	2.92544976593186
C6orf27	3.68964496153559
PIGL	3.61219640037292
CLCA1	3.91676804245648
C1orf112	3.51988432140889
OLFML2A	6.34774341063683
HUS1	4.50316468803924
SFRS6	6.93427459968766
CXCR7	4.84880486496535
UIMC1	6.02322355652514
FXYD2	3.87005809338231
GOT2	7.72160239227337
ZNF667	4.23724745847008
TFEC	3.75627869314816
ATP7B	3.56613883810044
RAB38	4.85069990834783
POLD2	6.91088240345082
PPM1H	4.48770647329179
DCX	3.33701845535054
NFYC	5.18231402550195
ZNF228	4.69019037927443
KIN	5.21603665522461
PLSCR4	7.37770554031844
HIST1H4I	3.88733349269169
PPARGC1A	3.06881304048067
HIG2	6.41815810071895
KCNK10	4.18335930264525
EXOC1	7.37346657825773
OR6A2	4.05436799460546
ETFA	7.95538917697593
PDAP1	4.95614241778835
C19orf6	3.6286633530302
POLRMT	3.96511535098853
ZNF146	7.69379564911594
MIA2	3.22728703952434
LY6G6E	3.36409443503879
EIF4E2	6.68027377320342
NENF	5.12407365397141
HOXB5	6.35895175072363
ZNF324	4.28209396283111
CUGBP1	3.78955772311787
ENTPD7	3.72574755429638
TTC13	4.561836917683
GJB5	3.21481445697165
PRSS22	4.4864423711734
CYP3A5	4.14446905194235
MBOAT5	4.32771408085107
CUL4B	5.11739579669643
CENPJ	3.39940193312436
KIAA0664	6.22955464353053
PITX1	3.41249335375844
PDGFRB	5.88758115937239
RDX	5.05154717897905
CELSR3	3.99486104572877
JUND	5.98011185308833
ITSN1	5.07112204995238
CHRNB1	3.60131763570441
EHBP1L1	3.90095817608776
C19orf2	6.79920947579482
FETUB	3.15732241542831
CAMK2B	3.28580913416048
DCTN1	5.50783697376857
TNKS2	6.49361214745924
MRTO4	6.82281985325094
C1QBP	6.05831334415499
TTC3	7.88545843735643
NDUFB8	8.31213872530738
CADPS2	5.38522889651377
EDG2	4.66035405487853
MYF5	3.52325767918507
SEMA3G	3.03748528892759
IL23A	4.82427442786113
GJA9	3.73093920448895
R3HDM2	7.2828503160242
C5	4.57912381499644
SLC2A10	5.92722421153321
TRIM45	4.26149454025686
TSP50	3.81096782836231
PAQR3	4.22044150751914
ANKRD26	3.36981936386661
TCP1	7.85035473362483
TMED7	6.88015026173678
CMA1	2.88335682812834
PTCRA	4.41248495478154
HCRTR1	3.42294530529547
FST	6.08311975794694
PAWR	4.20398986338827
LDLR	4.66288195176277
ASTN2	3.70500806278531
SCRN1	6.79664140787184
GPATCH8	6.3982790774696
KIF4A	4.28623525630322
TANC2	3.47564376531486
ZMYM5	3.74410930476075
PGM1	8.84785688677342
ZNF586	4.74128428103792
POLR3G	3.76462491410746
CPD	5.20622980549636
SNCAIP	5.00833081773202
DCT	3.50185880378979
HLA-DOA	3.90006524693837
TANK	6.66733150063612
RCAN1	4.28681309180223
UPK1B	6.4115336158016
DNAJB4	4.4137849219813
UGT1A8	2.90999147880443
LIMD2	3.76111748565093
HIST1H4L	3.41606958486917
PECR	4.6212693918163
HSPA2	4.16589774335078
SERP1	8.72892069631468
TACR2	3.52641780824193
NUP85	5.93055210317625
CD177	3.63658767232032
GPR135	3.54313911130792
PIGG	6.78566119108222
LGR5	3.34385976596284
JAK2	3.62530172576877
DPYSL4	3.43325393890202
TM9SF4	5.04844247157854
PTHR1	3.42529479852716
SIRPG	2.79512766791245
ZNF264	5.64296721967425
BICD1	6.93982542482363
RAB5A	7.15167714950465
FLJ13224	3.12985761938356
METTL5	8.39610366838407
HERC6	5.18598604373557
CASP1	5.96946065262366
