Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C10_433694
Composite Element REF	Signal
C11orf73	5.93244510090621
AIPL1	3.69896234537578
PTP4A2	9.70367000787322
IL24	3.497717251276
BDKRB1	3.28557352105134
HPCA	3.54714365318223
MLF1	5.82575276554796
SEC14L1	7.07129131599073
CHFR	5.94874890180984
EMILIN1	3.16733820488446
THADA	6.65662998329306
TAF12	5.36792912539454
NDUFS4	6.46719357241265
ID1	4.85781844457414
PIK3CB	3.90424109897063
COL18A1	6.32806156085484
PDZD3	3.34562086750139
TBC1D17	4.7839306321189
COX8A	9.63166588420534
CDCA4	8.0004871445953
C2orf44	4.77411422596671
C9orf16	8.05007664401456
ERBB2IP	7.8278182301057
EMX2	8.01626659603604
FUS	7.0322573128232
NIPSNAP3B	4.02195287829269
TF	3.16958955806054
CXorf56	5.13383268781332
CLCN4	3.82305094560692
PWP2	5.95331051648438
MMP15	4.01489071012522
MTMR14	7.04003765900416
NPR1	5.80635530749168
DNAL4	4.29567940543751
ELAC2	5.16371846023923
ASS1	11.0039798594406
IPP	5.85457423396911
TMEM59	9.80084214961246
POLR2J	8.97140734274286
SEC23IP	5.14747046355556
RGS4	3.83940689657496
UQCRC1	8.8951365579036
SNX6	7.61040501290437
DDX18	7.36974536180017
POLG	4.81735288032894
ADAM23	4.11254481908517
ZNHIT2	5.2132312151986
TFR2	3.46701964072533
NCDN	4.51879588553771
RAG1	3.28601240772414
POMT1	4.67916661070779
CYP1A1	3.44091047057103
SNAPC1	5.89831952814558
GNA11	5.17085188121503
CCDC52	2.97509523707419
CAPN1	6.71379699581969
DDHD2	5.06100145388954
UPF3A	5.6878529924323
LAGE3	6.4977848501754
GNRHR	3.12046460343028
UNC13B	5.88943637708895
TTLL4	4.96118152972163
PPBP	4.00851616158949
HTR3A	3.39074507069207
SDC2	3.75336703704919
ANKRD49	6.09327554081488
BTF3	10.0141223177066
COX7A2	11.0043475276008
SARS	8.46199881652994
C13orf18	3.42383184568798
CACNB1	4.05879787089726
QKI	5.46464558007016
SETMAR	6.46253409939701
LAMB4	3.56219187317555
MAN2B1	5.88403036955385
EML3	5.97835191066894
ACADL	3.17638364408286
OFD1	8.66015164035492
CGA	3.40324599449228
EIF3EIP	10.1755877720658
PEX16	5.70191420511482
GNG12	8.19673658533612
HABP4	4.82400438123695
CNTN2	3.65111214566441
ASNSD1	7.51671007334955
FUT4	3.49479053329839
DBH	3.39722390833814
CD53	6.22234446194866
HIST1H2BJ	3.37596570185905
TFAP2B	3.33958200779231
ACF	3.79548938229711
TMEM11	5.88560282337951
CDH8	3.28063216868237
C3orf32	4.19359363731977
AGPS	5.38430236328494
C4orf18	2.95067985410548
PCCB	7.83160878414857
IPO13	6.18364355853746
PECI	8.0260299793206
UNG	8.70069909757826
C6orf105	3.50642284424633
GSTP1	8.84379073532804
SUV420H1	7.89964079206813
ARHGAP15	3.57142086551301
LTBR	7.37014061659787
TDRKH	3.13163641355638
PSG4	3.52002429098650
SLC9A3R1	8.10785910439226
NBPF3	8.4302701767148
SLC9A3	3.6043647776894
OSBP	6.66591607506594
PRR5	4.36439812820333
CHMP7	5.7402887682262
ADRA1A	3.16064730620795
ASAH1	6.20138226600209
FKBP4	7.64659705179841
ZNF350	4.80412708135166
DOM3Z	5.30750949026768
GIPR	3.86176628533657
AHI1	5.17952144360504
BST1	4.72869270304993
NCR2	3.82087690310584
NADSYN1	6.82073075985727
UBE2W	6.06143332848447
RGS14	4.20181163541215
KRT15	4.00917168426193
SCN11A	3.94236371201932
GFI1	3.66278201157585
FHL1	5.08680616322673
SMC6	6.40648283571168
GATA1	3.51970199276807
OSGEP	4.96474759160257
ARMC6	5.49040557589571
HK3	3.61239564367498
PSMD5	7.12033819181358
RSU1	7.06394174237787
RPL4	12.4610326076627
MAD2L1	7.02808799940237
RBPMS	5.24918956737251
EIF4A3	9.18066358577115
E4F1	5.32961624845062
DLEC1	3.40153540196278
PRPF3	6.73197898265326
EMR1	3.16318790772533
CHMP2B	5.97344486991665
CAMSAP1	4.6099396899164
RPS21	9.47067351881192
XCR1	3.23868826643494
ARID5A	4.51993649674644
RBM6	6.46472421760757
UBE2N	7.67942468814805
KLF4	4.55493716597509
MGC4172	5.10517079845682
LMO4	7.53882158214245
KLKB1	3.37881396353043
HDAC3	5.72456350036371
HP	6.56465307270376
SCHIP1	3.95596866198658
BTK	3.89127187317159
KRCC1	7.02286862424132
PRND	3.14785703766697
C6orf27	3.52813285565496
PIGL	4.23709629441106
CLCA1	3.64925387470419
C1orf112	4.24081432819112
OLFML2A	4.494006148741
HUS1	4.97243496811853
SFRS6	6.26745623309294
CXCR7	4.5180035504352
UIMC1	6.35281004942243
FXYD2	3.24305090448658
GOT2	7.87853649100047
ZNF667	4.36983733142154
TFEC	3.2838125411788
ATP7B	4.42521411017588
RAB38	6.11361023628549
POLD2	6.7408579814322
PPM1H	6.08873260686317
DCX	3.28565747145192
NFYC	6.57951263815096
ZNF228	3.04346840984353
KIN	5.7711140277848
PLSCR4	6.31373376537333
HIST1H4I	4.08238979189929
PPARGC1A	2.87352221472700
HIG2	6.28697294977022
KCNK10	3.87593472856969
EXOC1	8.16438924153128
OR6A2	3.85611107964741
ETFA	8.92772507379918
PDAP1	5.3122297319706
C19orf6	3.55211099450064
POLRMT	4.48500882420996
ZNF146	8.24203695611188
MIA2	3.26397289648132
LY6G6E	3.26060301722756
EIF4E2	7.72741706114468
NENF	5.37963219733053
HOXB5	4.9360665458285
ZNF324	4.68650213012742
