Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
C11orf73	6.43163124290953
AIPL1	3.71134128514305
PTP4A2	8.86304239206885
IL24	3.56311793420900
BDKRB1	3.41897452374366
HPCA	3.66069907352805
MLF1	5.95839535810753
SEC14L1	5.70922004432214
CHFR	4.69747709500725
EMILIN1	4.36139191858414
THADA	6.10474990293195
TAF12	5.25734798712992
NDUFS4	8.68111066721293
ID1	6.02183548938349
PIK3CB	3.62569502168872
COL18A1	6.70979428551051
PDZD3	2.97708073746122
TBC1D17	4.92522943687724
COX8A	10.1464675272787
CDCA4	6.50254509579071
C2orf44	4.47662285970971
C9orf16	7.79108536616587
ERBB2IP	6.91809564367883
EMX2	8.49098806241556
FUS	6.00937605753706
NIPSNAP3B	3.230027620868
TF	3.22715951217235
CXorf56	4.55285398968727
CLCN4	3.5254988250177
PWP2	5.00398106000219
MMP15	4.16688481610213
MTMR14	5.58434013326739
NPR1	5.65698745522961
DNAL4	5.35591507666602
ELAC2	4.32684487739369
ASS1	10.6411607276832
IPP	5.04042367900181
TMEM59	9.77610808552262
POLR2J	8.54243608585032
SEC23IP	5.8458064403986
RGS4	5.47988521105891
UQCRC1	8.7018665212852
SNX6	7.65747634039588
DDX18	6.64908301764883
POLG	4.57693452825802
ADAM23	4.06115987786732
ZNHIT2	4.23266772390041
TFR2	3.23447554676196
NCDN	4.12869623041084
RAG1	3.50118214905818
POMT1	4.54532285628293
CYP1A1	3.42085536275752
SNAPC1	5.41007682602564
GNA11	4.43581215938882
CCDC52	2.67484116492997
CAPN1	6.39692325993749
DDHD2	5.24650214147409
UPF3A	5.17911683192223
LAGE3	5.53196084202807
GNRHR	3.16341335879744
UNC13B	4.96395924514862
TTLL4	5.16310189530737
PPBP	2.99833407447871
HTR3A	3.01098423013564
SDC2	6.43403156902789
ANKRD49	7.43123921809778
BTF3	10.0083214131193
COX7A2	10.5663764836723
SARS	8.52737940237144
C13orf18	4.25063454975990
CACNB1	3.86324784474065
QKI	6.03544718463595
SETMAR	5.40601201099358
LAMB4	3.54461169768904
MAN2B1	7.03181812813139
EML3	4.67400601470044
ACADL	3.27916251424658
OFD1	6.20725998942584
CGA	3.62028248090125
EIF3EIP	10.5271052892203
PEX16	4.67891020592142
GNG12	8.0332845265397
HABP4	5.03459916687574
CNTN2	3.66982580706225
ASNSD1	7.67282185923578
FUT4	3.95752090695736
DBH	3.47750976412312
CD53	8.74141647726633
HIST1H2BJ	3.13655655798058
TFAP2B	3.27758694091354
ACF	3.59909412853293
TMEM11	5.78101315500466
CDH8	3.29600078725941
C3orf32	3.75565125963717
AGPS	4.56867483910729
C4orf18	3.85754084217885
PCCB	7.91985597179219
IPO13	4.50719905664424
PECI	8.44311187878214
UNG	7.35998167477385
C6orf105	3.71670089858798
GSTP1	8.64815183108347
SUV420H1	6.80916667765956
ARHGAP15	4.65113229659663
LTBR	7.02701724336703
TDRKH	2.96330375407546
PSG4	2.97727101313316
SLC9A3R1	5.63736205957906
NBPF3	8.42754802229377
SLC9A3	3.45149965217474
OSBP	6.00564339355115
PRR5	3.99879011081547
CHMP7	5.01053869124226
ADRA1A	3.07298795346029
ASAH1	6.94394066894044
FKBP4	6.86875578202324
ZNF350	4.654679181445
DOM3Z	5.52705170159127
GIPR	3.57485576339981
AHI1	4.37228069674159
BST1	4.67478061932342
NCR2	3.55232762368148
NADSYN1	4.89783401064089
UBE2W	6.25531864695722
RGS14	3.71940762262396
KRT15	4.92906187429182
SCN11A	3.69685570251081
GFI1	3.64221214489466
FHL1	5.27220546348877
SMC6	6.2008306730683
GATA1	3.56783959200734
OSGEP	5.07032669208821
ARMC6	4.96709060711332
HK3	3.67296274497942
PSMD5	6.63154255473054
RSU1	7.54851609319138
RPL4	11.6517431523962
MAD2L1	8.3977434304877
RBPMS	4.48895905253008
EIF4A3	9.03026165532721
E4F1	4.87922032714773
DLEC1	3.26574994834214
PRPF3	5.59932277494291
EMR1	4.49641203260956
CHMP2B	6.52403625110085
CAMSAP1	4.18762723807889
RPS21	9.61645562573253
XCR1	3.34132200069466
ARID5A	4.4119324531425
RBM6	5.09579812489465
UBE2N	7.55706795438826
KLF4	3.61165365752494
MGC4172	4.59658867940451
LMO4	7.56236716357769
KLKB1	3.29022799784057
HDAC3	6.72664953372015
HP	8.40844493999315
SCHIP1	4.96129406602791
BTK	4.7720578872871
KRCC1	8.23626314881787
PRND	3.37390779765756
C6orf27	3.48230107387943
PIGL	3.71495104399314
CLCA1	3.64963411803258
C1orf112	4.37073662106353
OLFML2A	4.76011353390828
HUS1	4.89166051348442
SFRS6	7.3937123955482
CXCR7	5.44371377245685
UIMC1	5.50679496511344
FXYD2	3.57443530815631
GOT2	7.44858606631815
ZNF667	3.38080069458621
TFEC	4.86055667889240
ATP7B	4.03211435278252
RAB38	4.40852747866364
POLD2	7.20935400271691
PPM1H	4.41130913242584
DCX	3.34825741473533
NFYC	5.89936448365682
ZNF228	3.43654241049057
KIN	5.95554331522122
PLSCR4	4.70509794673136
HIST1H4I	3.78900342589429
PPARGC1A	3.32448547907136
HIG2	8.5373781471423
KCNK10	3.98342125729974
EXOC1	7.54794767601992
OR6A2	3.58630208208049
ETFA	8.08455052380969
PDAP1	5.4809231711351
C19orf6	3.37020062730162
POLRMT	4.07333959531116
ZNF146	7.42740198359854
MIA2	3.15630470194381
LY6G6E	3.32568754859679
EIF4E2	8.54090749129266
NENF	5.16083023383544
HOXB5	4.18874291507192
ZNF324	4.05426961173389
CUGBP1	4.8664059381581
ENTPD7	4.48798155279445
TTC13	5.15821365546968
GJB5	3.31098561570073
PRSS22	4.13463907828521
CYP3A5	3.45359442947256
MBOAT5	4.56779724262043
CUL4B	4.9680316371552
CENPJ	3.58321788617271
KIAA0664	5.25214148154754
