Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_C05_586182
Composite Element REF	Signal
C11orf73	6.08000439447407
AIPL1	3.79155113353678
PTP4A2	9.25665213592196
IL24	3.62141182523744
BDKRB1	3.09179611699965
HPCA	3.56704170631113
MLF1	4.95585721676597
SEC14L1	6.3975955182497
CHFR	6.60620841670488
EMILIN1	3.14627950591879
THADA	5.8072724663047
TAF12	5.25776648755588
NDUFS4	7.91975070174842
ID1	3.27037860210657
PIK3CB	5.57873177793833
COL18A1	7.13726995240356
PDZD3	3.31781046313942
TBC1D17	4.63958050779982
COX8A	9.7079460117004
CDCA4	6.56067859863298
C2orf44	4.39228767766317
C9orf16	9.02828600050227
ERBB2IP	7.94577494277592
EMX2	7.15531962707465
FUS	6.35628807495828
NIPSNAP3B	3.68944096326138
TF	3.21709995909806
CXorf56	5.50812819506128
CLCN4	3.57160163438119
PWP2	6.25380983931099
MMP15	5.3339118798491
MTMR14	6.00111126775599
NPR1	6.53239385805471
DNAL4	5.19565110300682
ELAC2	4.46726609996110
ASS1	11.6314707279372
IPP	6.39943427010675
TMEM59	10.0268697116910
POLR2J	9.43166873091852
SEC23IP	5.17344901358403
RGS4	3.66346820050724
UQCRC1	8.95480653109974
SNX6	7.04773650582971
DDX18	7.36329060228298
POLG	5.40483921280788
ADAM23	3.98270501741104
ZNHIT2	4.45201923143393
TFR2	4.20619328178828
NCDN	4.25279519964738
RAG1	3.37355897471696
POMT1	4.72271957757856
CYP1A1	3.29419513312147
SNAPC1	6.17504663895784
GNA11	6.47793955226536
CCDC52	2.72698227951531
CAPN1	7.37474937727941
DDHD2	7.24462456504714
UPF3A	6.58302283826449
LAGE3	6.23818298083666
GNRHR	3.08262709168075
UNC13B	5.32483057935887
TTLL4	4.95240942516709
PPBP	2.96366623785314
HTR3A	3.40584845818483
SDC2	4.11247593743603
ANKRD49	7.39644159563051
BTF3	10.8279611382668
COX7A2	10.3215044050133
SARS	8.70035578816617
C13orf18	3.60999603240434
CACNB1	3.73422296128513
QKI	6.58735039437168
SETMAR	5.98246645286932
LAMB4	3.21462431660866
MAN2B1	6.77738385488452
EML3	5.88321240362185
ACADL	3.14135441834918
OFD1	7.4987595055795
CGA	3.44902808419049
EIF3EIP	10.020351296909
PEX16	5.64720214353882
GNG12	8.40638305135283
HABP4	4.90492415936188
CNTN2	3.40168134859692
ASNSD1	8.45587752253753
FUT4	4.37101125899125
DBH	3.41318500319147
CD53	7.9225154449718
HIST1H2BJ	4.53810294695464
TFAP2B	3.12972746957722
ACF	3.41653713923423
TMEM11	4.09850747012493
CDH8	3.20081690672862
C3orf32	3.23765593074676
AGPS	4.93948783854479
C4orf18	3.28841693019952
PCCB	6.78278950019829
IPO13	5.06303326929186
PECI	6.55202243341133
UNG	7.85956265285676
C6orf105	3.33907265273241
GSTP1	8.56173030913854
SUV420H1	7.69950192275016
ARHGAP15	4.120461281114
LTBR	6.22014669388071
TDRKH	3.13445170243357
PSG4	3.67263154454967
SLC9A3R1	6.73097122318735
NBPF3	9.16299345091509
SLC9A3	3.50693439492652
OSBP	6.76914554213793
PRR5	3.98425442182902
CHMP7	5.50540137921069
ADRA1A	3.00285758353475
ASAH1	6.60540276451216
FKBP4	5.97212070819215
ZNF350	4.86537383284659
DOM3Z	6.37244225391273
GIPR	3.67162938906762
AHI1	5.11665410403237
BST1	5.61001248399576
NCR2	3.43203208460533
NADSYN1	5.91413536249855
UBE2W	6.21773410482516
RGS14	4.18256454284373
KRT15	4.16256450879358
SCN11A	3.94580029946441
GFI1	3.7747420261443
FHL1	5.26729791305703
SMC6	7.26519209102836
GATA1	3.68231612125236
OSGEP	5.06422141057495
ARMC6	5.00578591744599
HK3	4.02942945635702
PSMD5	7.62127934248863
RSU1	8.24034239954113
RPL4	11.6790275111268
MAD2L1	9.07152782955987
RBPMS	6.51591803487402
EIF4A3	8.81740714329499
E4F1	5.43939783378836
DLEC1	3.27142028206857
PRPF3	6.18088070907224
EMR1	2.95490350721844
CHMP2B	7.96262457946477
CAMSAP1	4.24646952270805
RPS21	9.6575338005128
XCR1	3.07992434138997
ARID5A	4.36857346709835
RBM6	6.81973998373567
UBE2N	8.00150372029396
KLF4	4.31248914563889
MGC4172	4.48899483503691
LMO4	8.69370846079525
