Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
C11orf73	4.9120843756235
AIPL1	3.88947258444121
PTP4A2	8.5349531443527
IL24	3.49989794082669
BDKRB1	3.52650305982812
HPCA	3.52617707068436
MLF1	5.05397674219806
SEC14L1	5.47777209831746
CHFR	5.45711932039258
EMILIN1	4.34525376501256
THADA	5.9483105472175
TAF12	4.24604265630633
NDUFS4	7.16273382711512
ID1	5.83122614575612
PIK3CB	5.12626680876128
COL18A1	7.50248524644345
PDZD3	3.42160233852403
TBC1D17	4.38487041954255
COX8A	9.37539213915017
CDCA4	5.7881123225088
C2orf44	4.45339159481391
C9orf16	6.64520269444024
ERBB2IP	7.67306424754326
EMX2	7.82230542562798
FUS	5.48796634691554
NIPSNAP3B	3.82563205455115
TF	3.55101820442491
CXorf56	5.01510091239773
CLCN4	3.53881708364525
PWP2	4.80059749959287
MMP15	3.81231060637994
MTMR14	6.18119139194243
NPR1	5.93839751861666
DNAL4	5.03033895470951
ELAC2	4.55988012489968
ASS1	10.4192520923859
IPP	4.65656681380035
TMEM59	8.5566197149674
POLR2J	8.39257999182258
SEC23IP	4.60793404231017
RGS4	4.729638582642
UQCRC1	8.1659817497473
SNX6	6.49272396759638
DDX18	5.98614896832873
POLG	4.45210761170186
ADAM23	4.51291487492253
ZNHIT2	4.17598408839581
TFR2	3.51091890486999
NCDN	4.29956061507526
RAG1	3.37286638824346
POMT1	5.43969939756273
CYP1A1	3.34715878541867
SNAPC1	4.78002315838756
GNA11	5.47420451854306
CCDC52	2.99960223529117
CAPN1	6.14802281362101
DDHD2	6.19282465964824
UPF3A	5.45717744864187
LAGE3	6.33791597883191
GNRHR	3.24666362974494
UNC13B	4.8401933957704
TTLL4	3.80178689109085
PPBP	3.20412930855261
HTR3A	3.26930748764632
SDC2	5.48664269882299
ANKRD49	6.94121609261119
BTF3	8.98856880643755
COX7A2	10.2992472932304
SARS	7.06263283286746
C13orf18	3.99441645532129
CACNB1	3.96990500912168
QKI	5.76986326137752
SETMAR	4.99597584624647
LAMB4	3.33830903097927
MAN2B1	6.51828972497969
EML3	5.33862989654868
ACADL	3.2970427543115
OFD1	8.21907130197329
CGA	3.66001069519204
EIF3EIP	9.68023374033722
PEX16	4.9606104979549
GNG12	7.60981065732948
HABP4	4.93501870339096
CNTN2	3.95685592689291
ASNSD1	6.0406034407595
FUT4	3.76570493844855
DBH	3.6626262214341
CD53	6.17827793402214
HIST1H2BJ	3.41532412288819
TFAP2B	3.21744495001241
ACF	3.62854699742486
TMEM11	5.87624573004723
CDH8	3.40352738562057
C3orf32	3.53415217742401
AGPS	4.2262109309121
C4orf18	3.21006515945913
PCCB	6.15032370327863
IPO13	4.91378276416705
PECI	6.13886204717277
UNG	6.07996990060037
C6orf105	3.66024000975802
GSTP1	7.46521239724522
SUV420H1	6.49278300104983
ARHGAP15	4.30734327486906
LTBR	5.88818973303615
TDRKH	3.23564761408084
PSG4	3.52455689893407
SLC9A3R1	5.57127074764466
NBPF3	9.2628448398351
SLC9A3	3.80802932949715
OSBP	5.4403929579019
PRR5	4.68668357190055
CHMP7	5.80463316314022
ADRA1A	3.23906514731378
ASAH1	6.99460178271022
FKBP4	5.4988400784672
ZNF350	4.51075656341206
DOM3Z	4.69460539811658
GIPR	4.23958527357918
AHI1	4.66742354621033
BST1	3.98111883660135
NCR2	3.67195045681748
NADSYN1	4.63853534545168
UBE2W	5.64383604702604
RGS14	4.46710909748109
KRT15	5.94719779932968
SCN11A	3.75204431337334
GFI1	3.8453558563617
FHL1	5.52597331991777
SMC6	5.43242822707567
GATA1	3.89363325032931
OSGEP	4.38934617397208
ARMC6	4.95647488905048
HK3	3.69218724020085
PSMD5	5.87297165419264
RSU1	7.31830724130906
RPL4	10.6862762042939
MAD2L1	6.34820188841554
RBPMS	6.46186808645946
EIF4A3	7.79888695016537
E4F1	5.17210882685662
DLEC1	3.75961891459337
PRPF3	5.58843683496795
EMR1	2.92948968154004
CHMP2B	7.16182262342811
CAMSAP1	4.00477646967151
RPS21	9.4776661329025
XCR1	3.37924574944068
