Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B08_547200
Composite Element REF	Signal
EVC	4.66556156788584
CXCL13	6.86365081762279
SCYL3	5.7639886439634
KIAA1199	7.09948779278638
SORL1	8.35499950529364
NAT10	7.7810258659561
CHD1	6.65263964229764
SYN3	3.26432132247183
DMC1	3.85751701808287
SLC22A2	3.65962468528399
SERPINF1	8.73998543924162
C20orf27	6.52863056791281
OR7A17	2.98445992147375
RPS6KA5	4.4595191707847
LHB	3.50333953361136
TAOK3	6.0422725665438
STK25	6.45449045407456
SLC12A4	3.61098741280902
BRCA1	3.935367139482
GBL	6.03503599520242
C14orf108	8.50664922719071
CDC25B	7.53458073698339
BMP3	3.16713695461263
MAP1LC3C	3.11342758107293
TMEM180	3.80898950158686
CRYGC	3.58850294469875
SLK	6.86217582196142
POU3F1	3.20958142659367
C20orf32	3.86848131261376
USP52	5.32427107158243
HIGD1B	3.92179781665618
BAZ1B	7.00200650147975
USP6NL	5.80258785266695
SLCO2B1	4.33023716222191
ABCD4	4.69735215911958
DIMT1L	6.05969399811863
SLC25A46	6.68229425771254
LARP7	6.96607888700302
TEK	3.54088656792076
CD160	3.62214668790381
TERF2IP	7.53752958196653
PHF20	6.32899232905372
COL1A1	8.74933148523387
KIAA0090	5.1227000525518
GTPBP1	4.49527877279427
GRK5	4.15191369409329
AP1S2	5.65817813476010
RAB33B	4.6903856390165
CA11	5.00365515661547
ALDOC	6.36440467433847
NUDT1	5.21270327947469
ZNF212	5.41388639024733
ACBD3	8.13847883594665
ZNF83	7.83474531608509
PRDM2	4.87444607205686
GDPD5	5.16971188008787
PDCD4	6.50570266184542
CEP350	7.19998305009808
FOXP3	3.23253423055843
SMYD3	6.81222892310804
CST7	5.26718502083215
SELL	6.02055629684846
CIAO1	6.33924626418283
LGI2	3.69154620684923
WDR45	7.03087101237037
ANKRD6	8.79634157953354
LTBP4	4.29728573905562
PSCD3	3.31960528570271
PYY	3.11334141192656
KCNC1	2.98836692534357
SIRT6	3.9854910633002
CCL19	6.75346538397611
ARHGEF9	5.4671725474502
ABR	4.57149308319389
C10orf22	7.17428965640628
STK17A	5.26058779972199
FOXE1	3.03033609184328
GML	3.19318061849762
CNGA3	2.88735227371207
CD38	4.76627594279048
ZDHHC6	7.52693234559781
NEFH	3.38542640270622
PGBD5	3.94954684819302
CTDSP2	7.4084464949254
RMND5B	5.53357403189168
ZNF257	4.12261174998233
DUSP4	4.9189066274185
FLJ22167	5.44864958006792
EXOSC7	6.67342769974649
ROR2	3.51813877888471
FOXM1	5.08999479262083
ZBTB48	4.71066341585350
BUD31	7.79978703458099
MAOA	3.7926673891391
CCDC41	5.68829961915614
TNNT3	3.40808868675514
FBXO11	6.07732850845455
GYPC	6.79827105508855
PLIN	4.08657489477332
RFXAP	3.6455824677546
C6orf15	3.68300229651805
RNF4	7.8067436153595
F8A1	7.37230354967685
PPP1R3D	4.79567674442113
GRB2	7.49759410351852
TPM3	3.08218120873181
SYT13	3.7635860206923
EPB42	3.49944836806371
RP5-1077B9.4	5.18950275994513
EIF1	9.79229702190828
CETN3	6.85727448348305
FPGT	5.50970953525088
PRY	3.20793346577775
NTHL1	5.80845921758748
POLR2B	7.85690191648796
RPS28	11.7576380277645
GDF10	3.34396613768264
COQ9	7.22401257060959
P2RX3	3.01308068261086
GCC2	7.03471485028028
RARRES3	7.8849255455524
PLXNA1	6.15453630515612
WBP4	5.10430792642712
KIAA0100	6.32710414426767
PMF1	7.11711086816155
HS2ST1	6.37981672504547
CRELD2	6.99908295508285
C8G	2.92150102243698
CD82	5.89869963308942
PMM1	5.00695743723935
CBLL1	4.90150736805118
LIM2	3.11960576738687
VAX2	4.8189158317097
SETDB1	5.28319477847775
LRAP	4.81763949453388
GCLM	7.38994427348809
CPEB3	4.84213719207974
PPM1A	5.71566366092336
INTS1	4.2429157525364
MMP16	3.03346333156179
CAMTA1	3.34440996865101
SAMSN1	5.96272764965908
DRD3	2.87392007610387
GMPPA	5.81116024841711
C11orf73	5.85185253105621
AIPL1	3.84612696996145
PTP4A2	8.68378322196355
IL24	3.32179848293967
BDKRB1	3.21647885629379
HPCA	3.56247372507366
MLF1	6.00632539360407
SEC14L1	6.37344706273141
CHFR	6.21158949986991
EMILIN1	4.55326167702004
THADA	6.69957330047997
TAF12	5.11566061864452
NDUFS4	7.7917271856422
ID1	5.6868233242105
PIK3CB	4.80129214596034
COL18A1	7.23427438326459
PDZD3	3.22289378648120
TBC1D17	4.78472629219143
COX8A	9.52023439976869
CDCA4	5.96320143073633
C2orf44	4.5036450074959
C9orf16	7.85642381881642
ERBB2IP	7.63758383687712
EMX2	8.75790756462804
FUS	6.40121833052128
NIPSNAP3B	3.56388588215819
TF	3.18728093257822
CXorf56	5.52274566000913
CLCN4	3.72963080399661
PWP2	6.68182196724628
MMP15	4.37121404521221
MTMR14	6.30223338099647
NPR1	7.59282837219754
DNAL4	5.12913048483949
ELAC2	4.34794300758375
ASS1	11.3379744876658
IPP	6.11923577386871
TMEM59	9.9401754806767
POLR2J	8.71381859684179
SEC23IP	6.16128137667792
RGS4	5.20219961800997
UQCRC1	8.96117084096605
SNX6	7.80905163838777
DDX18	7.22197188703877
POLG	5.06361791758983
ADAM23	3.68464911363766
ZNHIT2	4.63382205720459
TFR2	3.42078753012328
NCDN	4.35204383002698
RAG1	3.42371479150558
POMT1	4.27941646419544
CYP1A1	3.08801809671452
SNAPC1	6.32430706020244
GNA11	5.58316760559726
CCDC52	2.90299219642065
CAPN1	7.20866184241602
DDHD2	7.07615764270177
UPF3A	6.8614622749431
LAGE3	5.73778351813147
GNRHR	3.0744760007345
UNC13B	6.09958795532945
TTLL4	5.31004412475103
PPBP	4.18367626633096
HTR3A	3.13023385604816
SDC2	4.84971166245207
ANKRD49	6.98322274342748
BTF3	9.53204636139693
COX7A2	9.76090457226065
SARS	8.72249258251721
C13orf18	4.80430318131898
CACNB1	3.82618914275204
QKI	6.04130972934409
SETMAR	5.27392077714885
LAMB4	3.34070353168169
MAN2B1	7.3405863253448
EML3	6.1446181040752
ACADL	3.10304715772172
OFD1	8.228268094202
CGA	3.32887088116237
EIF3EIP	9.9221387504984
PEX16	5.58012823313741
GNG12	8.12832195267962
HABP4	5.2354666275791
