Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C12
Composite Element REF	Signal
C11orf73	7.37056502894647
AIPL1	3.96887566730924
PTP4A2	9.39476895783511
IL24	3.44734938546374
BDKRB1	3.06333549883865
HPCA	3.67738168113939
MLF1	5.79133729870155
SEC14L1	5.5436260108995
CHFR	4.84941731884183
EMILIN1	3.56733212975286
THADA	7.37661375079693
TAF12	6.27295178731745
NDUFS4	9.35502075109068
ID1	3.64838764662117
PIK3CB	3.86645659488486
COL18A1	6.86005714584868
PDZD3	3.36091846397654
TBC1D17	4.65103854856425
COX8A	10.3423747568475
CDCA4	6.77317161063893
C2orf44	5.65084796719601
C9orf16	8.11950714338839
ERBB2IP	9.08159282221433
EMX2	7.42215179178341
FUS	5.66907222445915
NIPSNAP3B	3.5330126515086
TF	3.51174119449428
CXorf56	5.37821149554139
CLCN4	3.67867707111038
PWP2	4.49593881097163
MMP15	4.12857258318707
MTMR14	5.8198325447251
NPR1	5.73122548237936
DNAL4	5.06932732915175
ELAC2	4.35323918616608
ASS1	11.4583306347524
IPP	6.22761065569107
TMEM59	10.0863032527563
POLR2J	8.50228200720872
SEC23IP	7.24191334378379
RGS4	3.97255828657508
UQCRC1	8.67282293804566
SNX6	8.13765285950077
DDX18	6.47182452830048
POLG	4.19064366108235
ADAM23	3.8578676007305
ZNHIT2	5.73639676981332
TFR2	3.64120428554646
NCDN	4.34289189732566
RAG1	3.86069609664919
POMT1	4.49452273070554
CYP1A1	3.41456717906159
SNAPC1	6.20511071673224
GNA11	4.43195712649485
CCDC52	2.89939315876236
CAPN1	6.08957009210374
DDHD2	5.67845679393516
UPF3A	6.82767540468855
LAGE3	6.81175273706544
GNRHR	3.15845606507167
UNC13B	5.25001644046883
TTLL4	3.79472868591857
PPBP	3.16131490297229
HTR3A	3.34061606922180
SDC2	4.780258904883
ANKRD49	9.20782253210333
BTF3	11.1708362980520
COX7A2	11.6906218978117
SARS	8.60005490350027
C13orf18	4.06516530165648
CACNB1	3.69671415986702
QKI	6.15614188139987
SETMAR	6.54613979028476
LAMB4	3.49687413046880
MAN2B1	6.30345816845093
EML3	4.75994901817359
ACADL	3.30662997118491
OFD1	7.68460021370296
CGA	3.5274051761143
EIF3EIP	10.0703147346305
PEX16	5.21277703589977
GNG12	8.15918859415179
HABP4	4.74039233439394
CNTN2	3.57615676994669
ASNSD1	8.08265129049198
FUT4	4.39164296212219
DBH	3.64494909006138
CD53	7.24899449742949
HIST1H2BJ	4.15085064187747
TFAP2B	3.23871260781057
ACF	3.85460124532812
TMEM11	6.00130424265578
CDH8	3.65781681543261
C3orf32	3.45523238860008
AGPS	5.01224106881871
C4orf18	3.10140796832116
PCCB	8.58441101895175
IPO13	5.2665449406804
PECI	9.08906862941701
UNG	7.18610683231105
C6orf105	3.73045220471811
GSTP1	8.34918834438527
SUV420H1	6.31314155939952
ARHGAP15	4.34631488532688
LTBR	6.16926978987208
TDRKH	3.41376943001501
PSG4	3.34977552180725
SLC9A3R1	5.56438769605263
NBPF3	8.24857185188931
SLC9A3	3.68857933091668
OSBP	5.4287324099567
PRR5	4.23940186670039
CHMP7	5.72523123026309
ADRA1A	3.03664919951297
ASAH1	6.70223367783693
FKBP4	6.93227108090789
ZNF350	5.33679419147224
DOM3Z	6.05016983178084
GIPR	3.52037937137796
AHI1	5.0872825112295
BST1	4.9852381902575
NCR2	3.4904743751626
NADSYN1	5.9487031922535
UBE2W	6.21039117498662
RGS14	3.83458928782648
KRT15	3.99554100140307
SCN11A	3.96186606347460
GFI1	3.65267968243777
FHL1	5.25984869614495
SMC6	5.66693921235928
GATA1	3.40391544368856
OSGEP	6.15591189501157
ARMC6	5.46661234952645
HK3	3.56734292374193
PSMD5	6.90999980775044
RSU1	7.3277593018346
RPL4	11.9821882373114
MAD2L1	8.74596200015715
RBPMS	5.11677608055122
EIF4A3	9.14057080777235
E4F1	4.78653895343825
DLEC1	3.53077077614097
PRPF3	6.25698736653993
EMR1	2.86657120270211
CHMP2B	7.43214489686874
CAMSAP1	4.42870736714063
RPS21	10.6883156285414
XCR1	3.47546280924285
ARID5A	4.25369054939624
RBM6	5.43585526018742
UBE2N	7.84758357304036
KLF4	3.74624869621104
MGC4172	3.89111822382939
LMO4	7.37970357904516
KLKB1	3.52632622284394
HDAC3	7.45637334213389
HP	8.29371411331103
SCHIP1	5.92197364909544
BTK	4.17102634003982
KRCC1	8.84446968651782
PRND	2.88391387851268
C6orf27	3.32451569409298
PIGL	4.21372440383581
CLCA1	3.56175570948477
C1orf112	5.41740019599449
OLFML2A	3.59068321066447
HUS1	5.07597524130435
SFRS6	7.2301763017063
CXCR7	6.94068987726975
UIMC1	6.73845237453692
FXYD2	3.60981065732948
GOT2	8.0925290827199
ZNF667	3.99212046206494
TFEC	4.59323973983905
ATP7B	5.24422503092969
RAB38	6.12261364562198
POLD2	6.96603583620023
PPM1H	5.181654258127
DCX	3.41122701140527
NFYC	5.33485224576428
ZNF228	4.27289613245707
KIN	6.31229621722795
PLSCR4	6.29156179936415
HIST1H4I	4.33280335994476
PPARGC1A	3.10993153561897
HIG2	8.1714501779233
KCNK10	4.08134950032769
EXOC1	7.28060555114982
OR6A2	3.81551503041827
ETFA	9.05391726651743
PDAP1	5.13523707686246
C19orf6	3.38288256225445
POLRMT	4.25215606638751
ZNF146	7.546670655393
MIA2	3.16606253230685
LY6G6E	3.23082846884025
EIF4E2	8.37243428276609
NENF	5.70944419385765
HOXB5	4.00707433154365
ZNF324	4.54649026795531
CUGBP1	4.47599299706853
ENTPD7	4.20361908868458
TTC13	5.46095526799808
GJB5	3.15536873465101
PRSS22	4.308437498511
CYP3A5	3.28397018937887
MBOAT5	4.32940068592468
CUL4B	5.76554540924793
CENPJ	3.4129023893596
KIAA0664	5.32956533754018
PITX1	3.50973272758812
PDGFRB	5.14665769916466
RDX	6.33199433047284
CELSR3	3.82254010128325
JUND	5.54531649241997
ITSN1	3.93615301525677
CHRNB1	3.98771133211629
EHBP1L1	3.73458631712245
C19orf2	7.18781100448853
FETUB	3.20950423441135
CAMK2B	3.07278094984147
DCTN1	5.72292007059852
TNKS2	6.62131936809528
MRTO4	8.9825900483264
C1QBP	7.7230269749253
TTC3	6.1548542575421
NDUFB8	8.80891764337113
CADPS2	5.15593103621706
EDG2	4.61483866389885
MYF5	3.15977650507390
SEMA3G	3.17850909368563
IL23A	4.13260327402380
GJA9	3.77819396331423
R3HDM2	6.30469598023785
C5	4.21050191133274
SLC2A10	7.0427930630103
TRIM45	5.37761605658282
TSP50	4.53261560802837
PAQR3	5.83202687379702
ANKRD26	3.36310060563227
TCP1	8.18618422843499
TMED7	7.72402832335863
CMA1	3.12621008231456
PTCRA	4.13796861494083
HCRTR1	3.67991504769012
FST	4.19908294403646
PAWR	4.0982722863211
LDLR	4.18971086680036
ASTN2	4.03839876765985
SCRN1	6.19435033112492
GPATCH8	5.54017830422735
KIF4A	5.90712254716082
TANC2	3.34356256110787
ZMYM5	3.65583945623401
PGM1	8.06998889671394
ZNF586	6.70142386400458
POLR3G	4.47285058134333
CPD	6.05570113309661
SNCAIP	5.27259775163549
DCT	3.42305511043105
HLA-DOA	3.9255114303063
TANK	6.81203125787781
RCAN1	4.17783025132085
UPK1B	4.38612246227033
DNAJB4	5.33602050631287
UGT1A8	3.36197937004562
LIMD2	3.79599047937891
HIST1H4L	3.81143878562736
PECR	4.98249091168393
HSPA2	4.32092625774719
SERP1	9.53786948222756
TACR2	3.41935369128038
NUP85	7.7623710888097
CD177	3.43594463620596
GPR135	3.2173952480033
PIGG	8.11634062941837
LGR5	4.16508133889970
JAK2	3.97932113040462
DPYSL4	3.22212125292013
TM9SF4	5.42255335082379
PTHR1	3.16421643388840
SIRPG	3.28609830723449
ZNF264	4.45891795573981
BICD1	5.18666755794294
RAB5A	6.77309261223095
FLJ13224	3.22234107131685
METTL5	9.5972664935808
HERC6	6.2536549191774
CASP1	6.96979481093451
USP9Y	2.92128917080439
LRP1B	2.75714255886274
XAF1	7.62355936651532
PLA2G4C	4.03981031381031
APOA2	3.28967952757076
SPAG6	3.12328628245880
KALRN	3.42809099799121
SECTM1	5.06092231781208
THOC7	9.65921112861567
IFNAR1	3.74833342375914
TCTA	6.70975180369904
NY-REN-7	3.20517024237542
TALDO1	8.94813005149535
B2M	12.3571215978823
LPPR4	4.02359955069616
SQLE	6.68837475499809
SEPHS1	7.56477376687967
EIF5A	7.21258098687148
FAM49A	3.76164557412826
YTHDC2	4.73181609421918
EHD2	3.9491887265818
NCF1	3.51704349644426
SPG7	5.6062797046918
ZNF614	4.06947336879245
HOXA5	4.95258023328504
NUP133	7.97361434427348
FGF12	4.30320033149588
SLMO2	8.68960380163485
INPP5B	4.47157586991687
PPID	7.11213927679767
SNTA1	4.15823538615509
IL20RA	3.46348945013911
UBE2J1	6.16286256949001
CACNG2	3.09252279206062
GCM1	3.12841525587804
ELF1	6.58310331737742
TLR5	4.18607765652268
TCFL5	7.01790770768085
C1orf107	6.22953557452574
C19orf22	6.50473826313346
SAFB2	5.7476270357166
MAP3K7IP1	3.85065756474647
NCK2	6.99690098621303
OXA1L	7.97888376630087
KIAA0652	4.97343689931462
KLRG1	4.08124757575934
FRAG1	6.00477304138358
ZSCAN12	2.9764558312218
PSMD12	7.78504790668627
E2F4	5.2121755958729
CLEC4M	3.57824806120750
KIAA0999	4.41080779805897
CLDN10	7.65537753296516
MGC13053	4.19773008159401
TAC1	4.24449246390203
GYPA	3.38202407170501
HPCAL4	3.29004416607323
TRAIP	4.82154755065772
MEX3D	3.92459642625796
KIAA0232	7.15304463987867
ERCC8	6.11821459349761
NFAT5	4.72508245637451
GPX4	9.1414418930395
CSPG4LYP1	3.61891160846426
KIAA0368	4.7167902662898
