Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
C11orf73	4.99233392161072
AIPL1	3.90257798583646
PTP4A2	9.573804568764
IL24	3.40071438862632
BDKRB1	3.31180761762589
HPCA	3.45242073348640
MLF1	6.2765695830217
SEC14L1	5.31031086662143
CHFR	4.63897607574641
EMILIN1	3.54023885722017
THADA	5.70026169188439
TAF12	4.93657171644047
NDUFS4	9.5064730873786
ID1	8.28492658638813
PIK3CB	3.76155833364614
COL18A1	7.81023329868568
PDZD3	3.36623482356602
TBC1D17	3.83052120302947
COX8A	9.67391956251197
CDCA4	5.4914269444678
C2orf44	4.41138542965743
C9orf16	8.72730372926483
ERBB2IP	7.84595111808142
EMX2	7.95627059360443
FUS	5.76794184988726
NIPSNAP3B	3.37749055820697
TF	3.37576212446917
CXorf56	5.37447359279218
CLCN4	3.75234144235064
PWP2	5.92492374590532
MMP15	3.54999119205243
MTMR14	5.59457097773602
NPR1	7.18620085596666
DNAL4	5.82499796189986
ELAC2	4.67255655539477
ASS1	12.0068359118891
IPP	6.02482651857304
TMEM59	10.5422761897629
POLR2J	9.40338734708113
SEC23IP	4.73201750157762
RGS4	4.22887401740032
UQCRC1	9.89611719334895
SNX6	7.87025031865609
DDX18	6.61456023251075
POLG	4.16092007373111
ADAM23	3.84360769818262
ZNHIT2	4.23203776700305
TFR2	3.37560054097544
NCDN	4.74235549336694
RAG1	3.36852671004611
POMT1	5.57870460196502
CYP1A1	3.42770593717144
SNAPC1	4.61253805595877
GNA11	5.07351285080234
CCDC52	2.88637682491462
CAPN1	5.7786475697766
DDHD2	7.17885842252259
UPF3A	5.59481059086447
LAGE3	6.82873279147726
GNRHR	3.22413051163507
UNC13B	5.41176944089461
TTLL4	3.78439831531553
PPBP	2.96068216543455
HTR3A	4.38169106628213
SDC2	4.639760331007
ANKRD49	6.01095692136507
BTF3	10.4962925530025
COX7A2	10.5593646028682
SARS	8.6683548253507
C13orf18	3.85908903920671
CACNB1	3.86600543270083
QKI	5.62734573927446
SETMAR	6.5615382773721
LAMB4	3.70931923820583
MAN2B1	5.71139979054453
EML3	5.05894217358778
ACADL	3.30398443092073
OFD1	7.7188435700463
CGA	3.62611584550725
EIF3EIP	10.530390381114
PEX16	4.72456995333911
GNG12	8.5948050109733
HABP4	4.94788783977864
CNTN2	3.52486329258823
ASNSD1	7.36399702056631
FUT4	3.64374083295934
DBH	3.49775427881321
CD53	7.5438750615325
HIST1H2BJ	3.76144531894577
TFAP2B	3.38797062852112
ACF	3.92758158761472
TMEM11	5.41409137051954
CDH8	3.22681198700312
C3orf32	4.08760916071617
AGPS	4.92878111611441
C4orf18	3.19825677856973
PCCB	8.20430337214596
IPO13	5.11983781588297
PECI	7.76667549118642
UNG	7.169115003342
C6orf105	4.49624646536668
GSTP1	7.29632195745477
SUV420H1	6.07137463211443
ARHGAP15	4.44317044765243
LTBR	6.54923379242227
TDRKH	3.30018551827079
PSG4	3.98410532064216
SLC9A3R1	5.22515608893547
NBPF3	8.55736401532043
SLC9A3	4.07160753162626
OSBP	5.64309530301761
PRR5	4.38750253107733
CHMP7	5.39523575007529
ADRA1A	3.22074083599139
ASAH1	6.7574599023767
FKBP4	7.909564624594
ZNF350	4.81566766333675
DOM3Z	5.64555795153491
GIPR	3.96491456633539
AHI1	4.6363295614815
BST1	4.20479350359498
NCR2	3.53450474789873
NADSYN1	4.45029164926632
UBE2W	6.18578178372333
RGS14	4.04283430061104
KRT15	3.91908090256403
SCN11A	3.70786325433506
GFI1	3.99803660051396
FHL1	4.39300243900536
SMC6	5.73270042043316
GATA1	3.56449585281596
OSGEP	5.5394369153843
ARMC6	5.07602255694102
HK3	3.26846504371470
PSMD5	8.7947096509765
RSU1	7.60395815464606
