Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C08_491130
Composite Element REF	Signal
C11orf73	6.45283594555546
AIPL1	3.70231105105726
PTP4A2	9.80112752220976
IL24	3.31861603770682
BDKRB1	3.25123534393598
HPCA	3.16960393143648
MLF1	4.73560870108448
SEC14L1	5.64304926921269
CHFR	4.58294178058295
EMILIN1	3.33049773503796
THADA	6.99106056420065
TAF12	5.9124278865092
NDUFS4	9.51575072169626
ID1	7.90639795319381
PIK3CB	3.58541371262999
COL18A1	7.01270688040993
PDZD3	3.17535797140127
TBC1D17	4.4960466133195
COX8A	10.2781471181529
CDCA4	5.99930407636397
C2orf44	4.26622636710326
C9orf16	9.35238469164519
ERBB2IP	8.1813956962104
EMX2	9.83854985951013
FUS	5.61810573769478
NIPSNAP3B	3.41976785779559
TF	3.27730669975299
CXorf56	5.64726693229467
CLCN4	3.93474405054378
PWP2	5.25019763537684
MMP15	3.91299867023563
MTMR14	6.10146936534663
NPR1	7.88377165349773
DNAL4	6.1591431588987
ELAC2	4.38556358776091
ASS1	11.7214117296509
IPP	5.38935628438668
TMEM59	9.97466577885783
POLR2J	8.53581915095193
SEC23IP	6.94805891660743
RGS4	4.03338166209243
UQCRC1	10.0515626118959
SNX6	7.61902840780948
DDX18	7.15338967336619
POLG	4.5085165598888
ADAM23	4.04555904504851
ZNHIT2	4.55731037120216
TFR2	3.29489203970728
NCDN	4.32896207072705
RAG1	3.3136279085803
POMT1	5.14173141046788
CYP1A1	3.36618999209425
SNAPC1	5.69385859155533
GNA11	5.59008878434671
CCDC52	3.04359423044337
CAPN1	7.35886552172428
DDHD2	7.62370715490118
UPF3A	6.57660936004057
LAGE3	6.45338192334701
GNRHR	3.17674855102421
UNC13B	6.45375177938182
TTLL4	4.64651036966710
PPBP	3.32817855618557
HTR3A	8.14661668381933
SDC2	5.81641984321518
ANKRD49	7.37395398250021
BTF3	10.3378744769415
COX7A2	10.9413259877253
SARS	8.82687584450495
C13orf18	3.91113676087388
CACNB1	4.00162225982982
QKI	5.92661668609935
SETMAR	4.97526994133327
LAMB4	3.17859024154912
MAN2B1	6.44981942153736
EML3	5.11120047607158
ACADL	3.27461958252184
OFD1	7.88140825698658
CGA	3.60366607110524
EIF3EIP	11.2429403133483
PEX16	5.37006317115783
GNG12	7.73297393208297
HABP4	4.96702348030489
CNTN2	3.27036291699489
ASNSD1	6.65899014624757
FUT4	3.89976173525443
DBH	3.65559601239138
