Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
SETDB1	5.0229466592848
LRAP	4.8428951654955
GCLM	6.32408850479264
CPEB3	4.22197955476559
PPM1A	6.1486280135159
INTS1	4.46163331695907
MMP16	3.29213610123983
CAMTA1	4.5637030966457
SAMSN1	4.02064513806394
DRD3	2.87285248238017
GMPPA	5.3302717711907
C11orf73	5.12746982949012
AIPL1	3.87770660514648
PTP4A2	9.83675722398803
IL24	3.36982841421854
BDKRB1	3.44761120798189
HPCA	3.92383423477322
MLF1	6.42160362253725
SEC14L1	7.44863382791057
CHFR	4.86246218250189
EMILIN1	2.90931649129949
THADA	6.89850599505047
TAF12	5.62476154950152
NDUFS4	7.42005465725224
ID1	5.45116507085066
PIK3CB	3.50604384569204
COL18A1	9.05331044133206
PDZD3	3.20802265324411
TBC1D17	5.13293566406378
COX8A	9.9543549251496
CDCA4	6.52657254689029
C2orf44	4.67752212232023
C9orf16	8.06197397849525
ERBB2IP	8.33677594381857
EMX2	10.2220251179171
FUS	5.77922349658848
NIPSNAP3B	3.57197432634559
TF	4.78056920231036
CXorf56	5.61319818835736
CLCN4	4.34497228357839
PWP2	5.4796976329113
MMP15	6.46308041238698
MTMR14	6.37981328849855
NPR1	6.684824262385
DNAL4	5.80566525991079
ELAC2	4.53893167256999
ASS1	10.4588085942390
IPP	6.24502935795266
TMEM59	9.75262085112422
POLR2J	9.39788845591901
SEC23IP	6.4030474012681
RGS4	3.62390258291016
UQCRC1	8.63987986957616
SNX6	7.99772183985794
DDX18	6.83805063203941
POLG	4.25105081098106
ADAM23	3.71994430730766
ZNHIT2	5.36455763169356
TFR2	3.49842499478008
NCDN	4.64965198744193
RAG1	3.47186520250093
POMT1	4.23975452913648
CYP1A1	3.41070714802744
SNAPC1	6.61253996819236
GNA11	5.70828109891376
CCDC52	2.97050879844187
CAPN1	6.8180917938935
DDHD2	8.72302249468858
UPF3A	5.80905625191397
LAGE3	7.13183608464565
GNRHR	3.17234311366434
UNC13B	5.71954392749015
TTLL4	5.27829886334878
PPBP	2.94872956675514
HTR3A	3.67585810210146
SDC2	6.3903665745673
ANKRD49	7.59800443830996
BTF3	10.2076445736948
COX7A2	10.0934755949686
SARS	8.64659595319815
C13orf18	4.06553857663379
CACNB1	3.9856850097343
QKI	6.04185546610295
SETMAR	5.91297793668743
LAMB4	3.37088385477335
MAN2B1	7.41131533980903
EML3	6.43183053023073
ACADL	3.38816092631824
OFD1	8.0832058030218
CGA	3.65542481292759
EIF3EIP	11.0161029944153
PEX16	5.70230492054363
GNG12	8.02724661334385
HABP4	5.06951548971301
CNTN2	3.72825664471648
ASNSD1	6.60784308722426
FUT4	4.29712072104145
DBH	3.77416631843735
CD53	5.55088074034919
HIST1H2BJ	3.50246788602626
TFAP2B	3.30763205490808
ACF	3.81107928416543
TMEM11	6.22791643050084
CDH8	3.41444691897956
C3orf32	3.93823687034836
AGPS	4.14120222157623
C4orf18	3.34864347297515
PCCB	6.63883426144103
IPO13	5.98750889729366
PECI	6.52523331693499
UNG	7.26719731079399
C6orf105	3.68834988802908
GSTP1	8.49619269459737
SUV420H1	7.96413971084881
ARHGAP15	3.6715697882668
LTBR	7.52553658007464
TDRKH	3.46815616259514
PSG4	3.54851362383081
SLC9A3R1	7.14321674829381
NBPF3	9.459189696939
SLC9A3	3.48545997030326
OSBP	6.57527690413489
PRR5	4.96242671347337
CHMP7	5.43930499322533
ADRA1A	3.01238140783297
ASAH1	7.12775665488282
FKBP4	7.25939387384175
ZNF350	4.71167253935112
DOM3Z	5.14366985124406
GIPR	3.88590299951475
AHI1	4.46091316049249
BST1	6.98922401021335
NCR2	3.52326725238057
NADSYN1	6.20800493530485
UBE2W	6.30190724636395
RGS14	4.13465443074619
KRT15	4.0199461286455
SCN11A	3.94783764507248
GFI1	3.8041865716643
FHL1	4.88052238541429
SMC6	5.18745069760221
GATA1	3.75206831059663
OSGEP	5.11239591605595
ARMC6	5.33717107646312
HK3	3.40355169919096
PSMD5	6.72897797434844
RSU1	6.99329820252906
RPL4	11.9373456207255
MAD2L1	5.65194291914467
RBPMS	4.95657715885423
EIF4A3	8.07098469086283
E4F1	5.63550911957218
DLEC1	3.44733891661987
PRPF3	4.64800652581831
EMR1	3.11570807904165
CHMP2B	6.62645611483611
CAMSAP1	4.37475600925382
RPS21	10.5621472609889
XCR1	3.40955253412567
ARID5A	4.13256232781035
RBM6	5.98445427149415
UBE2N	7.03143535147803
KLF4	3.93558970238454
MGC4172	5.25991218172626
LMO4	6.96553735698282
KLKB1	2.98066798592870
HDAC3	6.30774293775406
HP	6.45279548522761
SCHIP1	5.1218834821243
BTK	4.05123749007652
KRCC1	9.28982809512301
PRND	3.11458670752228
C6orf27	3.62158062529086
PIGL	3.32291700009175
CLCA1	3.7747474543587
C1orf112	3.65403011269007
OLFML2A	4.97098038243878
HUS1	4.74669708287265
SFRS6	7.2974732684219
CXCR7	6.36158843159427
