Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
C11orf73	6.58556442906705
AIPL1	3.7763830299267
PTP4A2	10.0219870937527
IL24	3.22820408163854
BDKRB1	3.31666574620558
HPCA	3.71940334004019
MLF1	7.0724496168357
SEC14L1	5.47912488152266
CHFR	5.02527797625465
EMILIN1	4.57440366223773
THADA	7.14073711103989
TAF12	6.78577791110059
NDUFS4	7.29642124942566
ID1	6.45595651406102
PIK3CB	3.89543022681677
COL18A1	7.19988992041094
PDZD3	3.08076841754734
TBC1D17	3.63528148684414
COX8A	9.89629100909518
CDCA4	6.05775017049093
C2orf44	4.13768772104452
C9orf16	8.27548373307465
ERBB2IP	7.31259328578877
EMX2	8.80692598270485
FUS	5.08124286137062
NIPSNAP3B	3.75837989552059
TF	3.27790500188237
CXorf56	5.06574727923833
CLCN4	3.63048699606577
PWP2	6.79067910061349
MMP15	3.96714523881581
MTMR14	6.60398870626888
NPR1	7.29181835286717
DNAL4	6.81676239465821
ELAC2	4.72078574521417
ASS1	12.0109823526742
IPP	5.74537684448188
TMEM59	9.10909415022252
POLR2J	9.13357857986682
SEC23IP	5.54730689441947
RGS4	4.24671827652942
UQCRC1	10.4151438236347
SNX6	7.21618885756516
DDX18	7.03386085805479
POLG	4.95976418134414
ADAM23	4.01566090514636
ZNHIT2	4.2615768907939
TFR2	3.23580988372101
NCDN	4.44596103328293
RAG1	3.4014413946182
POMT1	5.33703492995002
CYP1A1	3.36646162811182
SNAPC1	5.17291882441728
GNA11	5.6989311975293
CCDC52	3.16736393348882
CAPN1	6.05558563103552
DDHD2	7.03986769717677
UPF3A	4.80542368986321
LAGE3	6.75802228051329
GNRHR	3.25276719748011
UNC13B	5.63097394833138
TTLL4	4.55684350135099
PPBP	2.91705898087871
HTR3A	4.21414818887343
SDC2	6.95341682981562
ANKRD49	7.18924047239099
BTF3	9.82342020821172
COX7A2	10.6648205074979
SARS	7.77993932590125
C13orf18	3.90156177860806
CACNB1	3.94567574384276
QKI	5.56425708304553
SETMAR	6.67502386367091
LAMB4	3.21694518937038
MAN2B1	6.72498392424262
EML3	4.51653876439836
ACADL	3.31549068366602
OFD1	8.34359319243625
CGA	3.52728573003017
EIF3EIP	11.4881846094940
PEX16	5.012663067792
GNG12	7.9208806352074
HABP4	5.38002792479433
CNTN2	3.52046318206478
ASNSD1	7.50256682546672
FUT4	4.2200291649898
DBH	3.2005202999861
CD53	6.07087417197014
HIST1H2BJ	3.19886329882948
