Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_B06_433720
Composite Element REF	Signal
TAF12	5.38015267407546
NDUFS4	8.5798629266473
ID1	3.57969607841126
PIK3CB	3.89087153465577
COL18A1	7.00278635020614
PDZD3	3.28063726560066
TBC1D17	4.56338691960895
COX8A	10.0439754632704
CDCA4	7.71619148070193
C2orf44	4.7472233032486
C9orf16	7.58567467705167
ERBB2IP	8.36080503138911
EMX2	2.28914112340332
FUS	7.91410351079275
NIPSNAP3B	3.57871922638716
TF	3.39636293595373
CXorf56	5.77251674920645
CLCN4	4.55460664994261
PWP2	6.00487605788023
MMP15	4.56085675448865
MTMR14	5.78019221075917
NPR1	7.93297415138096
DNAL4	5.36646042747575
ELAC2	4.94434567664429
ASS1	11.7280334265167
IPP	7.67139755834732
TMEM59	9.28867277636333
POLR2J	8.85524974653902
SEC23IP	6.69421099721872
RGS4	3.4526458224147
UQCRC1	9.1326136280546
SNX6	6.8303848350259
DDX18	7.64441831217321
POLG	5.47697247239791
ADAM23	4.05720760439788
ZNHIT2	4.96268141017442
TFR2	3.82510426198812
NCDN	4.56926841611481
RAG1	3.19536980419071
POMT1	5.04284164645672
CYP1A1	3.49916962585179
SNAPC1	7.51809074181073
GNA11	5.44406373929447
CCDC52	2.93268217050192
CAPN1	6.14680000094287
DDHD2	6.84528904156549
UPF3A	6.14779898053525
LAGE3	6.75975177767035
GNRHR	3.06065602600761
UNC13B	5.09919882340551
TTLL4	4.78158613749466
PPBP	3.04079605361632
HTR3A	3.1483234279687
SDC2	5.47474779221893
ANKRD49	6.87092972334415
BTF3	10.3417811663148
COX7A2	11.1133368012552
SARS	8.33966069914082
C13orf18	4.51888554964345
CACNB1	3.87173033850607
QKI	6.00265743468628
SETMAR	6.19259909334827
LAMB4	3.33133685629648
MAN2B1	6.81850016589894
EML3	5.35807205352708
ACADL	3.17383234892241
OFD1	8.4052686049671
CGA	3.20696634349529
EIF3EIP	10.2647786023323
PEX16	6.20349064671137
GNG12	8.12838567642793
HABP4	4.73892905605192
CNTN2	3.49218913422184
ASNSD1	7.9037470912156
FUT4	3.78296152715099
DBH	3.51074231994407
CD53	7.36499610861522
HIST1H2BJ	3.18573838797543
TFAP2B	3.18504357586603
ACF	3.69742099185957
TMEM11	6.14128970549489
CDH8	3.25254590350362
C3orf32	3.38163496386758
AGPS	5.83465987872096
C4orf18	3.14915464116802
PCCB	7.63438588622157
IPO13	5.98293806061755
PECI	8.70141963346615
UNG	8.70757103864172
C6orf105	5.19479411958785
GSTP1	9.64800158693808
SUV420H1	7.76722893361996
ARHGAP15	4.16052098183490
LTBR	7.70925433693451
TDRKH	3.23204801716691
PSG4	3.7348544078185
SLC9A3R1	7.81710915978985
NBPF3	8.63851689590947
SLC9A3	3.70887475855396
OSBP	7.14184473830129
PRR5	3.99851339022026
CHMP7	5.5408722641981
ADRA1A	3.10433944353124
ASAH1	6.67348495938524
FKBP4	8.7921205427353
ZNF350	4.73269327925284
DOM3Z	6.27808925222983
GIPR	3.60893349338044
AHI1	5.79952580309516
BST1	5.63776744621954
NCR2	3.63200695574615
NADSYN1	5.91518096737081
UBE2W	5.62715445172465
RGS14	3.96766822606033
KRT15	3.83867786092415
SCN11A	4.05044753217028
GFI1	3.62389354313505
FHL1	5.49641349556384
SMC6	5.82158170737763
GATA1	3.31979558574998
OSGEP	5.61908741979848
ARMC6	5.20978769834524
HK3	3.42468286324938
PSMD5	7.24923037243721
RSU1	7.59954003492454
RPL4	12.0192903935197
MAD2L1	7.85044287119269
RBPMS	4.88378554109263
EIF4A3	9.72046503164096
E4F1	4.56860352387451
DLEC1	3.50334098955770
PRPF3	6.13561958450303
EMR1	2.96944045134873
CHMP2B	6.91185641982569
CAMSAP1	4.49134008407077
RPS21	8.87153323436172
XCR1	3.01266016963417
ARID5A	4.20626036543954
RBM6	6.6771916443928
UBE2N	8.05325574492874
KLF4	4.67902589985621
MGC4172	4.37956570340797
LMO4	6.40425414541091
KLKB1	3.24292505372144
HDAC3	6.26725447203131
HP	3.38985252673561
SCHIP1	5.34504404692803
BTK	4.30732645769591
KRCC1	7.97967062972818
PRND	3.94596769599580
C6orf27	3.51761845221458
PIGL	4.12688954999234
CLCA1	3.32936605605278
C1orf112	5.76674988878803
OLFML2A	6.20280000040724
HUS1	5.23998565762106
SFRS6	7.0950513610269
CXCR7	6.25001817588314
UIMC1	5.66330748909634
FXYD2	3.40016465810049
GOT2	8.33003728944487
ZNF667	5.37065295582887
TFEC	4.31154738847262
ATP7B	4.08416120782712
RAB38	6.57355843629887
POLD2	8.27621870638227
PPM1H	4.69037018546937
DCX	3.19912519118973
NFYC	7.15166414461982
ZNF228	3.94954845112398
KIN	6.11431282199276
PLSCR4	8.0308030007472
HIST1H4I	3.97734264393631
PPARGC1A	2.92394591511160
HIG2	7.48069752149454
KCNK10	3.65508541107833
EXOC1	8.25413794388081
OR6A2	3.74323071346116
ETFA	9.5689587895172
PDAP1	5.50237671005604
C19orf6	3.59615323669947
POLRMT	4.07693462961349
ZNF146	8.77151374994074
MIA2	3.29792309957697
LY6G6E	3.18158556555156
EIF4E2	7.04274898589089
NENF	4.93176656563135
HOXB5	3.52077931675538
ZNF324	5.39691842711011
CUGBP1	4.71643359961193
ENTPD7	3.99072610317285
TTC13	6.62076472446726
GJB5	3.20451069836857
PRSS22	3.98628292673814
CYP3A5	3.38623523758381
MBOAT5	5.62143407220223
CUL4B	6.9885297153097
CENPJ	3.61306494916382
KIAA0664	6.20497658854953
PITX1	4.05932894587498
PDGFRB	5.60892323165646
RDX	6.13938054034002
CELSR3	4.25318298821183
JUND	6.68502142639966
ITSN1	5.37251625062193
CHRNB1	3.37474619392087
EHBP1L1	3.96648450510910
C19orf2	8.05414289663547
FETUB	3.0827771502463
CAMK2B	3.60051072146418
DCTN1	5.24173081445164
TNKS2	6.61933049686779
MRTO4	7.82337316868985
C1QBP	6.27827574805504
TTC3	8.12599387107226
NDUFB8	8.46855680378103
CADPS2	6.17247344307936
EDG2	4.21658350206247
MYF5	3.0486651350953
SEMA3G	3.28611621995259
IL23A	3.54494439333288
GJA9	3.50513420627013
R3HDM2	7.51047903187824
C5	5.86074004075814
SLC2A10	6.22649069054069
TRIM45	4.43393914632846
TSP50	3.91655485683816
PAQR3	6.42802158724964
ANKRD26	3.84162049077285
TCP1	8.53636426198474
