Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_E01_452050
Composite Element REF	Signal
AIPL1	3.66784395737637
PTP4A2	8.77160442017128
IL24	3.39361748429889
BDKRB1	3.39901122423555
HPCA	3.60887045592303
MLF1	5.73154692038759
SEC14L1	6.8010609962523
CHFR	6.15172251086391
EMILIN1	4.58169824889515
THADA	6.49930930786057
TAF12	4.67736178599217
NDUFS4	6.94999800296155
ID1	7.31292075203296
PIK3CB	3.88126494442284
COL18A1	7.9973543743363
PDZD3	3.31281206640436
TBC1D17	4.46266489393156
COX8A	9.1613184401047
CDCA4	6.463757837637
C2orf44	4.07104346709189
C9orf16	7.60511221703991
ERBB2IP	7.77847984023864
EMX2	8.72386390993529
FUS	6.38107236704133
NIPSNAP3B	3.23517866763097
TF	3.21486365522926
CXorf56	5.64508909486848
CLCN4	4.37605316769589
PWP2	5.46675484608105
MMP15	4.17733376154275
MTMR14	5.57434210085278
NPR1	6.66203973906669
DNAL4	5.0418167065547
ELAC2	4.30793494778862
ASS1	10.3657442701463
IPP	4.98741990024684
TMEM59	8.71911219899055
POLR2J	8.48419967600917
SEC23IP	5.46603612169055
RGS4	4.56863147058903
UQCRC1	8.47372222115773
SNX6	7.36265165418247
DDX18	6.68397260658304
POLG	4.36036286718934
ADAM23	4.07214552813027
ZNHIT2	4.10005657227890
TFR2	3.40016022709123
NCDN	4.32042624887071
RAG1	3.34718325656549
POMT1	4.45071905140894
CYP1A1	3.35452919383667
SNAPC1	5.55574539943004
GNA11	5.5944920470178
CCDC52	2.61562840228779
CAPN1	6.54793167759349
DDHD2	6.94585815390205
UPF3A	6.74603224390896
LAGE3	6.23497292588216
GNRHR	3.11185107998048
UNC13B	5.52409186439117
TTLL4	4.46462277313625
PPBP	3.09284728977091
HTR3A	4.70713518506007
SDC2	6.34139666068515
ANKRD49	7.03748277535125
BTF3	9.83842290474166
COX7A2	10.5900306307273
SARS	7.77678019089551
C13orf18	4.30060378533026
CACNB1	3.85173131592642
QKI	6.38713041606036
SETMAR	5.06891207620484
LAMB4	3.32158697856993
MAN2B1	8.02289063021235
EML3	5.02044133769063
ACADL	3.32203114321142
OFD1	9.2443120029003
CGA	3.68154351569936
EIF3EIP	10.5230645263957
PEX16	5.35994107084139
GNG12	7.54371874628697
HABP4	5.17314809870696
CNTN2	3.60285492082379
ASNSD1	6.83807054673208
FUT4	4.20413169721745
DBH	3.35180410083781
CD53	6.39400455208887
HIST1H2BJ	3.24141311470799
TFAP2B	3.35431126809524
ACF	3.56193140238694
TMEM11	5.83584985677324
CDH8	3.37113413089807
C3orf32	3.4523920764294
AGPS	4.21543760972000
C4orf18	3.27342369978735
PCCB	5.69323063903959
IPO13	4.74177422078191
PECI	6.60479175559252
UNG	6.43462211975439
C6orf105	3.66779924782045
GSTP1	8.01739497583956
SUV420H1	6.91385031491615
ARHGAP15	4.45307177401404
LTBR	6.22525937160835
TDRKH	3.26722989297681
PSG4	3.33805367491297
SLC9A3R1	5.99994487850739
NBPF3	9.62816883252052
SLC9A3	3.40955188673395
OSBP	6.13595472375701
PRR5	4.80311241357581
CHMP7	5.91980497405146
ADRA1A	3.09306578463224
ASAH1	7.2094924841794
FKBP4	6.20513667558539
ZNF350	4.94113682321241
DOM3Z	5.08386103837102
GIPR	3.80198635937979
AHI1	4.44054782567169
BST1	4.24676465944388
NCR2	3.56980787239871
NADSYN1	5.27159738406798
UBE2W	5.86909545273805
RGS14	4.02715919038344
KRT15	3.85975732402495
SCN11A	3.67730564793535
GFI1	3.86435591475692
FHL1	4.42754968464566
SMC6	5.68400343677404
GATA1	3.72113142653565
OSGEP	5.56093276717602
ARMC6	5.25367352778203
HK3	3.34897838733262
PSMD5	6.04292294911432
RSU1	7.2309644647518
RPL4	11.1909890097703
MAD2L1	7.08994146951067
RBPMS	5.14547835356362
EIF4A3	8.78697838198277
E4F1	4.8278942880756
DLEC1	3.50178532254246
PRPF3	5.60504098440954
EMR1	3.01865269585558
CHMP2B	7.01717491076653
CAMSAP1	4.3693908712067
RPS21	9.6792712219425
XCR1	3.24462282313272
ARID5A	4.52944783143377
RBM6	6.33119769738288
UBE2N	6.85413656045222
KLF4	3.8955354374677
MGC4172	5.91236355869164
LMO4	7.12309237285349
KLKB1	3.24643719315888
HDAC3	6.08981510202873
HP	3.56769153776800
SCHIP1	6.0012949639548
BTK	3.9874115727569
KRCC1	7.59784228876134
PRND	3.27366628469266
C6orf27	3.65742204011770
PIGL	3.61454967374835
CLCA1	3.6372813445236
C1orf112	4.20897761107007
OLFML2A	5.46104997415794
HUS1	4.58559789400281
SFRS6	7.34616525793077
CXCR7	7.85734093537384
UIMC1	6.05077831119641
FXYD2	3.61525323502383
GOT2	7.7011224070906
ZNF667	4.25310910427192
TFEC	3.75876354418593
ATP7B	5.54748106080824
RAB38	4.30520982118698
POLD2	7.57548604348256
PPM1H	5.17487601734094
DCX	3.14934058244685
NFYC	4.83584725521881
ZNF228	4.93807225462835
KIN	5.43243510889862
PLSCR4	5.72556243115069
HIST1H4I	4.13780074169188
PPARGC1A	3.51453745159095
HIG2	6.3441149094291
KCNK10	4.15489241329894
EXOC1	7.8649840887846
OR6A2	3.60579485429926
ETFA	7.33364728293113
PDAP1	5.14955719940124
C19orf6	3.5593714885998
POLRMT	3.92953176001070
