Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H10_491222
Composite Element REF	Signal
C11orf73	6.42824297412329
AIPL1	3.90430597374807
PTP4A2	9.9010245801232
IL24	3.53646967853534
BDKRB1	3.68697876672503
HPCA	3.26398063064706
MLF1	5.0007986383198
SEC14L1	6.45790798616569
CHFR	5.15383170908763
EMILIN1	3.38202763496213
THADA	6.5030832641673
TAF12	4.52040898744158
NDUFS4	8.60271098316327
ID1	4.9767474761666
PIK3CB	4.24727897499865
COL18A1	7.13089148447649
PDZD3	3.35197470478645
TBC1D17	4.61627825924306
COX8A	10.5001248634771
CDCA4	6.61868682990437
C2orf44	4.91945712319841
C9orf16	8.02831129681115
ERBB2IP	8.82641688349774
EMX2	5.11100382038157
FUS	5.49289727219647
NIPSNAP3B	3.68540337506922
TF	3.32594222139293
CXorf56	5.11842531964308
CLCN4	3.43837181674356
PWP2	6.17010645083713
MMP15	4.08406272667866
MTMR14	5.95335226116597
NPR1	7.55279677764671
DNAL4	5.31406747477237
ELAC2	4.66021465308158
ASS1	11.5389427995221
IPP	5.96329890270172
TMEM59	10.2447126741413
POLR2J	7.63577412916128
SEC23IP	5.6950555699137
RGS4	4.02408538902427
UQCRC1	8.76432119188245
SNX6	7.49401481897889
DDX18	6.50384951025579
POLG	4.49095269643774
ADAM23	3.90423650432903
ZNHIT2	5.66453593374148
TFR2	3.2285176573488
NCDN	4.67219698489469
RAG1	3.29228834842641
POMT1	4.97310007923612
CYP1A1	3.33108846600364
SNAPC1	6.37557959609677
GNA11	5.48969180417974
CCDC52	2.89468484205515
CAPN1	7.02233919483151
DDHD2	5.87072235212842
UPF3A	6.23212518391973
LAGE3	6.10624950206305
GNRHR	3.18093001624024
UNC13B	5.53572934680365
TTLL4	5.73978328747025
PPBP	2.83451416066256
HTR3A	6.00159528864644
SDC2	4.89807111420729
ANKRD49	7.81579175118373
BTF3	10.3064980040175
COX7A2	10.6680397754023
SARS	8.79146160896135
C13orf18	3.93434992727887
CACNB1	3.88918652158879
QKI	6.00583524936008
SETMAR	4.15247889097289
LAMB4	3.23180697260597
MAN2B1	6.2713216768436
EML3	5.16914697148611
ACADL	3.24873224018573
OFD1	8.24395653178761
CGA	3.66762472656067
EIF3EIP	10.6919488955090
PEX16	5.12864699302788
GNG12	8.2059298364747
HABP4	4.69214413029953
CNTN2	3.66528993693312
ASNSD1	7.38048695953472
FUT4	4.33871598356084
DBH	3.40640679780133
CD53	7.81667451863506
HIST1H2BJ	3.30803775018278
TFAP2B	3.21905534451334
ACF	3.65504958794942
TMEM11	6.1824592187108
CDH8	3.23177182301149
C3orf32	3.73528909667072
AGPS	5.41051449618707
C4orf18	3.38837484994763
PCCB	7.40782672164978
IPO13	4.72921110983468
PECI	7.15515376082751
UNG	8.58178696040384
C6orf105	3.95072318762117
GSTP1	8.91911082556266
SUV420H1	8.05564917486095
ARHGAP15	4.17509523195859
LTBR	6.4986410723061
TDRKH	3.28072688347219
PSG4	3.77726294159787
SLC9A3R1	7.5550754146556
NBPF3	9.38164710857528
SLC9A3	3.51959390418845
OSBP	5.81561226004059
PRR5	4.89988469605707
CHMP7	5.56941271580605
ADRA1A	3.08981526363104
ASAH1	7.04579981462382
FKBP4	6.18494418160673
ZNF350	5.03374376209589
DOM3Z	5.45453525952539
GIPR	3.89599233987664
AHI1	6.05305434484197
BST1	5.75993906538538
NCR2	3.60822797084027
NADSYN1	6.21073123488381
UBE2W	6.30288096790592
RGS14	3.79427386056879
KRT15	3.95824471088869
SCN11A	3.70544002419758
GFI1	3.57211187753834
FHL1	5.20903846522808
SMC6	6.877154736788
GATA1	3.46558272044608
OSGEP	4.64656673012422
ARMC6	5.03428581806275
HK3	3.85406567928591
PSMD5	8.20749414821397
RSU1	7.52844182949779
RPL4	12.6296451051604
MAD2L1	6.86141854215037
RBPMS	4.45070042757017
EIF4A3	9.7806496945161
E4F1	4.87784952288937
DLEC1	3.28208491077514
PRPF3	6.18299682164724
EMR1	3.23591956240203
CHMP2B	7.34242982966702
CAMSAP1	5.00350092719302
RPS21	9.63207698030912
XCR1	3.3489413885182
ARID5A	4.41357821963386
RBM6	5.86846030611186
UBE2N	7.9098122575262
KLF4	5.17884869898436
MGC4172	4.76483505246039
LMO4	7.43360492392991
KLKB1	3.38626747628068
HDAC3	7.05258032208657
HP	7.57974302800376
SCHIP1	5.71261757157315
BTK	4.34907169034811
KRCC1	7.27800528578272
PRND	3.15031037625548
C6orf27	3.42688113681849
PIGL	4.03881837527928
CLCA1	3.49311466792233
C1orf112	3.99376956509551
OLFML2A	4.3294632365905
HUS1	4.85141669989957
SFRS6	7.49863364708019
CXCR7	7.51096742271171
UIMC1	6.62146347344349
FXYD2	3.49412984734448
GOT2	7.9435106875326
ZNF667	3.66287032864028
TFEC	5.13166828115739
ATP7B	4.04140732878456
RAB38	5.98086371460123
POLD2	6.93562288154913
PPM1H	4.10700470582549
DCX	3.39733137951048
NFYC	5.68688582372954
ZNF228	3.45303282791173
KIN	6.13731561264929
PLSCR4	6.04735010781058
HIST1H4I	4.10371409229484
PPARGC1A	3.15566180108886
HIG2	7.3717330480891
KCNK10	3.98259144089094
EXOC1	7.74772669650423
OR6A2	3.98917679280474
ETFA	9.49772078354917
PDAP1	4.4664545290563
C19orf6	3.48737552349524
POLRMT	4.08238930459059
ZNF146	7.63734094141855
MIA2	3.38232361851859
LY6G6E	3.18401768536520
EIF4E2	7.77019113035315
NENF	5.21889339586081
HOXB5	3.7203526136869
ZNF324	4.78203207778145
CUGBP1	4.3131032147143
ENTPD7	4.61064899398428
TTC13	6.32299151874644
GJB5	2.93523583374796
PRSS22	3.86604647900942
CYP3A5	4.2720604821089
MBOAT5	4.32247833442693
CUL4B	5.70313726932872
CENPJ	3.439205297116
KIAA0664	7.50199676838486
PITX1	4.48236127399799
PDGFRB	5.07069126506976
RDX	6.59039219625108
CELSR3	3.86427089049155
JUND	6.66039464318987
ITSN1	4.87788274666254
CHRNB1	3.29131939447448
EHBP1L1	4.04505521510076
C19orf2	7.42957709480097
FETUB	3.1185723343943
CAMK2B	3.12995223783801
DCTN1	6.55610290938692
TNKS2	7.11433538297476
MRTO4	7.13282790843335
C1QBP	7.17613707421777
TTC3	7.1862069022943
NDUFB8	9.14624050007186
CADPS2	6.04954962951184
EDG2	4.04205175385887
MYF5	3.07423751968252
SEMA3G	3.31766226568513
IL23A	3.77144816158879
GJA9	3.63206388564128
R3HDM2	7.78686684281121
C5	4.46727829119791
SLC2A10	4.75585058922397
TRIM45	4.9318427454959
TSP50	3.74769637904873
PAQR3	4.62263031944192
ANKRD26	3.54567023347016
TCP1	8.61271307107483
TMED7	7.36134211675812
CMA1	2.95890055758057
PTCRA	3.99862718346588
HCRTR1	3.55184365247648
FST	3.91967433525148
PAWR	4.39196764956657
LDLR	4.27833672625062
ASTN2	4.40492065907308
SCRN1	6.84560576221345
GPATCH8	6.40325574787562
KIF4A	5.92193461741536
TANC2	4.67822455313717
ZMYM5	3.92438774726733
PGM1	8.15741879641835
ZNF586	5.30908369532561
POLR3G	3.93540562958279
CPD	5.83395439318066
SNCAIP	5.60656256239547
DCT	3.36320824227524
HLA-DOA	3.75337591303255
TANK	5.88850172730642
RCAN1	4.28509385188453
UPK1B	4.05199035328533
DNAJB4	4.84120238859841
UGT1A8	3.1719186220928
LIMD2	3.51285075349837
HIST1H4L	3.45307189964492
PECR	4.74731448843554
HSPA2	4.97646815544065
SERP1	9.15291733864652
TACR2	3.43451459134109
NUP85	7.6523684122
CD177	3.38605205547539
GPR135	3.16508793455069
PIGG	8.20931383911873
LGR5	3.25459413760197
JAK2	4.34827322110713
DPYSL4	3.28470974756456
TM9SF4	6.15826435989313
PTHR1	3.18391519243937
SIRPG	3.36928289600790
ZNF264	6.06043438098416
BICD1	6.63744851919065
RAB5A	7.04825503509437
FLJ13224	3.11297108038606
METTL5	8.75662096269382
HERC6	5.97446010465512
CASP1	5.89519648009275
USP9Y	2.85761079352585
LRP1B	2.67736135582380
XAF1	7.55441811769116
PLA2G4C	3.86850005806796
APOA2	3.19932412569367
SPAG6	3.13677244354858
KALRN	3.44791030349930
SECTM1	7.58326644314731
THOC7	8.52902596816103
IFNAR1	3.59213900005639
TCTA	5.5027850752326
NY-REN-7	3.37786331468648
TALDO1	8.97513250675842
B2M	12.1719535813501
LPPR4	4.83015114186696
SQLE	5.90743982656759
SEPHS1	7.07999137801484
EIF5A	5.7813293942282
FAM49A	4.93112829982779
YTHDC2	5.16146422393071
EHD2	4.52493250009293
NCF1	3.70429185059277
SPG7	5.92868887314196
ZNF614	3.64953709314298
HOXA5	3.90697103538452
NUP133	7.69207845175142
FGF12	3.69599328654564
SLMO2	7.55056432364258
INPP5B	4.60286499931947
PPID	5.72991723791349
SNTA1	4.39237127691226
IL20RA	3.71653072885226
UBE2J1	6.67710247874027
CACNG2	2.93678394137525
GCM1	3.22932506530133
ELF1	6.89829221577873
TLR5	4.87990636262063
TCFL5	4.70160322742065
C1orf107	6.40602719709936
C19orf22	7.15789582606032
SAFB2	5.91398522437814
MAP3K7IP1	3.82055626431738
NCK2	7.16931857783603
OXA1L	8.78585502094116
KIAA0652	5.48177849533212
KLRG1	3.57086603446655
FRAG1	6.09433240269123
ZSCAN12	3.06625477714536
PSMD12	8.0258394391224
E2F4	5.31522780063144
CLEC4M	3.39617437046177
KIAA0999	5.20930744259061
CLDN10	7.42379351245064
MGC13053	4.42455319239034
TAC1	2.60348995497087
GYPA	3.38877948357374
HPCAL4	3.24639790380779
TRAIP	3.80116779162527
MEX3D	4.20464457139363
KIAA0232	7.85714251994002
ERCC8	5.6279897843157
NFAT5	5.50988056997415
GPX4	8.79129576019205
CSPG4LYP1	3.21106423159981
KIAA0368	6.42213228207353
FBXO3	4.85596342648183
DVL1	5.95988823393256
CMKLR1	3.46068235954575
GPR157	3.54065012455061
TYMS	9.08202718872111
OR52A1	3.29814145847084
PEF1	7.7064623975828
ZNF750	3.80660016306634
ALG9	6.56020395308564
MCM5	6.10147080806516
SDK2	3.4007804360081
BAIAP3	3.77362740231419
RABGGTB	7.93727242527027
KCNK7	3.34087979860228
PTP4A3	5.40917777521016
ANKRD40	4.25962633094978
CALCOCO2	7.40243037838065
TMSL8	4.11490913950122
SNCA	4.32756319695164
ZNF551	4.00756029123378
HBQ1	3.30196067723243
ARHGAP26	6.45218303865829
GEMIN6	6.7089070602694
HRAS	4.80917590396148
KLRC4	2.92451451678349
BSDC1	6.73344777201259
DSC1	3.50817837883931
RNF43	5.28027264893407
NDUFAF1	5.88965444301201
MAP2K4	4.73478609799541
FOLR2	4.59332637660544
LYZL6	3.57044476213166
EPB41L3	4.08866937154069
TEKT2	3.86776626018288
CDKN2B	3.28776746577911
WSB1	6.26772682296431
ZNF480	3.4900354480955
MAP3K6	4.11343346328087
PROS1	5.46340675378043
PSMB8	8.83046578694873
HN1	7.78693980774876
MAS1	3.48245335439111
APOL1	6.485000345441
CSHL1	3.25384416759178
ZBTB7C	3.07517129096920
AHCTF1	6.49958923953632
SAE2	8.57779978743675
ITGA2	4.12986579265107
AP2S1	8.4275539044534
P15RS	8.00521008241013
MME	3.40950540324894
VAT1	7.53322990928633
MAST4	8.21626258405435
TUFM	9.18979515661489
KRT33B	3.40966232755943
THEG	3.71911084082143
KCTD2	5.47766502133592
WDR26	8.16574566093436
MFI2	3.71339343765745
KRT34	3.05335734598992
NR4A3	4.274309470753
SGSM3	4.33529807107007
ARSA	4.19051360653289
TOMM22	5.18330265679279
SOCS3	3.7975555590065
UNKL	4.11712069968827
POP4	7.57683640897443
BHLHB3	8.8124501624205
MALL	3.59168338200343
SOX15	3.30046218862446
CCNA2	4.74778948028994
PARK2	3.25950622799833
GPR124	4.23138966236184
TMEM132A	4.7022203590771
CGRRF1	6.04945573692728
RUVBL2	7.87087414513944
MCAT	5.51752198138264
WNT10B	3.76877211430118
ISCA1	6.38717920409657
RPAP1	4.51373675076458
C12orf48	5.22616697005329
RAI16	5.53663934861717
RPL27	9.54286231009842
EPN1	3.28168543225008
MAGI1	3.26962752163893
GBX2	3.21930561990203
SLC35A1	8.49393238855377
GAL	5.31475319066632
SLC14A2	3.49990681896461
RDH11	7.29046482076897
ZNF518	4.52086777890533
PCYT1B	3.22787266843577
AUH	6.48613728452199
EIF3H	11.5178839239408
KIF1B	6.16564477484183
MBD2	4.79779439391772
AMOTL2	9.12674464053964
C6orf120	6.3156468428096
PIGT	7.87260499803709
PSRC1	5.81097763132887
PLA2G10	3.40849093936377
ALAS1	6.6652392918935
FOXO1	6.1963681443157
C17orf62	7.3504951967797
KIF5C	5.3327752297785
DUSP10	6.29108088452315
CRLF3	7.36364712944498
CLCNKB	3.25742856041573
PSMA5	9.57268276568209
FARS2	6.0921194874252
CCDC28A	7.0158767786628
AMPD3	4.66961898680304
PIAS1	7.8997173967421
ADCYAP1R1	3.54766991343446
TMEM134	7.61967046734288
CDH20	3.07426381986949
FBXO7	7.83196571872144
FLJ14213	3.61567374803507
ZNF3	5.35091153763835
LRRFIP1	7.96271723708
TMEM49	9.8600403749077
CNOT2	7.94647369572157
CBX2	3.07492916943412
ZC3H14	6.94077490531272
ALDH5A1	6.08200752886550
HNT	4.51421151678172
SERPINA4	2.93786381017604
FLJ20920	5.57420811202275
CRTAP	5.0669139785257
DDX50	8.62075868483487
STYXL1	6.22761197762368
TK2	4.38056807484111
BLVRB	6.136435773121
STMN1	6.60581858649594
GUCA2A	3.19644259049402
DPP6	3.22171042265896
GALNT10	5.40048821531789
STK39	4.28472767753142
MMP24	4.43500457599646
CKS2	9.01738902857623
RHO	3.56995570962297
BANF1	10.2985825517219
CR1	2.94285460498511
RPS6KA2	5.69427392154015
HMBS	6.723064170772
C20orf112	3.80088953465066
SLC25A24	8.48266863708206
MRPL22	8.09461783853591
SLC25A15	5.24750658334109
GADD45B	6.02708965328098
TDP1	6.19694245111056
ZNF287	3.58603263840285
DAAM2	4.75424009066065
C11orf57	6.8534140754215
RFK	7.27413213250843
ZFYVE9	3.93897740873550
TCTN3	7.19549236290014
STCH	5.07009587926757
LOC283871	3.55122326098684
NDUFB3	8.08027820101548
DEFB4	3.89678785323680
FPR1	4.34291020338667
FMNL1	4.1246864581654
SEPT7	9.12658727128982
PTCD2	5.39182556683875
GNLY	5.29191809574557
GRAMD1C	6.24826361890618
ZNF165	4.98492748924753
TR2IT1	4.3342314056583
ARMCX3	7.8692049552473
NDE1	5.09128574136085
MAGEF1	7.22080621358206
ITGA10	3.61736814063537
ARHGDIB	8.44044213212107
FSHB	3.83525744847091
ANXA2	11.3818554008000
HLCS	3.75884028200526
MCF2L	4.41643688813306
AK1	5.21622187210145
FH	6.57483994513802
LGALS2	3.78439921398418
SYNPO2L	2.87257813380465
KIAA1045	3.37448792055731
C1orf183	4.97227122839175
MAGEA8	3.03420805805879
DGCR8	5.19455503480749
GSR	5.42258838087562
NEU2	3.43640325275822
HIST1H4B	3.18121793644847
CACNA1C	3.25851154651092
FAM20B	5.71005924283405
HES2	3.08885712867898
PDCD6	8.4704818842091
INTS7	6.27686742749873
AMPH	4.79659962575695
UCKL1	5.48630070113033
ASB4	3.13543562398203
C10orf97	4.14852188912189
ALDH1L1	4.11181176871914
CCL23	3.19564764905605
OBSL1	5.28461571747568
SLC12A7	8.61637003033256
THAP4	6.24017466902166
RBM4B	5.8867828770106
OGFRL1	5.18679886622427
KIAA0831	6.69197284885445
C12orf11	8.03132781923665
PPP1R15A	5.56083448620979
KIAA0240	5.65839172293285
CD1B	3.26540644592757
FCGR2A	6.27153341328758
MDC1	5.72120768856308
MAN1A1	4.33471042534865
KRT9	3.55312196506742
HTR1A	3.19587078732061
OCEL1	5.54358790035432
ATP11B	6.03244229890839
NLGN4X	3.98428884766844
FBXO34	8.64199350264068
ALOX12	3.55258490920682
RB1CC1	7.36625003392743
PCDH12	4.01848766668316
RPE	4.82352380637804
EIF4E	6.56261672638448
CSDC2	3.80087146928842
ABHD5	4.59138252447635
TMBIM1	7.16278268297279
PET112L	4.53392389285605
P2RXL1	3.29998157783408
F2RL2	3.19524483164868
TRMT1	5.31480600963291
IMPG2	3.56904608520950
LRRC32	6.45409969658259
BGLAP	3.99566882937506
HTR4	3.46994358248276
MRAS	4.04214412515283
TRAF6	4.87597858580622
AXL	4.94525610422848
ATP2C2	4.00126833031496
LMNB1	6.91293656003758
TELO2	4.53018234178603
PNPLA3	3.69371090639315
CSNK1E	5.85791210553551
SRP14	9.73316617673745
KCNQ4	3.10712239127944
PIK3C2B	6.00523064578527
C15orf15	9.25093895257897
TUBB2B	3.04372170856006
USP15	5.78718568836450
C12orf41	8.04516872969304
CEND1	3.26557498836078
RNF31	5.04095554167508
TCEAL2	3.73384689759185
PTGER2	4.44252859031736
UBN1	6.02584771665742
SLC5A7	3.28619929256446
SLC31A1	5.76959019887908
ADAM29	3.76570938923227
ST7L	4.51315072564026
GFOD1	4.50577509597573
CTNNA1	8.94443263433853
HRBL	3.56539998194487
CBX4	3.59053177171369
NTRK2	3.66560493735499
FOXN3	5.70488451596994
MFGE8	5.27187432060432
PFKFB2	3.77219182520313
TAS2R4	3.67808622259728
SH3TC2	3.28703003760921
IL10	3.55248723054318
PXMP4	5.60085141315915
RNF167	6.9187136813694
PRMT5	7.94820189595479
TSKU	6.52037613395762
ATPIF1	7.78762800849171
ETV3	3.41394512497732
PAK7	3.27533268619052
PDLIM1	10.2151462163446
CEP63	5.18690674463782
WDFY3	4.75059148272447
RNF126	5.17168655663954
DPM1	8.2916431539634
CLIC4	6.25992209211922
ACR	4.00115165199444
KLK7	7.90051325468356
ALOX5AP	8.51797808859867
LRP1	4.36624656491175
TNK1	4.51958238705883
TAS2R9	3.04715853450460
ZNF16	6.54927351702052
POLR1B	5.97855615804317
SLC8A2	3.66621132281057
OLFM4	2.69931414221303
TACC1	5.09709145056851
SAMHD1	7.11373231147172
ATP13A2	4.96411229421185
KRT4	3.65626096451826
PAX6	5.20711175859035
SCG2	3.92760536734513
SLC17A6	3.51981894964472
TUBB4	3.53563075747742
PADI4	2.9435713165024
FMO3	3.05379665092403
NLK	3.74094514489082
POU4F3	3.18730389129405
MDM2	3.47242906685689
CAPNS1	8.74778794401458
SDF4	6.5042025307286
ITGBL1	4.03708389908902
TAP2	5.18619405381777
OR2C1	3.28680336442295
KLHDC3	6.98041949600807
EFHD2	5.64902061358969
GALR3	3.54528962246685
NBEA	3.13712592551663
ABCA6	3.29167912275542
ABBA-1	4.15998063182231
GNAI1	3.35324295586367
CLDN3	6.68938134723719
AKT2	3.15854019772575
EGFR	4.16405818777593
VPS4B	8.01616796110509
RBM16	7.32567958934747
GALNT6	7.86212974543291
ZDHHC3	5.22793096861125
SLC25A4	6.16056021896937
CYB5B	5.2590508665538
NDRG1	7.85807559434486
SESN1	5.75543916797728
GBE1	7.70437154110584
MRPL46	6.98373236979499
CLASP1	5.33672705531042
FARP2	4.98511838367245
ACOT11	3.95709451167849
LDHAL6B	3.11351390404232
MAPKAPK3	5.44353293985174
NCAM2	3.24947431055819
AFAP1	4.85181098362115
PRKD2	5.88144961425211
OR2H2	3.40808739065697
ZFP36L1	8.38581725358945
DZIP1	4.32494879807769
GPR161	3.72677081504542
RNF146	4.1864709509354
NKX3-1	3.98825422717399
CCNB2	8.2675218136505
ZNF10	3.63341023857501
WDR74	5.33480683747539
FAM134A	8.82143534354714
PCNP	9.05601102345212
PURA	5.54109767910223
DNPEP	8.55138780161478
ERBB2	4.7937162138455
CREB1	5.79735795110795
NEO1	6.90104695971282
DDX3Y	3.2634124888096
RPS3A	12.7323947669946
MXRA7	8.89434642495358
LGALS3	10.5170313580221
GLT8D1	6.24273916397536
TMPRSS3	9.73933387974593
UPB1	3.42142179488848
LAT	4.09322556324682
CLDN14	3.59128526879225
DHX38	4.30511767461436
KCNA3	3.3863160303462
BTBD1	9.22834267406515
TARS2	5.26549501185114
SKIV2L2	8.40856596054274
ABCF1	8.67204846864605
CDT1	3.87299203168093
ZHX2	7.05457881611223
FCF1	5.16644768181876
LRRC49	5.10332879348442
GUCY1B2	3.30499768037612
CD28	3.42320479625991
SMARCA4	5.91228131724737
SEPT2	9.14766764482015
SOHLH2	3.29434365713749
MCOLN3	4.4795333432573
LRP8	7.08735681510847
TAGLN3	3.92315644340495
MASP2	3.59445172576371
GPATCH3	4.19804630276016
TTRAP	8.79440069461162
AGL	7.79475218182886
NFE2L3	5.39707137171459
PSD4	3.73804524113363
PALMD	3.9209632962532
CCNB1IP1	9.20951657948867
TMEM43	6.7084521391956
OBFC1	6.17472944944801
STAT5B	4.44910077484655
C14orf79	4.32161959382271
ENPEP	4.07906300164353
SSB	7.62115042565445
SCT	2.87246090220874
TIMM23	6.93060227129128
SKI	3.86559094109078
SLC22A13	3.15752658129064
AKAP3	3.89363454632054
OAS2	5.61983533033318
KIAA0423	6.56551271130743
SEC61G	8.48927162930612
CAPN11	2.9733974836023
TMEM50B	5.04179482031529
DEGS1	6.65829931723699
ARHGEF4	3.39683914030628
DBNDD1	4.0640297614508
TBL1XR1	4.41285562615734
FAIM	5.94340525144186
SP140	3.35293771310061
G6PD	5.07795415691087
NUDC	6.62444854725869
GABRP	5.3162282142508
SCARA3	5.94155085701428
TACSTD2	5.83751090654254
EIF3J	6.99505287382281
PPP2R2A	7.70056459859947
CPA3	3.71720626599987
PVALB	3.22878229392165
BCAT2	5.10785192265674
MFN1	6.05011767395101
