Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D04_298068
Composite Element REF	Signal
C11orf73	5.99240135062581
AIPL1	3.51010532418479
PTP4A2	8.63272756904931
IL24	3.51209385715136
BDKRB1	3.24698046533185
HPCA	3.33019092443844
MLF1	7.14590525495158
SEC14L1	6.74124333375681
CHFR	6.31459057353899
EMILIN1	3.37919801468775
THADA	6.94195447707496
TAF12	4.33020159482769
NDUFS4	7.39450168431367
ID1	6.44629808575727
PIK3CB	4.09354264962146
COL18A1	7.83063783096765
PDZD3	3.26864236607915
TBC1D17	3.85966454099473
COX8A	9.53868117506412
CDCA4	6.47977187780308
C2orf44	5.5921007806799
C9orf16	7.00272403961558
ERBB2IP	7.28902781622558
EMX2	7.48097751402733
FUS	7.95579993926202
NIPSNAP3B	3.50636133942777
TF	3.38366105518176
CXorf56	4.82453898567546
CLCN4	4.06585244076469
PWP2	5.50896694182168
MMP15	4.40336173039016
MTMR14	5.71795081101873
NPR1	5.05929098306105
DNAL4	5.89681574829935
ELAC2	4.86838541497258
ASS1	11.0321508509866
IPP	4.78265594276038
TMEM59	8.58024315345832
POLR2J	8.69155493899597
SEC23IP	6.0999933499708
RGS4	4.03497606924395
UQCRC1	10.1405347676702
SNX6	8.37354530147608
DDX18	7.17522485606376
POLG	4.70139382691311
ADAM23	4.249518579603
ZNHIT2	4.41101347487259
TFR2	3.7988912997494
NCDN	4.29009691285571
RAG1	3.22463735686596
POMT1	4.72249185290709
CYP1A1	3.24966627792891
SNAPC1	5.98206835130247
GNA11	5.11516115806633
CCDC52	2.75932754813073
CAPN1	5.02906205793983
DDHD2	7.68033473264613
UPF3A	6.0409792794804
LAGE3	5.79669883155299
GNRHR	3.19385513471607
UNC13B	4.99521957010271
TTLL4	5.75097475523027
PPBP	2.82822143695998
HTR3A	3.30214369434752
SDC2	5.32562908825966
ANKRD49	7.8642187397962
BTF3	10.6508141199411
COX7A2	10.6131251050913
SARS	8.98664384931808
C13orf18	3.89123515459958
CACNB1	3.6560653964958
QKI	5.78634411855951
SETMAR	6.08373154058806
LAMB4	3.43387600014308
MAN2B1	6.72618707460528
EML3	4.16195221574189
ACADL	3.35900874217889
OFD1	7.41033683001714
CGA	3.54235625811342
EIF3EIP	11.1384249313794
PEX16	5.4116775202372
GNG12	7.59099311986583
HABP4	4.55494020969577
CNTN2	3.50128980333720
ASNSD1	7.31610223348009
FUT4	4.85341055346767
DBH	3.21841645787813
CD53	4.62259937813438
HIST1H2BJ	3.49801722007061
TFAP2B	3.32756127825367
ACF	3.55602184568772
TMEM11	5.92130306515659
CDH8	3.31814792120724
C3orf32	3.51339605624263
AGPS	5.18641896120601
C4orf18	3.68423464220848
PCCB	7.9733009543545
IPO13	5.02548396709539
PECI	7.55066260223511
UNG	8.86517179843844
C6orf105	3.90437259141133
GSTP1	9.11531723822612
SUV420H1	7.07030343228478
ARHGAP15	3.44749871588177
LTBR	5.50550690192063
TDRKH	3.49041475748224
PSG4	3.44400533310141
SLC9A3R1	7.38040623602962
NBPF3	10.1818331770747
SLC9A3	3.89833742853795
OSBP	6.51676969611419
PRR5	5.21988401245465
CHMP7	5.94378108380983
ADRA1A	3.20387922332082
ASAH1	6.27760212204482
FKBP4	8.6768348411313
ZNF350	5.39573690293004
DOM3Z	5.60249623907898
GIPR	4.01910354352325
AHI1	4.81501353421688
BST1	3.83289822103281
NCR2	3.60381794834645
NADSYN1	4.31637310616177
UBE2W	5.6517177554085
RGS14	3.80833076547771
KRT15	3.68742662528025
SCN11A	3.94078888204569
GFI1	3.65537360199783
FHL1	4.67555663877817
SMC6	7.32523846850383
GATA1	3.3147350769105
OSGEP	5.62891027169575
ARMC6	5.47668885883572
HK3	3.25155363309971
PSMD5	6.0591064365434
RSU1	6.0813890002578
RPL4	12.4797557218479
MAD2L1	7.53952637072569
RBPMS	5.15068906370239
EIF4A3	9.65988040390233
E4F1	5.24515734699008
DLEC1	3.56969524641583
PRPF3	6.13562318519832
EMR1	3.00253863681837
CHMP2B	7.1205720208673
CAMSAP1	4.61087108677258
RPS21	9.86061000398692
XCR1	3.25461143667407
ARID5A	3.89864815871958
RBM6	6.8804622242945
UBE2N	7.80177949188497
KLF4	4.67411229420695
MGC4172	4.35722592222134
LMO4	7.17597053961567
KLKB1	3.10387909741292
HDAC3	7.09337581316531
HP	3.97104881687923
SCHIP1	6.00400815812636
BTK	3.8061967683861
KRCC1	7.12716168840957
PRND	3.44140449407149
C6orf27	3.81778282907051
PIGL	3.69103134273168
CLCA1	3.88836125461554
C1orf112	5.45214281143894
OLFML2A	4.65967520119618
HUS1	4.9581299889424
SFRS6	8.54721462478562
CXCR7	4.51791791520858
UIMC1	6.66559561302914
FXYD2	4.30263320681691
GOT2	8.8131182774212
ZNF667	4.18321041319843
TFEC	3.28979404974357
ATP7B	5.73290925845103
RAB38	6.69945352367502
POLD2	7.75895868401003
PPM1H	6.15478335003447
DCX	3.41251299425203
NFYC	6.67290880872435
ZNF228	5.48650006642448
KIN	4.7357825221099
PLSCR4	5.50049071020439
HIST1H4I	4.18254878259938
PPARGC1A	3.24725680625827
HIG2	7.6604942048548
KCNK10	4.03719402006893
EXOC1	7.90313410265268
OR6A2	3.86500401284907
ETFA	8.61715287637129
PDAP1	5.23912678551387
C19orf6	3.51778278617458
POLRMT	4.39184221378608
ZNF146	8.73430473725032
MIA2	3.45814261148195
LY6G6E	3.22355455586330
EIF4E2	8.80903877933263
NENF	4.8046454707603
HOXB5	3.99785808668883
ZNF324	4.78821878604088
CUGBP1	4.77760337941438
ENTPD7	4.87229151954508
TTC13	6.16035048024566
GJB5	3.35915650718363
PRSS22	3.91347838142436
CYP3A5	4.18028084725475
MBOAT5	4.76321104953356
CUL4B	5.21250128332111
CENPJ	4.6528486920953
KIAA0664	6.19942238442397
PITX1	3.37079527694371
PDGFRB	5.30598517821395
RDX	6.29201249392102
CELSR3	4.35834468555734
JUND	6.21266513835524
ITSN1	5.17788756854137
CHRNB1	3.34492908844513
EHBP1L1	3.42773010237674
C19orf2	7.69017268521902
FETUB	3.19757276985977
CAMK2B	3.48875402126183
DCTN1	6.45357019128919
TNKS2	7.01518379345784
MRTO4	7.84463863219514
C1QBP	6.40823734148978
TTC3	8.3927708615741
NDUFB8	9.10823426045928
CADPS2	4.47114839979127
EDG2	4.25493734125645
MYF5	3.00783964395196
SEMA3G	4.75418339901395
IL23A	3.38189658049305
GJA9	3.91171866002948
R3HDM2	7.05351263427523
C5	4.92615227587958
SLC2A10	4.78420988209137
TRIM45	5.51659887511885
TSP50	3.77907738168714
PAQR3	4.77895751232357
ANKRD26	3.58783129817837
TCP1	8.52439201954847
TMED7	6.48487106876271
CMA1	2.9725815993274
PTCRA	4.22163402423317
HCRTR1	3.44052488804101
FST	3.88239817192528
PAWR	3.65615030595836
LDLR	5.19265447246411
ASTN2	3.92061418006089
SCRN1	7.40730342677485
GPATCH8	6.48313158912944
KIF4A	6.66755489048995
TANC2	3.59629908141765
ZMYM5	3.67473073731507
PGM1	7.71728482793126
ZNF586	4.36810089803769
POLR3G	3.78088854171546
CPD	6.11845256919784
SNCAIP	5.37987527725992
DCT	3.52260116543697
HLA-DOA	3.48442133654329
TANK	6.22048903817972
RCAN1	4.07561673414853
UPK1B	8.25670453433624
DNAJB4	4.78934438867826
UGT1A8	2.9915490062393
LIMD2	4.04987014771387
HIST1H4L	3.68731512758627
PECR	4.23844395539231
HSPA2	6.8023219010737
SERP1	9.44662168302168
TACR2	3.44214495910312
NUP85	7.26310898704892
CD177	3.37113851898691
GPR135	3.39243810041444
PIGG	6.72054216386998
LGR5	3.23490161081496
JAK2	3.37953278579927
DPYSL4	3.37992325393970
TM9SF4	6.23607231002739
PTHR1	4.96008795121957
SIRPG	3.09204946225403
ZNF264	4.55718612890724
BICD1	5.304016332111
RAB5A	8.14548535041665
FLJ13224	2.99695656881684
METTL5	9.23303974213327
HERC6	4.14177225316152
CASP1	4.02572321075845
USP9Y	3.02120400016628
LRP1B	3.1018330450562
XAF1	4.43637580088070
