Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_D12_586150
Composite Element REF	Signal
C11orf73	7.18414045534122
AIPL1	3.57505445832458
PTP4A2	9.63317584299397
IL24	3.33615061796
BDKRB1	3.57011824356957
HPCA	3.40870653376791
MLF1	6.99780813675297
SEC14L1	6.68907117618632
CHFR	5.89480213159005
EMILIN1	4.14821914345815
THADA	6.59955127161993
TAF12	6.65439052395737
NDUFS4	9.10029756186111
ID1	7.65755920435106
PIK3CB	3.32656608952844
COL18A1	7.44201140467102
PDZD3	3.15956896199834
TBC1D17	5.50310304415937
COX8A	10.3752758611806
CDCA4	7.19050471477398
C2orf44	4.68572994601321
C9orf16	8.90843339493967
ERBB2IP	8.2456638226022
EMX2	8.37877587023944
FUS	5.96203487285705
NIPSNAP3B	3.41788662940371
TF	3.34813514592319
CXorf56	5.26563121248365
CLCN4	3.77108681806648
PWP2	4.70674967459644
MMP15	4.35701981731885
MTMR14	5.78150549741532
NPR1	6.38784261021766
DNAL4	6.55055504730061
ELAC2	4.41168437247134
ASS1	10.4803108403596
IPP	5.78313013564051
TMEM59	10.2307638369789
POLR2J	8.4574994918295
SEC23IP	6.45612915190621
RGS4	4.42705127690293
UQCRC1	9.39022315304123
SNX6	8.32791071329404
DDX18	6.87598289648827
POLG	4.36084092365641
ADAM23	4.15885141508218
ZNHIT2	5.24531376261759
TFR2	3.51515552612053
NCDN	4.08543193623885
RAG1	3.40183782448301
POMT1	4.73897542746841
CYP1A1	3.23485718325329
SNAPC1	6.68436735451497
GNA11	5.77927189764464
CCDC52	2.74053531761022
CAPN1	6.88737644694278
DDHD2	6.12770329267579
UPF3A	5.80422774067621
LAGE3	6.18104880166626
GNRHR	3.09248456361825
UNC13B	5.4874079103698
TTLL4	4.32026399448733
PPBP	5.59572892903286
HTR3A	3.10329517300303
SDC2	9.16805016654476
ANKRD49	7.52568603739044
BTF3	10.9791035555009
COX7A2	11.5835215986867
SARS	8.7532628676921
C13orf18	4.10805443388868
CACNB1	3.79381591571581
QKI	6.50834137338146
SETMAR	7.08189833867585
LAMB4	3.44876614068718
MAN2B1	7.10463506284699
EML3	4.78569521045579
ACADL	3.19427667878903
OFD1	6.99431277554054
CGA	3.57613173724809
EIF3EIP	10.6755015072430
PEX16	5.36773214136444
GNG12	8.47763661434378
HABP4	5.35685424071796
CNTN2	3.30046595913105
ASNSD1	8.03472928906714
FUT4	4.13345629112176
DBH	3.42532220592446
CD53	8.59791262776932
HIST1H2BJ	3.42108799932711
TFAP2B	3.17203754117126
ACF	3.78607515533613
TMEM11	7.36216442994257
CDH8	3.46962082792631
C3orf32	3.44128100405506
AGPS	5.80393253878199
C4orf18	3.28553401329008
PCCB	7.16546138326892
IPO13	5.06205717545723
PECI	7.48772720112693
UNG	7.3718074799136
C6orf105	3.55475687260223
GSTP1	9.67663418793302
SUV420H1	6.98744505591412
ARHGAP15	4.60794115146113
LTBR	6.20676622478543
TDRKH	3.08521876682014
PSG4	3.53579020544332
SLC9A3R1	6.02141159017232
NBPF3	7.94950080769339
SLC9A3	3.61386532361936
OSBP	6.37741840493667
PRR5	4.87599282975006
CHMP7	6.4242997111448
ADRA1A	2.98600588041120
ASAH1	8.15082647601462
FKBP4	6.32774066547976
ZNF350	4.79661279418441
DOM3Z	5.00941706540909
GIPR	3.45200339030164
AHI1	5.06099815663965
BST1	4.56726655163192
NCR2	3.42875591914355
NADSYN1	6.39306478042467
UBE2W	6.8327673883406
RGS14	4.11574109404927
KRT15	3.81539170060602
SCN11A	3.71867051768044
GFI1	3.76218634740061
FHL1	4.79867518864669
SMC6	5.30004904899161
GATA1	3.71027706018592
OSGEP	6.20707466125485
ARMC6	5.24985532708049
HK3	4.50472032374240
PSMD5	7.4092102823443
RSU1	7.21641846320214
RPL4	12.0233704461993
MAD2L1	7.90546376426703
RBPMS	6.15298849260316
EIF4A3	8.22497157413384
E4F1	4.32153991222187
DLEC1	3.41325267762978
PRPF3	4.85657094997416
EMR1	4.92360223475025
CHMP2B	7.71155743871187
CAMSAP1	4.29807012127562
RPS21	10.0023310604179
XCR1	3.46825773187186
ARID5A	4.67813631117773
RBM6	5.37401011898201
UBE2N	8.26623037115744
KLF4	4.84952469822553
MGC4172	3.87195654741272
LMO4	6.36898861924092
KLKB1	3.23469159084757
HDAC3	7.0006714359829
HP	6.89967600675552
SCHIP1	7.75127578271092
BTK	4.92328740210045
KRCC1	8.86076598988355
PRND	2.92867215855398
C6orf27	3.79065852087009
PIGL	3.77215990278338
CLCA1	3.84811190103771
C1orf112	3.99624857076025
OLFML2A	4.41525409516771
HUS1	5.10349528336901
SFRS6	6.66748505103853
CXCR7	7.02427328608714
UIMC1	6.00961320360915
FXYD2	3.69358628195397
GOT2	7.9720119065867
ZNF667	3.80720907339767
TFEC	5.17428462681238
ATP7B	4.96485412283262
RAB38	5.93817269578851
POLD2	7.64922382813896
PPM1H	4.9083203239701
DCX	3.22276778605834
NFYC	6.12449068573942
ZNF228	4.62560038629283
KIN	6.01446357327722
PLSCR4	6.50504089612597
HIST1H4I	4.02321424849583
PPARGC1A	3.34491933889446
HIG2	7.4351210993964
KCNK10	4.10079144865481
EXOC1	7.43244759804902
OR6A2	3.69780560991165
ETFA	8.98179807062402
PDAP1	4.97367564792301
C19orf6	3.49333679565172
POLRMT	4.4548048158931
ZNF146	7.13451875946432
MIA2	3.16928951937281
LY6G6E	3.19496180092228
EIF4E2	8.52997582087704
NENF	5.65656517724823
HOXB5	5.07593738767768
ZNF324	4.36345717974464
CUGBP1	4.99485707600716
ENTPD7	4.76000974900575
TTC13	5.36499677631274
GJB5	3.63542951863102
PRSS22	4.64580210570173
CYP3A5	3.98132452200226
MBOAT5	4.83388675879505
CUL4B	5.55918264425546
CENPJ	3.19793880433629
KIAA0664	4.63203303502179
PITX1	3.62520929458701
PDGFRB	5.71513250507835
RDX	6.22243541635849
CELSR3	3.66043686252726
JUND	6.52376784198602
ITSN1	4.79873381667907
CHRNB1	3.99597032741873
EHBP1L1	3.63050765933218
C19orf2	7.25422258996172
FETUB	3.05805499549907
CAMK2B	3.20955807602241
DCTN1	5.64845029750276
TNKS2	7.023668917851
MRTO4	7.80028486376752
C1QBP	6.24813040249772
TTC3	7.39079570423715
NDUFB8	9.77256879871507
CADPS2	6.14766780007037
EDG2	5.98687252576982
MYF5	3.14154947495786
SEMA3G	3.38653746353399
IL23A	4.1333214479253
GJA9	3.63801690082078
R3HDM2	6.31636191864893
C5	3.99325310535006
SLC2A10	7.127224991029
TRIM45	4.80739944030836
TSP50	3.6058781412895
PAQR3	6.02384874935703
ANKRD26	3.10671053004422
TCP1	8.5393067455884
TMED7	7.70364825436262
CMA1	3.0239126915645
PTCRA	4.27519242435907
HCRTR1	3.39225544217587
FST	4.13139055411393
PAWR	3.91984442700696
LDLR	5.98655514607632
ASTN2	4.24648344013843
SCRN1	7.11617117247136
GPATCH8	5.86584765302911
KIF4A	5.1494384284918
TANC2	3.60958682321740
ZMYM5	3.75586281088813
PGM1	9.01323525466639
ZNF586	5.56946278268765
POLR3G	3.795119838023
CPD	5.42729519463531
SNCAIP	6.18266970775908
DCT	3.37422163967167
HLA-DOA	3.43022359019311
TANK	6.59134428505405
RCAN1	4.87303241018536
UPK1B	7.46703108751816
DNAJB4	5.3908582722513
UGT1A8	3.00464910330421
LIMD2	3.9141266923331
HIST1H4L	3.46878995233557
PECR	5.76293682627572
HSPA2	5.15091461749593
SERP1	9.12108321192924
TACR2	3.3878289402409
NUP85	5.69635896886856
CD177	3.54743740350573
GPR135	3.13348905925086
PIGG	7.44872178575609
LGR5	3.36146983089554
JAK2	3.62689687492779
DPYSL4	3.15954786729914
TM9SF4	5.75553126155777
PTHR1	3.40351334337187
SIRPG	3.11569998390041
ZNF264	4.55293734169388
BICD1	5.20151747656322
RAB5A	7.09057394853033
FLJ13224	3.20677427179192
METTL5	9.32757484613452
HERC6	5.85003619161168
CASP1	6.57843776659847
USP9Y	2.91877090379929
LRP1B	2.90639731090581
XAF1	5.25168508929416
PLA2G4C	5.79401758012658
APOA2	3.1930673410372
SPAG6	3.01915887129391
KALRN	3.37092614677377
SECTM1	5.31851839954202
THOC7	9.72958184942574
IFNAR1	4.48147303661992
TCTA	6.28719057623759
NY-REN-7	3.07467949517161
TALDO1	9.77951818676665
B2M	11.944302687400
LPPR4	4.90568235884168
SQLE	6.18966200962655
SEPHS1	6.64525074887558
EIF5A	6.63990271654088
FAM49A	4.52692339350023
YTHDC2	4.12021335144944
EHD2	5.0332557879512
NCF1	3.87792111682877
SPG7	6.38859583601259
ZNF614	3.61879300769906
HOXA5	5.77928672828509
NUP133	7.17329497985096
FGF12	4.13061046591064
SLMO2	8.17592593430567
INPP5B	4.45870460553515
PPID	7.30561132780752
SNTA1	4.04974803020178
IL20RA	7.03558796910371
UBE2J1	5.93348796988812
CACNG2	3.23081806345269
GCM1	3.19601116955078
ELF1	7.12063656240264
TLR5	5.17563634684375
TCFL5	7.13752997756606
C1orf107	5.5584712798437
C19orf22	7.50201668471901
SAFB2	5.83581555441953
MAP3K7IP1	3.93335072935932
NCK2	7.27911758652728
OXA1L	8.21067164101805
KIAA0652	5.7694104154482
KLRG1	3.69082008238495
FRAG1	6.42851927658821
ZSCAN12	2.98461533069909
PSMD12	8.47496051557255
E2F4	5.07032816628847
CLEC4M	3.6029866151659
KIAA0999	4.45206084500839
CLDN10	9.18788574255231
MGC13053	4.01831395818094
TAC1	2.80926433605375
GYPA	3.31727334746128
HPCAL4	3.21942512807379
TRAIP	3.82387361388012
MEX3D	5.18745296301461
KIAA0232	7.28953882449555
ERCC8	6.2906408658303
NFAT5	4.65949152818603
GPX4	10.3800330788448
CSPG4LYP1	3.3197068464908
KIAA0368	5.68888651381528
FBXO3	7.61410759663953
DVL1	4.98861864392262
CMKLR1	3.85241740026421
GPR157	3.50652139177643
TYMS	8.56351377113068
OR52A1	3.38336270891236
PEF1	7.71952826091918
ZNF750	3.07787838949836
ALG9	6.52925109642691
MCM5	6.0633889914825
SDK2	3.28815512318006
BAIAP3	3.84178449271977
RABGGTB	6.87473544755348
KCNK7	3.37209573408402
PTP4A3	4.67765857159804
ANKRD40	4.85877697215267
CALCOCO2	8.20564352556096
TMSL8	6.69872585918202
SNCA	5.206075803347
ZNF551	3.67277503810975
HBQ1	3.35961338342512
ARHGAP26	4.45731424122862
GEMIN6	7.5456268748078
HRAS	7.05137026945114
KLRC4	2.74265657718936
BSDC1	6.03066107507891
DSC1	3.81609635624398
RNF43	5.57987673391268
NDUFAF1	6.73491858096895
MAP2K4	5.62595303601968
FOLR2	7.41494144377069
LYZL6	3.65453923020142
EPB41L3	3.83376045442754
TEKT2	4.07905811729897
CDKN2B	3.34020435403303
WSB1	5.93359872536213
ZNF480	3.46111169224069
MAP3K6	4.17733239272833
PROS1	6.70280500027865
PSMB8	8.78938628193189
HN1	7.61561201461266
MAS1	3.16125461659944
APOL1	5.08081980419313
CSHL1	3.20210887381799
ZBTB7C	2.94601786653301
AHCTF1	5.04937380442294
SAE2	9.11985601729002
ITGA2	4.08534813118292
