Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G05_297928
Composite Element REF	Signal
C11orf73	4.64066826694536
AIPL1	3.80126431520684
PTP4A2	9.64557927957022
IL24	3.38156790211899
BDKRB1	3.24340500067935
HPCA	3.87931008463177
MLF1	5.21303211204889
SEC14L1	5.77701927806562
CHFR	4.97207713593149
EMILIN1	3.40378233268242
THADA	7.43364032333945
TAF12	4.90049832947534
NDUFS4	7.83355876906731
ID1	6.1926079722083
PIK3CB	4.38992287955958
COL18A1	8.63081735068281
PDZD3	3.11077209850892
TBC1D17	4.46610235789679
COX8A	9.60764682588472
CDCA4	5.9909523163495
C2orf44	4.31719770462789
C9orf16	7.95924424695032
ERBB2IP	7.41245846538024
EMX2	7.7702552633403
FUS	5.8068626728803
NIPSNAP3B	3.39356642600943
TF	3.42322493275693
CXorf56	4.9243676298511
CLCN4	4.03798841873073
PWP2	5.70586141794099
MMP15	4.22629017469526
MTMR14	5.64143892401853
NPR1	6.73332870591939
DNAL4	4.9833119127659
ELAC2	5.08157608194287
ASS1	10.8348281449971
IPP	5.24397570158182
TMEM59	9.02761143731616
POLR2J	8.67874615599832
SEC23IP	4.6322362152759
RGS4	3.81948955213382
UQCRC1	10.4095386798794
SNX6	8.24997059585137
DDX18	7.31914259066391
POLG	4.3359387547729
ADAM23	4.56361908433293
ZNHIT2	4.11977023125788
TFR2	3.57260621316768
NCDN	4.61476139587121
RAG1	3.17629765382294
POMT1	5.14124214359468
CYP1A1	3.37501834570543
SNAPC1	5.06322258169985
GNA11	4.94815893232844
CCDC52	2.99697087345056
CAPN1	5.78573471581841
DDHD2	7.90259408551546
UPF3A	5.78565919578613
LAGE3	6.00876626965617
GNRHR	3.26650033317626
UNC13B	5.63838243912648
TTLL4	4.88009232774964
PPBP	3.07571628307588
HTR3A	6.44073232727013
SDC2	3.84297321327796
ANKRD49	7.30558711532308
BTF3	10.1251916207500
COX7A2	10.5038430820813
SARS	8.39863710869635
C13orf18	3.46149780759803
CACNB1	3.94726523059907
QKI	5.23607552251891
SETMAR	4.2881537147298
LAMB4	3.38260582180661
MAN2B1	5.79297741169924
EML3	5.77164834281188
ACADL	3.41368138084707
OFD1	9.38051258929377
CGA	3.59481434873820
EIF3EIP	10.7900170214011
PEX16	5.08935316864526
GNG12	7.00310610023365
HABP4	4.94333245222253
CNTN2	3.71113665513245
ASNSD1	6.60656222354163
FUT4	4.01945516122043
DBH	3.77928231919169
CD53	5.17329864024924
HIST1H2BJ	4.01839376820344
TFAP2B	3.58951948639303
ACF	3.92925895051452
TMEM11	6.115152107122
CDH8	3.44480309377754
C3orf32	4.21609972934907
AGPS	5.49232888239579
C4orf18	3.67419022035081
PCCB	8.14200621898057
IPO13	5.32433975137683
PECI	7.91473065008193
UNG	7.02867720046629
C6orf105	3.80168004287539
GSTP1	7.74861340505544
SUV420H1	7.55913198588168
ARHGAP15	3.27366827642334
LTBR	6.77720915450595
TDRKH	3.31405792943164
PSG4	3.40418955647565
SLC9A3R1	7.2883097626554
NBPF3	9.97211667540236
SLC9A3	3.76192663519872
OSBP	5.2900935371194
PRR5	4.93095836062866
CHMP7	6.48401278098869
ADRA1A	3.33440191779955
ASAH1	7.52057995736421
FKBP4	6.57294245890238
ZNF350	4.1965761637241
DOM3Z	6.74817237150988
GIPR	3.90857009452129
AHI1	5.02403819950858
BST1	4.29505030417075
NCR2	3.46318371191393
NADSYN1	5.31217654155862
UBE2W	5.25698679085639
RGS14	4.60429678888288
KRT15	3.7720689653308
SCN11A	3.74882936812808
GFI1	3.6764295252001
FHL1	4.54733761042455
SMC6	5.5117028354231
GATA1	3.68494205053044
OSGEP	4.77152876129474
ARMC6	5.25772534782757
HK3	3.25195547580646
PSMD5	7.02931216868059
RSU1	6.39685259455196
RPL4	12.0602894027608
MAD2L1	6.5036480400736
RBPMS	5.20068432416768
EIF4A3	9.77935747235011
E4F1	5.1628590361414
DLEC1	3.50412965381123
PRPF3	5.60048383923428
EMR1	3.20236046189342
CHMP2B	5.66676404534988
CAMSAP1	4.38307168605543
RPS21	10.4901855676077
XCR1	3.39399211831608
ARID5A	4.5695148179524
RBM6	6.04063320380084
UBE2N	6.71846964222538
KLF4	4.84197409373507
MGC4172	4.1713122724512
LMO4	7.48374998038997
KLKB1	3.55031055309001
HDAC3	6.19234609812183
HP	3.6313167378919
SCHIP1	4.50732683202824
BTK	4.15312151015283
KRCC1	7.60854688043246
PRND	2.79283079710098
C6orf27	3.59882944833727
PIGL	3.83013218165582
CLCA1	3.79513529953595
C1orf112	4.45931178865762
OLFML2A	3.77548439613248
HUS1	4.88121629894191
SFRS6	6.70701782546778
CXCR7	4.83526111141372
UIMC1	6.82387643142953
FXYD2	4.10294659451045
GOT2	7.83486912378303
ZNF667	3.88177576296921
TFEC	3.48364457615246
ATP7B	4.40486584247546
RAB38	4.757328557693
POLD2	7.14779665199193
PPM1H	4.43925616075015
DCX	3.31549482970242
NFYC	5.63319680044052
ZNF228	4.897420809093
KIN	5.62059224946079
PLSCR4	6.09951459978952
HIST1H4I	4.38455493353641
PPARGC1A	3.58254595620626
HIG2	6.1526480046086
KCNK10	4.15089881748592
EXOC1	7.11153417207936
OR6A2	3.64760751956025
ETFA	7.25794944444505
PDAP1	4.53693654922818
C19orf6	3.46873104735609
POLRMT	4.63805116015754
ZNF146	8.24504024181593
MIA2	3.72989432114493
LY6G6E	3.27294808654938
EIF4E2	6.94223062493994
NENF	6.3179721658981
HOXB5	3.68191148491769
ZNF324	4.30243923470641
CUGBP1	3.68120205238572
ENTPD7	4.07274628282486
TTC13	7.24784336621477
GJB5	3.13106974345203
PRSS22	4.91869885229311
CYP3A5	3.22806841259719
MBOAT5	4.18206149394596
CUL4B	4.62960319780709
CENPJ	4.08278169723192
KIAA0664	7.1936718358734
PITX1	4.4005693864311
PDGFRB	4.77102151264865
RDX	5.59366762925614
CELSR3	4.28408615434256
JUND	6.54858229399663
ITSN1	4.61438240815073
CHRNB1	3.72500743938599
EHBP1L1	3.39793009419068
C19orf2	7.37091497542245
FETUB	3.18911164896627
CAMK2B	3.63884431260234
DCTN1	6.93774736620636
TNKS2	6.56724902493904
MRTO4	8.3209020255651
C1QBP	6.6316960766737
TTC3	6.67154257838692
NDUFB8	8.599356716877
CADPS2	3.34539279305792
EDG2	4.01203368995144
MYF5	3.40110164110713
SEMA3G	3.61094845082502
IL23A	4.14298905316205
GJA9	3.68401296402620
R3HDM2	6.96982958354238
C5	4.34743159494426
SLC2A10	4.57732106022201
TRIM45	4.50547189007453
TSP50	4.36785649232968
PAQR3	4.6612092147945
