Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_D02_433686
Composite Element REF	Signal
COX8A	9.3077704487196
CDCA4	6.14710630605233
C2orf44	4.79277530400593
C9orf16	7.67582612844245
ERBB2IP	8.39667049440925
EMX2	6.87777961008464
FUS	5.98693448347057
NIPSNAP3B	3.46840565964227
TF	3.41296000160759
CXorf56	6.21543361031097
CLCN4	3.33626287240196
PWP2	5.08304166354039
MMP15	4.94325893380374
MTMR14	6.42370043152142
NPR1	6.18321662354349
DNAL4	6.65134922984012
ELAC2	4.1496823169243
ASS1	11.1017734264593
IPP	6.2936516769923
TMEM59	9.48973944894012
POLR2J	7.9742660438542
SEC23IP	5.13191723237121
RGS4	4.42085305033387
UQCRC1	9.16680867570246
SNX6	7.84939374203155
DDX18	7.21957771188151
POLG	5.05515580933401
ADAM23	4.21225591123031
ZNHIT2	5.47451869901125
TFR2	3.17427350067872
NCDN	4.57521076270007
RAG1	3.24007405047247
POMT1	4.60337698484698
CYP1A1	3.34071045783004
SNAPC1	6.34486151728852
GNA11	6.35461057124285
CCDC52	2.82328287572335
CAPN1	7.54932252485501
DDHD2	5.23879145938695
UPF3A	5.90306871531934
LAGE3	7.10577665958506
GNRHR	3.1783592468708
UNC13B	5.34440793676906
TTLL4	5.40972304699048
PPBP	3.51508933800372
HTR3A	8.94806916809205
SDC2	5.50427067519761
ANKRD49	7.11843466693207
BTF3	9.35813095821564
COX7A2	10.5134947310019
SARS	9.07436329884884
C13orf18	3.60300835546611
CACNB1	3.95926069952289
QKI	6.05710643944521
SETMAR	5.55416010475173
LAMB4	3.37686290252107
MAN2B1	7.46280104243933
EML3	6.38514698934796
ACADL	3.77054675015735
OFD1	7.50155708171216
CGA	3.69928077763157
EIF3EIP	10.3286111099217
PEX16	5.80738715616006
GNG12	8.30110540619906
HABP4	5.26865678505558
CNTN2	3.51125016960899
ASNSD1	7.32934661915968
FUT4	3.63919616956440
DBH	3.49609685329084
CD53	7.3040377849165
HIST1H2BJ	3.34824728235463
TFAP2B	3.17752401411215
ACF	3.98225918911625
TMEM11	6.02559193577924
CDH8	3.36719302995572
C3orf32	3.00655739194597
AGPS	5.09311141443731
C4orf18	3.11091097684222
PCCB	6.60289829182725
IPO13	6.5054010157437
PECI	6.00024281906751
UNG	6.67307406303419
C6orf105	3.59892460708281
GSTP1	8.24259322592244
SUV420H1	7.66162654804273
ARHGAP15	4.18390868230302
LTBR	7.06740645858562
TDRKH	3.37269890129612
PSG4	5.56401024683922
SLC9A3R1	7.27658988609955
NBPF3	7.9538474208141
SLC9A3	3.49982484613518
OSBP	6.830078201731
PRR5	4.8620205561614
CHMP7	6.01418158344786
ADRA1A	2.99258797424901
ASAH1	7.0437694265283
FKBP4	6.51169752779834
ZNF350	4.45845555277723
DOM3Z	4.98198554839488
GIPR	3.77806308878775
AHI1	4.4850449505801
BST1	6.14652859010185
NCR2	3.60918719411437
NADSYN1	6.65269116915809
UBE2W	5.48634428395097
RGS14	4.86892623948124
KRT15	6.43076938767813
SCN11A	3.72458462854667
GFI1	3.86670296685879
FHL1	4.33264290139508
SMC6	6.68900109047847
GATA1	3.39209595764419
OSGEP	5.71225157888609
ARMC6	4.7790547315505
HK3	3.7576869549888
PSMD5	7.36173981403187
RSU1	8.5125631362627
RPL4	11.7849811341552
MAD2L1	4.91607224858087
RBPMS	6.06628040195836
EIF4A3	8.42488195964847
E4F1	5.65104216279522
DLEC1	3.4464713783429
PRPF3	6.75579070157294
EMR1	2.93552603941175
CHMP2B	7.43534546947771
CAMSAP1	4.55563646762998
RPS21	9.0963585475058
XCR1	3.16485461423776
ARID5A	5.01074662651532
RBM6	6.19255921304879
UBE2N	6.35799731222581
KLF4	5.54049168581075
MGC4172	4.49494857941403
LMO4	6.63695567422319
KLKB1	3.50628336498308
HDAC3	6.06426763286202
HP	7.90754508189272
SCHIP1	6.22830171434197
BTK	4.35828176472591
KRCC1	8.2780933653255
PRND	3.16263964433070
C6orf27	3.39777671844192
PIGL	3.90026217739238
CLCA1	3.64670020663533
C1orf112	3.71172998121688
OLFML2A	4.57902216040407
HUS1	4.93937278113499
SFRS6	6.55656768024389
CXCR7	6.03118880637101
UIMC1	6.43167587138122
FXYD2	3.57537974631142
GOT2	7.4507438408754
ZNF667	3.94497597887722
TFEC	4.16860433475547
ATP7B	3.36486055961897
RAB38	3.27405106446312
POLD2	7.29950304274745
PPM1H	5.38507745678618
DCX	3.22199002409602
NFYC	5.61436881486263
ZNF228	3.12535434542404
KIN	6.09508565720844
PLSCR4	6.06243899620869
HIST1H4I	4.32549404405852
PPARGC1A	3.12834099142766
HIG2	7.42629175972513
KCNK10	3.92444311402299
EXOC1	8.0942724733207
OR6A2	3.81052819487008
ETFA	8.56326960111832
PDAP1	4.78945414443115
C19orf6	3.80321452353404
POLRMT	4.83067863884872
ZNF146	6.90636877467926
MIA2	3.29360523384318
LY6G6E	3.17487068509025
EIF4E2	7.6811853203222
NENF	5.21655715631797
HOXB5	4.01637525671349
ZNF324	4.4737037680683
CUGBP1	5.17412077439069
ENTPD7	3.93585763156195
TTC13	5.65902031685582
GJB5	4.19104927157569
PRSS22	6.19760456350941
CYP3A5	3.25822225450862
MBOAT5	4.9100289129204
CUL4B	6.57895020350356
CENPJ	3.3626484440176
KIAA0664	5.90569713871574
PITX1	4.21798608815154
PDGFRB	5.73232965330709
RDX	5.5940514135443
CELSR3	4.06020296967532
JUND	6.54733372682784
ITSN1	5.05621928928293
CHRNB1	3.49235565674739
EHBP1L1	4.39950324455457
C19orf2	5.74545337438419
FETUB	3.07520475703412
CAMK2B	3.10051974361736
DCTN1	6.83643267940558
TNKS2	7.12118583953794
MRTO4	6.74794289475026
C1QBP	5.21220632704607
TTC3	6.77675108017996
NDUFB8	8.64239053859626
CADPS2	6.07393021302607
EDG2	4.33012197540531
MYF5	2.96264814153687
SEMA3G	3.16275548982221
IL23A	3.6235614874527
GJA9	3.66859277178594
R3HDM2	6.70526894286232
C5	4.32133511444579
SLC2A10	4.2289139336371
TRIM45	4.95183882211446
TSP50	3.69197114551857
PAQR3	5.62856457372986
ANKRD26	3.25855985204805
TCP1	7.3837061379394
TMED7	7.89066153740247
CMA1	3.03412223167677
PTCRA	4.46055775917275
HCRTR1	3.38557451460840
FST	4.32041977557334
PAWR	3.94565815340096
LDLR	6.43817368489243
ASTN2	4.11164989689559
SCRN1	7.89827892849439
GPATCH8	6.52556812151659
KIF4A	4.08145353073879
TANC2	3.58678219029197
ZMYM5	3.40873982882965
PGM1	8.8769816903099
ZNF586	4.67446546103199
POLR3G	3.61498959415518
CPD	7.12261743689381
SNCAIP	8.01404925400229
DCT	3.44873577282759
HLA-DOA	4.07324870958285
TANK	7.15247069008221
RCAN1	4.58808507568697
UPK1B	4.37563407866055
DNAJB4	5.16727311559262
UGT1A8	3.1958610276203
LIMD2	3.68969720945908
HIST1H4L	3.28206355335549
PECR	4.67663935254754
HSPA2	4.85173970220673
SERP1	8.57591092311172
TACR2	3.37354410672072
NUP85	6.46894478391321
CD177	3.29524274943039
GPR135	3.11070122081262
PIGG	7.0134146874496
LGR5	3.10088414386118
JAK2	4.77013677642296
DPYSL4	3.24605266243317
TM9SF4	6.12548693984736
PTHR1	3.37392491807341
SIRPG	3.32340363913435
ZNF264	5.24505185117959
BICD1	4.81399348626805
RAB5A	7.099257424653
FLJ13224	2.97750738128782
METTL5	8.76859858885608
HERC6	7.532786207463
CASP1	7.25217671595827
USP9Y	2.76228186429903
LRP1B	2.81027409935634
XAF1	8.07891157927213
PLA2G4C	4.43982441771639
APOA2	3.20526884962811
SPAG6	3.02492659176584
KALRN	3.22639117113018
SECTM1	5.76410935840407
THOC7	9.00825198808116
IFNAR1	5.27583152126979
TCTA	6.93062915923919
NY-REN-7	4.21438034300918
TALDO1	9.91662455560246
B2M	12.3212167368816
LPPR4	4.00857104205552
SQLE	6.14152795921597
SEPHS1	6.38068960715525
EIF5A	6.39559479873685
FAM49A	6.5946333903115
YTHDC2	4.74137687110697
EHD2	5.56535442283724
NCF1	4.26352094869292
SPG7	6.51677017693292
ZNF614	3.51229668355483
HOXA5	3.21839384116089
NUP133	7.29782684890402
FGF12	3.61361255668392
SLMO2	7.69974474086572
INPP5B	4.57921049779583
PPID	6.97104328960262
SNTA1	4.69973891709795
IL20RA	3.34504810889768
UBE2J1	6.32229705367976
CACNG2	3.07882690607186
GCM1	3.09345447855524
ELF1	6.85220172997729
TLR5	8.11783425788988
TCFL5	6.16552272083774
C1orf107	5.82612221039953
C19orf22	7.70483176004997
SAFB2	6.0220321485167
MAP3K7IP1	4.04484616486157
NCK2	8.13232792366915
OXA1L	8.08580729721484
KIAA0652	6.3488781912684
KLRG1	3.52866001507865
FRAG1	6.83004105308262
ZSCAN12	2.88833988521662
PSMD12	7.11342010904448
E2F4	5.36199529442644
CLEC4M	3.39777123577288
KIAA0999	5.0129990441587
CLDN10	4.38087862239945
MGC13053	4.21655271597657
TAC1	2.79313274537291
GYPA	3.47315873819785
HPCAL4	3.35435741190985
TRAIP	3.55969718117332
MEX3D	4.51048518909421
KIAA0232	7.43218670527506
ERCC8	4.16576835166724
NFAT5	7.30744222814889
GPX4	10.1540309596734
CSPG4LYP1	3.38419681613703
KIAA0368	6.46327403056023
FBXO3	7.1179841854807
DVL1	7.32240241385136
CMKLR1	3.81714625247605
GPR157	3.33063326900849
TYMS	5.94790549220871
OR52A1	3.11560061630912
PEF1	7.35638251851862
ZNF750	3.30019599388461
ALG9	6.57928888771525
MCM5	6.1306379575654
SDK2	3.56212070268750
BAIAP3	3.7249705017102
RABGGTB	7.28735941146469
KCNK7	3.24403596859381
PTP4A3	4.62659358138377
ANKRD40	4.28580856986367
CALCOCO2	7.73205809029906
TMSL8	4.54166880103223
SNCA	4.1887818447853
ZNF551	3.60647705575123
HBQ1	3.4387810676893
ARHGAP26	5.44945573482983
GEMIN6	6.36394116128978
HRAS	6.09483139524087
KLRC4	2.78730696871905
BSDC1	6.39784681644557
DSC1	3.50643507225409
RNF43	5.151003992726
NDUFAF1	6.59595617501966
MAP2K4	4.5654736637831
FOLR2	4.19465827740792
LYZL6	3.44163725984324
EPB41L3	3.55344110264294
TEKT2	3.42094387441025
CDKN2B	3.62245873761906
WSB1	6.08870899502097
ZNF480	3.32347442181691
MAP3K6	5.8920124430096
PROS1	5.79268655032582
PSMB8	9.10554681399683
HN1	7.00325333647958
MAS1	3.42803603211744
APOL1	8.16481595397383
CSHL1	3.34269214276442
ZBTB7C	3.06610134726975
AHCTF1	6.79011300094577
SAE2	8.19271631999648
ITGA2	4.75924413009044
AP2S1	7.5802897401699
P15RS	7.14677266020582
MME	3.889850386442
VAT1	8.07262625002071
MAST4	6.07352886771217
TUFM	8.73811133466615
KRT33B	3.61857168312620
THEG	4.21198139535054
KCTD2	5.35763978860384
WDR26	8.89831426870973
MFI2	3.43528899866166
KRT34	3.30386044143018
NR4A3	3.99682368405517
SGSM3	5.23836829221021
ARSA	6.22283764028363
TOMM22	5.23170547581811
SOCS3	3.75342886172979
UNKL	4.48361148968708
POP4	6.87458499829924
BHLHB3	8.6718965906535
MALL	5.8892117783656
SOX15	3.33345306875339
CCNA2	3.77051882401637
PARK2	3.25442084711715
GPR124	4.61748999736339
TMEM132A	6.35815940335445
CGRRF1	6.49891310136635
RUVBL2	7.49604746692585
MCAT	6.50133342168937
WNT10B	3.75439883581092
ISCA1	6.24710219517826
RPAP1	5.21923249197298
C12orf48	4.04494402548306
RAI16	5.38996002341675
RPL27	9.86074127193157
EPN1	3.71958058660141
MAGI1	3.32598530275413
GBX2	3.33820264944795
SLC35A1	8.1820927217315
GAL	3.56188363654059
SLC14A2	3.72004871778747
RDH11	7.46068410912332
ZNF518	4.15636504119418
PCYT1B	3.24028969465606
AUH	7.52483950547714
EIF3H	11.2928773824514
KIF1B	6.25828523653439
MBD2	5.20692939142257
AMOTL2	8.86874165481084
C6orf120	5.97913470195617
PIGT	6.81833291023412
PSRC1	4.11854381977312
PLA2G10	3.78085010460126
ALAS1	7.66870853871486
FOXO1	5.99943931361155
C17orf62	7.16008268436684
KIF5C	6.796570516175
DUSP10	7.30773529572608
CRLF3	7.61992049656843
CLCNKB	3.47443465191736
PSMA5	8.89555438936169
FARS2	6.01724764641189
CCDC28A	5.9058822874141
AMPD3	5.15908909678422
PIAS1	7.45272184954536
ADCYAP1R1	3.50430062379483
TMEM134	7.31475789190929
CDH20	2.65891313753862
FBXO7	7.91998214027342
FLJ14213	3.25931312286732
ZNF3	5.5898275888086
LRRFIP1	8.67258924898758
TMEM49	10.1906313041437
CNOT2	6.98477593740803
CBX2	2.99887178273736
ZC3H14	5.94850599193319
ALDH5A1	5.23167896537997
HNT	4.99676490751329
SERPINA4	3.25884907636934
FLJ20920	6.13690493122985
CRTAP	6.29413257735448
DDX50	7.27531051805457
STYXL1	7.95666515471106
TK2	5.3979496728999
BLVRB	8.07638406244311
STMN1	5.11737011262537
GUCA2A	3.1545803406435
DPP6	3.02454282743632
GALNT10	5.2770445717897
STK39	5.42422396568956
MMP24	4.7267758032621
CKS2	8.64657892478719
RHO	3.83970155969482
BANF1	8.60826136545673
CR1	2.97920877023715
RPS6KA2	6.18464338526773
HMBS	6.16747067166722
C20orf112	4.15325745378975
SLC25A24	7.10258896184722
MRPL22	8.24688263926174
SLC25A15	4.21673401880323
GADD45B	7.51638619214411
TDP1	4.97009043918284
ZNF287	3.26166354029068
DAAM2	4.65961314476275
C11orf57	5.93155396196294
RFK	7.37805124485555
ZFYVE9	3.92021844923863
TCTN3	6.51172889075237
STCH	6.09744482221415
LOC283871	3.61586263590024
NDUFB3	7.56998722155528
DEFB4	3.99170650780843
FPR1	4.16256435513817
FMNL1	4.16005651773591
SEPT7	9.87556104458041
PTCD2	4.53713709836833
GNLY	5.81558939456797
GRAMD1C	6.08036425306373
ZNF165	5.54877864441466
TR2IT1	4.5949154660287
ARMCX3	8.53768882022224
NDE1	5.77608207455526
MAGEF1	7.00131816059535
ITGA10	3.66286772157191
ARHGDIB	8.63654773620044
FSHB	3.77488576641292
ANXA2	11.3306455772147
HLCS	4.13731999095309
MCF2L	5.63158818009438
AK1	6.735784277771
FH	6.29389172635297
LGALS2	3.96323256955516
SYNPO2L	2.65752627740189
KIAA1045	3.45414012035092
C1orf183	4.80206744097825
MAGEA8	2.99132695257907
DGCR8	5.52048488332316
GSR	4.70207469032836
NEU2	3.49851727297296
HIST1H4B	3.24401650915913
CACNA1C	2.96738423918753
FAM20B	6.90796291012019
HES2	2.98345665983977
PDCD6	8.23728072410962
INTS7	5.77275141018537
AMPH	3.86955873371819
UCKL1	5.72343795141609
ASB4	3.06333698020010
C10orf97	4.49370424542967
ALDH1L1	4.26204680146880
CCL23	3.21665380436286
OBSL1	4.93940533533141
SLC12A7	8.10761458608456
THAP4	6.17405278922597
RBM4B	5.75862754051331
OGFRL1	6.69423098023981
KIAA0831	7.10458723677282
C12orf11	7.75850809472575
PPP1R15A	6.4841041412506
KIAA0240	6.09384870808437
CD1B	3.17695500668524
FCGR2A	5.81418569884736
MDC1	5.01697333909203
MAN1A1	3.94277640974399
KRT9	3.60508485508046
HTR1A	3.38906292226257
OCEL1	5.91810337988566
ATP11B	6.6048807546722
NLGN4X	7.04729884655163
FBXO34	7.64327578981955
ALOX12	3.35536897620805
RB1CC1	7.23572035286423
PCDH12	4.59657014050519
RPE	4.67975250772791
EIF4E	6.77070270317909
CSDC2	4.06274612549862
ABHD5	5.68958865961425
TMBIM1	8.06312809322056
PET112L	5.34622600365446
P2RXL1	3.45577144140204
F2RL2	3.20458696423438
TRMT1	6.13302286651292
IMPG2	3.48422475744557
LRRC32	4.45719924613155
BGLAP	4.73043821102036
HTR4	3.42933713861834
MRAS	6.58893567130039
TRAF6	4.62841149694857
AXL	4.58116977380042
ATP2C2	3.97240578033134
LMNB1	4.8122416558168
TELO2	4.54723039577892
PNPLA3	3.53051171361398
CSNK1E	7.67908809359676
SRP14	9.83292206896096
KCNQ4	3.15437792080131
PIK3C2B	6.72462063941633
C15orf15	8.2910967676723
TUBB2B	3.10417353104747
USP15	5.34911935222283
C12orf41	6.82223101779191
CEND1	3.83216839969371
RNF31	5.36536850231415
TCEAL2	3.25733834681039
PTGER2	5.82682261522847
UBN1	7.06695633841868
SLC5A7	3.28292679181273
SLC31A1	6.7163874399975
ADAM29	3.68177157761075
ST7L	4.24014656642839
GFOD1	4.33322251637142
CTNNA1	9.11650800414724
HRBL	3.79826462679899
CBX4	3.60574343320047
NTRK2	3.90507965165806
FOXN3	6.3032774086683
MFGE8	5.96815876106395
PFKFB2	4.19869696950094
TAS2R4	3.61341640420171
SH3TC2	3.67312119803282
IL10	3.52302072235187
PXMP4	6.6222488125696
RNF167	6.04495269424702
PRMT5	6.39108005859415
TSKU	7.4484280259252
ATPIF1	7.70090955114897
ETV3	3.31666533193884
PAK7	3.00392188827838
PDLIM1	8.3151758264949
CEP63	6.24217088175084
WDFY3	5.68822362551755
RNF126	5.64982190021475
DPM1	8.0442840462629
CLIC4	6.14429648697242
ACR	3.73643496451281
KLK7	4.02982068335586
ALOX5AP	5.34826025178918
LRP1	4.76328674056596
TNK1	5.15236391951529
TAS2R9	2.91789421465748
ZNF16	4.88421235633
POLR1B	5.97940783716035
SLC8A2	3.94541838411647
OLFM4	2.69191929927061
TACC1	6.26957544782711
SAMHD1	6.66170982626327
ATP13A2	4.69518304171503
KRT4	3.49959836286209
PAX6	3.68189529710348
SCG2	4.06688787239081
SLC17A6	3.19798498316223
TUBB4	3.88734455678774
PADI4	3.04861392054091
FMO3	3.10082047668693
NLK	4.42986782377689
POU4F3	3.14814045953004
MDM2	3.3719692229783
CAPNS1	8.30192412682605
SDF4	7.6868521704788
ITGBL1	4.29421000023666
TAP2	4.77851753847443
OR2C1	3.59166694831085
KLHDC3	6.78796182604144
EFHD2	5.18300954713615
GALR3	3.75833048342777
NBEA	2.98560953614212
ABCA6	3.23152414055016
ABBA-1	4.03734150532147
GNAI1	4.07798429982877
CLDN3	8.87245770826594
AKT2	3.41938391235563
EGFR	5.01449200759814
VPS4B	8.05671278738196
RBM16	7.27163485338596
GALNT6	5.01929124201129
ZDHHC3	5.53160717334174
SLC25A4	5.40516951582131
CYB5B	6.68141611986937
NDRG1	11.2211038434042
SESN1	4.13393817414069
GBE1	8.01511214501744
MRPL46	6.01585041286491
CLASP1	6.14813378594226
FARP2	4.72768690268971
ACOT11	4.03764983486465
LDHAL6B	2.86196037552609
MAPKAPK3	7.08297363191145
NCAM2	2.94252792831296
AFAP1	7.54705502204871
PRKD2	6.53900364112558
OR2H2	3.24507623053918
ZFP36L1	8.22273978446987
DZIP1	3.74028279698785
GPR161	3.74196930687681
RNF146	3.82301594872241
NKX3-1	3.83570628249615
CCNB2	6.14186811982758
ZNF10	3.43200646160771
WDR74	6.11829318368921
FAM134A	8.62148370740974
PCNP	8.6640351081941
PURA	6.38160341355133
DNPEP	7.83383562084933
ERBB2	5.42432624033852
CREB1	5.77377366783985
NEO1	5.99455793469091
DDX3Y	3.30832250234923
RPS3A	12.5751621647046
MXRA7	8.14154963086786
LGALS3	12.0690673387303
GLT8D1	6.86777888903455
TMPRSS3	8.49724738186162
UPB1	3.2666048441011
LAT	4.25687409637994
CLDN14	3.49084818429501
DHX38	6.03341157449225
KCNA3	3.3183934461497
BTBD1	7.93893650195757
TARS2	5.49880100969843
SKIV2L2	6.92942141428595
ABCF1	7.88149414433891
CDT1	3.31447523701724
ZHX2	7.23437920815088
FCF1	4.57351602331835
LRRC49	3.46279442873908
GUCY1B2	3.85042980351666
CD28	3.16942547735565
SMARCA4	7.3368596904772
SEPT2	8.64283901481203
SOHLH2	3.16724799799828
MCOLN3	3.84421738045967
LRP8	6.87262885606188
TAGLN3	3.91895583772147
MASP2	3.74825049382272
GPATCH3	4.10597450844698
TTRAP	7.54632811195538
AGL	7.07658141665976
NFE2L3	4.71812719065542
PSD4	4.14445598191869
PALMD	5.97101933782595
CCNB1IP1	7.42869752877252
TMEM43	7.55447386022648
OBFC1	7.30572041809968
STAT5B	4.43393672747308
C14orf79	4.38397845002171
ENPEP	3.86392167162339
SSB	7.95435661150275
SCT	3.03254066821124
TIMM23	7.05201706217529
SKI	3.71367147280086
SLC22A13	3.15582436707008
AKAP3	4.54909827394997
OAS2	6.10265495358534
KIAA0423	6.48052422424492
SEC61G	8.7684960183366
CAPN11	3.14610917781543
TMEM50B	7.6579753056995
DEGS1	6.43867169167229
ARHGEF4	3.81292249616511
DBNDD1	4.66676090363238
TBL1XR1	4.84506205873885
FAIM	6.28870698900417
SP140	3.50571223111126
G6PD	7.49685304613429
NUDC	7.00878541489858
GABRP	8.85627895262976
SCARA3	5.1146839212043
TACSTD2	6.04173417197819
EIF3J	7.06599505383776
