Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
SLCO2B1	3.97464801326454
ABCD4	4.31161376660855
DIMT1L	5.03759152541674
SLC25A46	6.20521783128586
LARP7	5.84483044392115
TEK	3.8906503131905
CD160	3.62493274616018
TERF2IP	6.66012758813938
PHF20	6.13999296552343
COL1A1	7.12909620220858
KIAA0090	4.90772100984239
GTPBP1	4.50578757172135
GRK5	3.41217842327760
AP1S2	4.94860695687448
RAB33B	4.62912879282991
CA11	4.50015137194069
ALDOC	3.98985986515969
NUDT1	5.72081986836498
ZNF212	5.155250595674
ACBD3	7.51903401730793
ZNF83	6.02865410238077
PRDM2	4.81380026969962
GDPD5	3.98874067348674
PDCD4	5.40761799694556
CEP350	6.6144729519093
FOXP3	3.37993224112929
SMYD3	5.16536078401029
CST7	4.05344568171743
SELL	6.64882461000245
CIAO1	6.3917158494755
LGI2	4.15843572457268
WDR45	5.10856593141839
ANKRD6	7.97502051983086
LTBP4	4.39460491035304
PSCD3	3.35941351787223
PYY	3.17377304076719
KCNC1	3.87338722290647
SIRT6	4.26765625161758
CCL19	4.05827469391029
ARHGEF9	4.80579040779265
ABR	4.56384876845047
C10orf22	6.51309553255604
STK17A	4.65887523075212
FOXE1	3.8637269000336
GML	3.37913202970017
CNGA3	3.45278694066543
CD38	3.44866381987016
ZDHHC6	6.0774450538012
NEFH	3.30945234491748
PGBD5	3.94701538016692
CTDSP2	6.34457630234714
RMND5B	5.67106988680177
ZNF257	4.3224671941578
DUSP4	3.3307161422369
FLJ22167	6.04470461364916
EXOSC7	6.47897163227906
ROR2	4.20935102767391
FOXM1	6.09606718066156
ZBTB48	4.34938382676232
BUD31	7.17720280574837
MAOA	3.83242861654245
CCDC41	4.61595914659386
TNNT3	4.02495228511434
FBXO11	5.93445044793792
GYPC	6.84177710391666
PLIN	4.04174653575794
RFXAP	3.78125344309427
C6orf15	3.95133443412088
RNF4	7.65665267563072
F8A1	8.49112694809296
PPP1R3D	4.71777388695855
GRB2	8.18506868809601
TPM3	3.27280901619124
SYT13	4.28523230763732
EPB42	3.36557275061299
