Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A04_491166
Composite Element REF	Signal
C11orf73	7.96027508925137
AIPL1	3.78876004502597
PTP4A2	9.98870860705847
IL24	3.39024756063886
BDKRB1	3.54241116967881
HPCA	3.53480737440326
MLF1	7.45691284595294
SEC14L1	5.61768514847304
CHFR	5.77395049452688
EMILIN1	3.93578292208626
THADA	6.13829570846203
TAF12	5.80243077261387
NDUFS4	8.74418128157197
ID1	6.89468752465106
PIK3CB	3.55899984553095
COL18A1	4.45679380903092
PDZD3	3.11400392348949
TBC1D17	5.11460846997769
COX8A	10.6110973114638
CDCA4	6.59119759607785
C2orf44	4.45315531613856
C9orf16	8.44299992086928
ERBB2IP	7.23656111055685
EMX2	8.07905160481382
FUS	4.79009271150174
NIPSNAP3B	3.83304265426986
TF	3.25411645711764
CXorf56	5.46087842399898
CLCN4	3.62157168273712
PWP2	4.78653566320069
MMP15	4.13031352265312
MTMR14	6.06202636842869
NPR1	6.56857580854829
DNAL4	5.45019573068341
ELAC2	4.58522755896337
ASS1	11.8317195264129
IPP	5.58203226758892
TMEM59	10.8281795908407
POLR2J	9.1456018041655
SEC23IP	5.21566081841666
RGS4	5.24227993253396
UQCRC1	9.31383712392364
SNX6	8.57805671799573
DDX18	6.14526703261389
POLG	4.26541116767297
ADAM23	3.9456857444044
ZNHIT2	5.00143207646108
TFR2	3.62853921038584
NCDN	3.97150548978241
RAG1	3.30052139840508
POMT1	4.99120643934374
CYP1A1	3.45095396797487
SNAPC1	6.18699724145463
GNA11	4.93894502429863
CCDC52	3.03488844193293
CAPN1	6.8212700824922
DDHD2	5.00350092719302
UPF3A	5.72541733208025
LAGE3	7.38519123559703
GNRHR	3.24414574974076
UNC13B	4.9507348438478
TTLL4	4.50904851771095
PPBP	3.12516418280487
HTR3A	8.44829505189672
SDC2	5.46982884461761
ANKRD49	8.47932659785959
BTF3	10.3958171653502
COX7A2	11.4586083686367
SARS	8.33366052075323
C13orf18	3.75703998469818
CACNB1	4.03864826974064
QKI	6.02101655038446
SETMAR	6.5344622397588
LAMB4	3.25049114308106
MAN2B1	5.80668491864706
EML3	4.88719467291443
ACADL	3.44730574375741
OFD1	6.70901911110297
CGA	3.49879236817678
EIF3EIP	10.2777740691276
PEX16	4.9049498769054
GNG12	7.48814181791665
HABP4	4.49436170786081
CNTN2	3.50354274524429
ASNSD1	7.80547505763413
FUT4	3.82288149446187
DBH	3.51171393312087
CD53	8.29817572704567
HIST1H2BJ	3.92302012127675
TFAP2B	3.21134560665732
ACF	3.59323723185517
TMEM11	6.50272584274298
CDH8	3.51007440897103
C3orf32	3.68218868644846
AGPS	4.62868648954637
C4orf18	3.49828218325011
PCCB	7.73701632815614
IPO13	4.9365459274562
