Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D05_543626
Composite Element REF	Signal
C11orf73	5.10697564226784
AIPL1	3.58593926076156
PTP4A2	9.04202018256683
IL24	3.17218529859009
BDKRB1	3.27683449443156
HPCA	3.51394295956189
MLF1	4.98746578732401
SEC14L1	6.71434247986417
CHFR	6.4149362839384
EMILIN1	4.61529926618053
THADA	6.63688931472193
TAF12	4.73168042611427
NDUFS4	7.25413058938715
ID1	6.20308807133101
PIK3CB	4.07969880210907
COL18A1	8.4442924109211
PDZD3	3.17969941250815
TBC1D17	5.13573542845346
COX8A	9.21118962409572
CDCA4	6.26895055816514
C2orf44	4.22079189865188
C9orf16	7.396976681194
ERBB2IP	8.30775460913685
EMX2	7.66582783585586
FUS	6.00731288291658
NIPSNAP3B	3.80874338215119
TF	3.31224261372852
CXorf56	5.26221501982455
CLCN4	3.28135688295457
PWP2	6.39314519163842
MMP15	4.32990005753637
MTMR14	6.52348682011459
NPR1	6.4773224945311
DNAL4	5.21805306927195
ELAC2	4.37892466644838
ASS1	10.6796813236298
IPP	6.15894846418836
TMEM59	10.1699060450078
POLR2J	7.95677653754
SEC23IP	6.03492201624427
RGS4	5.53574180345933
UQCRC1	9.15037871468754
SNX6	7.84509767375865
DDX18	7.251220749785
POLG	4.97898114428964
ADAM23	4.07907456119312
ZNHIT2	4.60577552922215
TFR2	3.12930864704607
NCDN	3.96360635934353
RAG1	3.34757473847389
POMT1	4.24425407056803
CYP1A1	3.18915811119977
SNAPC1	5.73455654916124
GNA11	5.64599412409732
CCDC52	2.82048166882459
CAPN1	7.16007098640226
DDHD2	6.93046412430194
UPF3A	5.77761220785581
LAGE3	5.67181033583358
GNRHR	3.10928484838290
UNC13B	5.86879232377095
TTLL4	5.86408438638621
PPBP	2.87939675140298
HTR3A	6.74442973312768
SDC2	6.28374925103379
ANKRD49	6.83376383169354
BTF3	10.2944289218073
COX7A2	9.62501203623052
SARS	8.92128626477917
C13orf18	4.82451189112481
CACNB1	3.81759577905713
QKI	5.91472608872596
SETMAR	5.78827126797803
LAMB4	3.2565538117834
MAN2B1	7.45971851970895
EML3	5.12017600799947
ACADL	3.23852296742774
OFD1	7.87971747601004
CGA	3.28914323463274
EIF3EIP	10.4825566300855
PEX16	5.28187358570397
GNG12	8.3535387117886
HABP4	4.7645103170993
CNTN2	3.49747728005480
ASNSD1	7.6552873364069
FUT4	4.21168469912562
DBH	3.41728622480408
CD53	8.04499637068845
HIST1H2BJ	3.24124536313315
TFAP2B	3.21866270585202
ACF	3.58322661047771
TMEM11	6.32301736564641
CDH8	3.046689563559
C3orf32	3.82814190892160
AGPS	5.46942073103545
C4orf18	3.69653376305779
PCCB	6.56177225442392
IPO13	4.98671449555225
PECI	7.66587900224688
UNG	7.48904078729705
C6orf105	3.68763656785459
GSTP1	9.38041350265124
SUV420H1	8.05899533409875
ARHGAP15	3.90816032348583
LTBR	6.96732979245657
TDRKH	3.2679278038153
PSG4	3.28552427728276
SLC9A3R1	6.88580117932315
NBPF3	8.96482962751421
SLC9A3	3.28269424194767
OSBP	6.9594739468064
PRR5	4.60693717311355
CHMP7	5.1483774294849
ADRA1A	3.02338043009286
ASAH1	6.71736307178111
FKBP4	7.24629786336
ZNF350	5.1191109964226
DOM3Z	5.28153475032442
GIPR	3.57486211374809
AHI1	4.48769923687684
BST1	4.37435127033768
NCR2	3.46637386965761
NADSYN1	5.07225627683865
UBE2W	5.51188834876498
RGS14	3.78376451466881
KRT15	3.46717491121866
SCN11A	3.85354438166895
GFI1	3.40418565765462
FHL1	4.44314122676382
SMC6	6.8662649955596
GATA1	3.51907110183358
OSGEP	5.11687996659297
ARMC6	4.45640467772313
HK3	3.70018674917289
PSMD5	6.70441502599301
RSU1	7.45860849378636
RPL4	12.1668310433192
MAD2L1	6.03965270693282
RBPMS	4.80530835172931
EIF4A3	8.40245627184757
E4F1	4.70372671329824
DLEC1	3.21244191096194
PRPF3	5.21367427686885
EMR1	3.18012663048017
CHMP2B	7.33381363395016
CAMSAP1	4.42343307892947
RPS21	9.53809418234557
XCR1	3.25106699649152
ARID5A	4.31249066901973
RBM6	6.71100186499424
UBE2N	7.83287331063024
KLF4	5.19195651009335
MGC4172	4.11371848316082
LMO4	7.4234688570398
KLKB1	3.30171736243604
HDAC3	6.2089088680779
HP	9.4831078421475
SCHIP1	4.73401452016192
BTK	4.17633570324271
KRCC1	9.720588086378
PRND	3.17115113695575
C6orf27	3.30417318097794
PIGL	3.42909484326739
CLCA1	3.71132153772155
C1orf112	4.37520412745127
OLFML2A	4.91903033219513
HUS1	4.8736076341799
SFRS6	8.36381099276543
CXCR7	6.99840001843222
UIMC1	5.74414626904958
FXYD2	3.41837663083726
GOT2	7.7399826589458
ZNF667	3.55831688857896
TFEC	4.06830512961852
ATP7B	4.95098449583224
RAB38	5.3257521815643
POLD2	7.39503748972706
PPM1H	6.51254842839196
DCX	3.32448438033138
NFYC	5.6654833911246
ZNF228	4.39751156837155
KIN	4.87016526471905
PLSCR4	5.9054698240338
HIST1H4I	3.97101670573833
PPARGC1A	3.34729790038877
HIG2	8.05577509589211
KCNK10	3.92117592230331
EXOC1	7.86733690770975
OR6A2	3.96616560097788
ETFA	8.90857623287155
PDAP1	4.96062640473128
C19orf6	3.34401776240383
POLRMT	4.28059988778167
ZNF146	8.40833492428227
MIA2	3.12674275032017
LY6G6E	3.07464422050393
EIF4E2	8.0034031313646
NENF	5.12977462666053
HOXB5	3.90772073482846
ZNF324	3.86623565437145
CUGBP1	4.20017318368645
ENTPD7	4.1932708730556
TTC13	6.10408248706407
GJB5	3.33169699410586
PRSS22	4.68081705853556
CYP3A5	3.68670365945707
MBOAT5	4.18943021709429
CUL4B	5.51535876483143
CENPJ	3.64909694577863
KIAA0664	6.49683927411936
PITX1	4.38123426319386
PDGFRB	5.46382268214544
RDX	6.165256496886
CELSR3	3.88608521552093
JUND	6.91507599407335
ITSN1	5.68501768235302
CHRNB1	4.06674616858749
EHBP1L1	4.10586440043345
C19orf2	7.50178131436678
FETUB	3.05721934039559
CAMK2B	3.16050897967476
DCTN1	6.71572293378835
TNKS2	7.09040143769375
MRTO4	6.49835681712603
C1QBP	6.78615155117586
TTC3	8.72661970547395
NDUFB8	8.35261381855748
CADPS2	6.73396643794972
EDG2	3.98517346639820
MYF5	3.04597807485576
SEMA3G	4.22872505551603
IL23A	4.26588841348208
GJA9	3.46486478243114
R3HDM2	7.77665370558708
C5	4.34594241151515
SLC2A10	8.13981252771263
TRIM45	4.60531730214735
TSP50	3.65613087981269
PAQR3	4.74207686547085
ANKRD26	3.41702360605915
TCP1	8.31254093968498
TMED7	7.23822132810157
CMA1	2.97102109254837
PTCRA	3.96431248538335
HCRTR1	3.47558600531648
FST	4.27790599482645
PAWR	4.16736990613493
LDLR	5.87711728260045
ASTN2	3.80453735703583
SCRN1	8.08789398790909
GPATCH8	6.52178408585069
KIF4A	5.34386586391665
TANC2	3.71374362103352
ZMYM5	3.70080522757507
PGM1	9.47827329076518
ZNF586	3.97675604021547
POLR3G	3.34676272776167
CPD	8.46348471050603
SNCAIP	4.15380249159913
DCT	3.49545238075714
HLA-DOA	3.34341901891798
TANK	7.891026230393
RCAN1	6.15555526643649
UPK1B	6.99643228369444
DNAJB4	4.75464930563854
UGT1A8	3.05974762595108
LIMD2	3.1539368253163
HIST1H4L	3.36986581286493
PECR	5.22970483980313
HSPA2	5.25337114428278
SERP1	9.76634368778328
TACR2	3.29457882395116
NUP85	6.2510139593647
CD177	3.46547074912058
GPR135	3.1408299267608
PIGG	7.08147986224692
LGR5	3.7082119402551
JAK2	3.93227991308614
DPYSL4	3.47419114764362
TM9SF4	6.20787822336317
PTHR1	4.22877950543656
SIRPG	2.94993150055595
ZNF264	4.69259656040907
BICD1	5.89627169726859
RAB5A	8.12853120776752
FLJ13224	3.07376485136405
METTL5	9.54332416667225
HERC6	6.79816137465435
CASP1	6.08230418547838
USP9Y	2.80194423855146
LRP1B	2.95410878520614
XAF1	8.10681242833744
PLA2G4C	4.71880971360803
APOA2	3.12522788849748
SPAG6	3.02602153392282
KALRN	3.43041720156944
SECTM1	5.96446708342025
THOC7	8.91135495484222
IFNAR1	5.09588116420477
TCTA	6.70898944215188
NY-REN-7	3.30784103000943
TALDO1	10.0189185364882
B2M	12.0788591476071
LPPR4	3.40373579292917
SQLE	7.31461256110998
SEPHS1	6.51685888524678
EIF5A	7.02350970681392
FAM49A	4.30449699347449
YTHDC2	4.1746645404056
EHD2	4.93156135583094
NCF1	3.83627384745301
SPG7	6.01718442778846
ZNF614	3.41129969197938
