Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A02_451976
Composite Element REF	Signal
C11orf73	6.06489666800638
AIPL1	3.69652824468218
PTP4A2	8.85493370992972
IL24	3.28852704676826
BDKRB1	3.46227934050586
HPCA	3.72728523797585
MLF1	7.48486394100433
SEC14L1	6.47115571970138
CHFR	6.1509043939798
EMILIN1	3.99476361179668
THADA	6.33490351586806
TAF12	4.79574995864962
NDUFS4	8.42234353765547
ID1	6.32275420056373
PIK3CB	4.29052627024765
COL18A1	7.1890264140308
PDZD3	3.09514603582855
TBC1D17	4.15254604368245
COX8A	9.22214572798677
CDCA4	5.34391166550146
C2orf44	4.51833631453853
C9orf16	7.31014400267815
ERBB2IP	8.78156382685673
EMX2	8.87792588963174
FUS	6.8827882770282
NIPSNAP3B	3.45559512381956
TF	3.15081160451321
CXorf56	5.89216423651378
CLCN4	3.67256572693947
PWP2	5.48931046692707
MMP15	3.51042349501732
MTMR14	6.26748680914867
NPR1	6.33601614634768
DNAL4	5.43912855432396
ELAC2	4.45422510700219
ASS1	10.2404189783461
IPP	5.36335651364237
TMEM59	9.98076350065528
POLR2J	8.47859127678604
SEC23IP	5.0154126702173
RGS4	4.87492311194402
UQCRC1	8.15620639448638
SNX6	7.10283641530211
DDX18	7.12918804008514
POLG	4.6053411552479
ADAM23	4.20468919297488
ZNHIT2	4.34203993397545
TFR2	3.3129056611422
NCDN	4.17701981276016
RAG1	3.27894707522771
POMT1	4.70302708492588
CYP1A1	3.20933347479531
SNAPC1	6.22033300775291
GNA11	5.21937992589972
CCDC52	2.80589960815969
CAPN1	6.1204229948219
DDHD2	6.90708980655687
UPF3A	6.5648543403188
LAGE3	6.04681377162847
GNRHR	3.02460048313142
UNC13B	5.42741490005104
TTLL4	5.02713944353733
PPBP	3.37529283277967
HTR3A	3.89864345398127
SDC2	6.7437369394094
ANKRD49	6.7298921435145
BTF3	10.3657522783422
COX7A2	10.2381921667762
SARS	8.30365297900284
C13orf18	4.3499018349531
CACNB1	3.901978397866
QKI	6.25330751449264
SETMAR	5.81842604916296
LAMB4	3.27523434801714
MAN2B1	6.62094019830246
EML3	4.87975084372634
ACADL	3.05572810430917
OFD1	7.05040750807856
CGA	3.58021635103884
EIF3EIP	10.5248769191988
PEX16	5.4977617085664
GNG12	7.8701201953903
HABP4	4.84586959513973
CNTN2	3.49480090751259
ASNSD1	7.15442937830836
FUT4	3.74503158876057
DBH	3.35752099707133
CD53	7.24356552858821
HIST1H2BJ	4.01499385773939
TFAP2B	3.13751731356567
ACF	3.56620539674522
TMEM11	5.8859694486713
CDH8	3.20899933436484
C3orf32	3.32012541644927
AGPS	4.259004445813
C4orf18	3.3915779372027
PCCB	7.42838586054318
IPO13	4.57552043546142
PECI	6.49903808365172
UNG	7.21115441427022
C6orf105	3.57410622598022
GSTP1	8.20453547402346
SUV420H1	7.12235944971268
ARHGAP15	4.11394417005442
LTBR	5.95094784258023
TDRKH	3.20228183599006
PSG4	3.28096866821912
SLC9A3R1	6.34143738268789
NBPF3	8.8840860955418
SLC9A3	3.51608653126714
OSBP	5.8370287452571
PRR5	4.16535096907289
CHMP7	5.76023751762957
ADRA1A	3.04111701790969
ASAH1	7.14873692254038
FKBP4	6.08110060963815
ZNF350	5.62331342826483
DOM3Z	5.24146883359558
GIPR	3.92723379818075
AHI1	4.49027690511588
BST1	6.326736687221
NCR2	3.65039824872338
NADSYN1	4.48332917839136
UBE2W	6.47203805506071
RGS14	3.79531081573528
KRT15	4.05834059691019
SCN11A	3.57796097926594
GFI1	3.64267664969328
FHL1	6.58152356780358
SMC6	6.43978485875832
GATA1	3.52848034224709
OSGEP	4.8060813936803
ARMC6	5.34120253667283
HK3	3.4818904396087
PSMD5	6.96430702038334
RSU1	8.14976107183255
RPL4	11.2309904021715
MAD2L1	8.77675439280825
RBPMS	5.56433861579302
EIF4A3	9.05620159033759
E4F1	4.63774578131203
DLEC1	3.32803333807832
PRPF3	6.10178160012234
EMR1	3.11193813390046
CHMP2B	7.71792153430359
CAMSAP1	4.15349080156518
RPS21	9.55469552088811
XCR1	3.31368505837577
ARID5A	4.19839003405813
RBM6	6.20957235412361
UBE2N	7.17891326812807
KLF4	4.58931340046626
MGC4172	3.85905793983655
LMO4	7.41472406984908
KLKB1	3.30732659668162
HDAC3	6.67666237789566
HP	3.42334510460557
SCHIP1	5.78742156280832
BTK	4.11452856679782
KRCC1	7.76421163370866
PRND	2.95958935784281
C6orf27	3.58729739587876
PIGL	3.75138837087602
CLCA1	3.63164057532592
C1orf112	5.15146441202020
OLFML2A	5.06788269105128
HUS1	5.02569922059892
SFRS6	7.70688960394123
CXCR7	8.20976866368701
UIMC1	6.15259246077908
FXYD2	3.51138494664131
GOT2	7.40883206638845
ZNF667	4.24083324869974
TFEC	3.76643144820824
ATP7B	4.57937084149073
RAB38	3.44354305695969
POLD2	7.22542428487768
PPM1H	5.1569641301129
DCX	3.25033485404646
NFYC	5.52424493936589
ZNF228	7.65287231905251
KIN	6.7544346198773
PLSCR4	6.49432886627202
HIST1H4I	4.13147078488478
PPARGC1A	3.56477318552538
HIG2	7.946408815572
KCNK10	3.68620480693867
EXOC1	8.63211160292606
OR6A2	3.80379353559243
ETFA	8.28878399967563
PDAP1	5.11035426805263
C19orf6	3.54720462070797
POLRMT	3.99769169501543
ZNF146	8.24041664901277
MIA2	3.28586104852247
LY6G6E	3.06671464047191
EIF4E2	8.18247543458169
NENF	5.09173979408015
HOXB5	4.30802038542768
ZNF324	4.51602146825424
CUGBP1	4.78414726528598
ENTPD7	3.78843686734264
TTC13	5.80739403529599
GJB5	3.21002724589511
PRSS22	4.44724406290945
CYP3A5	3.21188027601389
MBOAT5	4.0252200096244
CUL4B	5.47267571921379
CENPJ	4.12461704954724
KIAA0664	5.94740793188746
PITX1	3.68482148071402
PDGFRB	5.84118798898231
RDX	5.48732350669029
CELSR3	3.83258613407782
JUND	7.11609294265241
ITSN1	5.10728588946341
CHRNB1	3.85586944886909
EHBP1L1	3.76497988434447
C19orf2	9.02327703422075
FETUB	2.97206030283453
CAMK2B	3.18670745033026
DCTN1	6.16217801368075
TNKS2	6.74917801373185
MRTO4	6.86788651252385
C1QBP	5.95407327651936
TTC3	7.44132520836278
NDUFB8	8.19532384199033
CADPS2	5.98871172706657
EDG2	5.46838067458766
MYF5	3.12712798886732
SEMA3G	3.24393344056092
IL23A	5.108636754586
GJA9	3.86575242955499
R3HDM2	6.7521890054714
C5	3.72335659882424
SLC2A10	6.54806671756277
TRIM45	4.4154360570102
TSP50	4.53500905058031
PAQR3	5.41248314576473
ANKRD26	3.54566210382022
TCP1	8.37995973100872
TMED7	7.10833397715709
CMA1	3.00690745903881
PTCRA	4.39088043930344
HCRTR1	3.5024092475482
FST	5.16784625988367
PAWR	4.03462888613939
LDLR	4.92349107185136
ASTN2	3.69240670816957
SCRN1	7.24496826167605
GPATCH8	6.34663519271519
KIF4A	6.77696939623016
TANC2	4.01535975101162
ZMYM5	4.48692178545977
PGM1	8.95681711880416
ZNF586	5.43208855557545
POLR3G	3.62979938487253
CPD	5.34565172584373
SNCAIP	4.01139124022658
DCT	3.38636747745097
HLA-DOA	3.62217406338665
TANK	6.69722890955317
RCAN1	4.79518852155399
UPK1B	3.68765909802465
DNAJB4	6.04360824691312
UGT1A8	3.11812839288065
LIMD2	3.37632494057114
HIST1H4L	3.47055288134379
PECR	4.71622382838139
HSPA2	6.27586149418747
SERP1	9.45786604005291
TACR2	3.50257945037956
NUP85	7.3646849279397
CD177	4.19843200174203
GPR135	3.24879563786226
PIGG	7.71882695541199
LGR5	3.53045741887937
JAK2	3.64656464273915
DPYSL4	3.23749182631968
TM9SF4	6.08585299512068
PTHR1	3.47991838309145
SIRPG	3.29428994341792
ZNF264	4.69167782238243
BICD1	6.6674546238016
RAB5A	7.73572365458918
FLJ13224	3.07745418143079
METTL5	9.29678320812365
HERC6	6.96015929106497
CASP1	6.00166280155176
USP9Y	2.76300422152289
LRP1B	3.35284237040894
XAF1	6.93635137200393
PLA2G4C	4.24606194341631
APOA2	3.16377726200864
SPAG6	3.19703457103204
KALRN	3.34228956617760
SECTM1	5.3541473985411
THOC7	8.92029278767081
IFNAR1	4.1331887875523
TCTA	6.17758879463280
NY-REN-7	4.24872239737424
TALDO1	9.33837895011763
B2M	11.8726095066704
LPPR4	6.29025457907275
SQLE	6.40742985955139
SEPHS1	7.18437733704898
EIF5A	6.28628771944368
FAM49A	4.47157872260019
YTHDC2	4.28705357687517
EHD2	5.28586415203928
NCF1	3.61487482571111
SPG7	5.94892415290581
ZNF614	3.60406892948734
HOXA5	4.65095990941839
NUP133	8.24994962543034
FGF12	3.80393884335757
SLMO2	8.05650260825979
INPP5B	4.43394525710295
PPID	7.12678795739032
SNTA1	4.45505989432112
IL20RA	4.10979606932047
UBE2J1	5.35946606736719
CACNG2	2.94629466583305
GCM1	3.11622004412021
ELF1	7.32805649175604
TLR5	5.22792406669831
TCFL5	6.66856929268693
C1orf107	6.62200902045872
C19orf22	6.64482337110426
SAFB2	6.31937374998762
MAP3K7IP1	4.06501175586579
NCK2	7.85191189607181
OXA1L	8.71674286233177
KIAA0652	6.21776516148622
KLRG1	3.41090895849575
FRAG1	6.27786528355906
ZSCAN12	3.01590909737064
PSMD12	7.17154653593905
E2F4	5.1428971550714
CLEC4M	3.36135871755781
KIAA0999	4.30618535079379
CLDN10	7.48197429976188
MGC13053	4.18284516759833
TAC1	4.00873447431727
GYPA	3.25903333319876
HPCAL4	3.22357193656889
TRAIP	4.76933797112277
MEX3D	4.34134602805868
KIAA0232	7.6247285346497
ERCC8	5.04499737089681
NFAT5	4.96294250263083
GPX4	9.30363918427125
CSPG4LYP1	3.2424732956554
KIAA0368	5.7412380866594
FBXO3	6.73648090004175
DVL1	6.16417468684207
CMKLR1	3.82182671677862
GPR157	3.65506815492605
TYMS	7.73981284479524
OR52A1	3.02091654460698
PEF1	6.91634637821365
ZNF750	3.0626509471124
ALG9	4.95796966390361
MCM5	5.8135751275271
SDK2	3.1975220785353
BAIAP3	3.78887412558808
RABGGTB	7.55981199040655
KCNK7	3.49783454248142
PTP4A3	6.27609983484681
ANKRD40	4.14310633154482
CALCOCO2	7.42796776925658
TMSL8	6.51094750886961
SNCA	5.55558533354032
ZNF551	4.29170862773561
HBQ1	3.38789150561276
ARHGAP26	4.22324019408121
GEMIN6	6.3727873623287
HRAS	5.89187138491262
KLRC4	2.6641057660584
BSDC1	5.77174565288997
DSC1	3.6116259691278
RNF43	5.0321962622095
NDUFAF1	6.14786945600145
MAP2K4	4.92587285187698
FOLR2	5.67902912239568
LYZL6	3.50662925365389
EPB41L3	3.9089493405526
TEKT2	3.83782010186861
CDKN2B	3.73676174592753
WSB1	6.25668582083532
ZNF480	3.52238709053803
MAP3K6	4.06410675317126
PROS1	7.5912947435192
PSMB8	7.26379227759882
HN1	8.11371292000984
MAS1	3.17046576641004
APOL1	6.1219206233581
CSHL1	3.26891016434116
ZBTB7C	3.04548555650330
AHCTF1	6.84253056697703
SAE2	10.7398256150201
ITGA2	4.16044035002071
AP2S1	8.48902645034898
P15RS	7.994080353823
MME	4.93810869789513
VAT1	7.34450397392693
MAST4	5.25592383126242
TUFM	8.90543851496485
KRT33B	3.29089477158778
THEG	3.79507325425795
KCTD2	5.30334862821779
WDR26	8.84113874120894
MFI2	3.26718930804003
KRT34	3.13108481985296
NR4A3	3.46883543428187
SGSM3	4.51890223351406
ARSA	3.94963242440571
TOMM22	5.88386774546032
SOCS3	3.76332716828559
UNKL	3.54732607728859
POP4	9.49917096433242
BHLHB3	9.74331876105044
MALL	4.19377890086455
SOX15	4.49725700737505
CCNA2	6.41158895541434
PARK2	3.21276798350331
GPR124	4.62734473725209
TMEM132A	4.86773968268612
CGRRF1	6.30905273890793
RUVBL2	8.84629313890083
MCAT	6.14114186861503
WNT10B	3.83902997451347
ISCA1	6.84758319074713
RPAP1	4.34434616619193
C12orf48	5.43191072190323
RAI16	5.57863539304316
RPL27	9.2614005630824
EPN1	3.91267420628946
MAGI1	2.94081710388219
GBX2	3.24424913387075
SLC35A1	6.95354711291409
GAL	4.36120247505105
SLC14A2	3.44936316142155
RDH11	7.44615986589654
ZNF518	4.75242985448645
PCYT1B	3.27168414613956
AUH	6.3647830973313
EIF3H	10.7339825689350
KIF1B	6.86308673752834
MBD2	4.69091383764284
AMOTL2	7.99322597724917
C6orf120	6.34718122858567
PIGT	8.59143879736499
PSRC1	6.62029031263415
PLA2G10	3.96525127664396
ALAS1	6.92700487695998
FOXO1	7.69107469894656
C17orf62	7.6061774601271
KIF5C	5.70258171897647
DUSP10	5.17730775384663
CRLF3	7.06460249459805
CLCNKB	3.28000978457791
PSMA5	8.87403981662212
FARS2	5.96344567159013
CCDC28A	6.634016784862
AMPD3	4.80899725656284
PIAS1	6.87736811347141
ADCYAP1R1	3.22255761349926
TMEM134	5.57412748171232
CDH20	3.02487435848225
FBXO7	7.61745580677199
FLJ14213	3.99200546266605
ZNF3	5.8999326239661
LRRFIP1	7.26624138224913
TMEM49	8.99214717865818
CNOT2	7.62100841372617
CBX2	2.95992245041043
ZC3H14	6.68959260508563
ALDH5A1	5.24584179400937
HNT	6.25395825277439
SERPINA4	3.12360093533612
FLJ20920	5.4561276475262
