Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
C11orf73	6.00027858499523
AIPL1	3.92958367917903
PTP4A2	10.8037404330356
IL24	3.24980528281472
BDKRB1	3.32630494273348
HPCA	3.25993430048071
MLF1	7.19849480110304
SEC14L1	6.1942291785535
CHFR	6.94744645881543
EMILIN1	3.86838475553647
THADA	6.83297922514365
TAF12	5.72676676210667
NDUFS4	7.91016756628164
ID1	6.261267119325
PIK3CB	3.96314029789911
COL18A1	7.90238173930722
PDZD3	3.4271506652468
TBC1D17	5.22245634832832
COX8A	9.67214507070574
CDCA4	5.95591254148376
C2orf44	5.81365282071289
C9orf16	7.98586095469917
ERBB2IP	8.72616430643722
EMX2	8.56447317545676
FUS	5.68397357003649
NIPSNAP3B	3.80388948961556
TF	3.37247015257916
CXorf56	4.83066007237296
CLCN4	3.81766808451985
PWP2	6.16066438453748
MMP15	4.1086421778384
MTMR14	6.03354045959355
NPR1	5.49767669041595
DNAL4	5.99925288593044
ELAC2	4.91229502448032
ASS1	11.0568463865152
IPP	6.37876793401055
TMEM59	9.62640030012465
POLR2J	8.67241206889644
SEC23IP	5.92457513386623
RGS4	6.05131101816511
UQCRC1	8.90026724543952
SNX6	7.18344472159664
DDX18	7.12785802189913
POLG	4.70859064065093
ADAM23	3.74915980069660
ZNHIT2	4.55746790860459
TFR2	3.37936117903308
NCDN	4.59493311527973
RAG1	3.29691662685594
POMT1	4.84500987923241
CYP1A1	3.40704611806577
SNAPC1	4.58281662592649
GNA11	5.61067962950508
CCDC52	2.89206174521519
CAPN1	6.31728632229334
DDHD2	6.36734422543974
UPF3A	6.6260180060059
LAGE3	5.89371073004551
GNRHR	3.20815888055065
UNC13B	6.32000487303662
TTLL4	5.11854540393352
PPBP	3.09509161467798
HTR3A	7.97992282371215
SDC2	5.63476530508998
ANKRD49	7.36346279438018
BTF3	10.4820075469314
COX7A2	10.7064680888787
SARS	8.41307560668959
C13orf18	3.68658911389566
CACNB1	3.83474946246499
QKI	6.29687812848824
SETMAR	5.35569319368387
LAMB4	3.22992878508716
MAN2B1	6.62155838058588
EML3	5.07885996177792
ACADL	3.23829116707948
OFD1	7.19951314797565
CGA	3.51608544891200
EIF3EIP	10.7014735719018
PEX16	5.22832931456997
GNG12	7.91915830090096
HABP4	4.90014523877832
CNTN2	3.4168518927258
ASNSD1	6.99756930048455
FUT4	4.23986114120459
DBH	3.53175350490755
CD53	7.65520204851781
HIST1H2BJ	3.31621301978511
TFAP2B	3.12215024558593
ACF	3.52790445151918
TMEM11	6.59143286199144
CDH8	3.04863038256024
C3orf32	3.68229039940641
AGPS	5.60599837345673
C4orf18	3.22419220228836
PCCB	8.57218753088838
IPO13	4.81690532822176
PECI	7.22513519609966
UNG	7.77714793914437
C6orf105	3.48754530114712
GSTP1	8.55274097027371
SUV420H1	7.79092802266405
ARHGAP15	4.30682032194571
LTBR	6.52844993753045
TDRKH	3.60599656552842
PSG4	3.47078210872859
SLC9A3R1	5.928400361213
NBPF3	10.0396092030640
SLC9A3	3.42132278163789
OSBP	6.5729926346613
PRR5	4.63300462366753
CHMP7	5.33066841549694
ADRA1A	3.09794723903894
ASAH1	7.07781891336537
FKBP4	7.28252542543359
ZNF350	3.44972321970626
DOM3Z	5.3907340517577
GIPR	3.42909739799047
AHI1	4.87714481152299
BST1	4.12613397082793
NCR2	3.52269119192372
NADSYN1	4.72739150771268
UBE2W	6.82727369295949
RGS14	3.58835322126392
KRT15	3.72197040000256
SCN11A	3.97193168096933
GFI1	3.39570762041424
FHL1	6.28143640950101
SMC6	7.61273770196077
GATA1	3.47330306728581
OSGEP	5.28672230037825
ARMC6	4.81755167192116
HK3	3.49371987951465
PSMD5	7.02905834977247
RSU1	7.81733072561757
RPL4	11.6931838373919
MAD2L1	7.00345649096292
RBPMS	5.17646810740148
EIF4A3	9.14912843067033
E4F1	4.84267183346546
DLEC1	3.39625957427680
PRPF3	5.09584672600119
EMR1	3.16228913202568
CHMP2B	7.33139399231692
CAMSAP1	4.57950481207529
RPS21	10.3502271483404
XCR1	3.1302839820978
ARID5A	4.2797846972372
RBM6	5.89238754224715
UBE2N	8.17757815014602
KLF4	4.68859010849921
MGC4172	5.45982556146566
LMO4	7.07374851024984
KLKB1	3.22784887776288
HDAC3	7.15724823623364
HP	4.40233161460941
SCHIP1	6.11190455430868
BTK	3.96912641689684
KRCC1	9.12034024866194
PRND	3.39502519564213
C6orf27	3.40627806920025
PIGL	3.77888594676825
CLCA1	3.70672564921727
C1orf112	4.49392921336171
OLFML2A	5.13494687959439
HUS1	5.45336798124816
SFRS6	8.1260529699286
CXCR7	7.14662460732919
UIMC1	6.22877627665762
FXYD2	3.4648393621477
GOT2	7.88864246499598
ZNF667	4.10701843895124
TFEC	4.3688132230447
ATP7B	5.6624121726755
RAB38	5.37382643972647
POLD2	8.46951302001434
PPM1H	5.84241892501771
DCX	3.18001581494215
NFYC	7.05277979870039
ZNF228	3.13910273238544
KIN	5.54514359673509
PLSCR4	6.18253135520566
HIST1H4I	4.08760301041793
PPARGC1A	2.957629832778
HIG2	8.19708032874132
KCNK10	3.89676670066095
EXOC1	8.49162022067003
OR6A2	3.72899582138704
ETFA	7.74199275245458
PDAP1	5.08754555241778
C19orf6	3.38841229646067
POLRMT	4.38695076718195
ZNF146	8.35997725261883
MIA2	3.39192518350151
LY6G6E	3.23176962613340
EIF4E2	8.57186395198586
NENF	4.8988427000517
HOXB5	4.39528060335365
ZNF324	4.42881251849481
CUGBP1	4.59781228852891
ENTPD7	4.76750203925095
TTC13	6.15195471391419
GJB5	3.18334400545511
PRSS22	4.38167522582141
CYP3A5	3.30396743523877
MBOAT5	5.33062396940526
CUL4B	5.12409906117099
CENPJ	3.53416927949595
KIAA0664	6.0748516101138
PITX1	3.79804535552604
PDGFRB	5.9471288484897
RDX	6.0845357641614
CELSR3	4.04460823750356
JUND	7.06935027687559
ITSN1	5.42814136023244
CHRNB1	4.72735483878576
EHBP1L1	3.70938013966084
C19orf2	9.37003189905445
FETUB	2.94846981036690
CAMK2B	3.45145839972412
DCTN1	6.84421948798231
TNKS2	6.83045756623188
MRTO4	7.44750363444172
C1QBP	6.49619159721386
TTC3	8.41692789739742
NDUFB8	8.37323848235343
CADPS2	5.34317161571433
EDG2	4.12905028107791
