Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
C11orf73	6.6707524042629
AIPL1	3.66205875974518
PTP4A2	9.02287336401729
IL24	3.41195584989965
BDKRB1	3.36078400453416
HPCA	3.38343113757029
MLF1	5.5685297697794
SEC14L1	5.89166755847813
CHFR	4.57251439104764
EMILIN1	3.48983289668969
THADA	6.22672762788775
TAF12	5.31324938971204
NDUFS4	7.01780425857417
ID1	4.36147665806253
PIK3CB	4.07664208542323
COL18A1	7.02572895482196
PDZD3	2.99860936620540
TBC1D17	4.75293776196157
COX8A	9.81156343370192
CDCA4	7.08282359378215
C2orf44	4.29210730729923
C9orf16	8.43309688493067
ERBB2IP	8.19249811128178
EMX2	9.74608587296743
FUS	6.47265985540647
NIPSNAP3B	3.29022195019025
TF	3.29262438705002
CXorf56	5.07699675092742
CLCN4	3.63999774278739
PWP2	4.67165443794468
MMP15	4.378081417278
MTMR14	5.69411607408847
NPR1	6.57170427601865
DNAL4	4.86669051721706
ELAC2	4.24773198307506
ASS1	10.6304836632531
IPP	5.48688730142408
TMEM59	9.52348933268546
POLR2J	8.63642449145353
SEC23IP	6.01062968795194
RGS4	3.9040605185422
UQCRC1	9.25545048092357
SNX6	7.6296664474295
DDX18	7.71801375394453
POLG	4.98929115157364
ADAM23	4.00340175874439
ZNHIT2	4.47741131473622
TFR2	3.45505700878688
NCDN	4.11571474559445
RAG1	3.24430314622821
POMT1	4.15522712115654
CYP1A1	3.48877767548917
SNAPC1	5.36266275594757
GNA11	5.69640885157989
CCDC52	2.88517222918421
CAPN1	7.43416166367631
DDHD2	6.52472833438146
UPF3A	5.91821832593031
LAGE3	5.50985544749993
GNRHR	3.10502129226228
UNC13B	4.74295369323268
TTLL4	4.60890439951159
PPBP	3.44913944931815
HTR3A	3.49264757496665
SDC2	5.81332978920989
ANKRD49	7.93660370492327
BTF3	10.3900616063257
COX7A2	10.2371367133797
SARS	8.666105326718
C13orf18	4.64953818950586
CACNB1	3.86931642647876
QKI	5.99596963756378
SETMAR	6.40033862961871
LAMB4	3.37532319553298
MAN2B1	6.18361811862984
EML3	4.90349151942339
ACADL	3.38230422243641
OFD1	7.21413573510543
CGA	3.45976616427537
EIF3EIP	10.5087342741329
PEX16	5.24030818526317
GNG12	7.60662818559004
HABP4	4.41751634719808
CNTN2	3.33760788387637
ASNSD1	7.06812304505443
FUT4	3.64578583737082
DBH	3.36192905319981
CD53	8.24564801152944
HIST1H2BJ	3.42560867171268
TFAP2B	3.21013117128706
ACF	3.81900766570728
