Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C09_472018
Composite Element REF	Signal
RAB38	4.05911749679397
POLD2	7.01991848011706
PPM1H	6.63442377720358
DCX	3.19922271446828
NFYC	6.496736406416
ZNF228	5.99366177943203
KIN	5.66936401543439
PLSCR4	6.32802100756577
HIST1H4I	4.10479692395012
PPARGC1A	3.21775806287977
HIG2	8.58560901060765
KCNK10	4.28951799927462
EXOC1	7.40470112035574
OR6A2	3.87174828990606
ETFA	7.70733606482629
PDAP1	4.89494928501938
C19orf6	3.49099491523833
POLRMT	3.87131664253328
ZNF146	8.18287107566282
MIA2	3.33281496689235
LY6G6E	3.46976985785632
EIF4E2	8.02816237949287
NENF	5.06932454261757
HOXB5	4.22089195261337
ZNF324	6.8397425924785
CUGBP1	4.28845649990844
ENTPD7	4.18102543978804
TTC13	5.01938830615225
GJB5	3.31868691777142
PRSS22	3.95820425828067
CYP3A5	3.33906775813657
MBOAT5	4.17964581155674
CUL4B	6.04398897558315
CENPJ	3.66238576750640
KIAA0664	5.95879252400938
PITX1	4.26233088261236
PDGFRB	5.43056268016669
RDX	6.29804410330304
CELSR3	4.16585067923529
JUND	6.78316101674385
ITSN1	5.15112371897618
CHRNB1	4.27248228333533
EHBP1L1	3.46535079689155
C19orf2	9.11783869571675
FETUB	3.13332724957809
CAMK2B	3.14552157802403
DCTN1	5.74900825523486
TNKS2	6.84026457752983
MRTO4	7.64318318165749
C1QBP	6.29683010908433
TTC3	8.37751584409549
NDUFB8	8.1826074280216
CADPS2	3.37389797655211
EDG2	4.58317713378609
MYF5	2.90814556882478
SEMA3G	4.58482915067652
IL23A	3.73586885679553
GJA9	3.60991839188288
R3HDM2	7.86795756601424
C5	4.12639916179689
SLC2A10	4.88960552261825
TRIM45	4.82987242101982
TSP50	3.48984220439094
PAQR3	5.06270940516969
ANKRD26	3.56688648803850
TCP1	8.10403960319744
TMED7	6.81467917172773
CMA1	2.90333705121058
PTCRA	4.40172509065346
HCRTR1	3.35278984843815
FST	4.16986323923946
PAWR	4.53648284024092
LDLR	4.4736983187887
ASTN2	3.80905114758624
SCRN1	8.10304731784863
GPATCH8	5.80787686868199
KIF4A	6.0277796437519
TANC2	3.35201014367633
ZMYM5	3.41007397853488
PGM1	6.60468160173367
ZNF586	5.40742065302581
POLR3G	4.15380682015328
CPD	5.12292212779019
SNCAIP	3.67033554158775
DCT	3.39460451787258
HLA-DOA	3.55206560029027
TANK	6.32544669325098
RCAN1	4.9948044330138
UPK1B	3.23841873477252
DNAJB4	4.99387881077572
UGT1A8	3.08869702722735
LIMD2	3.31907324942962
HIST1H4L	3.47655994761976
PECR	4.93988307110423
HSPA2	6.81305582608632
SERP1	8.97225474820363
TACR2	4.31986640788811
NUP85	6.77310740589258
CD177	3.34895421668176
GPR135	3.27057736047661
PIGG	6.12477652664387
LGR5	4.55191251626040
JAK2	3.75499756686144
DPYSL4	3.41837431443715
TM9SF4	5.72654289749972
PTHR1	3.14462074891136
SIRPG	2.88487171467651
ZNF264	5.06939961324586
BICD1	5.83255561700218
RAB5A	7.97049282471804
FLJ13224	3.60650789294565
METTL5	8.95251749342299
HERC6	7.16337051351914
CASP1	4.85188616835535
USP9Y	2.8202212360446
LRP1B	2.754367332864
XAF1	6.53505201737631
PLA2G4C	4.59758215236265
APOA2	3.30658964530176
SPAG6	2.99106238124155
KALRN	3.48024476015119
SECTM1	4.05327762373891
THOC7	8.34811771670724
IFNAR1	3.56764256977788
TCTA	4.84857203565113
NY-REN-7	3.49827475617684
TALDO1	9.04350896065166
B2M	11.8030214350057
LPPR4	3.86245612855598
SQLE	6.61047823408985
SEPHS1	7.89681029864409
EIF5A	5.82277084952594
FAM49A	3.89956114101798
YTHDC2	4.16956692734861
EHD2	4.13229308928139
NCF1	3.29749215995428
SPG7	6.30212249233421
ZNF614	3.66485511252541
HOXA5	3.32413136679147
NUP133	8.29238033501924
FGF12	3.44074664543229
SLMO2	7.18436598577773
INPP5B	4.25493071146784
PPID	7.23794645920495
SNTA1	3.87553414159679
IL20RA	3.7539876121678
UBE2J1	5.14285089229197
CACNG2	3.11196423313814
GCM1	3.48766011054701
ELF1	6.60767301065457
TLR5	3.25230205106731
TCFL5	6.14906887368638
C1orf107	6.00230410248242
C19orf22	5.6929657642428
SAFB2	5.60684536465237
MAP3K7IP1	3.71068075528953
NCK2	7.01859819756842
OXA1L	8.74758637049879
KIAA0652	5.36637171104596
KLRG1	4.00906453051658
FRAG1	5.47429117877575
ZSCAN12	3.01745325772285
PSMD12	6.46623656404392
E2F4	5.5115293624857
CLEC4M	3.56841831972443
KIAA0999	4.43277533587911
CLDN10	3.4719848623254
MGC13053	4.12142933346653
TAC1	2.58751521525445
GYPA	3.30366496219797
HPCAL4	3.22440611149567
TRAIP	4.27061157723228
MEX3D	4.80548706286481
KIAA0232	6.47846981834897
ERCC8	4.7832210780971
NFAT5	4.41115937121152
GPX4	8.37214064817367
CSPG4LYP1	3.31202319259765
KIAA0368	5.84067834201594
FBXO3	4.79692375196251
DVL1	6.12248647427394
CMKLR1	3.81540890095892
GPR157	3.69178291451414
TYMS	7.50972366812576
OR52A1	3.07710272599758
PEF1	6.13494406033842
ZNF750	3.16701533315332
ALG9	4.54809800550813
MCM5	5.16492794316209
SDK2	3.49299601473166
BAIAP3	3.98706706748164
RABGGTB	6.0755044477707
KCNK7	3.58179592318032
PTP4A3	5.17696078762708
ANKRD40	4.06628532975484
CALCOCO2	6.63031967936349
TMSL8	4.17524008727384
SNCA	4.17907460239187
ZNF551	4.29486778684265
HBQ1	3.58992562837312
ARHGAP26	4.20498091545975
GEMIN6	6.33057788078102
HRAS	4.99006941674595
KLRC4	2.99089927107199
BSDC1	5.1751293527114
DSC1	5.39455087787215
RNF43	5.38239209647833
NDUFAF1	4.7991750817673
MAP2K4	4.91209059043357
FOLR2	4.59069714316307
LYZL6	3.56317241042121
EPB41L3	3.29072873971198
TEKT2	3.48918243358792
CDKN2B	3.7947246211864
WSB1	6.71784739882152
ZNF480	3.47374166476168
MAP3K6	4.49451003509143
PROS1	8.51128890270432
PSMB8	7.71104588591756
HN1	8.10547935583761
MAS1	3.09539315930875
APOL1	5.50559569978223
CSHL1	3.42908602943805
ZBTB7C	3.25230335056786
AHCTF1	6.06024305283783
SAE2	9.65590669626137
ITGA2	3.71852148373014
AP2S1	9.2558862397279
P15RS	5.54666370877478
MME	3.44078630473244
VAT1	6.27428031880982
MAST4	5.24848267523191
TUFM	9.91919640736982
KRT33B	3.64948698847
THEG	3.85298119144403
KCTD2	4.84696508126472
WDR26	8.14974184859015
MFI2	3.33309814748027
KRT34	3.12196756218790
NR4A3	3.49149373777952
SGSM3	4.15847917892697
ARSA	3.72061062961974
TOMM22	6.28354862552827
SOCS3	3.91892891325349
UNKL	4.04807090119036
POP4	9.2841806426524
BHLHB3	9.00670667299652
MALL	3.80793816929696
SOX15	3.55253096982607
CCNA2	5.67684032777047
PARK2	3.28889338436735
GPR124	4.08928527233645
TMEM132A	4.18007031296222
CGRRF1	6.14848651258904
RUVBL2	7.78087422801396
MCAT	4.29953923532849
WNT10B	3.77771894746321
ISCA1	6.62571185254002
RPAP1	3.81397529077343
C12orf48	5.18554241043118
RAI16	4.55735314641184
RPL27	9.03787735321682
EPN1	4.02919925343208
MAGI1	3.18383979417645
GBX2	3.54908240582016
SLC35A1	5.35039429661948
GAL	4.17427441515869
SLC14A2	3.75726557718566
RDH11	8.00686963192087
ZNF518	3.79972815294428
PCYT1B	3.31331250615550
AUH	6.14238755960889
EIF3H	10.8351004151509
KIF1B	6.86548286302707
MBD2	4.2080527285756
AMOTL2	7.23449586622409
C6orf120	4.91686168840186
PIGT	8.30713005751697
PSRC1	7.34664790615256
PLA2G10	3.53400810817368
ALAS1	6.61173390585285
FOXO1	3.97669338166283
C17orf62	6.3789521755332
KIF5C	6.86284825826676
DUSP10	4.66476095019355
CRLF3	5.83271437599764
CLCNKB	3.44310277066643
PSMA5	9.37415980558879
FARS2	5.15519654193594
CCDC28A	5.35584237376633
AMPD3	4.36184889055723
PIAS1	6.93118169484866
ADCYAP1R1	3.73680849665991
TMEM134	6.21269956929334
CDH20	3.28990166978968
FBXO7	9.4105623704367
FLJ14213	4.84270520601306
ZNF3	5.26516990963102
LRRFIP1	6.70614849838537
TMEM49	7.85783229956764
CNOT2	7.2404948252089
CBX2	2.8558638423266
ZC3H14	7.14864197667081
ALDH5A1	5.18021709822466
HNT	3.45608853309526
SERPINA4	3.25317202130364
FLJ20920	4.70120068616847
CRTAP	4.65849904994943
DDX50	8.95585446820704
STYXL1	6.84712666034369
TK2	4.81673154101983
BLVRB	4.79407243035058
STMN1	7.21214189475169
GUCA2A	3.28520958543333
DPP6	3.17809918163126
GALNT10	3.30479344449548
STK39	3.10206941175009
MMP24	4.16589391082551
CKS2	9.90680914232572
RHO	3.7951289563712
BANF1	9.69801065521496
CR1	3.15564080357695
RPS6KA2	4.0669995179597
HMBS	5.17039470513783
C20orf112	3.6217527586475
SLC25A24	6.40071321616028
MRPL22	6.8330862903448
SLC25A15	5.28975310981429
GADD45B	4.51058056222087
TDP1	6.13734970052073
ZNF287	3.72131284217531
DAAM2	4.21071236128246
C11orf57	5.48421479869214
RFK	6.18634716998251
ZFYVE9	3.87326949371996
TCTN3	6.79472372892659
STCH	5.92503552309413
LOC283871	3.52987314492472
NDUFB3	7.5261111474423
DEFB4	3.87905089467751
FPR1	3.34323221647708
FMNL1	4.39148301653445
SEPT7	8.93274262557489
PTCD2	5.14620227021052
GNLY	3.81238229580065
GRAMD1C	5.1680740456199
ZNF165	4.46040864949723
TR2IT1	3.87647404247631
ARMCX3	7.0168637035493
NDE1	5.35709957736645
MAGEF1	6.50586617854966
ITGA10	3.89722496782984
ARHGDIB	6.09710752941095
FSHB	3.50728726642857
ANXA2	10.5548000748202
HLCS	3.85530146194364
MCF2L	3.63136925400804
AK1	4.97693307742929
FH	6.43051087104993
LGALS2	3.63033401203216
SYNPO2L	2.87108835865839
KIAA1045	3.49827159052743
C1orf183	4.82085178426728
MAGEA8	3.00013207662997
DGCR8	4.30218093660339
GSR	4.49086678654172
NEU2	3.49924518722386
HIST1H4B	3.55274730147080
CACNA1C	3.09436317191157
FAM20B	7.1420074658653
HES2	3.37832555248570
PDCD6	8.78612302787605
INTS7	5.45750537837548
AMPH	3.73262051999503
UCKL1	6.11966750289541
ASB4	3.09625429931606
C10orf97	4.70899838498506
ALDH1L1	3.80580998576385
CCL23	3.34896353390799
OBSL1	4.95884888651326
SLC12A7	6.79822368286718
THAP4	5.6028668111764
RBM4B	5.53387352760897
OGFRL1	3.67136786145541
KIAA0831	6.38496643478314
C12orf11	7.44757690638762
PPP1R15A	4.30875952231666
KIAA0240	5.50983624300586
CD1B	3.31638788459512
FCGR2A	3.69557282309213
MDC1	4.9854488484851
MAN1A1	3.27245864750065
KRT9	3.53699332690246
HTR1A	3.33214147290921
OCEL1	6.30039878677844
ATP11B	4.64679390745845
NLGN4X	3.74979609740426
FBXO34	8.28189777508213
ALOX12	3.66996331044856
RB1CC1	6.81043827116137
PCDH12	4.35762059470237
RPE	5.85502366000791
EIF4E	7.11422241564515
CSDC2	3.68391875921784
ABHD5	4.52117651485473
TMBIM1	5.9820529403957
PET112L	5.02879453977338
P2RXL1	3.04614215475958
F2RL2	3.04402801044257
TRMT1	5.62297040668697
IMPG2	4.24103495500624
LRRC32	7.42422114598501
BGLAP	4.52328424464613
HTR4	3.44314287124513
MRAS	3.86142318053972
TRAF6	4.65702595699277
AXL	4.00980111589575
ATP2C2	3.40365180957546
LMNB1	7.45330166023044
TELO2	4.46072984732702
PNPLA3	4.00504916387876
CSNK1E	6.89048351667591
SRP14	10.1456782947039
KCNQ4	3.34101259566253
PIK3C2B	5.70894651578094
C15orf15	8.4402335103746
TUBB2B	3.15896356012925
USP15	5.35153791299524
C12orf41	7.26124918239506
CEND1	3.73182261839431
RNF31	4.96427405365383
TCEAL2	3.68472700770362
PTGER2	3.98889735540535
UBN1	5.94294308396262
SLC5A7	2.98769615482624
SLC31A1	5.23230922533824
ADAM29	3.42464391196304
ST7L	4.30043565515128
GFOD1	4.65671595045624
CTNNA1	8.12343643396267
HRBL	3.90260521718845
CBX4	3.48280574150189
NTRK2	3.48898858541646
FOXN3	5.00734043186153
MFGE8	6.89522024483961
PFKFB2	4.0942913223427
TAS2R4	3.8523205240929
SH3TC2	2.97913766825017
IL10	3.61675668375271
PXMP4	5.38893408145788
RNF167	5.2204474120342
PRMT5	8.07152161032226
TSKU	5.84985757124491
ATPIF1	7.89085474713024
ETV3	3.5026577466506
PAK7	3.30306512289175
PDLIM1	7.00085484442829
CEP63	3.86660298943041
WDFY3	4.80231933697101
RNF126	4.73855452647308
DPM1	8.5456655206352
CLIC4	6.60188003154702
ACR	3.87244728093285
KLK7	7.82003761923594
ALOX5AP	5.05890502610537
LRP1	4.72438530357527
TNK1	4.54165202392998
TAS2R9	3.10205066407718
ZNF16	5.36467370815532
POLR1B	5.13535107255548
SLC8A2	3.90183794268636
OLFM4	2.82506096627656
TACC1	3.90978571111287
SAMHD1	6.605518401954
ATP13A2	5.07457317862502
KRT4	3.92820822887807
PAX6	3.95049671781157
SCG2	3.23135787211293
SLC17A6	3.59358466008678
TUBB4	4.12629438331169
PADI4	3.1271969618536
FMO3	3.63438400272574
NLK	3.71225882197055
POU4F3	3.14796196922887
MDM2	3.50697275996761
CAPNS1	8.97393729764218
SDF4	6.426289200029
ITGBL1	3.47997214729379
TAP2	4.06312397772804
OR2C1	3.62956340136861
KLHDC3	6.46394787368151
EFHD2	5.05581679136721
GALR3	3.81147925823479
NBEA	3.09377119230711
ABCA6	3.29068388955153
ABBA-1	3.85963269580094
GNAI1	5.55618525514786
CLDN3	8.24523033338674
AKT2	3.34235657964264
EGFR	3.87315457175529
VPS4B	5.58459005288284
RBM16	6.9252389462242
GALNT6	6.20169320144131
ZDHHC3	5.40471021433864
SLC25A4	7.14325163137746
CYB5B	5.16479125381837
NDRG1	8.27755331484838
SESN1	4.7448067433629
GBE1	7.68391372765162
MRPL46	5.1361536416264
CLASP1	5.28138079798195
FARP2	4.35797262125030
ACOT11	3.85182918459433
LDHAL6B	3.00870438775994
MAPKAPK3	5.16905947803961
NCAM2	3.10734959125919
AFAP1	3.93354577990364
PRKD2	6.5525371846836
OR2H2	3.52543729171577
ZFP36L1	7.87147363724888
DZIP1	3.73445297667667
GPR161	4.29359078144040
RNF146	5.09814857453467
NKX3-1	3.99056537853379
CCNB2	7.43933720907026
ZNF10	3.7826539433036
WDR74	5.30946094931755
FAM134A	7.58619130924506
PCNP	9.13547523618652
PURA	4.89846152566638
DNPEP	7.79127031974879
ERBB2	4.67230555614076
CREB1	6.04085122443629
NEO1	5.79862318269815
DDX3Y	3.34685996058837
RPS3A	12.5515225184842
MXRA7	9.55831104894814
LGALS3	9.95028819177421
GLT8D1	7.01524914190164
TMPRSS3	7.71868149082001
UPB1	3.49300029179272
LAT	3.83929030253947
CLDN14	3.91836092638582
DHX38	5.22165968747609
KCNA3	3.30306191676074
BTBD1	7.27577498298111
TARS2	5.50058346417274
SKIV2L2	7.54196130562876
ABCF1	7.4452436194322
CDT1	3.57937533039732
ZHX2	5.78409073805261
FCF1	5.32296718374186
LRRC49	3.90427794746701
GUCY1B2	3.36179562476901
CD28	3.25821707778148
SMARCA4	6.04814226210483
SEPT2	9.2890706065658
SOHLH2	3.49728698008145
MCOLN3	3.97982707890552
LRP8	5.44930824432056
TAGLN3	3.89862647989593
MASP2	3.86090605027929
GPATCH3	4.42202612922645
TTRAP	7.46077620888972
AGL	6.4513248242451
NFE2L3	3.74523157012232
PSD4	3.94261302706059
PALMD	4.52601607891219
CCNB1IP1	9.06198089802947
TMEM43	7.47904394031127
OBFC1	5.32738707725571
STAT5B	4.24266779571623
C14orf79	4.76719437494967
ENPEP	4.25982341604076
SSB	8.95651680813971
SCT	3.21692166173426
TIMM23	7.14609083837159
SKI	3.4887110014398
SLC22A13	3.33778725104446
AKAP3	3.50857458799592
OAS2	6.91218280410188
KIAA0423	4.75318368986856
SEC61G	8.88778965357228
CAPN11	3.18550596414039
TMEM50B	6.03371419260326
DEGS1	7.5076272289992
ARHGEF4	3.44920016740673
DBNDD1	4.94858984769058
TBL1XR1	6.17008596822336
FAIM	5.01773681731342
SP140	3.35207306914168
G6PD	5.09048398056476
NUDC	7.24485607578974
GABRP	3.12124893054583
SCARA3	5.40452312657834
TACSTD2	5.25893100313817
