Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E08_516348
Composite Element REF	Signal
C11orf73	5.40751375292967
AIPL1	3.91225710081754
PTP4A2	8.35934970519783
IL24	3.486670192604
BDKRB1	3.09548089003686
HPCA	3.56631039750866
MLF1	6.56168556615656
SEC14L1	5.48795580080862
CHFR	3.99316662195005
EMILIN1	3.22453888707976
THADA	6.4891375886024
TAF12	5.12225737958569
NDUFS4	9.32362916952777
ID1	6.8105127993874
PIK3CB	3.96195965270594
COL18A1	6.74478498558177
PDZD3	3.23695795666314
TBC1D17	4.4664362317178
COX8A	9.468550092124
CDCA4	6.0795830897026
C2orf44	4.5222524992268
C9orf16	7.7914080505384
ERBB2IP	8.15411766913898
EMX2	9.81360829931096
FUS	5.61075599021421
NIPSNAP3B	3.79197473498916
TF	3.46831143513550
CXorf56	5.00218184106387
CLCN4	3.8569909843219
PWP2	5.68271035833062
MMP15	4.54476261096144
MTMR14	6.37502723088753
NPR1	6.3863483988154
DNAL4	5.8771269271467
ELAC2	4.8908355478975
ASS1	10.5243642787427
IPP	5.10225559336317
TMEM59	9.05040501691582
POLR2J	9.29372772266676
SEC23IP	5.53870556378349
RGS4	3.67134593935756
UQCRC1	9.32521952501171
SNX6	7.4832257119226
DDX18	6.66339338505735
POLG	4.82342244352273
ADAM23	4.17850954958525
ZNHIT2	4.23324180939218
TFR2	3.35771642744118
NCDN	4.197117233902
RAG1	3.44173552182246
POMT1	4.72091451153506
CYP1A1	3.48328205962361
SNAPC1	6.58172364484546
GNA11	4.67698092922792
CCDC52	3.27300900567723
CAPN1	6.8454179779449
DDHD2	7.01982484435487
UPF3A	6.66858119458211
LAGE3	5.35113402236195
GNRHR	3.2530702848263
UNC13B	5.15033625536227
TTLL4	5.10100265033793
PPBP	3.05125027062284
HTR3A	3.08849727979969
SDC2	6.68968825280658
ANKRD49	7.49967378014532
BTF3	10.6967388830839
COX7A2	9.3271260790415
SARS	8.05431930089142
C13orf18	3.70025205963526
CACNB1	3.93351264298184
QKI	4.98387246592589
SETMAR	5.77523038317204
LAMB4	3.39014992777067
MAN2B1	4.86577555178902
EML3	4.70604571265039
ACADL	3.48774976837214
OFD1	7.32930842900839
CGA	3.66977272638438
EIF3EIP	10.9924696409032
PEX16	4.86846642911485
GNG12	6.18953292221904
HABP4	4.63696706563061
CNTN2	3.74541213491442
