Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_E05_298058
Composite Element REF	Signal
C11orf73	4.25119416204138
AIPL1	3.66817928900259
PTP4A2	9.44586280617163
IL24	3.34574849224235
BDKRB1	3.41088166398712
HPCA	3.36530802324962
MLF1	5.98397420319203
SEC14L1	6.06660395819453
CHFR	5.00587002049434
EMILIN1	3.42278135169954
THADA	6.11574077660087
TAF12	5.0053026152902
NDUFS4	7.35201795897975
ID1	7.3245239344436
PIK3CB	3.58078772138580
COL18A1	7.2459193867314
PDZD3	3.07942244401434
TBC1D17	4.00844298438715
COX8A	10.1755816810691
CDCA4	5.40335028725432
C2orf44	4.21227936662791
C9orf16	8.35178887217442
ERBB2IP	6.76171353689461
EMX2	7.81225184190289
FUS	6.81628027998526
NIPSNAP3B	3.66853196337877
TF	3.51335629527448
CXorf56	5.20698124325685
CLCN4	3.77649658736092
PWP2	5.63808420306968
MMP15	4.8700877333105
MTMR14	6.07370259072807
NPR1	7.60458693507571
DNAL4	5.11012100772608
ELAC2	4.8074432692971
ASS1	10.8015360861834
IPP	5.47646489448449
TMEM59	9.86294093133846
POLR2J	9.07339533354589
SEC23IP	5.38372525154882
RGS4	3.94724525129226
UQCRC1	9.72827335873597
SNX6	8.42364760606396
DDX18	5.92322038248033
POLG	4.58142851861419
ADAM23	3.98928543385048
ZNHIT2	4.2096590608077
TFR2	3.20575149530806
NCDN	4.76201851842472
RAG1	3.41052795289343
POMT1	5.57357161064937
CYP1A1	3.38537518536372
SNAPC1	5.30961373826257
GNA11	4.9685762746163
CCDC52	3.27903438860196
CAPN1	5.99041476407524
DDHD2	6.53303903795135
UPF3A	5.68241064509695
LAGE3	6.91442281742845
GNRHR	3.32881925928928
UNC13B	5.21825828124805
TTLL4	4.2816197849702
PPBP	2.99239037201378
HTR3A	8.40488039115938
SDC2	5.4273922642115
ANKRD49	7.22092884391606
BTF3	9.9702268625607
COX7A2	10.2553329115414
SARS	8.5473450245347
C13orf18	4.04131858709998
CACNB1	3.74629124459693
QKI	5.4127659709176
SETMAR	5.83461137196118
LAMB4	3.49032330627291
MAN2B1	6.44675733500937
EML3	5.42112794584209
ACADL	3.43005727042061
OFD1	8.12623482162253
CGA	3.64849857303368
EIF3EIP	10.0515573016636
PEX16	5.27054613697893
GNG12	8.14991577860267
HABP4	5.15684195653355
CNTN2	3.7572275230103
ASNSD1	7.78817108258591
FUT4	4.29569860069519
DBH	3.33150634411142
CD53	7.63622521981923
HIST1H2BJ	3.49632010734074
TFAP2B	3.23614911582011
ACF	3.72078011012079
TMEM11	5.42369645685769
CDH8	3.35636720376667
C3orf32	3.48457978512425
AGPS	5.4583398975824
C4orf18	3.52523283892858
PCCB	7.76169558286303
IPO13	5.16652568008265
PECI	7.86525733608534
UNG	7.69681877968164
C6orf105	3.84926955174386
GSTP1	8.38425584970074
SUV420H1	7.07741750756893
ARHGAP15	4.8159579340142
LTBR	6.11577950478999
TDRKH	3.60158095311119
PSG4	3.56673345921307
SLC9A3R1	7.61418815801294
NBPF3	9.65996987838454
SLC9A3	3.78746949033212
OSBP	6.38082499794913
PRR5	4.48462723026633
CHMP7	5.02528659500078
ADRA1A	3.21243285646244
ASAH1	6.66923326836232
FKBP4	6.90139191144325
ZNF350	4.66204658653983
DOM3Z	5.16698592189069
GIPR	3.68973826007158
AHI1	4.77254725427196
BST1	3.81454941430100
NCR2	3.60292184524627
NADSYN1	4.80411555728231
UBE2W	5.70405549747598
RGS14	4.00294872273714
KRT15	3.82590587155881
SCN11A	3.69478167989831
GFI1	3.42700356294886
FHL1	4.12565231105689
SMC6	6.19164120999577
GATA1	3.30230018904453
OSGEP	4.60849127092311
ARMC6	4.66867132120136
HK3	3.47039487071793
PSMD5	7.75099590890747
RSU1	7.39220970848045
RPL4	11.3498124992363
MAD2L1	7.07709082457004
RBPMS	4.8963520845102
EIF4A3	9.54037875802892
E4F1	5.08960015492768
DLEC1	3.58249990169938
PRPF3	5.642272199592
EMR1	3.37412251809052
CHMP2B	7.28912437420712
CAMSAP1	4.15690520424886
RPS21	10.1024167604516
XCR1	3.42461136633183
ARID5A	3.9876971955598
RBM6	5.51162659675691
UBE2N	8.09289647415709
KLF4	5.01157772682455
MGC4172	4.06027257840573
LMO4	7.30131546832749
KLKB1	3.31414369689422
HDAC3	5.99163731648552
HP	8.69139040368856
SCHIP1	6.82006586949687
BTK	4.42215923620842
KRCC1	8.68129965222215
PRND	3.80673142394404
C6orf27	3.8187899647922
PIGL	3.72085972986155
CLCA1	3.68151445585648
C1orf112	5.4854916631727
OLFML2A	5.98508719236358
HUS1	5.23885923040335
SFRS6	7.78010928944078
CXCR7	6.13034101996689
UIMC1	5.98359921803246
FXYD2	3.48999234401143
GOT2	8.29319630122519
ZNF667	3.76706623791799
TFEC	4.30949050920422
ATP7B	4.96853347404852
RAB38	5.5187877230666
POLD2	7.17261535750603
PPM1H	4.73334970612653
DCX	3.14687145724068
NFYC	5.27912566511625
ZNF228	3.57503691054273
KIN	5.08523805873299
PLSCR4	5.80953833315721
HIST1H4I	4.11792602303255
PPARGC1A	2.89651543237001
HIG2	7.64696009336321
KCNK10	3.83160308252790
EXOC1	8.54703866059339
OR6A2	3.31260851842517
ETFA	8.83249506380482
PDAP1	4.88023575683881
C19orf6	3.503291243892
POLRMT	3.95036170887472
ZNF146	7.68893025458362
MIA2	3.48999246646804
LY6G6E	3.24005541124436
EIF4E2	7.87923874658683
NENF	5.09944878529927
HOXB5	4.82073533618618
ZNF324	4.96412569404806
CUGBP1	4.55303604487464
ENTPD7	3.87946359438543
TTC13	6.28434206351917
GJB5	2.94969288570392
PRSS22	4.03822610035434
CYP3A5	3.29002377013365
MBOAT5	4.45628371859162
CUL4B	4.69578190218203
CENPJ	3.73214205976876
KIAA0664	6.02612067977607
PITX1	3.24889101861536
PDGFRB	5.56544333149468
RDX	6.31496666695862
CELSR3	4.21419444478479
JUND	5.91453404255444
ITSN1	5.08659821764271
CHRNB1	3.83655326057524
EHBP1L1	3.71917028564253
C19orf2	7.03912689152751
FETUB	3.24624537559689
CAMK2B	3.07585482416705
DCTN1	5.57485368509794
TNKS2	6.13203949469614
MRTO4	6.82797295783337
C1QBP	5.79321889128046
TTC3	7.72308136180568
NDUFB8	8.53937869543645
CADPS2	4.22276660705505
EDG2	5.55847945441227
MYF5	3.21911488858013
SEMA3G	3.81513591888826
IL23A	3.60825606298479
GJA9	3.55157461815101
R3HDM2	6.62245270507426
C5	4.98126998904328
SLC2A10	6.63971783337661
TRIM45	4.71727342573258
TSP50	3.55746884349332
PAQR3	4.29590188661759
ANKRD26	3.49445217097365
TCP1	7.99336748701913
TMED7	6.62063016888615
CMA1	2.87285248238017
PTCRA	4.05897601823904
HCRTR1	4.08379174714352
FST	4.56066017550274
PAWR	3.88363603270837
LDLR	4.25083662489461
ASTN2	3.9061906628377
SCRN1	6.70006903468176
GPATCH8	5.09619638039997
KIF4A	6.61982962256078
TANC2	3.9071561123868
ZMYM5	3.89966863202304
PGM1	8.9947478180772
ZNF586	5.00334685286526
POLR3G	3.52971780685647
CPD	5.96452639742577
SNCAIP	6.03498865893756
DCT	3.41315013153547
HLA-DOA	3.73354293506478
TANK	5.41919138684703
RCAN1	4.48691233617966
UPK1B	4.05644174816314
DNAJB4	4.67168909537207
UGT1A8	3.14788559967647
LIMD2	4.27606020882501
HIST1H4L	3.5236565882763
PECR	5.24224271079326
HSPA2	7.89523365279253
SERP1	9.70257759751073
TACR2	3.36001423749792
NUP85	7.86327374879887
CD177	3.31600470133732
GPR135	3.16949826848953
PIGG	6.27921013326711
LGR5	3.73035808152978
JAK2	3.77334056214139
DPYSL4	3.26477001356418
TM9SF4	6.16313875840013
PTHR1	3.32771942522298
SIRPG	3.43162741754772
ZNF264	5.15384361233923
BICD1	5.63993770370344
RAB5A	7.61376664975638
FLJ13224	2.97165695115405
METTL5	7.92704738977114
HERC6	5.87696324203137
CASP1	6.0569563319669
USP9Y	3.03284884860083
LRP1B	3.22108554765543
XAF1	6.22194328015982
PLA2G4C	3.81604497452448
APOA2	3.12382681788737
SPAG6	2.98028159221947
KALRN	3.23303227929576
SECTM1	6.50666798995826
THOC7	8.936896061167
IFNAR1	4.45417125341281
TCTA	6.22004127267972
NY-REN-7	3.75836311999981
TALDO1	9.41777424154725
B2M	11.7193931035689
LPPR4	4.0282316962611
SQLE	7.59495121977096
SEPHS1	7.40804928485035
EIF5A	5.6237391886047
FAM49A	3.88024425935338
YTHDC2	4.37875708776046
EHD2	4.4000506204422
NCF1	3.82540642210968
SPG7	6.31066062183553
ZNF614	3.67520804711754
HOXA5	6.01725937214232
NUP133	7.33162401708418
FGF12	3.64884468322213
SLMO2	6.47488305275861
INPP5B	4.46754659672373
PPID	6.1220386787172
SNTA1	4.53522114219362
IL20RA	4.23971374648072
UBE2J1	5.78582200287232
CACNG2	3.12371806403668
GCM1	3.32885225916118
ELF1	7.03277521410061
TLR5	6.25223028794211
TCFL5	6.5972105612355
C1orf107	5.55714369940743
C19orf22	6.38964026617733
SAFB2	5.67445802569745
MAP3K7IP1	3.48134590732317
NCK2	7.16403147915456
OXA1L	8.71647630379033
KIAA0652	5.39681719524799
KLRG1	3.36157879397819
FRAG1	5.91745139064435
ZSCAN12	3.32081418049293
PSMD12	7.37954071782186
E2F4	5.36263546952848
CLEC4M	3.46207123114576
KIAA0999	5.02074363690931
CLDN10	8.87420814972866
MGC13053	4.05227715768354
TAC1	2.82665331562081
GYPA	3.53625646589301
HPCAL4	3.13056522136113
TRAIP	4.22745495293334
MEX3D	4.20901644494893
KIAA0232	6.00755584304939
ERCC8	4.24307400984301
NFAT5	4.8832321707737
GPX4	9.5312240236559
CSPG4LYP1	3.24985373610454
KIAA0368	5.78580674048845
FBXO3	4.97235818456494
DVL1	5.40680459001454
CMKLR1	3.56342229950358
GPR157	3.47989026706853
TYMS	8.56144796233396
OR52A1	3.46310785984274
PEF1	7.40576836246687
ZNF750	3.45019182834884
ALG9	6.14073539506278
MCM5	5.58076702351204
SDK2	3.57727403174398
BAIAP3	3.96357258288760
RABGGTB	6.7378959266562
KCNK7	3.00138036011651
PTP4A3	5.31895716777679
ANKRD40	3.59766864240796
CALCOCO2	7.17965552972406
TMSL8	9.4137199837098
SNCA	4.13668828330697
ZNF551	3.83521956538535
HBQ1	3.46546638966073
ARHGAP26	4.24792751344359
GEMIN6	7.15223640344123
HRAS	4.96410823897373
KLRC4	2.92594907201964
BSDC1	5.660331203048
DSC1	4.05013112885829
RNF43	5.15660421288278
NDUFAF1	5.76142218737706
MAP2K4	4.9274122248143
FOLR2	4.5386844900599
LYZL6	3.50154529820906
EPB41L3	4.13584813255881
TEKT2	3.57327643012461
CDKN2B	3.66595498966111
WSB1	5.4400651714458
ZNF480	3.84645508019365
MAP3K6	4.17212867021083
PROS1	7.86945010527993
PSMB8	8.21030228248102
HN1	8.12145589395458
MAS1	3.17145109419465
APOL1	5.31421327546047
CSHL1	3.68288499267638
ZBTB7C	3.71156899119791
AHCTF1	5.39956400192235
SAE2	8.399569999292
ITGA2	3.96742311588663
AP2S1	9.66930648385673
P15RS	7.05107730869313
MME	3.690288971694
VAT1	7.05558695489376
MAST4	5.1044283916444
TUFM	9.99162442923504
KRT33B	3.38473264165557
THEG	3.66860575545542
KCTD2	4.9829119560813
WDR26	8.70808466702726
MFI2	3.64005788973194
KRT34	3.25003986838595
NR4A3	3.66527356153664
SGSM3	4.15380558342485
ARSA	3.92529428032339
TOMM22	5.12673172399061
SOCS3	3.4730808068763
UNKL	4.13905041292872
POP4	8.15075010303056
BHLHB3	8.849395269286
MALL	3.86883865888303
SOX15	3.45285755743956
CCNA2	5.85046929233663
PARK2	3.33189253792593
GPR124	4.50562428838085
TMEM132A	4.57441255550396
CGRRF1	5.77453453241641
RUVBL2	8.58445391571636
MCAT	5.72412265217725
WNT10B	3.75567713227836
ISCA1	6.86767974015138
RPAP1	4.240968595871
C12orf48	4.89126584619737
RAI16	4.62371139633832
RPL27	9.17547325702577
EPN1	3.72527596346726
MAGI1	3.14392032028232
GBX2	3.26929735611992
SLC35A1	7.11872440285632
GAL	3.82534207400483
SLC14A2	3.69190780128764
RDH11	8.22671719288084
ZNF518	3.91105417508452
PCYT1B	3.25272721406209
AUH	7.23938292741019
EIF3H	11.1178431335300
KIF1B	6.62773758799815
MBD2	4.86937592448892
AMOTL2	7.57184567114053
C6orf120	5.84348262541679
PIGT	9.09501529280151
PSRC1	6.06057819026568
PLA2G10	3.73550582387455
ALAS1	6.69477955486947
FOXO1	6.01524471736085
C17orf62	6.82140157265617
KIF5C	6.42286345911574
DUSP10	4.61334670463449
CRLF3	6.3640973747423
CLCNKB	3.03988559764328
PSMA5	9.56903854993307
FARS2	4.46879815410399
CCDC28A	6.95917126956824
AMPD3	4.54180998088911
PIAS1	6.10395751224049
ADCYAP1R1	3.40178315097761
TMEM134	6.7578498981449
CDH20	3.00368088850705
FBXO7	7.45342098562711
FLJ14213	4.62771221011098
ZNF3	4.44894707451686
LRRFIP1	6.3814575338721
TMEM49	9.45008784612708
CNOT2	6.62118218074015
CBX2	2.84392670443565
ZC3H14	6.51515191593791
ALDH5A1	5.29566651504813
HNT	3.91046121115195
SERPINA4	3.09182758586823
FLJ20920	6.23480953901884
CRTAP	4.90677245015542
DDX50	8.50682582964482
STYXL1	7.77781203721494
TK2	5.01905092925773
BLVRB	7.45473956478192
STMN1	6.78784020227076
GUCA2A	3.30790354992146
DPP6	3.07434843460967
GALNT10	4.58890925857041
STK39	4.18731325592849
MMP24	4.32586373866414
CKS2	10.2865828595656
RHO	3.51087629954905
BANF1	10.1754068585044
CR1	3.01442117615318
RPS6KA2	5.25232139906557
HMBS	6.19452467677117
C20orf112	3.49919444838152
SLC25A24	7.1186971584355
MRPL22	8.64443107513489
SLC25A15	6.19274837132421
GADD45B	5.01551867294826
TDP1	5.80683524431425
ZNF287	3.65314739148851
DAAM2	4.13242269405276
C11orf57	5.39714241817591
RFK	7.13282194791612
ZFYVE9	4.34309013282413
TCTN3	6.42982965058605
STCH	5.65239226586312
LOC283871	3.62458475508357
NDUFB3	8.49358686223978
DEFB4	3.83185992301450
FPR1	4.26512068002114
FMNL1	4.11278102793912
SEPT7	9.89108270689742
PTCD2	4.63401190867919
GNLY	3.56600129707088
GRAMD1C	4.51662231762099
ZNF165	4.13725306400137
TR2IT1	4.28229295227599
ARMCX3	7.1081388450703
NDE1	5.62801248649906
MAGEF1	8.03879644350638
ITGA10	3.82849544092551
ARHGDIB	8.645498693122
FSHB	3.95800923778078
ANXA2	11.0736481717512
HLCS	3.94428043258946
MCF2L	4.43941698458196
AK1	5.95212295179717
FH	6.63153755916511
LGALS2	4.24575592953513
SYNPO2L	2.91648998385159
KIAA1045	3.41468884832032
C1orf183	4.7649497248852
MAGEA8	3.13338009058501
DGCR8	4.76200563889911
GSR	4.68471127943302
NEU2	3.54480870710266
HIST1H4B	3.6557040934278
CACNA1C	3.12499197413061
FAM20B	6.31631274781085
HES2	3.36363991154614
PDCD6	9.83904093461685
INTS7	5.97071047343377
AMPH	4.34793976452298
UCKL1	6.04643928345284
ASB4	3.03300736857132
C10orf97	4.38971758671901
ALDH1L1	3.57659136987205
CCL23	3.38347965534583
OBSL1	5.5313057787278
SLC12A7	7.42846573274198
THAP4	4.58144288558022
RBM4B	6.12562535479346
OGFRL1	4.48289877801398
KIAA0831	5.55297356490445
C12orf11	7.22146277677099
PPP1R15A	4.28532276950957
KIAA0240	4.81859153879185
CD1B	3.11487340551731
FCGR2A	6.01242488798956
MDC1	5.75108644722879
MAN1A1	4.56619378114707
KRT9	3.46809064226636
HTR1A	3.42483340520928
OCEL1	5.21460860630746
ATP11B	5.57519541006605
NLGN4X	7.28950913439341
FBXO34	8.3320064904445
ALOX12	3.36807411404512
RB1CC1	6.7724471791359
PCDH12	4.53863914499289
RPE	5.79802478168025
EIF4E	5.65942325727104
CSDC2	3.83181653970087
ABHD5	5.66118083000935
TMBIM1	5.60632783056441
PET112L	4.2103821076073
P2RXL1	3.61792465169155
F2RL2	3.28005312650301
TRMT1	5.28980066192559
IMPG2	3.92534119038514
LRRC32	5.37457056775803
BGLAP	3.90782138642319
HTR4	3.87186915058563
MRAS	4.43969394511882
TRAF6	4.88060103949177
AXL	4.8538559648117
ATP2C2	4.20892836047116
LMNB1	6.25320896213553
TELO2	4.52935012266984
PNPLA3	3.42586947642581
CSNK1E	5.49431091906558
SRP14	10.1964865659679
KCNQ4	3.07803708915146
PIK3C2B	6.00791422009784
C15orf15	7.7754812815292
TUBB2B	3.35031079235352
USP15	5.03097841033518
C12orf41	7.18879361402673
CEND1	3.42810556998795
RNF31	4.3086353871122
TCEAL2	6.27455887354416
PTGER2	3.92352099419191
UBN1	6.81447167159339
SLC5A7	3.51429881721808
SLC31A1	7.07133780338003
ADAM29	3.27639124441059
ST7L	4.19892248346918
GFOD1	5.11970517608728
CTNNA1	9.13677870061954
HRBL	3.77580727368155
CBX4	3.65646076138577
NTRK2	3.65366862745811
FOXN3	5.15647259620799
MFGE8	4.67380690818373
PFKFB2	3.7979998552817
TAS2R4	3.33818605213338
SH3TC2	3.64269218201811
IL10	3.72330753505638
PXMP4	5.52583762935392
RNF167	5.79128274189627
PRMT5	7.68702865434615
TSKU	5.43216478150576
ATPIF1	7.52992817633222
ETV3	3.45398394275712
PAK7	3.29527344298664
PDLIM1	9.66987423742292
CEP63	5.07430122738402
WDFY3	4.40912350868096
RNF126	4.28651419164464
DPM1	8.93919815972572
CLIC4	6.24274628607225
ACR	3.95862483917646
KLK7	9.7090784471748
ALOX5AP	7.40976965292251
LRP1	4.95893984050988
TNK1	4.12220318152114
TAS2R9	3.36621987989689
ZNF16	5.91569669392098
POLR1B	4.41303517825615
SLC8A2	3.67515473327479
OLFM4	3.09544998367342
TACC1	5.62524129495464
SAMHD1	7.27401621802624
ATP13A2	4.28708994217177
KRT4	4.18624771434307
PAX6	3.39308494913064
SCG2	3.35389738761528
SLC17A6	4.16853685423512
TUBB4	3.81913185652879
PADI4	3.0400460227504
FMO3	3.26249032212684
NLK	3.50002818857683
POU4F3	3.24555401184991
MDM2	3.70539498810690
CAPNS1	9.42047504771477
SDF4	6.94141733670539
ITGBL1	3.95887702270064
TAP2	4.09427343994321
OR2C1	3.23666606135415
KLHDC3	6.5317865761645
EFHD2	5.0904870495824
GALR3	3.89844316550013
NBEA	5.83195586410655
ABCA6	3.10179778704388
ABBA-1	3.97554800728017
GNAI1	4.78822207244213
CLDN3	6.9019955166319
AKT2	3.54117556730770
EGFR	4.03871239652638
VPS4B	6.77154588815217
RBM16	6.64341837934933
GALNT6	6.99230392333085
ZDHHC3	5.40678785537032
SLC25A4	6.40704845272608
CYB5B	5.78067902700194
NDRG1	7.40454287587616
SESN1	4.85536828995068
GBE1	7.0592272693108
MRPL46	6.21500190520646
CLASP1	4.53624852020779
FARP2	4.569568241962
ACOT11	3.72779386977893
LDHAL6B	3.01623122428462
MAPKAPK3	4.90590615215116
NCAM2	3.24792099619157
AFAP1	4.38910310878322
PRKD2	5.99842868503338
OR2H2	3.20196130888379
ZFP36L1	7.18050895463804
DZIP1	4.72084428627106
GPR161	4.01997157160843
RNF146	5.02223945005106
NKX3-1	3.82068937750053
CCNB2	8.00541587431155
ZNF10	4.1906700322438
WDR74	5.30736912567856
FAM134A	7.90869606289571
PCNP	7.9129313536201
PURA	5.53623820261094
DNPEP	7.43484885754773
ERBB2	5.22029152473366
CREB1	5.42492692549487
NEO1	5.76849450395343
DDX3Y	3.45628221437278
RPS3A	12.5253842395390
MXRA7	10.0647246767510
LGALS3	11.0166447474856
GLT8D1	6.87142964284795
TMPRSS3	7.15656733673689
UPB1	3.21115010583594
LAT	3.80642286818101
CLDN14	3.47897286623492
DHX38	4.8750567411196
KCNA3	3.47231378270229
BTBD1	8.08043419707186
TARS2	4.97404245204908
SKIV2L2	7.3850602048173
ABCF1	7.79310813131164
CDT1	3.74464447578213
ZHX2	7.34508344755107
FCF1	5.02519618010088
LRRC49	4.03144797210757
GUCY1B2	3.38546800722958
CD28	3.49490391330946
SMARCA4	6.20765455186013
SEPT2	8.91172926443599
SOHLH2	3.90542455879730
MCOLN3	5.3859492685454
LRP8	5.67687292443177
TAGLN3	3.62544688317474
MASP2	3.49030775776649
GPATCH3	4.13986076113673
TTRAP	6.80212514226014
AGL	8.272690717546
NFE2L3	5.11980473621615
PSD4	3.4509279239421
PALMD	6.38172261468159
CCNB1IP1	6.72215932074774
TMEM43	6.79483198575563
OBFC1	4.96014762233529
STAT5B	4.18200616150099
C14orf79	3.88379104017044
ENPEP	3.90555061849197
SSB	6.88542017403464
SCT	3.02803706116437
TIMM23	7.21356749172399
SKI	3.57189866181422
SLC22A13	3.17530436120936
AKAP3	4.36510039922294
OAS2	5.00384933528748
KIAA0423	5.75226425596397
SEC61G	9.93848348950351
CAPN11	2.90420351437262
TMEM50B	7.95152777998037
DEGS1	6.3660305355409
ARHGEF4	3.56676016495724
DBNDD1	4.91874042790689
TBL1XR1	5.38680621644831
FAIM	5.04681660198265
SP140	3.37419682674219
G6PD	4.69263912474713
NUDC	6.59947806127453
GABRP	3.54570758214276
SCARA3	5.47032212788044
TACSTD2	5.683559868187
EIF3J	6.1496235580015
