Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C06_458628
Composite Element REF	Signal
THEG	3.68807877824136
KCTD2	5.03092471235215
WDR26	8.5685980736223
MFI2	3.40371239248603
KRT34	3.21511258454600
NR4A3	3.63607040847586
SGSM3	4.44811441446082
ARSA	3.76709817218619
TOMM22	5.7765301207381
SOCS3	3.82786444670043
UNKL	3.86944991700864
POP4	7.89951163346173
BHLHB3	8.35788163672566
MALL	4.53654734271942
SOX15	3.82296947932485
CCNA2	4.18786128324856
PARK2	3.29129072476809
GPR124	3.80455862594965
TMEM132A	4.55581723609504
CGRRF1	4.93926533810577
RUVBL2	7.80578047113276
MCAT	6.31347692813361
WNT10B	3.3294349043492
ISCA1	7.02864718974313
RPAP1	3.97268825474707
C12orf48	4.43633220724258
RAI16	4.56659132989309
RPL27	9.20624918504762
EPN1	3.86657365511558
MAGI1	3.06580413314037
GBX2	3.25548909230713
SLC35A1	8.06973361379436
GAL	4.08560001797317
SLC14A2	3.29166479154732
RDH11	6.85079765628517
ZNF518	4.11019175459663
PCYT1B	3.43667482027177
AUH	7.1545092651557
EIF3H	11.207982303671
KIF1B	5.66333626644182
MBD2	4.73431662591117
AMOTL2	7.62877525023827
C6orf120	5.21598068573464
PIGT	6.93913232367215
PSRC1	5.4955510705592
PLA2G10	3.85645535496965
ALAS1	7.56471586284148
FOXO1	6.32378527473357
C17orf62	7.09911452976551
KIF5C	6.71508137978406
DUSP10	4.96703949248780
CRLF3	6.07369785161949
CLCNKB	3.68875752416954
PSMA5	8.2923271099042
FARS2	6.78429117003011
CCDC28A	6.69161787278309
AMPD3	4.50551029402666
PIAS1	7.55976952138909
ADCYAP1R1	3.37855456535961
TMEM134	7.0349577720267
CDH20	3.12841635722884
FBXO7	8.09109539378631
FLJ14213	5.41906932497066
ZNF3	5.71676525644865
LRRFIP1	7.90869780347257
TMEM49	8.11991204452776
CNOT2	7.50592491891488
CBX2	2.89484643643303
ZC3H14	7.32602893161135
ALDH5A1	7.29383364676904
HNT	3.64402150378557
SERPINA4	3.01416370179962
FLJ20920	4.85930292403084
CRTAP	5.5969096034482
DDX50	7.58976713918336
STYXL1	7.5233470664254
TK2	5.45261025793518
BLVRB	6.58240824770803
STMN1	7.00568998945051
GUCA2A	3.15761708969134
DPP6	3.63118971426555
GALNT10	4.14794644728945
STK39	5.23655848303976
MMP24	4.69722604562568
CKS2	9.3643504340365
RHO	3.71754151046245
BANF1	8.45123815707912
CR1	2.98485727684247
RPS6KA2	5.17922422303668
HMBS	5.37867983893794
C20orf112	4.24347938325243
SLC25A24	6.9389179320506
MRPL22	9.31612682269632
SLC25A15	5.05109590060538
GADD45B	5.17319401020384
TDP1	5.1324636442294
ZNF287	3.54390219377459
DAAM2	4.76530066910329
C11orf57	6.04594175820256
RFK	6.77785195964306
ZFYVE9	4.65750610654860
TCTN3	5.71210943911643
STCH	6.20287247179638
LOC283871	3.44536917050870
NDUFB3	8.2768671435962
DEFB4	3.61292371342796
FPR1	3.59287865929126
FMNL1	4.38989361005143
SEPT7	9.89446910801268
PTCD2	5.00596182596426
GNLY	3.71096435684701
GRAMD1C	6.85241225656024
ZNF165	6.3628624393752
TR2IT1	4.22495980205381
ARMCX3	8.05668848026885
NDE1	5.77667910392374
MAGEF1	6.90053730052758
ITGA10	3.85879148177998
ARHGDIB	7.72600107206171
FSHB	4.08402589592234
ANXA2	10.7949354764477
HLCS	4.46779221982933
MCF2L	3.96304343277513
AK1	6.22742248826016
FH	6.88915216423403
LGALS2	4.06007017593406
SYNPO2L	2.82037950764228
KIAA1045	3.38187519887607
C1orf183	4.76388604900307
MAGEA8	2.9838872487092
DGCR8	4.22104733239942
GSR	4.86356376686233
NEU2	3.56844186296111
HIST1H4B	3.11003240990545
CACNA1C	3.08108597723581
FAM20B	5.9164576373822
HES2	3.15971415291056
PDCD6	8.52861232705922
INTS7	5.8226721564169
AMPH	3.39430306134654
UCKL1	5.16099021880133
ASB4	3.08603350390161
C10orf97	4.89166848544843
ALDH1L1	3.88411964192138
CCL23	3.27835884793561
OBSL1	5.12271016198239
SLC12A7	7.1002584158259
THAP4	5.90616294845679
RBM4B	4.73293026476459
OGFRL1	4.26407186202852
KIAA0831	5.4193673229927
C12orf11	8.09728245563662
PPP1R15A	4.88575063884455
KIAA0240	5.87967214328224
CD1B	3.00546915951972
FCGR2A	3.94164487798607
MDC1	5.15815231460588
MAN1A1	3.37246297868789
KRT9	3.64359915600578
HTR1A	3.26150013565125
OCEL1	4.87566883895988
ATP11B	5.29121370724565
NLGN4X	3.42638275397241
FBXO34	6.87111713118561
ALOX12	3.3711914409467
RB1CC1	7.29913575547338
PCDH12	4.26158234240572
RPE	4.82214629517809
EIF4E	4.94478300375692
CSDC2	4.50258005734374
ABHD5	5.40147459735787
TMBIM1	6.65894516146141
PET112L	5.70907508065447
P2RXL1	3.30511322025024
F2RL2	3.3265200082347
TRMT1	6.6227692678907
IMPG2	3.60290757735567
LRRC32	5.24628002933424
BGLAP	4.72720254369379
HTR4	3.33903621478724
MRAS	5.21294798196837
TRAF6	4.4404100676786
AXL	4.85231404639809
ATP2C2	3.39755112856504
LMNB1	4.63034756682811
TELO2	4.64118245164269
PNPLA3	3.8631255032313
CSNK1E	7.15259215133671
SRP14	9.73870449426376
KCNQ4	3.28074160688705
PIK3C2B	5.64544811815433
C15orf15	7.67878257733684
TUBB2B	3.16529361169721
USP15	5.4162541503384
C12orf41	7.35292034180842
CEND1	3.42648743505071
RNF31	4.21104803675057
TCEAL2	4.89689739829637
PTGER2	3.75497850996389
UBN1	6.42810723169753
SLC5A7	3.46084831003103
SLC31A1	5.42944696917928
ADAM29	3.29489848837724
ST7L	4.4654843256397
GFOD1	6.21925775476755
CTNNA1	8.27657952162698
HRBL	3.95750452309395
CBX4	3.44083242471996
NTRK2	3.36821602356732
FOXN3	5.2098876261809
MFGE8	6.63839282489566
PFKFB2	3.87395695649186
TAS2R4	3.45989658479021
SH3TC2	3.17921055275892
IL10	3.26989741933344
PXMP4	5.85762332176718
RNF167	6.04789905494719
PRMT5	5.71418660339668
TSKU	5.08141890895043
ATPIF1	8.28264574810364
ETV3	3.17083186751411
PAK7	3.03896937736728
PDLIM1	8.32026110184125
CEP63	5.99598757368533
WDFY3	4.24189312852484
RNF126	4.57483394108084
DPM1	8.6150848158361
CLIC4	5.5929419432788
ACR	3.53553168680719
KLK7	7.34317785215193
ALOX5AP	4.67613324006189
LRP1	4.45832049564049
TNK1	4.47001808270375
TAS2R9	3.08581377927540
ZNF16	6.24996307545957
POLR1B	5.45813259623956
SLC8A2	3.40384005029086
OLFM4	2.91543630058681
TACC1	4.78234779377775
SAMHD1	5.71109767969929
ATP13A2	4.27607810458253
KRT4	3.79573420651092
PAX6	4.98066266968607
SCG2	3.59129154723273
SLC17A6	3.68720308721981
TUBB4	4.04873696543305
PADI4	3.03197894815219
FMO3	3.43540028475476
NLK	3.55622981815216
POU4F3	3.20024653561649
MDM2	3.37414892463906
CAPNS1	8.63955898049934
SDF4	5.49774380401421
ITGBL1	3.55112044290805
TAP2	4.38444466182264
OR2C1	3.39665311923464
KLHDC3	7.54280257545059
EFHD2	4.73494451809896
GALR3	3.42174909383597
NBEA	3.36351452820803
ABCA6	3.19283594456077
ABBA-1	3.6594199906391
GNAI1	4.77385816111084
CLDN3	8.26918176606408
AKT2	3.36835592069990
EGFR	3.97206643992388
VPS4B	7.30856331714327
RBM16	7.12294487040837
GALNT6	6.38824463362901
ZDHHC3	5.77841236194739
SLC25A4	7.1828380465868
CYB5B	6.11009312230813
NDRG1	9.8774563011983
SESN1	5.80520934252916
GBE1	7.76678688399319
MRPL46	5.95084090228532
CLASP1	5.37611452314103
FARP2	4.40644754216293
ACOT11	4.40761410737876
LDHAL6B	3.06984782489498
MAPKAPK3	6.33593521210145
NCAM2	3.56126906359985
AFAP1	4.17301660985789
PRKD2	5.52135086873811
OR2H2	3.28616219961239
ZFP36L1	7.33486492710316
DZIP1	4.90309529365057
GPR161	4.36834925923928
RNF146	5.59083189317288
NKX3-1	3.83708159930674
CCNB2	6.6135740027431
ZNF10	3.98846609245101
WDR74	5.6783239666623
FAM134A	8.00613617176292
PCNP	8.54630090752956
PURA	4.8594201869585
DNPEP	7.51613283125456
ERBB2	4.85902039214269
CREB1	5.84097082534427
NEO1	5.20691702418685
DDX3Y	3.40185513732779
RPS3A	12.9180120900016
MXRA7	8.71302795651752
LGALS3	10.7300382448589
GLT8D1	7.52084740192615
TMPRSS3	8.10265655528904
UPB1	3.4976344230812
LAT	3.64273007578271
CLDN14	3.87611539682354
DHX38	5.52210939237891
KCNA3	3.20463875108563
BTBD1	8.17559797442755
TARS2	5.56456806910789
SKIV2L2	7.46300954563206
ABCF1	7.78630871840534
CDT1	4.30127708716581
ZHX2	6.07988203512061
FCF1	4.57749613561285
LRRC49	5.39341075253272
GUCY1B2	3.59924921242525
CD28	3.42660592793735
SMARCA4	7.1863308464269
SEPT2	9.22042497474838
SOHLH2	3.87410521927588
MCOLN3	3.68402666603134
LRP8	6.80171299598521
TAGLN3	3.75954841499517
MASP2	3.44342265877353
GPATCH3	4.16944734566626
TTRAP	9.05831813407046
AGL	6.77477871645521
NFE2L3	4.34900431294377
PSD4	4.09598833578401
PALMD	6.55203134841607
CCNB1IP1	7.69115640109776
TMEM43	7.67163532741832
OBFC1	5.70554475140344
STAT5B	4.21044201071361
C14orf79	4.47046401025405
ENPEP	4.20929807088193
SSB	8.99066880866711
SCT	3.11876922831279
TIMM23	6.95913261217447
SKI	3.71941086066666
SLC22A13	3.33135804336229
AKAP3	4.11637029820331
OAS2	5.07440772731009
KIAA0423	5.25514097622756
SEC61G	9.03023571953027
CAPN11	3.14238132681678
TMEM50B	5.54084531134358
DEGS1	6.75043466936822
ARHGEF4	3.55142347699291
DBNDD1	4.37785365282602
TBL1XR1	4.73576950949633
FAIM	6.74460875598895
SP140	3.02137905559016
G6PD	4.92189576622931
