Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_D05_472002
Composite Element REF	Signal
C11orf73	6.21900067409942
AIPL1	3.81776585213571
PTP4A2	10.0862603231301
IL24	3.14813859713655
BDKRB1	3.36503389980883
HPCA	3.48146761660721
MLF1	5.90355881825774
SEC14L1	5.90717757171222
CHFR	5.52002884846512
EMILIN1	4.18638692009083
THADA	6.25444737546248
TAF12	5.63870679338627
NDUFS4	7.42267729949506
ID1	5.61184768650363
PIK3CB	3.7928263299362
COL18A1	6.40055479420813
PDZD3	2.97694260152043
TBC1D17	3.95384981805322
COX8A	9.4537689826009
CDCA4	5.61012020347919
C2orf44	4.22388622608081
C9orf16	8.19632986907959
ERBB2IP	8.01253145145923
EMX2	7.99253836013445
FUS	5.6164580936766
NIPSNAP3B	3.66448374313768
TF	3.1611111187461
CXorf56	5.18953985945284
CLCN4	3.98360591505079
PWP2	5.10943486993834
MMP15	3.63810464730189
MTMR14	5.98577046643474
NPR1	5.79175957212105
DNAL4	5.04375708007248
ELAC2	4.46608094351615
ASS1	11.5666360371119
IPP	5.3486991173588
TMEM59	10.1465337173969
POLR2J	8.51725415991977
SEC23IP	5.94431993687644
RGS4	4.06606602651896
UQCRC1	8.69599413584274
SNX6	7.47260222370099
DDX18	6.62609500780964
POLG	4.58493658843572
ADAM23	3.99245779839059
ZNHIT2	3.80696795833945
TFR2	3.52072045885111
NCDN	4.23270065621354
RAG1	3.38793474773994
POMT1	5.15241482994512
CYP1A1	3.06845865333907
SNAPC1	4.75923559496414
GNA11	5.0472544075578
CCDC52	2.7476222215063
CAPN1	5.84119461282357
DDHD2	6.5109582503095
UPF3A	5.46246645100634
LAGE3	6.11921313104737
GNRHR	3.05512021958687
UNC13B	4.97999301509373
TTLL4	4.26162839335725
PPBP	2.96052654261845
HTR3A	3.53090386095020
SDC2	7.38850676246768
ANKRD49	6.18106108925559
BTF3	10.0131439108888
COX7A2	10.4493164316356
SARS	8.32185049422831
C13orf18	4.13055438131044
CACNB1	3.58818632251413
QKI	6.33168633477112
SETMAR	5.29697682224462
LAMB4	3.14357877496517
MAN2B1	5.36619239381556
EML3	4.98539195207834
ACADL	3.3568238896613
OFD1	7.408192241236
CGA	3.34345643072314
EIF3EIP	10.2117402414994
PEX16	4.47207525161246
GNG12	8.28327999798152
HABP4	5.15614095535371
CNTN2	3.22324490854075
ASNSD1	6.88709452470078
FUT4	4.01987590373949
DBH	3.15273154840290
CD53	8.02115976692507
HIST1H2BJ	3.25649204985691
TFAP2B	3.27916719118427
ACF	3.5749186883444
TMEM11	5.98142722304877
CDH8	3.14589002175140
C3orf32	3.39604681669567
AGPS	4.85419069419213
C4orf18	3.71896979322055
PCCB	6.602580622819
IPO13	4.89721056261376
PECI	5.83031616256982
UNG	8.11101990416113
C6orf105	3.83756316549476
GSTP1	7.91240074856095
SUV420H1	6.93141049538911
ARHGAP15	4.32911979042172
LTBR	6.25979483175297
TDRKH	3.26607935341989
PSG4	3.34362572056851
SLC9A3R1	6.72172211718943
NBPF3	9.19203645346477
SLC9A3	3.53954707719007
OSBP	6.68814229081232
PRR5	4.43759487236053
CHMP7	5.08841203502863
ADRA1A	3.04219106019888
ASAH1	6.99465926648053
FKBP4	7.42247135408021
ZNF350	4.65034729735191
DOM3Z	4.99685039987354
GIPR	3.80794661757493
AHI1	4.76687977214387
BST1	4.45131840929223
NCR2	3.50069797002103
NADSYN1	4.17335873045997
UBE2W	5.93352002681836
RGS14	3.77534865347276
KRT15	3.54332428468468
SCN11A	3.69813542808839
GFI1	3.63886132210043
FHL1	4.70318818583592
SMC6	5.66009950857499
GATA1	3.56708338137289
OSGEP	4.06210132555973
ARMC6	4.50032937946371
HK3	3.54695567337636
PSMD5	8.07127167298168
RSU1	7.43145985674801
RPL4	11.6227388880225
MAD2L1	7.03711524335914
RBPMS	5.0083797207301
EIF4A3	8.67449983548634
E4F1	4.83654979352578
DLEC1	3.39376999381365
PRPF3	6.55985562485314
EMR1	3.07829058133467
CHMP2B	7.34244787030593
CAMSAP1	4.65978221505542
RPS21	9.71413586391258
XCR1	3.40875563399856
ARID5A	4.02237848120514
RBM6	5.51377409215975
UBE2N	8.20074358379336
KLF4	4.17718409680734
MGC4172	4.1670591425682
LMO4	7.01486160278114
KLKB1	3.33833841375371
HDAC3	5.9390489031039
HP	7.23664022577447
SCHIP1	4.94631385504462
BTK	3.97426613139314
KRCC1	7.64617875420464
PRND	3.15087294846851
C6orf27	3.57170323459564
PIGL	3.49134485541142
CLCA1	3.64336156544186
C1orf112	5.21469767848633
OLFML2A	4.67493693384161
HUS1	4.53520785029428
SFRS6	7.20822751041924
CXCR7	5.70705238116884
UIMC1	5.55862600489001
FXYD2	3.59051589597098
GOT2	7.86925353667394
ZNF667	3.99188024988929
TFEC	4.59663155680499
ATP7B	4.13487201081624
RAB38	5.95046975263285
POLD2	6.0992007500597
PPM1H	4.61373180885321
DCX	3.20638960448053
NFYC	5.7129318502358
ZNF228	3.62235025967516
KIN	5.92070766754222
PLSCR4	6.27328054844313
HIST1H4I	3.99926536107743
PPARGC1A	3.50476529301088
HIG2	6.33968923898377
KCNK10	4.03648420402697
EXOC1	6.12025433319095
OR6A2	3.50528397461108
ETFA	8.61749055785814
PDAP1	4.9120390432579
C19orf6	3.47433364038956
POLRMT	3.74570417114722
ZNF146	8.94782712446864
MIA2	3.16830393803325
LY6G6E	3.08125863012765
EIF4E2	7.59481104636484
NENF	4.75345569240869
HOXB5	5.50208104660184
ZNF324	4.29885938981921
CUGBP1	4.31570197815098
ENTPD7	4.1168688646249
TTC13	5.29961105884299
GJB5	3.31377956505557
PRSS22	4.17256042454524
CYP3A5	3.53566160444089
MBOAT5	5.05089021423959
CUL4B	6.45305217546171
CENPJ	3.42986999412863
KIAA0664	5.57222003516133
PITX1	4.25651177364993
PDGFRB	5.36664571382093
RDX	6.08437939993274
CELSR3	3.87192891931065
JUND	5.94358437196485
ITSN1	4.8314293172466
CHRNB1	3.73644353237411
EHBP1L1	3.60508236760386
C19orf2	9.13619307763146
FETUB	3.24825420728115
CAMK2B	3.25161372884630
DCTN1	5.65694666187224
TNKS2	6.45923385630452
MRTO4	7.3856720626758
C1QBP	6.33316750050044
TTC3	8.02729690446126
NDUFB8	8.14039106636344
CADPS2	6.2483790149168
EDG2	5.42445285604987
MYF5	3.40947665783745
SEMA3G	3.18142496683544
IL23A	3.63715716720293
GJA9	3.39495823027626
R3HDM2	7.36413358605327
C5	4.08051796275866
SLC2A10	7.19643508601306
TRIM45	4.49743646879464
TSP50	3.55855979627867
PAQR3	3.78832902577801
ANKRD26	3.36899035045625
TCP1	9.34329932173418
TMED7	7.13965813869518
CMA1	2.89670785976846
PTCRA	4.04855073124767
HCRTR1	3.43692448511740
FST	3.80662612122095
PAWR	3.72478122030121
LDLR	5.06704565132648
ASTN2	3.83622953705744
SCRN1	7.06647142388117
GPATCH8	5.8866268883841
KIF4A	6.17439374982211
TANC2	4.51068631036728
ZMYM5	3.81141212992437
PGM1	9.5821599027455
ZNF586	4.76682135134979
POLR3G	3.39490133343123
CPD	6.07339451628528
SNCAIP	4.86932480530269
DCT	3.36831048892806
HLA-DOA	3.51268067328512
TANK	5.97241735033565
RCAN1	4.44995968339271
UPK1B	3.23231039656883
DNAJB4	5.04731382567928
UGT1A8	3.10195708230609
LIMD2	3.50404222090472
HIST1H4L	3.45178926650441
PECR	4.63032045710885
HSPA2	5.65871476944366
SERP1	8.74444615816896
TACR2	3.15781134749445
NUP85	6.41304938646091
CD177	3.37088917459
GPR135	3.20615496817017
PIGG	6.83809902330294
LGR5	3.25229656427431
JAK2	4.14233208681245
DPYSL4	3.18895776984681
TM9SF4	5.57859796587029
PTHR1	3.38344326716714
SIRPG	3.09873667318394
ZNF264	4.63492435438264
BICD1	6.35229241097551
RAB5A	7.5942520392155
FLJ13224	3.21614873574401
METTL5	8.48110787933241
HERC6	6.71841131830574
CASP1	6.24126369599788
USP9Y	2.7361019139931
LRP1B	2.79472551344566
XAF1	7.63808022469893
PLA2G4C	3.7173846194758
APOA2	3.08785418021597
SPAG6	2.94364571317255
KALRN	3.03696522049484
SECTM1	4.40128800106212
THOC7	9.01872773374197
IFNAR1	4.22503896744288
TCTA	6.79244686825356
NY-REN-7	3.12468062166019
TALDO1	9.52437886664672
B2M	12.0482876344931
LPPR4	4.96079244333202
SQLE	7.84755671669447
SEPHS1	7.1497716135019
EIF5A	6.00993161511853
FAM49A	3.98915253371865
YTHDC2	4.1610488242383
EHD2	4.61911250196221
NCF1	3.76462967191363
SPG7	5.9324284297803
ZNF614	3.49061759442891
HOXA5	7.11441482024406
NUP133	7.63290314666571
FGF12	3.60413477934563
SLMO2	8.6844188307607
INPP5B	4.21299754066956
PPID	6.67730962714158
SNTA1	4.12982649767191
IL20RA	4.86767540458845
UBE2J1	5.93873598814487
CACNG2	3.27553999861433
GCM1	3.09595550929925
ELF1	6.27922345497363
TLR5	5.31517527356849
TCFL5	6.3010231875097
C1orf107	5.82460045637128
C19orf22	5.71248291973155
SAFB2	4.73583446812
MAP3K7IP1	3.85765435716919
NCK2	7.71548331401501
OXA1L	7.3805621300631
KIAA0652	5.75435030671312
KLRG1	3.42867938511253
FRAG1	5.76095227246251
ZSCAN12	3.05257982460418
PSMD12	7.25070147763529
E2F4	4.86913565797831
CLEC4M	3.50971195113674
KIAA0999	4.50395708696391
CLDN10	9.36503203030309
MGC13053	4.12956791001458
TAC1	2.87085505433144
GYPA	3.39794066672666
HPCAL4	3.54187897087332
TRAIP	4.10083843849164
MEX3D	4.03382457108379
KIAA0232	7.80303355924182
ERCC8	4.35260694932029
NFAT5	4.88092840736665
GPX4	9.4263211959043
CSPG4LYP1	3.25564179884772
KIAA0368	7.11127435435919
FBXO3	5.55308691774859
DVL1	5.72620235714669
CMKLR1	3.49633827340863
GPR157	3.45625313250016
TYMS	8.4173983931305
OR52A1	3.02804448274144
PEF1	7.09491465124363
ZNF750	4.02599383267108
ALG9	5.36078775456896
MCM5	5.76971427875196
SDK2	3.5212769356782
BAIAP3	3.58116356611361
RABGGTB	6.44125858473378
KCNK7	3.26658640154684
PTP4A3	5.5427816795452
ANKRD40	3.81936344287887
CALCOCO2	7.20108113765905
TMSL8	8.54973344351464
SNCA	4.84022288715487
ZNF551	4.13045807409549
HBQ1	3.23500200621943
ARHGAP26	4.04353465892767
GEMIN6	6.41932269794567
HRAS	5.91134142155768
KLRC4	3.04676731972829
BSDC1	6.06045780044522
DSC1	3.60579508032202
RNF43	4.75326286769210
NDUFAF1	5.57957248320834
MAP2K4	5.40979166075596
FOLR2	4.62370358315497
LYZL6	3.47452860114466
EPB41L3	4.52283448047593
TEKT2	3.80814160187085
CDKN2B	3.62080934985630
WSB1	6.08073377931354
ZNF480	3.21901219938605
MAP3K6	4.0729246782548
PROS1	6.50906301960837
PSMB8	7.70021914014452
HN1	6.93618887787544
MAS1	2.93458281495247
APOL1	6.1278854086597
CSHL1	3.23167003081317
ZBTB7C	3.17498966576910
AHCTF1	5.67109624151732
SAE2	9.5320781176465
ITGA2	4.08623926284646
AP2S1	8.43660099251649
P15RS	6.76573963396706
MME	4.22796914880971
VAT1	6.81901448965636
MAST4	5.42850534771205
TUFM	8.56235423591004
KRT33B	3.41792705084477
THEG	3.80186541899062
KCTD2	4.91952277214794
WDR26	8.54389464398455
MFI2	3.52293239212016
KRT34	3.06497640842870
NR4A3	3.57386811727459
SGSM3	4.27490674259399
ARSA	3.82222732161634
TOMM22	5.56833214588195
SOCS3	3.55771434767561
UNKL	3.98118278429332
POP4	9.89999935171093
BHLHB3	10.9924714561703
MALL	4.51929250901951
SOX15	3.21973072261105
CCNA2	4.71469788231664
PARK2	3.34640403206703
GPR124	4.40232953255991
TMEM132A	4.632962591983
CGRRF1	5.67592581501964
RUVBL2	7.3317455067499
MCAT	5.51615339518802
WNT10B	3.29922968257886
ISCA1	7.46793099394089
RPAP1	3.82885963357444
C12orf48	5.43714654252621
RAI16	4.87002252466465
RPL27	8.9675019215466
EPN1	3.20790040992401
MAGI1	2.95046298901061
GBX2	3.30928121772152
SLC35A1	6.57992011087841
GAL	3.91143532896353
SLC14A2	3.50222020417798
RDH11	8.25677607525192
ZNF518	3.93190999680245
PCYT1B	3.20771397263923
AUH	7.29633694271755
EIF3H	10.9388789972668
KIF1B	7.06719372782493
MBD2	4.78213399049614
AMOTL2	7.42627217793416
C6orf120	6.52518563501572
PIGT	8.0496192556419
PSRC1	5.38375003295506
PLA2G10	3.70968029683508
ALAS1	6.59927169025916
FOXO1	5.97655957862793
C17orf62	6.20542159551471
KIF5C	7.01497377346861
DUSP10	6.46657712768465
CRLF3	6.54770685741225
CLCNKB	3.69210868341562
PSMA5	8.88413557617843
FARS2	4.56290175511574
CCDC28A	7.2473120101366
AMPD3	4.80172937359811
PIAS1	7.45038265273481
ADCYAP1R1	3.47576558556661
TMEM134	6.26177858671262
CDH20	2.92695069392318
FBXO7	7.80731266284447
FLJ14213	4.04554804700103
ZNF3	5.15496625031869
LRRFIP1	7.04059106717959
TMEM49	8.66227101350336
CNOT2	7.45997610675798
CBX2	2.78274711504531
ZC3H14	6.56995849011527
ALDH5A1	5.28643889287788
HNT	4.25615929617705
SERPINA4	3.09303627766484
FLJ20920	5.00903650174851
CRTAP	5.08144215277793
DDX50	7.39229318121097
STYXL1	6.16259585415594
TK2	4.87975271304336
BLVRB	9.77745780266406
STMN1	6.79777470686813
GUCA2A	2.94912735337447
DPP6	3.03767329202378
GALNT10	4.48025351348704
STK39	5.48874421628706
MMP24	4.11499076848191
CKS2	10.5424366762757
RHO	3.56764871987738
BANF1	8.91987042536945
CR1	2.93566388238949
RPS6KA2	6.47910588048763
HMBS	5.1836350786181
C20orf112	3.64281984918882
SLC25A24	7.59222946756045
MRPL22	7.51554296654129
SLC25A15	4.85265903842915
GADD45B	4.60477920254863
TDP1	5.3683207478403
ZNF287	3.57356074759714
DAAM2	5.52298242264448
C11orf57	5.20452472800853
RFK	7.15742357674785
ZFYVE9	3.89969674798854
TCTN3	6.35441794820392
STCH	5.31272885059896
LOC283871	3.71342616279523
NDUFB3	7.53993819605423
DEFB4	3.57943725286297
FPR1	3.80733084428556
FMNL1	4.08969696589404
SEPT7	9.7070048668665
PTCD2	4.52106434204275
GNLY	3.61643139478469
GRAMD1C	3.98225884089506
ZNF165	4.12819339521818
TR2IT1	4.39474985916746
ARMCX3	7.94359572833269
NDE1	5.38654022630027
MAGEF1	7.28883721488591
ITGA10	3.86942120534915
ARHGDIB	8.60483393754342
FSHB	3.53909359677174
ANXA2	11.3481924311651
HLCS	4.06504989724508
MCF2L	4.04143573833988
AK1	6.0198792963256
FH	6.83496438290991
LGALS2	3.55806658079592
SYNPO2L	2.80861387525054
KIAA1045	3.33027560138127
C1orf183	4.34344924664741
MAGEA8	3.19920009444864
DGCR8	4.46640847408778
GSR	5.14917588838176
NEU2	3.53172447771199
HIST1H4B	3.56380572000731
CACNA1C	3.20288562085412
FAM20B	6.9476956996131
HES2	3.04905051618285
PDCD6	8.42458061387969
INTS7	5.56138433053797
AMPH	4.28314460543720
UCKL1	5.34028926038097
ASB4	2.99466910581523
C10orf97	4.54051829054607
ALDH1L1	4.17646552031017
CCL23	3.31675812471786
OBSL1	4.77477338887893
SLC12A7	6.36074958411652
THAP4	4.85516541983549
RBM4B	4.92553397653409
OGFRL1	4.61165557093112
KIAA0831	5.61116362945012
C12orf11	8.78884038018334
PPP1R15A	4.14307658454403
KIAA0240	5.12201892447737
CD1B	3.11434618670036
FCGR2A	6.62251302938712
MDC1	5.02764416909222
MAN1A1	5.80652936572522
KRT9	3.5023389510762
HTR1A	3.22439610131105
OCEL1	4.83388473260905
ATP11B	6.01866424039983
NLGN4X	4.17914736401417
FBXO34	7.27158627130748
ALOX12	3.41341474758741
RB1CC1	7.41107284404618
PCDH12	4.17177389091445
RPE	4.95379201684447
EIF4E	6.35416556233993
CSDC2	4.03490355046972
ABHD5	5.27942680830722
TMBIM1	6.42352527949683
PET112L	4.39249234309906
P2RXL1	3.24108050238298
F2RL2	2.91969297268612
TRMT1	4.32459809548121
IMPG2	3.46237683072596
LRRC32	5.30775752696779
BGLAP	3.87937431390343
HTR4	3.19257952956552
MRAS	4.64226349457061
TRAF6	4.44954200537991
AXL	5.42600875781292
ATP2C2	4.01833603373526
LMNB1	5.89074214508654
TELO2	4.21141230262436
PNPLA3	4.19019135830949
CSNK1E	6.14788063241109
SRP14	10.6472559513544
KCNQ4	3.18385932542995
PIK3C2B	5.23479653157712
C15orf15	8.04431690229341
TUBB2B	3.18239556586691
USP15	5.35529624578238
C12orf41	7.13397578998469
CEND1	3.89821350528891
RNF31	4.2345875195216
TCEAL2	4.88446363366755
PTGER2	6.24832356227701
UBN1	6.12128909230664
SLC5A7	3.24452019162888
SLC31A1	6.67398542618288
ADAM29	3.29798339287556
ST7L	4.07377432912549
GFOD1	4.42588893566297
CTNNA1	8.99818659360649
HRBL	3.54792591341108
CBX4	3.63737411116563
NTRK2	3.56528921967264
FOXN3	5.10758138458092
MFGE8	5.89672153102186
PFKFB2	3.95298619910305
TAS2R4	3.31644934467996
SH3TC2	3.06645023697001
IL10	3.36908489829217
PXMP4	5.11103949109607
RNF167	5.8966201020165
PRMT5	6.37527069010685
TSKU	6.69688084768977
ATPIF1	8.56022973023209
ETV3	2.97088281387974
PAK7	3.34712133429635
PDLIM1	8.36878831692041
CEP63	5.55425989552764
WDFY3	4.37346073690339
RNF126	4.17033143473704
DPM1	9.26720088343767
CLIC4	7.40342765668905
ACR	3.68678101530696
KLK7	8.90774301078647
ALOX5AP	8.38652286025291
LRP1	5.0403360474756
TNK1	4.10642843547439
TAS2R9	3.23259629478894
ZNF16	5.46688749834542
POLR1B	4.87700332225482
SLC8A2	3.74556867450686
OLFM4	2.76696234559804
TACC1	6.13429094087764
SAMHD1	6.54091245611603
ATP13A2	5.11378905384246
KRT4	3.50733518059413
PAX6	6.12299872476202
SCG2	3.67577542128781
SLC17A6	3.53800724401534
TUBB4	3.54710763640624
PADI4	2.85936264684222
FMO3	3.62164623958347
NLK	4.00499329233151
POU4F3	3.12369233442288
MDM2	3.33098633606922
CAPNS1	10.3939044244544
SDF4	7.1265978261209
ITGBL1	5.34498216817626
TAP2	4.31264009101391
OR2C1	3.50757412268879
KLHDC3	6.05281544622936
EFHD2	5.40904501934975
GALR3	3.60407571827148
NBEA	4.66508289920081
ABCA6	3.41070287865493
ABBA-1	3.61587890850458
GNAI1	4.01912357038464
CLDN3	7.7022274412901
AKT2	4.23177328759502
EGFR	3.66408015162574
VPS4B	8.23392681307779
RBM16	8.1850978842958
GALNT6	6.23217716299213
ZDHHC3	5.44091186420857
SLC25A4	5.79578443442853
CYB5B	6.68624617080707
NDRG1	8.85404788709068
SESN1	5.49685682427469
GBE1	6.97915267411462
MRPL46	5.6913332112937
CLASP1	5.06720784518974
FARP2	3.83608628957633
ACOT11	4.07029819058716
LDHAL6B	3.05641512106351
MAPKAPK3	4.75579477564161
NCAM2	3.00522756129768
AFAP1	5.06949565861567
PRKD2	5.25996575448907
OR2H2	3.44116763724708
ZFP36L1	7.33476538241415
DZIP1	5.06894404820715
GPR161	4.63907094217657
RNF146	5.65577734374895
NKX3-1	3.63798087238255
CCNB2	7.80089614868846
ZNF10	4.17329040434005
WDR74	4.76759498239104
FAM134A	6.87215603667794
PCNP	9.06009310640968
PURA	5.3382011529766
DNPEP	6.60553004431092
ERBB2	4.81384185013368
CREB1	5.35066110015101
NEO1	5.78182913102303
DDX3Y	3.36159806914596
RPS3A	12.3725166491577
MXRA7	9.77806880539434
LGALS3	9.65074587532654
GLT8D1	7.41088645026531
TMPRSS3	7.63879549201999
UPB1	3.27635972048434
LAT	3.64988339274459
CLDN14	3.48573609253292
DHX38	4.70487227676837
KCNA3	3.09697857204978
BTBD1	8.5198747257391
TARS2	4.93494592952649
SKIV2L2	7.39512014510998
ABCF1	7.08230532259885
CDT1	2.7801061848061
ZHX2	5.09072431334107
FCF1	4.81693071111708
LRRC49	5.11875101318928
GUCY1B2	3.91908581398024
CD28	3.40558465776158
SMARCA4	5.9824526130005
SEPT2	9.28355625545923
SOHLH2	3.21591405255820
MCOLN3	6.2052237984366
LRP8	6.50727867558924
TAGLN3	3.69599742686428
MASP2	3.38974121525990
GPATCH3	4.26532016404025
TTRAP	7.28090978292679
AGL	7.3272055898011
NFE2L3	4.14478347479813
PSD4	3.65540559539305
PALMD	4.67353348272386
CCNB1IP1	6.49948060670427
TMEM43	7.03983574345549
OBFC1	4.57418212136901
STAT5B	4.37769375949299
C14orf79	4.19501273252243
ENPEP	3.98558817005833
SSB	8.41200044487763
SCT	2.96611841513646
TIMM23	6.47920137666436
SKI	3.3935302913588
SLC22A13	3.01957087764575
AKAP3	3.57444893647675
OAS2	7.50302926219461
KIAA0423	5.67684043535142
SEC61G	9.39483475473362
CAPN11	3.04306167058597
TMEM50B	6.57009970890552
DEGS1	7.25911481837883
ARHGEF4	3.39652508518018
DBNDD1	4.23233118575346
TBL1XR1	7.02239897065656
FAIM	6.70172155699389
SP140	3.22336939416363
G6PD	4.94466488310122
NUDC	7.18629018787894
GABRP	3.42917390984998
SCARA3	4.52888079006603
TACSTD2	5.60800637346502
EIF3J	6.72396303920732
